Mach,alpha,line_id,y,p_real,p_imag,p_abs,p_real_norm,p_imag_norm,p_abs_norm,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,reference_cr,reference_ci,reference_omega_i,trusted_spectral,trusted_modal,best_status,source_csv,source_label
1.5,0.1625,M1.50_anchor0.150,13.216867444376154,0.2109564487932372,-0.0634114989770758,0.22028082415401798,0.47465200978478383,-0.1426758726984206,0.4956318543465406,0.4746520097847835,-0.1426758726984206,-0.338645727043333,0.0799804524779575,0.0226414149331042,-0.1330904876570157,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.25111887818613,0.2104840067232963,-0.0634627294185999,0.21984320574343677,0.47358901512741686,-0.14279114119184982,0.4946472129227329,0.4735890151274168,-0.1427911411918498,-0.3379056474619507,0.0801060347739956,0.0224846147172397,-0.1328450593738299,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.285528650220783,0.2100102825389242,-0.0635136945281235,0.21940443971052764,0.4725231357125796,-0.14290581268827793,0.4936599893486873,0.4725231357125795,-0.1429058126882779,-0.3371635211039693,0.0802313202861813,0.0223276109800155,-0.1325988549155897,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.320097872551054,0.209535272070064,-0.0635643907594261,0.21896452227265664,0.47145436215764414,-0.1430198792087088,0.4926701751134776,0.471454362157644,-0.1430198792087087,-0.3364193410578258,0.0803563038183575,0.0221704045326365,-0.1323518710269975,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.354827667676126,0.2090589711491107,-0.0636148145278821,0.21852344964635156,0.47038268508549924,-0.1431333326877348,0.49167776170429117,0.4703826850854993,-0.1431333326877349,-0.3356731004121801,0.0804809801135778,0.0220129962080608,-0.132104104443642,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.389719168645966,0.2085813756060363,-0.0636649622105936,0.21808121804268862,0.4693080951135818,-0.14324616497383566,0.49068274059604955,0.4693080951135818,-0.1432461649738356,-0.3349247922482418,0.0806053438547788,0.021855386859599,-0.1318555518893573,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.424773519185536,0.2081024812193132,-0.0637148301511159,0.21763782362176884,0.46823058274345486,-0.14335836784001083,0.48968510314898006,0.4682305827434547,-0.1433583678400107,-0.3341744095628359,0.080729389676885,0.0216975773449531,-0.1316062100505669,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.459991873820908,0.2076222838040913,-0.0637644146497987,0.21719326257427535,0.4671501385592056,-0.14346993296204713,0.48868484079211966,0.4671501385592055,-0.143469932962047,-0.3334219454065222,0.0808531121432171,0.0215395685555356,-0.1313560756220634,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.49537539800697,0.2071407791759612,-0.0638137119672858,0.21674753108782585,0.46606675314591284,-0.1435808519263931,0.4876819449476083,0.4660667531459129,-0.1435808519263931,-0.3326673928267892,0.0809765057544463,0.0213813614046781,-0.131105145288067,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.530925268257167,0.2066579631382299,-0.0638627183253955,0.21630062533508956,0.4649804170610174,-0.14369111623213993,0.48667640700395165,0.4649804170610173,-0.1436911162321399,-0.3319107448480757,0.0810995649511897,0.0212229568236831,-0.1308534157154796,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
1.5,0.1625,M1.50_anchor0.150,13.566642672274916,0.2061738314840275,-0.0639114299065034,0.215852541475652,0.463891120839062,-0.1438007172896327,0.48566821832021717,0.4638911208390618,-0.1438007172896327,-0.3311519944750324,0.0812222841128365,0.0210643557627362,-0.1306008835548732,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,validated,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_M15_2026-05-29/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_summary.csv,modal_front_spectral_dense_M15
