alpha,Mach,reference_cr,reference_ci,reference_omega_i,line_id,best_status,best_stage1_mismatch,best_stage2_mismatch,best_spectral_success,best_mode_success,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,source_csv,source_label,source_group
0.2125,1.3,0.2995438216788323,0.0424110594036997,0.0092966518810986,56.0334317327464,validated,0.0098592416733903,6.98174776995456e-20,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_candidates.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_candidates,shooting
0.2249999999999999,1.3,0.0,0.015,0.0001233665907541,M1.30_a0.22500,mode_only,0.0740078618817761,7.888609052210117e-29,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.25,1.3,0.0,0.015,2.5329707267353064e-06,M1.30_a0.25000,mode_only,0.0712500214668303,1.0223637331664311e-27,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.275,1.3,0.0,0.015,7.876332762604391e-06,M1.30_a0.27500,mode_only,0.1123760342239399,1.4164786414148488e-26,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.3,1.3,0.0,0.015,2.8682237413194453e-06,M1.30_a0.30000,mode_only,0.1069773153269924,1.7749370367472763e-28,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.18,1.33,0.05,0.025,1.7424999999999998e-06,M1.33_a0.18000,validated,0.0253975362337968,3.865418435582958e-29,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0250_a0275_boxrobust_candidates.csv,supersonic_shooting_core_band_M18_lowbranch_a0250_a0275_boxrobust_candidates,shooting
0.1,1.4,0.0,0.015,1.379929832175926e-06,M1.40_a0.10000,validated,0.0144317735314563,7.099748146989106e-30,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_candidates.csv,supersonic_shooting_core_band_M14_candidates,shooting
0.125,1.4,0.303271264704649,0.0535875093459158,0.0066984386682394,M1p40_branch_guided_0p125000,validated,0.0017665559834707,3.0047490024189555e-20,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.1375,1.4,0.3111424049240388,0.0511307865076858,0.0070304831448067,M1p40_branch_guided_0p137500,validated,0.0016248557187462,6.237268754360607e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.15,1.4,0.3182275185165742,0.0486740636694557,0.0073011095504183,M1p40_branch_guided_0p150000,validated,0.0013443567711178,1.157019368920801e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.1625,1.4,0.3246580112197962,0.0462173408312256,0.0075103178850741,M1p40_branch_guided_0p162500,validated,0.0009231956973406,1.3332772273236985e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.16875,1.4,0.32767268188658,0.0450433791097876,0.0076010702247766,M1p40_branch_guided_0p168750,validated,0.0006446884127008,7.493539522747762e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.175,1.4,0.3121554515116973,0.0438821492820227,0.0076793761243539,M1p40_branch_guided_0p175000,validated,0.005742358502327,1.2729481729396621e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.18125,1.4,0.3153193678544234,0.0427209194542578,0.0077431666510842,M1p40_branch_guided_0p181250,validated,0.0058666869984485,1.3654422406630672e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.1875,1.4,0.3183709082056269,0.0411403935788011,0.0077138237960252,M1p40_branch_guided_0p187500,validated,0.0060030096781822,6.8384475574140265e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.19375,1.4,0.05,0.025,1.8756076388888887e-06,M1.40_a0.19375,validated,0.0330830808558668,7.888609052210118e-31,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_M140_candidates.csv,supersonic_shooting_point_batch_M140_candidates,shooting
0.2,1.4,0.0,0.015,1.6221442579732513e-06,M1.40_a0.20000,validated,0.035070814049061,4.923280909484335e-27,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_candidates.csv,supersonic_shooting_core_band_M14_candidates,shooting
0.3,1.4,0.0,0.015,3.5548014322916592e-06,M1.40_a0.30000,mode_only,0.137477758950016,1.135959703518257e-28,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0100_a0125_boxrobust_candidates.csv,supersonic_shooting_core_band_M18_lowbranch_a0100_a0125_boxrobust_candidates,shooting
0.1,1.5,0.05,0.025,1.5126247829861118e-06,M1.50_a0.10000,validated,0.0089970362451566,7.888609052210118e-31,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M15_candidates.csv,supersonic_shooting_core_band_M15_candidates,shooting
0.125,1.5,0.3492641497157056,0.0487962958623987,0.0060995369827998,M1.50_anchor0.125,validated,1.940808103109891e-06,8.584788614904849e-21,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.1375,1.5,0.3561293840907055,0.0454370701278998,0.0062475971425862,M1.50_anchor0.150,validated,2.9242691405786992e-06,8.883374749124309e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.15,1.5,0.3623598528407056,0.0418239381434009,0.0062735907215101,M1.50_anchor0.125,validated,1.5826674783649809e-06,1.7707920233320626e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.15625,1.5,0.3652797747157056,0.0399391725184009,0.0062404957060001,M1.50_anchor0.150,validated,1.7671296518669656e-06,2.0131771728764467e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.158333,1.5,0.2399414062499999,0.0374707031249999,0.0079234450952063,M1.50_anchor0.150,validated,0.0185197545227821,8.649536278395504e-19,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_candidates.csv,supersonic_shooting_modal_front_spectral_dense_candidates,shooting
0.1625,1.5,0.3680825090907056,0.0380056534011514,0.0061759186776871,M1.50_anchor0.150,validated,1.5637777600864958e-06,2.376309309757678e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.165625,1.5,0.3680825090907056,0.0380056534011514,0.0061321530062568,M1.50_anchor0.163,validated,4.63708017174791e-06,4.491074462727433e-19,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_candidates.csv,supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_candidates,shooting
0.16875,1.5,0.3707325090907057,0.0360444572608568,0.0061953695411829,78.83564488672943,validated,0.0040196230179023,2.011542073914387e-18,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_candidates.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_candidates,shooting
0.175,1.5,0.0,0.015,1.6731305157696764e-06,M1.50_a0.17500,validated,0.0395488118720639,7.099748146989106e-30,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M15_candidates.csv,supersonic_shooting_core_band_M15_candidates,shooting
0.18125,1.5,0.3758075090907057,0.0319782648224763,0.0065824211761571,73.63445321620672,validated,0.010765916078394,1.2182745575546168e-18,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_candidates.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_candidates,shooting
0.1875,1.5,0.3782325090907057,0.0298849314891429,0.0063749566085252,76.38404225397205,validated,0.0110288125841952,1.6893335454312152e-18,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_candidates.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_candidates,shooting
0.19375,1.5,0.3805469622157058,0.0277711238068128,0.0082536044563199,57.16831996662804,validated,0.0237474635046939,1.268617083918492e-18,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_v2_candidates.csv,supersonic_shooting_modal_surface_core_v2_candidates,shooting
0.2,1.5,0.05,0.025,6.042208862304688e-06,M1.50_a0.20000,mode_only,0.0609634294222915,3.865418435582958e-29,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M15_candidates.csv,supersonic_shooting_core_band_M15_candidates,shooting
0.2249999999999999,1.5,0.05,0.025,2.972853597005208e-06,M1.50_a0.22500,mode_only,0.0616538052783636,1.135959703518257e-28,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.25,1.5,0.0,0.015,2.098090753437561e-05,M1.50_a0.25000,mode_only,0.0822809390555726,7.888609052210118e-31,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.275,1.5,0.0,0.015,4.4058339240619664e-06,M1.50_a0.27500,mode_only,0.0967356689736001,7.099748146989106e-30,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.3,1.5,0.05,0.025,3e-07,M1.50_a0.30000,mode_only,0.080708072558469,3.865418435582958e-29,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.1,1.6,0.0,0.015,8.110721289866256e-07,M1.60_a0.10000,validated,0.0135078444042355,3.1554436208840472e-30,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,shooting
0.125,1.6,0.18,0.055,2.4793746383101865e-06,M1.60_a0.12500,validated,0.0235440133577806,0.0,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,shooting
0.15,1.6,0.0,0.015,1.2166081934799385e-06,M1.60_a0.15000,validated,0.0134276414277918,6.389773332290196e-29,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,shooting
0.175,1.6,0.0,0.015,1.0539973003874095e-06,M1.60_a0.17500,validated,0.0255840824985076,5.048709793414476e-29,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,shooting
0.2,1.6,0.0,0.015,1.151193978266461e-06,M1.60_a0.20000,validated,0.0213045174065003,7.099748146989106e-30,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_candidates.csv,supersonic_shooting_core_band_M16_candidates,shooting
0.225,1.6,0.32,0.004,0.0043184999995068,a0.225000_M1.600000__cand001,validated,0.0363817550712007,1.365492749893665e-19,True,True,False,False,True,True,assets/classic_supersonic/shooting/_incoming_sparse_supersonic_expand1/sparse_supersonic_expand1_raw_candidates.csv,sparse_supersonic_expand1_raw_candidates,_incoming_sparse_supersonic_expand1
0.3,1.6,0.0,0.015,3e-07,M1.60_a0.30000,mode_only,0.0713131453976751,1.262177448353619e-29,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_candidates.csv,supersonic_shooting_point_batch_core_v2_candidates,shooting
0.1,1.7,0.05,0.025,2.4543746383101863e-06,M1.70_a0.10000,validated,0.0235807566116461,7.888609052210118e-31,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_candidates.csv,supersonic_shooting_core_band_M17_manual_candidates,shooting
0.125,1.7,0.05,0.025,5.422342936197919e-06,M1.70_a0.12500,validated,0.0296284534438847,0.0,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_candidates.csv,supersonic_shooting_core_band_M17_manual_candidates,shooting
