alpha,y_window,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_rmse,q_rmse,p_error_energy_fraction,q_error_energy_fraction,qdef_reference_rel_l2,qdef_prediction_rel_l2,dp_pred_vs_q_ref_rel_l2
0.0875,50.0,4289,0.0006953333059074051,0.0015865200379162692,0.0023919917587007875,0.0006618227389924649,0.00020696164271335815,5.5197805713810097e-05,0.00018689537725428382,0.002236422767911854,0.0,0.0045504434176003245,0.004525631228041119
0.0875,100.0,4354,0.001025460939623955,0.0021097173897605954,0.004493278697759754,0.0011979411973406732,0.00030361793276710656,7.327074099069485e-05,0.00040832507473987495,0.004000403730645571,0.0,0.004700802470139642,0.004742522388139979
0.0875,500.0,4407,0.002366191490081993,0.0036211383457394604,0.035829016653590416,0.004218335453512644,0.00069678375333034,0.0001251216260730666,0.0021767165020215667,0.011807611133210705,0.0,0.005497143331564001,0.004795312880479741
0.0875,2000.0,4418,0.002888122453594233,0.0036506177045643688,0.035829016653590416,0.004218335453512644,0.0008494208393015687,0.00012598310047659078,0.0032429057162578095,0.0120006433138158,0.0,0.005516259286458931,0.004797546346983251
0.09,5.0,3289,0.0003492568324925064,0.0010633750077778752,0.0002424178657528966,9.492894687018794e-05,0.00010673523456462036,3.5891126335115044e-05,3.81190684407424e-05,0.0007250906088791447,0.0,0.005261443318423708,0.005543252995726049
0.09,10.0,3807,0.00037361667909635387,0.001068977860385664,0.00025802120855779754,0.00010381226130747806,0.00011322243678042049,3.761385295189639e-05,4.964901759299585e-05,0.0009217916150254614,0.0,0.0048298784078574224,0.005102343271738834
0.09,20.0,4101,0.00041372040083746686,0.001099688579129224,0.0005227668497634066,0.00011421738952105738,0.00012425493014286854,3.924175503976626e-05,6.44139328084448e-05,0.001080788825706512,0.0,0.004701955842005179,0.004927844359477403
0.09,50.0,4289,0.0017093684398833322,0.0032405502382587643,0.007702648111833878,0.001702053587118781,0.00050817388215909,0.00011604531788333629,0.0011267913771137283,0.009884746202773551,0.0,0.0049469473227040225,0.005791594015673902
0.09,100.0,4354,0.002604917983467067,0.004639245459224303,0.009316532948542938,0.0018696056504114785,0.0007702906952959785,0.0001658222811428174,0.0026282127388294898,0.02048936159399057,0.0,0.005070234360415393,0.006760293849831719
0.09,500.0,4407,0.003545651189034762,0.005745712521899118,0.03906287400568215,0.005273295963898912,0.0010427660280396195,0.00020431394237040875,0.0048750557442493745,0.03148424548438296,0.0,0.005953775843242101,0.006908343273140282
0.09,2000.0,4418,0.003807543469052355,0.005768840549058263,0.03906287400568215,0.005273295963898912,0.0011183940638911849,0.0002048808266629401,0.005621836433355818,0.03173822091884232,0.0,0.005972551637716799,0.0069091191242247555
0.0925,5.0,3289,0.000288786962934947,0.0011074446010814198,0.0001820504122643853,7.352129131923546e-05,8.822375506531473e-05,3.8462897411577266e-05,2.604340342697619e-05,0.0008327259492940256,0.0,0.00441147670601693,0.004496120928823623
0.0925,10.0,3807,0.00031462804338145463,0.001040919988901816,0.0001924930852425474,7.352129131923546e-05,9.528203962696897e-05,3.76827805670428e-05,3.5161529211618305e-05,0.0009251730879973171,0.0,0.004098599254874992,0.004157657805830301
0.0925,20.0,4101,0.00036738243512182976,0.0010813899948603554,0.0004750034913518051,0.000149679259545195,0.00011023114788254563,3.969581603463024e-05,5.0694543510504025e-05,0.0011059448471518573,0.0,0.003987632734671892,0.004022904895857332
0.0925,50.0,4289,0.0020505239070464617,0.0038025857803212905,0.00846024646836039,0.0018534158996592715,0.0006088623578713497,0.00014005553220293918,0.0016175476542525636,0.014398286608338218,0.0,0.004609214967692224,0.005680812998850132
0.0925,100.0,4354,0.002679664360385729,0.004922376636199911,0.00846024646836039,0.0018534158996592715,0.0007913949505240804,0.0001809428767563719,0.002774199966482468,0.024396393963287865,0.0,0.004726963549830117,0.006397861431777021
0.0925,500.0,4407,0.00337223636478395,0.005574205112408252,0.03062239254433899,0.003990592549735631,0.0009904954888141635,0.0002038390442721431,0.00439856325510507,0.03133805446600518,0.0,0.005270155321734364,0.006505287979984632
0.0925,2000.0,4418,0.0036707062409513424,0.005593468627318835,0.03062239254433899,0.003990592549735631,0.0010768201898343458,0.00020428868196061467,0.0052116456393953925,0.03155502699962529,0.0,0.0052919701700259785,0.0065056274151821655
0.095,5.0,3289,0.00033866661706773615,0.0009215108225668534,0.0002078448620161373,7.514960036974763e-05,0.00010341224560668101,3.2905696428075505e-05,3.578249333111153e-05,0.0006094811506414675,0.0,0.004162607852435604,0.004169843733212961
0.095,10.0,3807,0.00039588402145939475,0.0009878091374419945,0.00037040489975892417,9.76582141265575e-05,0.00011979437928849301,3.676039138671808e-05,5.5580000654338074e-05,0.0008804351278540823,0.0,0.0038207638527739253,0.0038721736158114444
0.095,20.0,4101,0.0005068109107090747,0.0010136148269406279,0.0009635733262432584,0.00018238774847818533,0.00015190120533488285,3.824351167275249e-05,9.626645889958755e-05,0.0010265013602042436,0.0,0.003792637819874867,0.0038210309248029903
0.095,50.0,4289,0.0009530455207140612,0.0018354473904703102,0.00352422587337243,0.0009401185768298882,0.0002826187273670202,6.947354288919306e-05,0.0003485143836235956,0.0035428206843178605,0.0,0.004295464445479587,0.004371794115242135
0.095,100.0,4354,0.0012758373211009713,0.0024508083714990104,0.0045088226507027495,0.0011617744297246536,0.00037628643706613256,9.257517636338165e-05,0.000627174427299334,0.006386041736588209,0.0,0.004422572876941403,0.0046227435419660175
0.095,500.0,4407,0.0027414245024631545,0.0037320110654940125,0.0334458591814985,0.0038671779500381825,0.0008041070493742325,0.00014023218513549353,0.0028989022879171373,0.014831759851412473,0.0,0.005199108308844762,0.004667548499543138
0.095,2000.0,4418,0.0030213342123681006,0.003764499151992925,0.0334458591814985,0.0038671779500381825,0.0008851061875666422,0.00014127673621609768,0.003521107243573179,0.015091112259522527,0.0,0.005221054801568457,0.004668415875569145
0.0975,5.0,3289,0.000332630620021863,0.0006666215023662257,0.00015913984470349035,0.00010166605974871331,0.00010151912799443623,2.4456717108744413e-05,3.448437970711364e-05,0.00033667775714711883,0.0,0.004052256448211839,0.004102042176410714
0.0975,10.0,3807,0.0003613677538906877,0.0006483022759370513,0.0002492108913356764,0.00010166605974871331,0.0001092615607404825,2.4783716367735175e-05,4.623602225962049e-05,0.0004001934433543202,0.0,0.0036844400558771594,0.0037347822610461754
0.0975,20.0,4101,0.0004474411166744217,0.0007271734937805002,0.0007631179817277918,0.00012952090981453967,0.00013396058828957723,2.8180478741266165e-05,7.486979586763337e-05,0.0005573663361213081,0.0,0.003637157274104082,0.0036411360431002583
0.0975,50.0,4290,0.0005882354789998448,0.0009650581633836652,0.0019489131677463962,0.000286045781245704,0.00017419176178000428,3.750972275828168e-05,0.0001324266226246556,0.0010329974092197732,0.0,0.0039419564398256585,0.003923424198487955
0.0975,100.0,4354,0.0007177108005163909,0.001259274096056194,0.0027455696389180506,0.0007114965960449292,0.00021139089312426,4.8846501124906396e-05,0.00019793553057270276,0.0017779092019008969,0.0,0.004077784190429991,0.00400959931558505
0.0975,500.0,4407,0.0030008632408788246,0.003028269114374613,0.04413221312761183,0.005391208886223281,0.0008790041849323208,0.00011684518748586379,0.0034640784881931723,0.010297195109249778,0.0,0.004983166577819,0.00402586410556448
0.0975,2000.0,4418,0.0032699344555126167,0.0030697009287477236,0.04413221312761183,0.005391208886223281,0.000956627340290438,0.00011829628317975388,0.004113145538078213,0.010580888605812803,0.0,0.005005480807343325,0.004026895779723059
