_M_key,_a_key,Mach_seeded,alpha_seeded,cr_reference,ci_reference,seeded_cr,seeded_ci,seeded_technical,seeded_error,seeded_recovery,atlas_chart,Mach_generic,alpha_generic,generic_cr_reference,generic_ci_reference,generic_cr,generic_ci,generic_technical,generic_error,generic_recovery,Mach,alpha,generic_minus_seeded_error
1.15,0.075,1.15,0.075,0.0646325378753453,0.1421829713450822,0.064637705625,0.1421825343749999,True,5.1861912176939735e-06,True,C00,1.15,0.075,0.0646325378753453,0.1421829713450822,0.7614583333333332,3.136747685185185e-05,True,0.7111773813177469,False,1.15,0.075,0.7111721951265292
1.15,0.08,1.15,0.08,0.0790689509372673,0.1392808657517153,0.079062189375,0.13927650375,True,8.046476449913438e-06,True,C00,1.15,0.08,0.0790689509372673,0.1392808657517153,0.7614583333333332,0.0001178113425925,True,0.6964349394734305,False,1.15,0.08,0.6964268929969806
1.15,0.09,1.15,0.09,0.1011993184208567,0.1335078749432744,0.101202080625,0.1335095449999999,True,3.2278260789034434e-06,True,C00,1.15,0.09,0.1011993184208567,0.1335078749432744,0.7614583333333332,1e-06,True,0.6736215943913266,False,1.15,0.09,0.6736183665652478
1.15,0.105,1.15,0.105,0.1259143515352406,0.124921872190643,0.1259133456249999,0.1249193952499999,True,2.6734042645747206e-06,True,C00,1.15,0.105,0.1259143515352406,0.124921872190643,0.7614583333333332,3.823958333333333e-05,True,0.6476975177449514,False,1.15,0.105,0.6476948443406869
1.15,0.115,1.15,0.115,0.1391735170370881,0.1192436508743323,0.1391781274999999,0.119241295625,True,5.177216209335331e-06,True,C00,1.15,0.115,0.1391735170370881,0.1192436508743323,0.7614583333333332,3.3981770833333346e-05,True,0.6336002981380432,False,1.15,0.115,0.6335951209218339
1.2,0.05,1.2,0.05,0.0587939705593892,0.1408414697456862,0.0587890593749999,0.140839541875,True,5.276022885515087e-06,True,C00,1.2,0.05,0.0587939705593892,0.1408414697456862,0.7614583333333332,5.668576388888889e-05,True,0.7166293059269305,False,1.2,0.05,0.7166240299040451
1.2,0.065,1.2,0.065,0.1050524247378762,0.1330421441116264,0.105053266875,0.133046010625,True,3.95716067444726e-06,True,C00,1.2,0.065,0.1050524247378762,0.1330421441116264,0.7614583333333332,3.136747685185185e-05,True,0.6697466562365305,False,1.2,0.065,0.669742699075856
1.2,0.08,1.2,0.08,0.1340569456428095,0.1252466098615217,0.1340577875,0.12524609875,True,9.848647200391291e-07,True,C00,1.2,0.08,0.1340569456428095,0.1252466098615217,0.7614583333333332,0.0001178113425925,True,0.6397575458677964,False,1.2,0.08,0.6397565610030764
1.2,0.09,1.2,0.09,0.1492486582237698,0.1200551554586059,0.1492451125,0.120057340625,True,4.164986100999503e-06,True,C00,1.2,0.09,0.1492486582237698,0.1200551554586059,0.7614583333333332,6.355787037037038e-05,True,0.6238578923036354,False,1.2,0.09,0.6238537273175344
1.2,0.1,1.2,0.1,0.1623167383142573,0.1148698095470125,0.162314629375,0.114867605,True,3.0508445259201214e-06,True,C00,1.2,0.1,0.1623167383142573,0.1148698095470125,0.7614583333333332,3.823958333333333e-05,True,0.6100466706263757,False,1.2,0.1,0.6100436197818498
1.2,0.115,1.2,0.115,0.1790446749180525,0.1071054177329335,0.1790477725,0.107105763125,True,3.116778721864389e-06,True,C00,1.2,0.115,0.1790446749180525,0.1071054177329335,0.7614583333333332,3.3981770833333326e-05,True,0.5921739287638872,False,1.2,0.115,0.5921708119851653
1.0,0.135,1.0,0.135,4.486303830662882e-11,0.0238070220816896,0.0,0.023808113125,True,1.0910433113209799e-06,True,C01,1.0,0.135,4.486303830662882e-11,0.0238070220816896,0.0,0.02380693359375,True,8.84879509733925e-08,True,1.0,0.135,-1.0025553603475874e-06
1.0,0.14,1.0,0.14,-1.3824653512991852e-11,0.026296053046404,0.0,0.0262973283333333,True,1.2752869293766658e-06,True,C01,1.0,0.14,-1.3824653512991852e-11,0.026296053046404,0.7614583333333332,1.0110243055555554e-05,True,0.7619119005586488,False,1.0,0.14,0.7619106252717194
1.0,0.15,1.0,0.15,-8.405645788231906e-11,0.0321062949597958,0.0,0.0321068318749999,True,5.369152106820785e-07,True,C01,1.0,0.15,-8.405645788231906e-11,0.0321062949597958,0.7614583333333332,3.604340277777777e-05,True,0.7621333837103049,False,1.0,0.15,0.7621328467950942
1.0,0.16,1.0,0.16,-8.877935056053396e-11,0.0394369303198964,0.0,0.03944116875,True,4.238430104525058e-06,True,C01,1.0,0.16,-8.877935056053396e-11,0.0394369303198964,0.7614583333333332,1.9767361111111115e-05,True,0.7624778726452988,False,1.0,0.16,0.7624736342151942
1.0,0.165,1.0,0.165,-1.5719701197920907e-10,0.0439306948164425,0.0,0.0439253268749999,True,5.367941444905319e-06,True,C01,1.0,0.165,-1.5719701197920907e-10,0.0439306948164425,0.7614583333333332,1.2171874999999996e-05,True,0.7627238230837775,False,1.0,0.165,0.7627184551423326
1.0,0.175,1.0,0.175,-7.090404905498365e-11,0.0557083229229324,0.0,0.0557141606249999,True,5.837702067926605e-06,True,C01,1.0,0.175,-7.090404905498365e-11,0.0557083229229324,0.7614583333333332,1e-06,True,0.7634933525172295,False,1.0,0.175,0.7634875148151615
1.0,0.195,1.0,0.195,0.0382070565534107,0.0978340054927779,0.0382092500034505,0.097829209125,True,5.274122385574389e-06,True,C01,1.0,0.195,0.0382070565534107,0.0978340054927779,0.7614583333333332,1.770572916666667e-05,True,0.7298358978998174,False,1.0,0.195,0.7298306237774318
1.0,0.205,1.0,0.205,0.059979811826426,0.0915107939103272,0.0599752965455729,0.0915111,True,4.525643829355024e-06,True,C01,1.0,0.205,0.059979811826426,0.0915107939103272,0.7614583333333332,1.0110243055555556e-05,True,0.7074210141401616,False,1.0,0.205,0.7074164884963322
1.0,0.215,1.0,0.215,0.0752967720188064,0.0852583958304331,0.075290349875,0.0852550081249999,True,7.260886941152538e-06,True,C01,1.0,0.215,0.0752967720188064,0.0852583958304331,0.7614583333333332,1e-06,True,0.6914380028385599,False,1.0,0.215,0.6914307419516188
1.05,0.12,1.05,0.12,6.803041450145497e-10,0.0798199008171065,0.0,0.0798229956249999,True,3.094807968172718e-06,True,C01,1.05,0.12,6.803041450145497e-10,0.0798199008171065,0.7614583333333332,1.9767361111111115e-05,True,0.7656284044275825,False,1.05,0.12,0.7656253096196144
1.05,0.13,1.05,0.13,5.561380768025613e-10,0.1057320985786008,0.0,0.1057324506249999,True,3.5204683837549775e-07,True,C01,1.05,0.13,5.561380768025613e-10,0.1057320985786008,0.7614583333333332,3.823958333333333e-05,True,0.7687587296318249,False,1.05,0.13,0.7687583775849866
1.05,0.145,1.05,0.145,0.0574927471084788,0.1240499420403578,0.05749381125,0.124054670625,True,4.846845355036549e-06,True,C01,1.05,0.145,0.0574927471084788,0.1240499420403578,0.7614583333333332,1e-06,True,0.7148116441484672,False,1.05,0.145,0.7148067973031121
1.05,0.16,1.05,0.16,0.0846089596558761,0.1145246495812782,0.084605768125,0.1145231623333333,True,3.5210475405391156e-06,True,C01,1.05,0.16,0.0846089596558761,0.1145246495812782,0.7614583333333332,1e-06,True,0.6864697669679134,False,1.05,0.16,0.6864662459203729
1.05,0.17,1.05,0.17,0.0980164090081825,0.1082491587696718,0.098011663125,0.10824905625,True,4.746990358641892e-06,True,C01,1.05,0.17,0.0980164090081825,0.1082491587696718,0.7614583333333332,1.0110243055555554e-05,True,0.6722134174339324,False,1.05,0.17,0.6722086704435737
1.05,0.18,1.05,0.18,0.1093898015648453,0.1020308850845139,0.1093882806249999,0.1020358416666666,True,5.184685588327064e-06,True,C01,1.05,0.18,0.1093898015648453,0.1020308850845139,0.7614583333333332,3.604340277777777e-05,True,0.6599972104883428,False,1.05,0.18,0.6599920258027545
1.05,0.19,1.05,0.19,0.1193340156875175,0.0958677623501994,0.1193343405192057,0.0958714783333333,True,3.73015365327649e-06,True,C01,1.05,0.19,0.1193340156875175,0.0958677623501994,0.7614583333333332,1.9767361111111115e-05,True,0.649238382611143,False,1.05,0.19,0.6492346524574897
1.05,0.205,1.05,0.205,0.1323044050267023,0.08672218899306,0.132309228125,0.0867205687499999,True,5.087972559210492e-06,True,C01,1.05,0.205,0.1323044050267023,0.08672218899306,0.7614583333333332,1.2171874999999996e-05,True,0.6351010097396158,False,1.05,0.205,0.6350959217670566
1.1,0.12,1.1,0.12,0.0929554600078068,0.1285506661833083,0.0929533206249999,0.1285474009999999,True,3.903636872441459e-06,True,C01,1.1,0.12,0.0929554600078068,0.1285506661833083,0.7614583333333332,1e-06,True,0.6807504008961911,False,1.1,0.12,0.6807464972593187
1.1,0.135,1.1,0.135,0.114821536307718,0.1194572670812644,0.114825984375,0.119453776875,True,5.6539227367542164e-06,True,C01,1.1,0.135,0.114821536307718,0.1194572670812644,0.7614583333333332,5.668576388888889e-05,True,0.6575679783007031,False,1.1,0.135,0.6575623243779664
1.1,0.15,1.1,0.15,0.1320566414058153,0.1104728205019271,0.1320589375,0.110467391875,True,5.8942377640031014e-06,True,C01,1.1,0.15,0.1320566414058153,0.1104728205019271,0.7614583333333332,3.136747685185185e-05,True,0.6390178435282634,False,1.1,0.15,0.6390119492904994
1.1,0.165,1.1,0.165,0.1463990255732808,0.1015900294887648,0.146395541875,0.1015907649999999,True,3.5604958206061733e-06,True,C01,1.1,0.165,0.1463990255732808,0.1015900294887648,0.7614583333333332,1e-06,True,0.6233925592872793,False,1.1,0.165,0.6233889987914587
1.1,0.175,1.1,0.175,0.1547968043623869,0.0957214701503959,0.154793126875,0.0957215849999999,True,3.679280352523798e-06,True,C01,1.1,0.175,0.1547968043623869,0.0957214701503959,0.7614583333333332,1e-06,True,0.6141666053597991,False,1.1,0.175,0.6141629260794466
1.1,0.19,1.1,0.19,0.1660505044719185,0.0869943604140983,0.166041324375,0.0869908416666667,True,9.831366279439114e-06,True,C01,1.1,0.19,0.1660505044719185,0.0869943604140983,0.7614583333333332,1.2171874999999996e-05,True,0.6017278319909384,False,1.1,0.19,0.601718000624659
1.1,0.2,1.1,0.2,0.172818900945195,0.0812245506598016,0.17281728625,0.0812246712499999,True,1.619191949297045e-06,True,C01,1.1,0.2,0.172818900945195,0.0812245506598016,0.7614583333333332,3.398177083333332e-05,True,0.5942123272355967,False,1.1,0.2,0.5942107080436474
1.15,0.12,1.15,0.12,0.1451318869386702,0.1164175356042111,0.145135563125,0.116415416875,True,4.243036577893246e-06,True,C01,1.15,0.12,0.1451318869386702,0.1164175356042111,0.7614583333333332,1e-06,True,0.6272249184204659,False,1.15,0.12,0.627220675383888
1.15,0.13,1.15,0.13,0.1559861792264185,0.1107901946633786,0.155992720625,0.110790971875,True,6.587408694357859e-06,True,C01,1.15,0.13,0.1559861792264185,0.1107901946633786,0.7614583333333332,1e-06,True,0.615524796456672,False,1.15,0.13,0.6155182090479777
1.15,0.145,1.15,0.145,0.1701633002107831,0.1024084525397898,0.1701638075,0.102409584375,True,1.2403198348252193e-06,True,C01,1.15,0.145,0.1701633002107831,0.1024084525397898,0.7614583333333332,3.604340277777778e-05,True,0.6000915982980544,False,1.15,0.145,0.6000903579782195
1.15,0.16,1.15,0.16,0.182412678439002,0.0940936670254569,0.1824172006249999,0.0940902749999999,True,5.6529640809463984e-06,True,C01,1.15,0.16,0.182412678439002,0.0940936670254569,0.7614583333333332,1.9767361111111115e-05,True,0.5866376812395043,False,1.15,0.16,0.5866320282754234
1.15,0.17,1.15,0.17,0.1897340820397551,0.0885856665308793,0.18973735875,0.088581143125,True,5.585519741088978e-06,True,C01,1.15,0.17,0.1897340820397551,0.0885856665308793,0.7614583333333332,1e-06,True,0.5785463357948001,False,1.15,0.17,0.578540750275059
1.15,0.18,1.15,0.18,0.1964928606786852,0.0831045993477835,0.196490263125,0.0831046831249999,True,2.5989043401967677e-06,True,C01,1.15,0.18,0.1964928606786852,0.0831045993477835,0.7614583333333332,1e-06,True,0.5710448261883184,False,1.15,0.18,0.5710422272839782
1.15,0.1875,1.15,0.1875,0.2012381863031565,0.0790109172963611,0.201235240625,0.0790110016666666,True,2.9468861786932784e-06,True,C01,1.15,0.1875,0.2012381863031565,0.0790109172963611,0.7614583333333332,1.770572916666667e-05,True,0.5657619115955159,False,1.15,0.1875,0.5657589647093372
1.15,0.195,1.15,0.195,0.2057354310669795,0.074931515120691,0.2057395974999999,0.0749321916666666,True,4.22100445043131e-06,True,C01,1.15,0.195,0.2057354310669795,0.074931515120691,0.7614583333333332,1e-06,True,0.5607517509554396,False,1.15,0.195,0.5607475299509892
1.15,0.205,1.15,0.205,0.211384435185444,0.0695139708760752,0.211377549375,0.069511455625,True,7.330816696799347e-06,True,C01,1.15,0.205,0.211384435185444,0.0695139708760752,0.7614583333333332,3.604340277777778e-05,True,0.5544442946136241,False,1.15,0.205,0.5544369637969273
1.2,0.13,1.2,0.13,0.1932295994077387,0.0993595427438833,0.193224089375,0.0993543516666666,True,7.570187808197192e-06,True,C01,1.2,0.13,0.1932295994077387,0.0993595427438833,0.7614583333333332,1e-06,True,0.5768500793749379,False,1.2,0.13,0.5768425091871298
1.2,0.14,1.2,0.14,0.20160028025262,0.094206817652732,0.2016041968749999,0.09420628125,True,3.9531833700911654e-06,True,C01,1.2,0.14,0.20160028025262,0.094206817652732,0.7614583333333332,1e-06,True,0.5677286109391938,False,1.2,0.14,0.5677246577558237
1.2,0.15,1.2,0.15,0.2092601600195139,0.089063544049155,0.20925777625,0.0890614749999999,True,3.1564729527652726e-06,True,C01,1.2,0.15,0.2092601600195139,0.089063544049155,0.7614583333333332,3.3981770833333346e-05,True,0.5593291388534916,False,1.2,0.15,0.5593259823805388
1.2,0.16,1.2,0.16,0.2163108523694062,0.0839300841651744,0.2163129462499999,0.0839313683333333,True,2.456302872397381e-06,True,C01,1.2,0.16,0.2163108523694062,0.0839300841651744,0.7614583333333332,1e-06,True,0.5515703646590525,False,1.2,0.16,0.5515679083561801
1.2,0.17,1.2,0.17,0.2228334640401218,0.0788067637074469,0.222829799375,0.078810531875,True,5.256315930696945e-06,True,C01,1.2,0.17,0.2228334640401218,0.0788067637074469,0.7614583333333332,3.136747685185185e-05,True,0.5443549511783798,False,1.2,0.17,0.5443496948624491
1.2,0.185,1.2,0.185,0.2317684249564779,0.0711414505629227,0.23176796875,0.0711368916666666,True,4.581665573167697e-06,True,C01,1.2,0.185,0.2317684249564779,0.0711414505629227,0.7614583333333332,3.604340277777778e-05,True,0.5344411828851622,False,1.2,0.185,0.534436601219589
1.2,0.195,1.2,0.195,0.237235378386023,0.066044768826691,0.2372331218749999,0.0660460806249999,True,2.610106664599643e-06,True,C01,1.2,0.195,0.237235378386023,0.066044768826691,0.7614583333333332,1e-06,True,0.5283668099857551,False,1.2,0.195,0.5283641998790906
1.2,0.205,1.2,0.205,0.2423607987616504,0.0609592307494944,0.242366590625,0.060954357,True,7.5696179028071405e-06,True,C01,1.2,0.205,0.2423607987616504,0.0609592307494944,0.7614583333333332,1.2171875e-05,True,0.5226631748878532,False,1.2,0.205,0.5226556052699504
1.0,0.225,1.0,0.225,0.0876278286687524,0.0790732279991764,0.087634831625,0.0790705083333333,True,7.5125214478192385e-06,True,C02,1.0,0.225,0.0876278286687524,0.0790732279991764,0.7614583333333332,3.3981770833333326e-05,True,0.6784502571750329,False,1.0,0.225,0.6784427446535851
1.0,0.23,1.0,0.23,0.0930610599734061,0.0760047899975906,0.093059688125,0.076007576625,True,3.106003922754101e-06,True,C02,1.0,0.23,0.0930610599734061,0.0760047899975906,0.7614583333333332,1e-06,True,0.6727046091182839,False,1.0,0.23,0.6727015031143612
1.0,0.235,1.0,0.235,0.0981188972948216,0.0729519045736324,0.09812069025,0.07295021,True,2.467036292277827e-06,True,C02,1.0,0.235,0.0981188972948216,0.0729519045736324,0.7614583333333332,1e-06,True,0.6673387759466716,False,1.0,0.235,0.6673363089103793
1.0,0.24,1.0,0.24,0.1028582442907003,0.0699141772819918,0.102858519375,0.069912519375,True,1.680573403755865e-06,True,C02,1.0,0.24,0.1028582442907003,0.0699141772819918,0.7617187499999999,2.53356963734568e-05,True,0.6625568776804702,False,1.0,0.24,0.6625551971070665
1.0,0.245,1.0,0.245,0.1073227166314896,0.0668912242537501,0.107317724375,0.066891254375,True,4.99234735846142e-06,True,C02,1.0,0.245,0.1073227166314896,0.0668912242537501,0.7614583333333332,1e-06,True,0.6575467338057563,False,1.0,0.245,0.6575417414583978
1.0,0.26,1.0,0.26,0.1193784584953749,0.0579073250083236,0.119380005625,0.057908728,True,2.088539135588118e-06,True,C02,1.0,0.26,0.1193784584953749,0.0579073250083236,0.7614583333333332,3.823958333333333e-05,True,0.6446823998837359,False,1.0,0.26,0.6446803113446002
1.0,0.265,1.0,0.265,0.1230278287323319,0.0549398320238557,0.123021534375,0.0549398583333333,True,6.2944123165019505e-06,True,C02,1.0,0.265,0.1230278287323319,0.0549398320238557,0.7614583333333332,3.3981770833333346e-05,True,0.6407871421908343,False,1.0,0.265,0.6407808477785178
1.0,0.27,1.0,0.27,0.1265216952031328,0.051985341826045,0.1265172218749999,0.0519836096249999,True,4.796997503165468e-06,True,C02,1.0,0.27,0.1265216952031328,0.051985341826045,0.7614583333333332,1.7705729166666663e-05,True,0.6370597849822092,False,1.0,0.27,0.637054987984706
1.0,0.275,1.0,0.275,0.1298736305102899,0.0490435280560056,0.1298709324999999,0.049047765,True,5.023042298917602e-06,True,C02,1.0,0.275,0.1298736305102899,0.0490435280560056,0.7614583333333332,1e-06,True,0.6334859164955414,False,1.0,0.275,0.6334808934532425
1.0,0.28,1.0,0.28,0.1330953299345456,0.0461140721276878,0.1330979262499999,0.046117983,True,4.694227964274769e-06,True,C02,1.0,0.28,0.1330953299345456,0.0461140721276878,0.7614583333333332,3.604340277777778e-05,True,0.6300501954380449,False,1.0,0.28,0.6300455012100806
1.0,0.29,1.0,0.29,0.1391874590368678,0.040290999984792,0.1391827787499999,0.04028890125,True,5.129305303152888e-06,True,C02,1.0,0.29,0.1391874590368678,0.040290999984792,0.7614583333333332,1.976736111111111e-05,True,0.6235726206102367,False,1.0,0.29,0.6235674913049335
1.0,0.305,1.0,0.305,0.1475665612791113,0.0316415687502149,0.1475659858333333,0.031641524625,True,5.771350604567831e-07,True,C02,1.0,0.305,0.1475665612791113,0.0316415687502149,0.7614583333333332,1e-06,True,0.6147066238350697,False,1.0,0.305,0.6147060467000093
1.0,0.32,1.0,0.32,0.1551827691540694,0.0230876654706422,0.15518409375,0.0230854046666666,True,2.6202650620620513e-06,True,C02,1.0,0.32,0.1551827691540694,0.0230876654706422,0.7617187499999999,1e-06,True,0.6069751973378223,False,1.0,0.32,0.6069725770727603
1.0,0.335,1.0,0.335,0.1621619650587023,0.0146222731676132,0.1621618875,0.01462355265625,True,1.2818371675094916e-06,True,C02,1.0,0.335,0.1621619650587023,0.0146222731676132,0.7617187499999999,1.2601200810185188e-05,True,0.5997347587760135,False,1.0,0.335,0.5997334769388459
1.0,0.35,1.0,0.35,0.1685999676593348,0.0062388836682454,0.168601444375,0.0062387956896809,True,1.479334101425654e-06,True,C02,1.0,0.35,0.1685999676593348,0.0062388836682454,0.7617187499999999,7.326557677469135e-06,True,0.593151517126354,False,1.0,0.35,0.5931500377922526
1.05,0.21,1.05,0.21,0.1362174367641526,0.0836991521051234,0.136219836875,0.08369677975,True,3.3747001216821016e-06,True,C02,1.05,0.21,0.1362174367641526,0.0836991521051234,0.7614583333333332,1e-06,True,0.6308181666759807,False,1.05,0.21,0.630814791975859
1.05,0.23,1.05,0.23,0.1502849463910669,0.0717284575596431,0.150285909375,0.0717293083333333,True,1.2849723449637865e-06,True,C02,1.05,0.23,0.1502849463910669,0.0717284575596431,0.7614583333333332,1e-06,True,0.6153679688401498,False,1.05,0.23,0.6153666838678048
1.05,0.245,1.05,0.245,0.1594993604264298,0.0628719847849637,0.15950253125,0.062871108125,True,3.2897803582202374e-06,True,C02,1.05,0.245,0.1594993604264298,0.0628719847849637,0.7614583333333332,1.2171874999999996e-05,True,0.6052321547490763,False,1.05,0.245,0.6052288649687181
1.05,0.255,1.05,0.255,0.1651339951439308,0.0570224832728613,0.16513496875,0.0570210383333333,True,1.7423429678396635e-06,True,C02,1.05,0.255,0.1651339951439308,0.0570224832728613,0.7617187499999999,2.390400752314816e-05,True,0.5993014331410723,False,1.05,0.255,0.5992996907981045
1.05,0.27,1.05,0.27,0.1729450620904541,0.0483265652104133,0.172941719375,0.0483241333333333,True,4.133735930044074e-06,True,C02,1.05,0.27,0.1729450620904541,0.0483265652104133,0.7614583333333332,1.7705729166666663e-05,True,0.5904926894834291,False,1.05,0.27,0.5904885557474991
1.05,0.28,1.05,0.28,0.1777806205260977,0.0425793352053555,0.1777801158333333,0.04257541875,True,3.948839999039826e-06,True,C02,1.05,0.28,0.1777806205260977,0.0425793352053555,0.7614583333333332,1.0110243055555554e-05,True,0.585227999451305,False,1.05,0.28,0.585224050611306
1.05,0.295,1.05,0.295,0.184552498864206,0.0340299881358211,0.1845478562499999,0.034031443,True,4.865233442060572e-06,True,C02,1.05,0.295,0.184552498864206,0.0340299881358211,0.7617187499999999,1e-06,True,0.5781685338062719,False,1.05,0.295,0.5781636685728299
1.05,0.31,1.05,0.31,0.1908199984534699,0.0255623444256405,0.190825795625,0.025558329,True,7.052009701052801e-06,True,C02,1.05,0.31,0.1908199984534699,0.0255623444256405,0.7614583333333332,1e-06,True,0.5712105492402161,False,1.05,0.31,0.571203497230515
1.05,0.325,1.05,0.325,0.1966506428787071,0.0171720129635716,0.1966501812499999,0.0171716718333333,True,5.739955599115145e-07,True,C02,1.05,0.325,0.1966506428787071,0.0171720129635716,0.7617187499999999,8.758246527777777e-06,True,0.5653287034974636,False,1.05,0.325,0.5653281295019037
1.05,0.34,1.05,0.34,0.2020995788393004,0.0088548349733682,0.2021015543749999,0.0088525137293945,True,3.0481002092172228e-06,True,C02,1.05,0.34,0.2020995788393004,0.0088548349733682,0.7617187499999999,7.871202256944448e-06,True,0.5596890971767768,False,1.05,0.34,0.5596860490765676
1.05,0.355,1.05,0.355,0.207214037919543,0.0006067672856304,0.2072095787499999,0.0006074204222005,True,4.5067483170452165e-06,True,C02,1.05,0.355,0.207214037919543,0.0006067672856304,0.7615885416666666,3.900300202546297e-06,True,0.5543748315476377,False,1.05,0.355,0.5543703247993206
1.1,0.21,1.1,0.21,0.1790964847299399,0.0754917222519709,0.1790969306249999,0.0754874083333333,True,4.336901707025139e-06,True,C02,1.1,0.21,0.1790964847299399,0.0754917222519709,0.7614583333333332,1.0110243055555554e-05,True,0.5872331704359233,False,1.1,0.21,0.5872288335342163
