grid_index,i_cr,i_ci,Mach,alpha,cr_center,ci_center,cr_target,ci_target,cr_pinn,ci_pinn,cr_failure_reference,ci_failure_reference,status,technical_success,root_class,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,distance_target,distance_failure,error,seconds
237,12,9,1.15,0.06,0.06,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.030029296875000007,0.11668229166666666,0.0008068530038014448,2.4849241773978313e-21,0.0008068530038014448,0.08842038721012527,0.0333979338617166,,25.693492172053084
238,13,9,1.15,0.06,0.065,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.03502929687500002,0.12201562499999997,0.0009272712336766702,2.6800558201040038e-21,0.0009272712336766702,0.08535109663247542,0.040312237395987896,,25.661795828025788
239,14,9,1.15,0.06,0.07,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.04002929687500002,0.12801562499999997,0.001042236114123925,2.8784149430395577e-21,0.001042236114123925,0.08223213177833905,0.04770509587686084,,25.61321253294591
240,15,9,1.15,0.06,0.075,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.045029296874999986,0.12998437500000004,0.0011554211635346572,2.979692259302324e-21,0.0011554211635346572,0.08311711944391016,0.052982312595176384,,25.68419966008514
241,16,9,1.15,0.06,0.08,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.05002929687499999,0.12998437500000004,0.001276918245352754,3.0385470320500887e-21,0.001276918245352754,0.085928741052692,0.05729239405613093,,25.697221920941956
242,17,9,1.15,0.06,0.085,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.05502929687500001,0.12998437500000004,0.00140723876934895,3.1035166380165688e-21,0.00140723876934895,0.08893279222619724,0.06170665592489183,,25.0738235990284
243,18,9,1.15,0.06,0.09,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.06002929687500001,0.12998437500000004,0.0015461299828397165,3.1788309172294774e-21,0.0015461299828397165,0.09211044743890531,0.06620426235661106,,21.61249779094942
244,19,9,1.15,0.06,0.095,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.06502929687500003,0.12998437500000004,0.0016933554427384,3.251198085070114e-21,0.0016933554427384,0.09544436872672327,0.07076932473136219,,21.65874901006464
245,20,9,1.15,0.06,0.1,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.07002929687500004,0.12998437500000004,0.0018486784649431468,3.3262235583613166e-21,0.0018486784649431468,0.09891875714893551,0.0753895900750428,,21.66681492701173
246,21,9,1.15,0.06,0.105,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.07502929687500001,0.12998437500000004,0.0020118522183811423,3.4087910024039855e-21,0.0020118522183811423,0.10251933237266739,0.08005550112536296,,21.74759791290853
247,22,9,1.15,0.06,0.11,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.08002929687500002,0.12998437500000004,0.0021826139626405405,3.492475691214057e-21,0.0021826139626405405,0.10623326458499154,0.08475951999146167,,21.801344502018765
248,23,9,1.15,0.06,0.115,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.08502929687500002,0.12998437500000004,0.0023606818307586883,3.5689991433250215e-21,0.0023606818307586883,0.11004907768187877,0.08949563787097665,,21.819380183005705
249,24,9,1.15,0.06,0.12,0.11399999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.09002929687499997,0.12998437500000004,0.00254575318091915,3.634240972568119e-21,0.00254575318091915,0.1139565377364526,0.09425901636810657,,21.836344046052545
250,0,10,1.15,0.06,0.0,0.12,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,1.007080078125e-05,0.10401562499999996,5.517151507636263e-05,1.8365174911610918e-21,5.517151507636263e-05,0.09583160001304848,0.001950585997752529,,21.57148177002091
251,1,10,1.15,0.06,0.005,0.12,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,9.83344184027778e-06,0.10401562499999996,5.517151459937472e-05,1.8365174911610918e-21,5.517151459937472e-05,0.09583159998839241,0.0019505847867186596,,21.481658360920846
252,2,10,1.15,0.06,0.01,0.12,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,9.918212890625e-06,0.10401562499999996,5.517151467597129e-05,1.8363652441618278e-21,5.517151467597129e-05,0.09583159999713066,0.0019505852159151615,,21.35602257598657
253,3,10,1.15,0.06,0.015,0.12,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,1.007080078125e-05,0.10401562499999996,5.517151507636263e-05,1.8365174911610918e-21,5.517151507636263e-05,0.09583160001304848,0.001950585997752529,,21.380174632999115
254,4,10,1.15,0.06,0.02,0.12,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,9.663899739583331e-06,0.10401562499999996,5.5171514758613573e-05,1.836441366872599e-21,5.5171514758613573e-05,0.09583159997114087,0.0019505839393776493,,21.373713303008117
