alpha,Mach,cr_init,ci_init,cr_final,ci_final,stage1_mismatch,stage2_mismatch,accept,job_id,launch_seed,stem
0.2,1.5,0.4,0.02,0.3827850630380384,0.025627150656721,4.65984459325534e-08,2912.869233118347,False,971721,0.40:0.0200,supersonic_multicandidate_M1500_a0200_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.2,1.5,0.44,0.012,0.3827849882065588,0.0256270336202871,4.7743303149326754e-08,2912.904162065215,False,971722,0.44:0.0120,supersonic_multicandidate_M1500_a0200_sparse_supersonic_expand1_M12to16_core_cr044_ci00120
0.2,1.5,0.36,0.012,0.3827849807234109,0.0256270252391614,5.044788148515054e-08,2912.906484635816,False,971720,0.36:0.0120,supersonic_multicandidate_M1500_a0200_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.225,1.5,0.36,0.012,0.3909952993945869,0.0168455766056018,4.152340509563575e-09,6119.864382180654,False,971724,0.36:0.0120,supersonic_multicandidate_M1500_a0225_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.225,1.5,0.44,0.012,0.3909953407719932,0.0168455766056018,1.2671611435623581e-08,6119.87007947301,False,971726,0.44:0.0120,supersonic_multicandidate_M1500_a0225_sparse_supersonic_expand1_M12to16_core_cr044_ci00120
0.225,1.5,0.4,0.02,0.3909952137785706,0.0168454700015564,5.781431946414032e-08,6119.857875276884,False,971725,0.40:0.0200,supersonic_multicandidate_M1500_a0225_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.25,1.5,0.36,0.012,0.3982562583767237,0.0077922733416111,6.527534981409335e-09,10059.671649223395,False,971728,0.36:0.0120,supersonic_multicandidate_M1500_a0250_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.25,1.5,0.44,0.012,0.3982562997541302,0.0077922733416111,1.50175353203351e-08,10059.679432919247,False,971730,0.44:0.0120,supersonic_multicandidate_M1500_a0250_sparse_supersonic_expand1_M12to16_core_cr044_ci00120
0.25,1.5,0.4,0.02,0.3982562020330216,0.0077924084960668,6.104996580976359e-08,10059.648945879808,False,971729,0.40:0.0200,supersonic_multicandidate_M1500_a0250_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.275,1.5,0.36,0.012,0.3994894826541596,1.366864439365248e-05,1.7520030085076023e-05,13971.440868653606,False,971732,0.36:0.0120,supersonic_multicandidate_M1500_a0275_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.3,1.5,0.36,0.012,0.3990598092335533,8.59996799840426e-06,2.0525274598459935e-05,17093.904789940207,False,971780,0.36:0.0120,supersonic_multicandidate_M1500_a0300_sparse_supersonic_expand1_M12to16_core_cr036_ci00120
0.2,1.6,0.44,0.012,0.4196531935082195,0.0181124288352629,5.4143997578877994e-08,3381.721519911267,False,971786,0.44:0.0120,supersonic_multicandidate_M1600_a0200_sparse_supersonic_expand1_M12to16_core_cr044_ci00120
0.2,1.6,0.4,0.02,0.4196531111935921,0.0181124238215538,8.31602214547097e-08,3381.713001323992,False,971785,0.40:0.0200,supersonic_multicandidate_M1600_a0200_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.225,1.6,0.44,0.012,0.4270124258111908,0.0101898891490481,1.1457545373878136e-08,6148.781962962457,False,973628,0.44:0.0120,supersonic_multicandidate_M1600_a0225_sparse_supersonic_expand1_M12to16_core_cr044_ci00120
0.225,1.6,0.4,0.02,0.4270123681469331,0.0101899761736569,5.224077636466836e-08,6148.768051899467,False,973263,0.40:0.0200,supersonic_multicandidate_M1600_a0225_sparse_supersonic_expand1_M12to16_core_cr040_ci00200
0.25,1.6,0.44,0.012,0.4335653383580177,0.0019464033746004,5.720275976887687e-08,10136.27685951116,False,973902,0.44:0.0120,supersonic_multicandidate_M1600_a0250_sparse_supersonic_expand1_M12to16_core_cr044_ci00120
0.275,1.6,0.44,0.012,0.4389871492961864,1.077516353107508e-05,2.376322786509723e-05,14481.51419609293,False,974268,0.44:0.0120,supersonic_multicandidate_M1600_a0275_sparse_supersonic_expand1_M12to16_core_cr044_ci00120
