dataset,chart,metric,n,stage2_median,stage3_median,ratio_stage3_over_stage2,fraction_improved
V64,C01,bc_q_rmse,7,0.0016142997863799,0.0023641102536981,1.4644803113055382,0.2857142857142857
V64,C02,r_kappa_normalized_rms,10,0.0228135346833691,0.0135992064944322,0.5961025629380405,1.0
V64,C02,r_q_normalized_rms,10,0.016161173433230598,0.0096099959553687,0.5946347890561356,1.0
V64,C02,r_logamp_normalized_rms,10,0.0200000054977177,0.00835699124645485,0.41784944746182734,1.0
V64,C02,bc_kappa_rmse,10,0.0047319583391135,0.00188703559508515,0.39878533576410846,0.8
V64,C02,bc_q_rmse,10,0.0030333877402187502,0.0014482758047851,0.47744499840322385,0.9
V64,C10,r_kappa_normalized_rms,4,0.017177132199345947,0.0083982261990663,0.48891899425365537,1.0
V64,C10,r_q_normalized_rms,4,0.0182745016213973,0.0100029468029566,0.5473717976113953,1.0
V64,C10,r_logamp_normalized_rms,4,0.01162044542110545,0.00658647546123685,0.5668006020900257,1.0
V64,C10,bc_kappa_rmse,4,0.00087521338572245,0.0006668653037713,0.761945960436645,0.75
V64,C10,bc_q_rmse,4,0.0016022051169682,0.0008015286448736501,0.5002659374789392,0.75
V64,C11,r_kappa_normalized_rms,5,0.0135737756958703,0.0086710154067348,0.6388064456798765,1.0
V64,C11,r_q_normalized_rms,5,0.0180261532412622,0.0096826507788521,0.5371445948150675,1.0
V64,C11,r_logamp_normalized_rms,5,0.0120341214168753,0.0059462057844489,0.49411216477429,1.0
V64,C11,bc_kappa_rmse,5,0.0005387628463443,0.0007018244820416,1.302659392353671,0.8
V64,C11,bc_q_rmse,5,0.0005597944101893,0.000285208580262,0.5094880818219565,0.6
V64,C12,r_kappa_normalized_rms,5,0.0199363641197646,0.0115226825420334,0.5779731185091064,1.0
V64,C12,r_q_normalized_rms,5,0.0153209436053264,0.0090236327179365,0.5889736918553365,1.0
V64,C12,r_logamp_normalized_rms,5,0.0091860127976723,0.0073862535710439,0.8040761246180224,1.0
V64,C12,bc_kappa_rmse,5,0.0009331305711747,0.0007115058751132,0.7624933713376243,0.6
V64,C12,bc_q_rmse,5,0.0017073312095987,0.0004511856334746,0.2642636829561904,1.0
V64,C20,r_kappa_normalized_rms,4,0.015831493906754,0.00832665152635615,0.5259548830577417,1.0
V64,C20,r_q_normalized_rms,4,0.0147956984429652,0.00739154161107815,0.4995736862015156,1.0
V64,C20,r_logamp_normalized_rms,4,0.008785314332536851,0.0044700091721257,0.5088046941668094,1.0
V64,C20,bc_kappa_rmse,4,0.0003785463274863,0.0003514835889855,0.9285087807336357,0.25
V64,C20,bc_q_rmse,4,0.00025827160226945,0.00049262811894485,1.9074033483205026,0.25
V64,C21,r_kappa_normalized_rms,5,0.0180837115002896,0.0095718059663909,0.5293053898939725,1.0
V64,C21,r_q_normalized_rms,5,0.0170976552821632,0.0101323802640919,0.5926181161613611,1.0
V64,C21,r_logamp_normalized_rms,5,0.0107984404297244,0.006172880951056,0.5716455993093389,1.0
V64,C21,bc_kappa_rmse,5,0.0015944112661314,0.0006267615428651,0.39309904300026866,1.0
V64,C21,bc_q_rmse,5,0.0030659375973443,0.0003947600459044,0.128756712545728,1.0
V64,C22,r_kappa_normalized_rms,3,0.0336711916195897,0.0218504514104015,0.6489360892618079,1.0
V64,C22,r_q_normalized_rms,3,0.0341197578373912,0.0191500614343193,0.5612601802622734,1.0
V64,C22,r_logamp_normalized_rms,3,0.0114521697462906,0.0104887652396481,0.9158758097386261,1.0
V64,C22,bc_kappa_rmse,3,0.0032932430294835,0.0029063404339305,0.8825162333635365,0.6666666666666666
V64,C22,bc_q_rmse,3,0.0041109005038535,0.0043174895491723,1.0502539638517514,0.3333333333333333
V64,C30,r_kappa_normalized_rms,6,0.01994078730285185,0.01046877839825075,0.5249932331785891,1.0
V64,C30,r_q_normalized_rms,6,0.01781849922363635,0.00959512512896395,0.5384923280315301,1.0
V64,C30,r_logamp_normalized_rms,6,0.0114504337886901,0.00535892447074105,0.4680106072517709,1.0
V64,C30,bc_kappa_rmse,6,0.00060601422678065,0.00062954690032895,1.0388318829960699,0.3333333333333333
V64,C30,bc_q_rmse,6,0.0008531447778276501,0.00048850862269615,0.5725975653745807,0.8333333333333334
V64,C31,r_kappa_normalized_rms,8,0.0184519834186541,0.00878501167418915,0.47610121225818525,1.0
V64,C31,r_q_normalized_rms,8,0.01604065970319535,0.00839080004673055,0.5230956956875705,1.0
V64,C31,r_logamp_normalized_rms,8,0.010756504137444198,0.006918515723591451,0.6431937026368612,1.0
V64,C31,bc_kappa_rmse,8,0.00122321287964825,0.000512298491558,0.41881384678136957,0.875
V64,C31,bc_q_rmse,8,0.00083918836137375,0.00123398529060485,1.4704509111456432,0.125
V64,C32,r_kappa_normalized_rms,2,0.0256812621249895,0.0198451523533113,0.77274832742744,1.0
V64,C32,r_q_normalized_rms,2,0.0205139864729104,0.01564814015510055,0.7628034743887829,1.0
V64,C32,r_logamp_normalized_rms,2,0.012158254775046201,0.0095192771207438,0.7829476595836203,1.0
V64,C32,bc_kappa_rmse,2,0.0042542094026188,0.0006082270670816,0.14297064613396518,1.0
V64,C32,bc_q_rmse,2,0.00222343672664915,0.0005011579472582001,0.22539789023521012,1.0
