alpha,Mach,best_status,y,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,p_real,p_imag
0.1,1.8,validated,-58.387122791311285,0.0965658579085136,0.4501767797516123,0.025015163259104738,0.09449241542417522,-0.04772338102852309,-0.23161498754361998,0.02980427713225727,0.1389434505406211
0.1,1.8,validated,-57.716809124250176,0.1693960941704296,0.4326014146884333,0.04028259835392982,0.0900313102108272,-0.08520250768445697,-0.2228912611458006,0.052282745114330134,0.133518955150751
0.1,1.8,validated,-57.06137598227702,0.23756677929955392,0.40402743628262455,0.05445106614947053,0.0832847720851083,-0.12033423375441665,-0.20849919949747642,0.0733230800307265,0.1246998260131557
0.1,1.8,validated,-56.4203330635658,0.2996081085601279,0.36569109970099006,0.06722133574139895,0.0745297781343208,-0.1523585153572649,-0.1890676333154022,0.09247163844448392,0.11286762336450311
0.1,1.8,validated,-55.79321137215052,0.35433672614606787,0.3189680840393166,0.07835632653329125,0.06406998504235792,-0.18066185008334995,-0.16529819419044728,0.10936318708211971,0.0984469395183076
0.1,1.8,validated,-55.17956207306531,0.40085202249231267,0.2653184223821281,0.0876797680064902,0.05222408813215397,-0.2047756044400343,-0.13793701497081673,0.12371976002849157,0.08188840196979262
0.1,1.8,validated,-54.578955420522206,0.4385246436986137,0.2062375753536106,0.09507326988800739,0.03931556170399333,-0.22437031583236067,-0.10774955306614875,0.13534711225265855,0.06365357264000326
0.1,1.8,validated,-53.99097975374773,0.46697885980517767,0.14321431199043705,0.10047215861881915,0.025663904846517916,-0.23924681209026286,-0.07549888447213003,0.14412927771764747,0.04420194814519662
0.1,1.8,validated,-53.41524055554624,0.48607068689673766,0.07769536930977562,0.10386048168772564,0.011577367551052545,-0.24932512193131942,-0.04192746169850467,0.15002181694343752,0.023980052256103588
0.1,1.8,validated,-52.85135956906667,0.49586322486642,0.011056587534576319,0.10526548677635364,-0.002652921866986994,-0.2546319284243616,-0.00774218604185395,0.15304420520568512,0.00341252701684454
0.1,1.8,validated,-52.29897396861707,0.49660035750693,-0.055419610315542454,0.10475181755737932,-0.016757467438470956,-0.25528715493458726,0.026397268457413192,0.15327171527991665,-0.017104817998624205
0.1,1.8,validated,-51.757735580707646,0.48867992401469534,-0.12056108507713416,0.1024156543811896,-0.030491711933176038,-0.2514902560563746,0.05988722945894421,0.15082713704157263,-0.037210211443559925
0.1,1.8,validated,-51.227310151807586,0.47262719171149875,-0.18331749578689555,0.09837897278333194,-0.04363821126364758,-0.24350664098006294,0.09218605053911913,0.14587259003441316,-0.05657947400830111
