Mach,alpha,rank,selected,status,reason,gep_cr,gep_ci,gep_omega_i,ci_seed_blumen,cr_seed_blumen,gep_score,gep_ci_distance_to_seed,gep_cr_distance_to_seed,gep_p_edge_fraction,gep_rho_edge_fraction,n_finite_modes,cr_seed_used,cr_seed_source,gep_abs_cr_distance_to_seed,gep_abs_ci_distance_to_seed,gep_ci_relative_distance_to_seed,gep_revised_score,ci_min_used,ci_max_used,selection_policy
1.8,0.258,38,False,rejected,rejected_negative_cr_branch,-0.9999906542635087,4.0543796820808166e-06,1.0460299579768507e-06,0.001353700631373911,,0.0053985935334385044,0.0013496462516918303,0.0,1.1368894910648321e-08,1.1368894910648323e-08,251,0.4444444444444444,asymptotic_fallback,1.4444350987079533,0.0013496462516918303,0.9970049658040228,1.3192267218763098,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,39,False,rejected,rejected_by_ci_window,0.9999951416107191,2.1419326572198635e-06,5.526186255627248e-07,0.001353700631373911,,0.005406244561568832,0.0013515586987166912,0.0,1.3022269424121856e-08,1.3022269424121856e-08,251,0.4444444444444444,asymptotic_fallback,0.5555506971662747,0.0013515586987166912,0.998417720574566,1.2761952567351067,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,40,False,rejected,rejected_negative_cr_branch,-0.9999951416107206,2.141932656386915e-06,5.52618625347824e-07,0.001353700631373911,,0.005406244938517394,0.001351558698717524,0.0,1.3524863064049503e-08,1.35248630640495e-08,251,0.4444444444444444,asymptotic_fallback,1.4444395860551649,0.001351558698717524,0.9984177205751813,1.3206397012304258,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,41,False,rejected,rejected_negative_cr_branch,-0.9999976050256828,1.0668779349115471e-06,2.7525450720717915e-07,0.001353700631373911,,0.005410546276317036,0.0013526337534389996,0.0,1.5016748049745395e-08,1.5016748049745392e-08,251,0.4444444444444444,asymptotic_fallback,1.444442049470127,0.0013526337534389996,0.9992118804481692,1.3214339844233502,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,42,False,rejected,rejected_by_ci_window,0.9999976050256466,1.0668779408897502e-06,2.752545087495556e-07,0.001353700631373911,,0.005410546372059874,0.0013526337534330213,0.0,1.5144437052120353e-08,1.5144437052120353e-08,251,0.4444444444444444,asymptotic_fallback,0.5555531605812022,0.0013526337534330213,0.999211880443753,1.2769895399872568,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,43,False,rejected,rejected_by_ci_window,0.9999988882122296,4.963849771199111e-07,1.2806732409693709e-07,0.001353700631373911,,0.005412830662378921,0.0013532042463967912,0.0,1.8235722342127598e-08,1.8235722342127598e-08,251,0.4444444444444444,asymptotic_fallback,0.5555544437677852,0.0013532042463967912,0.9996333125909707,1.277411036602932,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,44,False,rejected,rejected_negative_cr_branch,-0.99999888821226,4.963849700956901e-07,1.2806732228468805e-07,0.001353700631373911,,0.005412831090900185,0.0013532042464038153,0.0,1.880704656481047e-08,1.8807046564810462e-08,251,0.4444444444444444,asymptotic_fallback,1.4444433326567045,0.0013532042464038153,0.9996333125961595,1.3218554811096994,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,45,False,rejected,rejected_by_ci_window,0.9999995179485892,2.1323727351478655e-07,5.501521656681493e-08,0.001353700631373911,,0.005413964743314354,0.0013534873941003962,0.0,2.022255035849237e-08,2.0222550358492372e-08,251,0.4444444444444444,asymptotic_fallback,0.5555550735041448,0.0013534873941003962,0.999842478263973,1.2776202339614353,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,46,False,rejected,rejected_negative_cr_branch,-0.9999995179485514,2.1323725014750465e-07,5.50152105380562e-08,0.001353700631373911,,0.005413967060538861,0.0013534873941237636,0.0,2.3312058408538624e-08,2.3312058408538627e-08,251,0.4444444444444444,asymptotic_fallback,1.4444439623929957,0.0013534873941237636,0.9998424782812348,1.3220646787320904,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
1.8,0.258,47,False,rejected,rejected_by_ci_window,0.9999998066835394,8.331129071930691e-08,2.1494313005581184e-08,0.001353700631373911,,0.005414491109066206,0.0013536173200831918,0.0,2.9104977917939595e-08,2.9104977917939598e-08,251,0.4444444444444444,asymptotic_fallback,0.555555362239095,0.0013536173200831918,0.9999384566359885,1.277716227658441,6.768503156869556e-05,0.010829605050991288,ci_first_cr_soft_penalty
