source_path,experiment,anchor_budget,chart,seed,checkpoint_type,size_bytes,sha256,used_by_final_results,used_by_article,duplicate_of,proposed_destination,classification,canonical_destination,migration_status,sha256_destination
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_5000.pt,near_neutral,,,,periodic_epoch,225492,b3f9b97eac1ef7b4cd3bd005a54b3f3df0019ef2cfd9c3361cc11bc605fa9bb5,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_5000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/checkpoint_epoch_5000.pt,GIT_MV,b3f9b97eac1ef7b4cd3bd005a54b3f3df0019ef2cfd9c3361cc11bc605fa9bb5
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/model_best.pt,near_neutral,,,,model_best,225250,66091a16552f2b4af0612a86e09c4b4ab299116100eb553fd508db7f4f02c8f6,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/model_best.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0005_jz_neutral/model_best.pt,GIT_MV,66091a16552f2b4af0612a86e09c4b4ab299116100eb553fd508db7f4f02c8f6
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_1000.pt,near_neutral,,,,periodic_epoch,225492,860588815b591d6d4e5e8cdcb6d83d790c4b264e58a8af87383394c1f3e62efd,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_1000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_1000.pt,GIT_MV,860588815b591d6d4e5e8cdcb6d83d790c4b264e58a8af87383394c1f3e62efd
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_1500.pt,near_neutral,,,,periodic_epoch,225492,3c6b58d2661c28e054226841bfe6b825514fa4885d0f0386c51163ebb0afb14e,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_1500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_1500.pt,GIT_MV,3c6b58d2661c28e054226841bfe6b825514fa4885d0f0386c51163ebb0afb14e
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_2000.pt,near_neutral,,,,periodic_epoch,225492,2b2f423068cab6e8fb469c5bcc9ea9b704ef55ccc92f3063f3784e36ff0e1115,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_2000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_2000.pt,GIT_MV,2b2f423068cab6e8fb469c5bcc9ea9b704ef55ccc92f3063f3784e36ff0e1115
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_2500.pt,near_neutral,,,,periodic_epoch,225492,143f1babbf3ddb860784a83a92b869ce2b98f7089db16f8284a4b78b3f51b705,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_2500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_2500.pt,GIT_MV,143f1babbf3ddb860784a83a92b869ce2b98f7089db16f8284a4b78b3f51b705
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_3000.pt,near_neutral,,,,periodic_epoch,225492,f16076ccc4cdfb4599703693741d84ddd35c29f52ebf5abde020187f406771f6,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_3000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_3000.pt,GIT_MV,f16076ccc4cdfb4599703693741d84ddd35c29f52ebf5abde020187f406771f6
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_3500.pt,near_neutral,,,,periodic_epoch,225492,371be86d4e4dabae6d103588eb164aee37b3e0432f7c39803c41614e710f40c4,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_3500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_3500.pt,GIT_MV,371be86d4e4dabae6d103588eb164aee37b3e0432f7c39803c41614e710f40c4
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_4000.pt,near_neutral,,,,periodic_epoch,225492,4f86bfb88e0441ca830bac7fcc655f64be0af6735fe234612dec9dbd571fb208,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_4000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_4000.pt,GIT_MV,4f86bfb88e0441ca830bac7fcc655f64be0af6735fe234612dec9dbd571fb208
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_4500.pt,near_neutral,,,,periodic_epoch,225492,7fc12bfad4c29662e9c88290cfbad92f0b29ef46163a66707625ff4a4e137b0e,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_4500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_4500.pt,GIT_MV,7fc12bfad4c29662e9c88290cfbad92f0b29ef46163a66707625ff4a4e137b0e
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_500.pt,near_neutral,,,,periodic_epoch,225470,f06f53d0c99c2979b09df6001a5dd7b823241579c2bfce706f56f3978f8201c1,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_500.pt,GIT_MV,f06f53d0c99c2979b09df6001a5dd7b823241579c2bfce706f56f3978f8201c1
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_5000.pt,near_neutral,,,,periodic_epoch,225492,63d96fc10823992f30029c9693eea3e37b8d5365ee3d258b8de8a696f07b3a64,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_5000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/checkpoint_epoch_5000.pt,GIT_MV,63d96fc10823992f30029c9693eea3e37b8d5365ee3d258b8de8a696f07b3a64
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/model_best.pt,near_neutral,,,,model_best,225250,148677720838965e5d07fb5336109ac6e2de8f27bdb90ac15e074707b2eea66c,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/model_best.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0007_jz_neutral/model_best.pt,GIT_MV,148677720838965e5d07fb5336109ac6e2de8f27bdb90ac15e074707b2eea66c
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0008_jz_neutral/checkpoint_epoch_1000.pt,near_neutral,,,,periodic_epoch,225492,bda63fa0a6c83ed99579d0c11c1d61b4baac13ee72d018b6aa785ff601ef913f,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0008_jz_neutral/checkpoint_epoch_1000.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0008_jz_neutral/checkpoint_epoch_1000.pt,GIT_MV,bda63fa0a6c83ed99579d0c11c1d61b4baac13ee72d018b6aa785ff601ef913f
archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0008_jz_neutral/checkpoint_epoch_1500.pt,near_neutral,,,,periodic_epoch,225492,c53690a6cbab43a358bc3cfc54dd6929fbd7ac3539ecba9ed5ddfcbf0350c5d2,false,false,,models_saved/archive/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0008_jz_neutral/checkpoint_epoch_1500.pt,ARCHIVE,models_saved/archive/old_runs/subsonique_pinn/kh_subsonic_2d_local_m0008_jz_neutral/checkpoint_epoch_1500.pt,GIT_MV,c53690a6cbab43a358bc3cfc54dd6929fbd7ac3539ecba9ed5ddfcbf0350c5d2
