source_path,destination_path,category,subcategory,experiment,file_type,git_tracked,required_for_article,required_for_reproduction,anchor_budget,action,dependency_reason,notes,layer,scope_group,size_bytes,content_sha256,duplicate_of,refinement_reason,actual_destination,migration_status,sha256_source,sha256_destination,validation_status
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200.png,pinn_subsonic,scientific_figure,subsonic_general,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,211655,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200.png,KEEP_IN_PLACE,1b815edcfcfeb2dbcccc7a2b16b64bbe8440ff396670705e7a36fe043ef33bc7,1b815edcfcfeb2dbcccc7a2b16b64bbe8440ff396670705e7a36fe043ef33bc7,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200_attempts.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,4629,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200_attempts.csv,KEEP_IN_PLACE,43db34de89d9131fc84e308242466582de3dc53512ba043e3a58f27d204da684,43db34de89d9131fc84e308242466582de3dc53512ba043e3a58f27d204da684,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200_summary.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200_summary.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,1334,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_highalpha_w03_mach_1.200_summary.csv,KEEP_IN_PLACE,5f8dfa9bda40690fed9a39bb9cf9d8e0cbc55afb7d58816a7ec297e51f1417b5,5f8dfa9bda40690fed9a39bb9cf9d8e0cbc55afb7d58816a7ec297e51f1417b5,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200.png,pinn_subsonic,scientific_figure,subsonic_general,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,214379,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200.png,KEEP_IN_PLACE,533c09625ebe3c9829632c3869644b660519975f93c9160767c506564cee2626,533c09625ebe3c9829632c3869644b660519975f93c9160767c506564cee2626,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200_attempts.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,5448,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200_attempts.csv,KEEP_IN_PLACE,1ddf4aff316c2a549bce232113ea008c44975d7c1644969edd8c4832c08d6e1b,1ddf4aff316c2a549bce232113ea008c44975d7c1644969edd8c4832c08d6e1b,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200_summary.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200_summary.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,1328,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_mach_1.200_summary.csv,KEEP_IN_PLACE,acd8c459cbaa01e3880aa9d34334754f39e1d0a8413695091c9aecc1303d5a3f,acd8c459cbaa01e3880aa9d34334754f39e1d0a8413695091c9aecc1303d5a3f,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200.png,pinn_subsonic,scientific_figure,subsonic_general,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,214614,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200.png,KEEP_IN_PLACE,a470558e07829462ae5807f0d40e49264eca2721fcff2849793a6e185f0f7bd5,a470558e07829462ae5807f0d40e49264eca2721fcff2849793a6e185f0f7bd5,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200_attempts.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,6750,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200_attempts.csv,KEEP_IN_PLACE,d06c47e53684c5c034665d0bbbac801c160321088812f84b57f57da53bc5a8d0,d06c47e53684c5c034665d0bbbac801c160321088812f84b57f57da53bc5a8d0,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200_summary.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200_summary.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,1588,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_m120_w04_mach_1.200_summary.csv,KEEP_IN_PLACE,3df6cd4f21901fc03d00ba05d938aff817c5d73f15dfe8b514f9c141c4e7d3fb,3df6cd4f21901fc03d00ba05d938aff817c5d73f15dfe8b514f9c141c4e7d3fb,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100.png,pinn_subsonic,scientific_figure,subsonic_general,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,210354,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100.png,KEEP_IN_PLACE,117122d2fbc514c58ee1493f71f3f0ae23f46287bc1d8c9a9f78c85a3210c3eb,117122d2fbc514c58ee1493f71f3f0ae23f46287bc1d8c9a9f78c85a3210c3eb,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100_attempts.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,3287,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100_attempts.csv,KEEP_IN_PLACE,0601575f256d3992c137cb1d1cd8419f0f4eb87d0bc99a3f641697f6b0a7f9e3,0601575f256d3992c137cb1d1cd8419f0f4eb87d0bc99a3f641697f6b0a7f9e3,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100_summary.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100_summary.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,1343,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_blended_mach_1.100_summary.csv,KEEP_IN_PLACE,a84d141b03ade3be368169449039c3354ad2de015c653070941d52e62a793d57,a84d141b03ade3be368169449039c3354ad2de015c653070941d52e62a793d57,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200.png,pinn_subsonic,scientific_figure,atlas_overlap,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,182697,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200.png,KEEP_IN_PLACE,ede69a53e06513d50447cc7bdc2d98438c6487a0cc7a75ef1e3df0a74780e0e2,ede69a53e06513d50447cc7bdc2d98438c6487a0cc7a75ef1e3df0a74780e0e2,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200_attempts.csv,pinn_subsonic,scientific_data,atlas_overlap,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,4896,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200_attempts.csv,KEEP_IN_PLACE,6f26fb2b7ba34271fa26fd567572d745ef6b02a17fe02343efe3fcd3a919ca27,6f26fb2b7ba34271fa26fd567572d745ef6b02a17fe02343efe3fcd3a919ca27,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200_summary.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200_summary.csv,pinn_subsonic,scientific_data,atlas_overlap,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,1416,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_mach_1.200_summary.csv,KEEP_IN_PLACE,662096ee900a8cdb585349ba44e8a97a0179662cf2a62f81f2a6eda1fab72723,662096ee900a8cdb585349ba44e8a97a0179662cf2a62f81f2a6eda1fab72723,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200.png,pinn_subsonic,scientific_figure,atlas_overlap,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,182697,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200.png,KEEP_IN_PLACE,ede69a53e06513d50447cc7bdc2d98438c6487a0cc7a75ef1e3df0a74780e0e2,ede69a53e06513d50447cc7bdc2d98438c6487a0cc7a75ef1e3df0a74780e0e2,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200_attempts.csv,pinn_subsonic,scientific_data,atlas_overlap,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,4896,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200_attempts.csv,KEEP_IN_PLACE,a328c1ad7e48c629582347fa0927a39c97f9cdf30815e3a765ec9dfccec385fa,a328c1ad7e48c629582347fa0927a39c97f9cdf30815e3a765ec9dfccec385fa,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200_summary.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200_summary.csv,pinn_subsonic,scientific_data,atlas_overlap,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,1416,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_overlap_m120_v2_mach_1.200_summary.csv,KEEP_IN_PLACE,d72f5f894ba98607953eaee129ef41ed8e81b156cf38432b389173a55257cf7c,d72f5f894ba98607953eaee129ef41ed8e81b156cf38432b389173a55257cf7c,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200.png,pinn_subsonic,scientific_figure,subsonic_general,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,223787,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200.png,KEEP_IN_PLACE,8b554a7e3f5b1f1c641ebaeca9443089727f01172801d8814ae71216c6d100de,8b554a7e3f5b1f1c641ebaeca9443089727f01172801d8814ae71216c6d100de,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200_attempts.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,2023,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200_attempts.csv,KEEP_IN_PLACE,d76558fdff76b8cceaef023ac833d1017400561ffc79209a7c2fef7df06e8c6a,d76558fdff76b8cceaef023ac833d1017400561ffc79209a7c2fef7df06e8c6a,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200_summary.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200_summary.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,1417,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m120_mach_1.200_summary.csv,KEEP_IN_PLACE,c54e06128c847449403c1761964dd9362102726ed001430074f2a133adc39c2c,c54e06128c847449403c1761964dd9362102726ed001430074f2a133adc39c2c,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300.png,pinn_subsonic,scientific_figure,subsonic_general,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,224916,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300.png,KEEP_IN_PLACE,88bb65041033d5106b5437231320a5fd3d6827386a9cc2c9e5f3811e3ae37019,88bb65041033d5106b5437231320a5fd3d6827386a9cc2c9e5f3811e3ae37019,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300_attempts.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,3150,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300_attempts.csv,KEEP_IN_PLACE,bc09d1ae566b2569ea87634c02135081b6143f1f7dace2eacd3dfdd7e6ea3ba0,bc09d1ae566b2569ea87634c02135081b6143f1f7dace2eacd3dfdd7e6ea3ba0,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300_summary.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300_summary.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,1670,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m130_mach_1.300_summary.csv,KEEP_IN_PLACE,c6a10b857e8250c183bc281142d026fcfc377f077993ab7bdf84a081b390d5f6,c6a10b857e8250c183bc281142d026fcfc377f077993ab7bdf84a081b390d5f6,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m140_mach_1.400.png,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m140_mach_1.400.png,pinn_subsonic,scientific_figure,subsonic_general,png,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,215403,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m140_mach_1.400.png,KEEP_IN_PLACE,7c301b847f71fd4ea201877d7a44c3e357a3c8f23978e79a5db8b5c65004decf,7c301b847f71fd4ea201877d7a44c3e357a3c8f23978e79a5db8b5c65004decf,SHA256_OK
archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m140_mach_1.400_attempts.csv,archive/archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m140_mach_1.400_attempts.csv,pinn_subsonic,scientific_data,subsonic_general,csv,true,false,false,,ARCHIVE,name/content/dependency audit match,,ARCHIVE,obsolete development outputs,4653,,,second-pass scope classification,archive/old_assets/assets_snapshot_2026-04-08/blumen_gep/adaptive_continuation_sweep_gep_pin3_xi099_m140_mach_1.400_attempts.csv,KEEP_IN_PLACE,ad77813eb1261ba46fa63777d78dc8a0afea6be13895dbe1a405405f96c4f898,ad77813eb1261ba46fa63777d78dc8a0afea6be13895dbe1a405405f96c4f898,SHA256_OK
