article_label,filename,canonical_source,plot_script,source_data,sha256,notes
Main 13,Fig_supersonic_modal_overlay_M140_a018_imag.png,assets/article_sources/Fig_supersonic_modal_overlay_M140_a018_imag.png,NO_SCRIPT_FOUND,assets/pinn_supersonic/png/modal_reconstruction/p3-supersonic-results,841988b8187bbee76f194b3b61e66b4ee79cf977d9e2657f4a21bcff559fd6f4,"Imaginary modal overlay at M=1.40, alpha=0.18."
Main 14,Fig_supersonic_computational_cost_and_robustness.png,assets/article_sources/Fig_supersonic_computational_cost_and_robustness.png,code/scripts/data_preparation/prepare_build_computational_cost_asset_N76.py,experiments/computational_cost,db480e1cf10b498e3ad051dbb7fcb947c3e093617afe5b4cf18612049512899a,Computational cost and robustness summary.
Supplementary S2a,Fig_S2a_blumen_pointwise_delta_ci.png,assets/article_sources/Fig_S2a_blumen_pointwise_delta_ci.png,NO_SCRIPT_FOUND,article/tables/table_Tab_supersonic_blumen_pointwise_errors.csv,ca4845957d45377d87720a1e235175837562dafe5634950281aeecceda8aa49a,Blumen pointwise delta c_i.
Supplementary S2b,Fig_S2b_blumen_fixedM_delta_alpha.png,assets/article_sources/Fig_S2b_blumen_fixedM_delta_alpha.png,NO_SCRIPT_FOUND,article/tables/table_Tab_supersonic_blumen_pointwise_2panel_summary.csv,a0cbb63a552dcbd7bfa92fd4c91ded18fad59152c67f4d0e56a83d47db8d83ac,Blumen fixed-M delta alpha; PNG rendered from authoritative PDF.
Supplementary S4a,Fig_S4a_spectral_integration_convergence.png,assets/article_sources/Fig_S4a_spectral_integration_convergence.png,NO_SCRIPT_FOUND,article/tables/table_Tab_supersonic_eigenvalue_convergence.csv,4d97b3d83392cf5d29842592e5a7ce2a36e1694c863eec3f356487271199c00b,Spectral integration convergence.
Supplementary S4b,Fig_S4b_spectral_box_convergence.png,assets/article_sources/Fig_S4b_spectral_box_convergence.png,NO_SCRIPT_FOUND,article/tables/table_Tab_supersonic_box_and_matching_robustness.csv,2a87a2fada05a62496fc7c54ed954b7235cbe64330f3e652d9f40eb131eb54b2,Spectral box convergence.
Supplementary S4c,Fig_S4c_matching_location_sensitivity.png,assets/article_sources/Fig_S4c_matching_location_sensitivity.png,NO_SCRIPT_FOUND,experiments/classical_convergence/legacy_outputs/convergence_tables/table_matching_location_summary.csv,0f4ce3b728ba5ade4fc911fb6023517b58632fa0cb6012a3ba4dc9fb984591ee,Matching-location sensitivity; PNG rendered from authoritative PDF.
Supplementary S4d,Fig_S4d_modal_convergence.png,assets/article_sources/Fig_S4d_modal_convergence.png,NO_SCRIPT_FOUND,experiments/modal_reconstruction/legacy_outputs/convergence_tables/table_modal_convergence_errors.csv,d4c1e06b24b28cd71ed408a26f899a9913e6f30ecdfbfa82db6e9063bd9b3c83,Modal convergence; PNG rendered from authoritative PDF.
Supplementary S5,Fig_independent_physics_residual_audit.png,assets/article_sources/Fig_independent_physics_residual_audit.png,scripts/article/build_independent_physics_residual_audit.py,results/physics_residual_audit,5dba143b6401ebe7002772a05949017fed3d8846a8432aed891f72c60f693a3a,Independent physics-residual audit.
Supplementary S6,Fig_multiseed_physics_vs_anchors_ablation.png,assets/article_sources/Fig_multiseed_physics_vs_anchors_ablation.png,scripts/article/build_multiseed_physics_vs_anchors_ablation.py,results/multiseed_ablation,5a7debe415c4ac402fcaba7a0866fc9cc0e666f6cf56d0ac431453c9663a6b68,Multiseed physics-informed versus anchors-only ablation.
Supplementary S7a,Fig_routing_boundary_discontinuity.png,assets/article_sources/Fig_routing_boundary_discontinuity.png,scripts/article/build_routing_boundary_discontinuity.py,results/routing_audit,a275a21993a48978bc2c49294059c941f9ae0168caa98d6cf37cc6f050430dfe,Routing-boundary discontinuity audit.
Supplementary S7b,Fig_S7_interchart_mismatch.png,assets/article_sources/Fig_S7_interchart_mismatch.png,NO_SCRIPT_FOUND,article/tables/table_S7_interchart_delta_c_by_pair.csv,51cffa1bfdd436dea31ed22ffb5263ba538b1d5a1ad9e192e4a251cad3fefaf0,Inter-chart mismatch.
Supplementary S8,Fig_COST500_threshold_sensitivity.png,assets/article_sources/Fig_COST500_threshold_sensitivity.png,scripts/article/build_COST500_threshold_sensitivity.py,results/threshold_sensitivity,37ca98119e1c49b5f7bfe416429f0bfe299b07ab2aed1b82f6ea16cca48708d7,COST500 threshold sensitivity.
