task_id,convergence_point_id,selection_stratum,chart_id,checkpoint,Mach,eta,alpha,N,mapping_kind,mapping_scale,xi_max,convergence_regime,technical_success,reference_success,selection_source,error,field_family,ci_pinn,ci_classic,selected_raw_index,selected_cr,selected_ci,selected_omega_i,selected_p_overlap_pinn,selected_q_overlap_pinn,selected_combined_overlap_pinn,ci_abs_err_classic,profile_path,p_rel_classic,rho_rel_classic,u_rel_classic,v_rel_classic,p_overlap_classic,N_finest,ci_finest,omega_finest,ci_delta_to_finest,omega_delta_to_finest,p_rel_to_finest,p_overlap_to_finest,rho_rel_to_finest,rho_overlap_to_finest,u_rel_to_finest,u_overlap_to_finest,v_rel_to_finest,v_overlap_to_finest,modal_rel_max_to_finest
10,CONV_02,longwave_mid_Mach,ETAEDGE_MM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_MM/model_state.pt,0.5,0.055,0.0476313972081441,401,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.7407277389672948,0.7406473035854076,785,1.1071869795130863e-14,0.7407758661029942,0.0352841895205586,0.9914911359023698,0.8311508649976302,0.9514060681761848,0.0001285625175865,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_02__N401.npz,1.0530126886163264e-05,1.0530126886163264e-05,0.0004775131182332,0.0001141971041098,0.999999999944558,501,0.7407257459878652,0.0352818022294468,5.012011512894876e-05,2.387291111793921e-06,4.479601349653201e-06,0.9999999999899666,4.479601349653201e-06,0.9999999999899666,0.0002445648455118426,0.9999999709038578,5.018046398149654e-05,0.9999999987488735,0.0002445648455118426
11,CONV_02,longwave_mid_Mach,ETAEDGE_MM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_MM/model_state.pt,0.5,0.055,0.0476313972081441,501,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.7407277389672948,0.7406473035854076,983,2.024655377750511e-14,0.7407257459878652,0.0352818022294468,0.9913770174569264,0.8307885650222969,0.951229904348269,7.844240245757916e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_02__N501.npz,6.713742982588927e-06,6.713742982588927e-06,0.000300551415106,7.009467049198334e-05,0.9999999999774628,501,0.7407257459878652,0.0352818022294468,0.0,0.0,1.3874289124023919e-16,1.0,1.3874289124023919e-16,1.0,1.587727043894817e-16,1.0,1.5389043003380443e-16,1.0,1.587727043894817e-16
12,CONV_03,longwave_high_Mach,HM1_VLOW_EXTREME,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_VLOW_EXTREME/model_state.pt,0.85,0.0849999999999999,0.0447765284496241,201,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.520234727742823,0.5201165045907183,382,-5.053655145257741e-15,0.5208978233497857,0.0233239962065689,0.9914824126435904,0.849452754915909,0.95597499821167,0.0007813187590673,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_03__N201.npz,0.0001051775062964,0.0001051775062964,0.0022246288966962,0.0008071855407231,0.999999994468846,501,0.5202239567653159,0.0232938228002781,0.0006738665844698843,3.0173406290801008e-05,9.107041850368977e-05,0.9999999958530895,9.107041850369126e-05,0.9999999958530895,0.0019245121339502907,0.999998164666509,0.000696504947642423,0.9999998357559533,0.0019245121339502907
13,CONV_03,longwave_high_Mach,HM1_VLOW_EXTREME,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_VLOW_EXTREME/model_state.pt,0.85,0.0849999999999999,0.0447765284496241,301,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.520234727742823,0.5201165045907183,578,1.199767437737247e-13,0.5204510587872406,0.0233039916404238,0.9912781377876422,0.8502642581355773,0.956024667874626,0.0003345541965222,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_03__N301.npz,4.473072031592664e-05,4.473072031591871e-05,0.0009757356496723,0.0003464910037279,0.9999999989995814,501,0.5202239567653159,0.0232938228002781,0.00022710202192477436,1.0168840145700908e-05,3.057863035238078e-05,0.9999999995324739,3.057863035236793e-05,0.999999999532474,0.0006923666577866003,0.9999997637962204,0.0002364126647094642,0.9999999809368225,0.0006923666577866003
14,CONV_03,longwave_high_Mach,HM1_VLOW_EXTREME,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_VLOW_EXTREME/model_state.pt,0.85,0.0849999999999999,0.0447765284496241,401,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.520234727742823,0.5201165045907183,775,2.072204112671833e-13,0.5202956940881556,0.0232970349485552,0.991494221804202,0.8495158351079192,0.9559996251301314,0.0001791894974372,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_03__N401.npz,2.3879858832219005e-05,2.3879858832224545e-05,0.0005389129974084,0.0001866570200731,0.999999999714876,501,0.5202239567653159,0.0232938228002781,7.173732283971557e-05,3.2121482771013676e-06,9.78593868897943e-06,0.9999999999521176,9.785938688982855e-06,0.9999999999521181,0.0002631091999045331,0.9999999655150691,7.841686059807337e-05,0.9999999978143076,0.0002631091999045331
15,CONV_03,longwave_high_Mach,HM1_VLOW_EXTREME,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_VLOW_EXTREME/model_state.pt,0.85,0.0849999999999999,0.0447765284496241,501,pin,10.0,0.99,longwave_map10,True,True,central_max_ci,,pQscaled,0.520234727742823,0.5201165045907183,972,-6.388088879478315e-14,0.5202239567653159,0.0232938228002781,0.9913685753629452,0.8499818786797794,0.9560219011921538,0.0001074521745975,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_03__N501.npz,1.430986206469463e-05,1.4309862064698483e-05,0.0003360044657361,0.0001126062660638,0.999999999897614,501,0.5202239567653159,0.0232938228002781,0.0,0.0,0.0,1.0,0.0,1.0000000000000002,0.0,0.9999999999999997,0.0,0.9999999999999998,0.0
16,CONV_04,extreme_longwave_high_Mach,ETAEDGE_HM2B,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM2B/model_state.pt,0.95,0.055,0.0171737444955955,201,pin,20.0,0.995,extreme_longwave_map20,True,True,central_max_ci,,pQscaled,0.491549025466614,0.4916688539959756,384,-6.741501505103756e-14,0.4956981218019967,0.008512992890774,0.9975052510135236,0.7535100484383475,0.9365064503697296,0.004029267806021,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_04__N201.npz,0.0003105567832174,0.0003105567832174,0.0089064420768017,0.0040477822849969,0.9999999517772412,501,0.4922752797904482,0.0084542098766189,0.003422842011548466,5.8783014155100455e-05,0.0002668971822653209,0.9999999643829466,0.0002668971822653213,0.9999999643829462,0.007614021322552081,0.9999722831887521,0.003438487778961695,0.9999971696066303,0.007614021322552081
17,CONV_04,extreme_longwave_high_Mach,ETAEDGE_HM2B,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM2B/model_state.pt,0.95,0.055,0.0171737444955955,301,pin,20.0,0.995,extreme_longwave_map20,True,True,central_max_ci,,pQscaled,0.491549025466614,0.4916688539959756,581,2.7649098578899828e-14,0.4934093105476195,0.0084736854310927,0.9975774141935226,0.7537049249454382,0.9366092918815014,0.0017404565516438,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_04__N301.npz,0.0001304694671398,0.0001304694671398,0.0039434027979768,0.0017527570643649,0.9999999914888592,501,0.4922752797904482,0.0084542098766189,0.0011340307571712782,1.9475554473799908e-05,8.525184016042532e-05,0.999999996366062,8.525184016042552e-05,0.9999999963660617,0.0026954331136141746,0.9999964983503584,0.0011459776249072042,0.9999996833362137,0.0026954331136141746
18,CONV_04,extreme_longwave_high_Mach,ETAEDGE_HM2B,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM2B/model_state.pt,0.95,0.055,0.0171737444955955,401,pin,20.0,0.995,extreme_longwave_map20,True,True,central_max_ci,,pQscaled,0.491549025466614,0.4916688539959756,776,-2.8120355667595145e-13,0.4926315858610085,0.0084603289860369,0.9975220856355056,0.7535243830248157,0.9365226599828332,0.0009627318650328,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_04__N401.npz,7.205867245809015e-05,7.205867245809276e-05,0.0022102677577694,0.0009705897460669,0.999999997403774,501,0.4922752797904482,0.0084542098766189,0.0003563060705603083,6.119109417999577e-06,2.6703321995274135e-05,0.9999999996434662,2.67033219952771e-05,0.9999999996434662,0.001073988555147018,0.999999438966282,0.00036885478835085254,0.9999999655434401,0.001073988555147018
19,CONV_04,extreme_longwave_high_Mach,ETAEDGE_HM2B,assets/pinn_subsonic/joint_ci_mode_atlas_v2/ETAEDGE_HM2B/model_state.pt,0.95,0.055,0.0171737444955955,501,pin,20.0,0.995,extreme_longwave_map20,True,True,central_max_ci,,pQscaled,0.491549025466614,0.4916688539959756,972,-1.4610664648044152e-13,0.4922752797904482,0.0084542098766189,0.9975598877840406,0.7536372971899253,0.9365792401355116,0.0006064257944725,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_04__N501.npz,4.544886360109959e-05,4.544886360110102e-05,0.001402580331163,0.0006128256021344,0.9999999989672004,501,0.4922752797904482,0.0084542098766189,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999997,0.0,1.0,0.0,0.9999999999999998,0.0
20,CONV_05,interior_low_Mach,LOW,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOW/model_state.pt,0.1,0.325,0.3233709170596515,201,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.544534363050311,0.5453187806837592,401,1.6527945364814722e-14,0.5454891158905636,0.17639531565159,0.9971048372746972,0.994496456283404,0.9964527420268738,0.0001703352068044,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_05__N201.npz,0.0001399496380204,0.0001399496380204,0.0009266860757927,0.0002161517119829,0.9999999902070494,501,0.5453572131128225,0.1763526621293892,0.0001319027777411108,4.2653522200813976e-05,0.0001276388199391425,0.9999999918541658,0.0001276388199391479,0.9999999918541658,0.0007788700285253192,0.9999997430661361,0.0001846361321239383,0.9999999834300006,0.0007788700285253192
21,CONV_05,interior_low_Mach,LOW,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOW/model_state.pt,0.1,0.325,0.3233709170596515,301,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.544534363050311,0.5453187806837592,601,-8.592686813875981e-15,0.5454018390226995,0.1763670928507907,0.9971020152826432,0.9944855228590332,0.9964478921767408,8.305833894028947e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_05__N301.npz,6.204451669565866e-05,6.204451669565663e-05,0.000421612612015,0.0001008596435299,0.9999999980752392,501,0.5453572131128225,0.1763526621293892,4.46259098769719e-05,1.443072140150381e-05,5.1910463713704435e-05,0.9999999986526519,5.191046371370696e-05,0.9999999986526519,0.0002776609622171735,0.9999999667781777,7.15623722268492e-05,0.9999999974938271,0.0002776609622171735
22,CONV_05,interior_low_Mach,LOW,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOW/model_state.pt,0.1,0.325,0.3233709170596515,401,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.544534363050311,0.5453187806837592,801,-6.916322712744439e-14,0.545371328657299,0.1763572266859513,0.9971047614746712,0.9944920868700032,0.9964515928235044,5.2547973539818216e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_05__N401.npz,3.51374810861142e-05,3.51374810861155e-05,0.0002450883682036,6.094395174167607e-05,0.9999999993826788,501,0.5453572131128225,0.1763526621293892,1.4115544476500652e-05,4.564556562114408e-06,2.804883115362031e-05,0.9999999996066317,2.804883115362173e-05,0.9999999996066313,0.00011099867588509402,0.9999999943726045,3.558714285984456e-05,0.9999999993722493,0.00011099867588509402
23,CONV_05,interior_low_Mach,LOW,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LOW/model_state.pt,0.1,0.325,0.3233709170596515,501,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.544534363050311,0.5453187806837592,1001,-3.6658685749276864e-14,0.5453572131128225,0.1763526621293892,0.9971027305477426,0.994486550842634,0.9964486856214654,3.843242906331757e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_05__N501.npz,2.248358027997896e-05,2.248358027997641e-05,0.0001636619192158,4.257912394719565e-05,0.9999999997472444,501,0.5453572131128225,0.1763526621293892,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999998,0.0,0.9999999999999999,0.0
24,CONV_06,interior_mid_1,HIGH_HIM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HIGH_HIM/model_state.pt,0.35,0.51875,0.4859389067503754,201,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.3352725659652082,0.3338541371768642,401,3.765286330572455e-14,0.333984806127871,0.1622962115610137,0.999528949981435,0.9992661828398588,0.999463258196041,0.0001306689510068,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_06__N201.npz,0.0001298185205459,0.0001298185205459,0.0013793396788925,0.0002009572539813,0.999999991573576,501,0.3338797007072637,0.1622451367478302,0.00010510542060732098,5.107481318350482e-05,0.00011709920540487236,0.9999999931438882,0.00011709920540486965,0.999999993143888,0.0011690210416912805,0.9999993875937639,0.0001741379526333784,0.9999999849487282,0.0011690210416912805
25,CONV_06,interior_mid_1,HIGH_HIM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HIGH_HIM/model_state.pt,0.35,0.51875,0.4859389067503754,301,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.3352725659652082,0.3338541371768642,601,3.504260464740528e-14,0.3339152526600727,0.1622624128249111,0.9995287324939996,0.9992646717001804,0.9994627172955448,6.111548320847371e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_06__N301.npz,5.747036009686148e-05,5.747036009685761e-05,0.000618334607396,9.149045238343873e-05,0.9999999983485792,501,0.3338797007072637,0.1622451367478302,3.5551952809020904e-05,1.7276077080907726e-05,4.650553584122963e-05,0.9999999989186176,4.650553584122355e-05,0.9999999989186178,0.000412945446102839,0.999999922907738,6.671173979879006e-05,0.9999999977874883,0.000412945446102839
26,CONV_06,interior_mid_1,HIGH_HIM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HIGH_HIM/model_state.pt,0.35,0.51875,0.4859389067503754,401,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.3352725659652082,0.3338541371768642,801,-1.1749967588895528e-13,0.3338909452285669,0.1622506008982192,0.9995276116472208,0.9992629227949932,0.999461439434164,3.680805170264145e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_06__N401.npz,3.231514875678863e-05,3.231514875678639e-05,0.0003514421010155,5.342038031818361e-05,0.9999999994778656,501,0.3338797007072637,0.1622451367478302,1.1244521303188648e-05,5.464150388989619e-06,2.43514875093578e-05,0.9999999997035025,2.4351487509353146e-05,0.9999999997035025,0.00015907126210691933,0.9999999881691657,3.261461692863396e-05,0.9999999994694073,0.00015907126210691933
27,CONV_06,interior_mid_1,HIGH_HIM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HIGH_HIM/model_state.pt,0.35,0.51875,0.4859389067503754,501,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.3352725659652082,0.3338541371768642,1001,2.8028751583546686e-14,0.3338797007072637,0.1622451367478302,0.9995269986464784,0.999262017153871,0.9994607532733266,2.5563530399452805e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_06__N501.npz,2.0749849900815616e-05,2.074984990081833e-05,0.0002278808101843,3.589214305096793e-05,0.999999999784722,501,0.3338797007072637,0.1622451367478302,0.0,0.0,0.0,1.0000000000000002,0.0,1.0,0.0,1.0000000000000002,0.0,0.9999999999999997,0.0
28,CONV_07,interior_mid_2,NEUTRAL1_HIM,assets/pinn_subsonic/joint_ci_mode_atlas_v2/NEUTRAL1_HIM/model_state.pt,0.5249999999999999,0.7250000000000001,0.6170491142324087,201,pin,5.0,0.98,standard_map5,True,True,central_max_ci,,pq_legacy,0.1649187017860238,0.1648142114076758,375,-2.8702026035484177e-15,0.1648771679394572,0.1017373104341901,0.9999941731515344,0.9999955275436238,0.9999945117495568,6.295653178142735e-05,assets/pinn_subsonic/joint_ci_mode_global_validation_v1/gep_n_convergence/profiles/CONV_07__N201.npz,0.0001328493174438,0.0001328493174438,0.0021433587902222,0.000165324900695,0.9999999911755294,501,0.1648109556058876,0.1016964541724098,6.621233356959855e-05,4.0856261780297665e-05,0.00011938716295120131,0.9999999928733528,0.00011938716295120287,0.9999999928733527,0.0018341913201237107,0.9999983941856926,0.00015688932469777727,0.9999999877013372,0.0018341913201237107
