condition,benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,ambiguous,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_kind,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,best_cr_half_window,best_ci_half_window,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds,source_file,ambiguous_recomputed,target_recovery_recomputed
seeded,34,C12,1.4,0.21,0.3451000202138525,0.031492731749407,0.34649885,0.030529922,False,COMPLETED,True,2.4569607904704254e-06,True,0,PINN,0,0.34649885,0.030529922,0.345102365625,0.0314934636666666,8.906129428624548e-07,1.017598268614202e-21,8.906129428624559e-07,0,0.015,0.008,12,12,12,12,401.1462311989162,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,35,C12,1.4,0.255,0.360051802461027,0.0134816819704447,0.36073864,0.0100793205,False,COMPLETED,True,3.502006412582551e-06,True,3,PINN,0,0.36073864,0.0100793205,0.36005504625,0.0134803621666666,1.5576008742117363e-06,1.8137509654364134e-23,1.5576008742117363e-06,0,0.03,0.008,12,12,12,12,430.3001479419181,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,36,C20,1.45,0.105,0.3134370510761152,0.0607481498786416,0.30444336,0.06792568,False,COMPLETED,True,4.937749993362432e-07,True,1,PINN,0,0.30444336,0.06792568,0.313437500625,0.0607479456249999,7.429623321268857e-08,6.128252784798392e-21,7.42962332126947e-08,0,0.015,0.015,12,12,12,12,381.2564411516069,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,37,C20,1.5,0.085,0.3218492869365933,0.0569978921594081,0.32013,0.05874354,False,COMPLETED,True,9.268318267036374e-06,True,0,PINN,0,0.32013,0.05874354,0.321858515625,0.0569987483333333,1.060057858361276e-06,4.297997388254359e-21,1.0600578583612803e-06,0,0.015,0.008,12,12,12,12,404.8051261118381,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,38,C20,1.55,0.06,0.3237921600955207,0.0505159341051575,0.33005154,0.046755057,False,COMPLETED,True,1.1765068893005628e-06,True,1,PINN,0,0.33005154,0.046755057,0.323791774375,0.050514822625,8.356787674632308e-08,1.719608479345598e-21,8.356787674632479e-08,0,0.015,0.015,12,12,12,12,393.5684328429634,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,39,C20,1.6,0.11,0.3823053415294019,0.0409883410294948,0.38274667,0.039386265,False,COMPLETED,True,3.638262011935668e-06,True,0,PINN,0,0.38274667,0.039386265,0.3823072168749999,0.0409852233333333,6.533734614497248e-07,6.1449512031134924e-21,6.533734614497309e-07,0,0.015,0.008,12,12,12,12,421.8074840811314,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,40,C21,1.45,0.12,0.3237488512771395,0.0567621464549422,0.3238221,0.056237806,False,COMPLETED,True,5.176856559021626e-06,True,0,PINN,0,0.3238221,0.056237806,0.323753740625,0.0567638476666666,9.448623694709192e-07,6.58477798811215e-21,9.448623694709256e-07,0,0.015,0.008,12,12,12,12,399.37978868663777,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,41,C21,1.5,0.205,0.3845145331817926,0.0238977814289654,0.38782793,0.02448477,False,COMPLETED,True,3.245655916439524e-06,True,0,PINN,0,0.38782793,0.02448477,0.384517383125,0.0238962283333333,1.1706942599862594e-06,2.9839602555459466e-21,1.1706942599862624e-06,0,0.015,0.008,12,12,12,12,429.995794257964,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,42,C21,1.55,0.12,0.3676123448280693,0.0442350462458262,0.35996458,0.045422435,False,COMPLETED,True,4.21661389935016e-06,True,2,PINN,0,0.35996458,0.045422435,0.3676110643749999,0.04423102875,8.231997885184844e-07,6.794568824760766e-21,8.231997885184912e-07,0,0.015,0.03,12,12,12,12,422.2113348320127,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
seeded,43,C21,1.55,0.2,0.4017552663925157,0.0216202143809181,0.40326327,0.021394387,False,COMPLETED,True,4.274561588179082e-06,True,4,PINN,0,0.40326327,0.021394387,0.40175936375,0.021618996375,1.5150344849937853e-06,4.183134058426893e-21,1.5150344849937895e-06,0,0.03,0.015,12,12,12,12,422.1509731461993,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/summary_seeded_32_64.csv,False,True
