Mach,alpha,n_success_settings,cr_min,cr_max,cr_range,ci_min,ci_max,ci_range,max_stage1,max_edge_frac,max_center_jump,max_modal_rel_l2,convergence_status,reject_reasons
1.8,0.185,4,0.478051424,0.478051424,0.0,0.011690288,0.011690288,0.0,2.7462171533829465e-06,0.006568080545516954,0.003023832088867541,0.06670997619929353,converged_requires_visual_confirmation,
1.8,0.1875,4,0.478740576,0.478740576,0.0,0.011069848,0.011069848,0.0,1.869853733249428e-06,0.008045228888430688,0.0030153186699118932,0.06867783055276394,converged_requires_visual_confirmation,
1.8,0.19,4,0.47940924799999995,0.47940924799999995,0.0,0.010449408,0.010449408,0.0,1.924138839057466e-06,0.00992545158897163,0.003003748790360216,0.07075659805288856,converged_requires_visual_confirmation,
1.9,0.08,4,0.471039264,0.471039264,0.0,0.0226943199999999,0.0226943199999999,0.0,3.726609923226026e-07,0.012048793728585557,0.0029034471776832036,0.04925309838632113,converged_requires_visual_confirmation,
1.9,0.0825,4,0.47208056,0.47208056,0.0,0.0226913599999999,0.0226913599999999,0.0,1.8278120405509743e-07,0.010505328820100527,0.002913659705727798,0.049350499981759034,converged_requires_visual_confirmation,
1.9,0.085,4,0.473119808,0.473119808,0.0,0.0226658719999999,0.0226658719999999,0.0,1.2471258989223308e-06,0.009202934911458852,0.0029222146880035515,0.04929535156029649,converged_requires_visual_confirmation,
1.9,0.0875,4,0.47412219199999994,0.47412219199999994,0.0,0.0226137599999998,0.0226137599999998,0.0,1.067164571688362e-06,0.008110422696798557,0.002894631058957041,0.04913827170614331,converged_requires_visual_confirmation,
1.9,0.09,4,0.475136864,0.475136864,0.0,0.0225329759999999,0.0225329759999999,0.0,8.525315304633503e-07,0.007197407174355943,0.0029322867055400813,0.04899652608996116,converged_requires_visual_confirmation,
1.9,0.0925,4,0.476124576,0.476124576,0.0,0.0224330399999999,0.0224330399999999,0.0,4.054507918085763e-07,0.006421129971612452,0.0029219485307849925,0.04887325852738211,converged_requires_visual_confirmation,
1.9,0.095,4,0.4771,0.4771,0.0,0.0223085279999999,0.0223085279999999,0.0,2.8758448777647273e-07,0.0057683065475360425,0.0029237193335871305,0.048738836300765476,converged_requires_visual_confirmation,
1.9,0.0975,4,0.478063136,0.478063136,0.0,0.0221614879999999,0.0221614879999999,0.0,4.773563247913244e-07,0.005217584847637014,0.0029304850465136033,0.04850697308547126,converged_requires_visual_confirmation,
1.9,0.1,4,0.4790078399999999,0.4790078399999999,0.0,0.0220001119999999,0.0220001119999999,0.0,1.3291721262314016e-06,0.0047444471495874324,0.0028905249520762115,0.04818159462765842,converged_requires_visual_confirmation,
1.9,0.1025,4,0.479946176,0.479946176,0.0,0.0218109599999999,0.0218109599999999,0.0,1.216197952005824e-06,0.0043527905220020644,0.0029035427066765236,0.047932692441268895,converged_requires_visual_confirmation,
1.9,0.105,4,0.48087017600000004,0.48087017600000004,0.0,0.0216054239999999,0.0216054239999999,0.0,1.6015806500458503e-06,0.004019475205642052,0.0028957226145953177,0.04785146624528957,converged_requires_visual_confirmation,
1.9,0.1075,4,0.481796224,0.481796224,0.0,0.0213773599999999,0.0213773599999999,0.0,1.0927166258128425e-06,0.003743010332897489,0.0029200422205608455,0.04794730778177652,converged_requires_visual_confirmation,
1.9,0.11,4,0.4826956480000001,0.4826956480000001,0.0,0.021132912,0.021132912,0.0,8.58695190962394e-07,0.0035105862803140276,0.0029241808424107668,0.048135068729641975,converged_requires_visual_confirmation,
1.9,0.1125,4,0.4835745600000001,0.4835745600000001,0.0,0.020874992,0.020874992,0.0,1.3233941019541208e-06,0.0033145870334253505,0.0029007073555259643,0.04835666193319179,converged_requires_visual_confirmation,
1.9,0.115,4,0.4844514240000001,0.4844514240000001,0.0,0.0205965919999999,0.0205965919999999,0.0,1.2677458621764417e-06,0.0031574170596825137,0.002905606841861008,0.048619441533265716,converged_requires_visual_confirmation,
1.9,0.1175,4,0.485316,0.485316,0.0,0.02029976,0.02029976,0.0,1.2714784420765336e-06,0.0030338342929897002,0.0029259933294602026,0.04889385318945984,converged_requires_visual_confirmation,
1.9,0.12,4,0.486180576,0.486180576,0.0,0.01999064,0.01999064,0.0,1.2528539894440549e-06,0.002936152822986991,0.0029233131368682614,0.049137098010000525,converged_requires_visual_confirmation,
1.9,0.1225,4,0.4870184399999999,0.4870184399999999,0.0,0.01966588,0.01966588,0.0,3.204511583741306e-07,0.0028656019474506953,0.0029259959707924055,0.049389108579708185,converged_requires_visual_confirmation,
1.9,0.125,4,0.48785016,0.48785016,0.0,0.0193247359999999,0.0193247359999999,0.0,7.736380820280206e-07,0.002821822945373892,0.002941547819843332,0.04972392481690268,converged_requires_visual_confirmation,
