====================================================================================================
PHASE 7 — INPUTS
====================================================================================================
seeded rows  = 401
generic rows = 401

====================================================================================================
PAIRING INTEGRITY
====================================================================================================
paired rows       = 401
max |delta Mach|  = 0.000e+00
max |delta alpha| = 0.000e+00
max |delta crref| = 0.000e+00
max |delta ciref| = 0.000e+00

====================================================================================================
PHASE 7 — CONDITION SUMMARY
====================================================================================================
condition   n  technical_success  target_recovery  target_error_median  target_error_p90  target_error_p95  target_error_p99  target_error_max  error_le_1e-5  error_le_1e-4
   SEEDED 401                401              400       3.64713869e-06    6.53293841e-06    8.11737120e-06    1.02388794e-05    9.77821595e-02            396            400
  GENERIC 401                401                1       4.52000431e-01    6.59997210e-01    7.61470914e-01    7.63493353e-01    7.87232530e-01              1              1

====================================================================================================
PHASE 7 — PAIRED DISCORDANCES
====================================================================================================
TARGET BRANCH
both recovered  = 1
seeded only     = 399
generic only    = 0
neither         = 1
exact paired p  = 1.5490367659397273e-120

TECHNICAL SUCCESS
both technical  = 401
seeded only     = 0
generic only    = 0
neither         = 0
exact paired p  = 1.0000000000000000e+00

====================================================================================================
PHASE 7 — PAIRED TARGET ERROR
====================================================================================================
generic - seeded median = 4.51997630e-01
generic - seeded mean   = 4.67984698e-01
generic - seeded p95    = 7.61463667e-01
seeded lower error      = 400
generic lower error     = 1
ties                    = 0

====================================================================================================
PHASE 7 — BY CHART
====================================================================================================
chart  n  seeded_technical  generic_technical  seeded_recovery  generic_recovery  seeded_only  generic_only  seeded_error_median  generic_error_median
  C00 28                28                 28               27                 0           27             0        2.9679643e-06         7.6146788e-01
  C01 41                41                 41               41                 1           40             0        4.2430366e-06         6.2339256e-01
  C02 62                62                 62               62                 0           62             0        3.4758406e-06         5.5404049e-01
  C10 25                25                 25               25                 0           25             0        3.9936405e-06         5.4287170e-01
  C11 33                33                 33               33                 0           33             0        3.3159411e-06         4.8008831e-01
  C12 34                34                 34               34                 0           34             0        3.3929923e-06         4.4119266e-01
  C20 25                25                 25               25                 0           25             0        4.0422751e-06         4.3161135e-01
  C21 32                32                 32               32                 0           32             0        3.4943377e-06         3.8650093e-01
  C22 22                22                 22               22                 0           22             0        3.8773094e-06         3.5924264e-01
  C30 39                39                 39               39                 0           39             0        3.7484679e-06         3.3800414e-01
  C31 48                48                 48               48                 0           48             0        3.5193762e-06         3.0374172e-01
  C32 12                12                 12               12                 0           12             0        3.5564028e-06         3.0432748e-01

====================================================================================================
PHASE 7 — FAILURES / DISCORDANCES
====================================================================================================
          Mach          alpha atlas_chart    cr_reference   ci_reference      seeded_cr      seeded_ci  seeded_technical   seeded_error  seeded_recovery     generic_cr     generic_ci  generic_technical  generic_error  generic_recovery
1.20000000e+00 1.15000000e-01         C00  1.79044675e-01 1.07105418e-01 1.79047773e-01 1.07105763e-01              True 3.11677872e-06             True 7.61458333e-01 3.39817708e-05               True 5.92173929e-01             False
1.20000000e+00 1.30000000e-01         C01  1.93229599e-01 9.93595427e-02 1.93224089e-01 9.93543517e-02              True 7.57018781e-06             True 7.61458333e-01 1.00000000e-06               True 5.76850079e-01             False
1.20000000e+00 1.40000000e-01         C01  2.01600280e-01 9.42068177e-02 2.01604197e-01 9.42062812e-02              True 3.95318337e-06             True 7.61458333e-01 1.00000000e-06               True 5.67728611e-01             False
1.20000000e+00 1.50000000e-01         C01  2.09260160e-01 8.90635440e-02 2.09257776e-01 8.90614750e-02              True 3.15647295e-06             True 7.61458333e-01 3.39817708e-05               True 5.59329139e-01             False
1.20000000e+00 1.60000000e-01         C01  2.16310852e-01 8.39300842e-02 2.16312946e-01 8.39313683e-02              True 2.45630287e-06             True 7.61458333e-01 1.00000000e-06               True 5.51570365e-01             False
1.20000000e+00 1.70000000e-01         C01  2.22833464e-01 7.88067637e-02 2.22829799e-01 7.88105319e-02              True 5.25631593e-06             True 7.61458333e-01 3.13674769e-05               True 5.44354951e-01             False
1.20000000e+00 1.85000000e-01         C01  2.31768425e-01 7.11414506e-02 2.31767969e-01 7.11368917e-02              True 4.58166557e-06             True 7.61458333e-01 3.60434028e-05               True 5.34441183e-01             False
1.20000000e+00 1.95000000e-01         C01  2.37235378e-01 6.60447688e-02 2.37233122e-01 6.60460806e-02              True 2.61010666e-06             True 7.61458333e-01 1.00000000e-06               True 5.28366810e-01             False
1.20000000e+00 2.05000000e-01         C01  2.42360799e-01 6.09592307e-02 2.42366591e-01 6.09543570e-02              True 7.56961790e-06             True 7.61458333e-01 1.21718750e-05               True 5.22663175e-01             False
1.20000000e+00 2.10000000e-01         C02  2.44806854e-01 5.84207255e-02 2.44803334e-01 5.84199647e-02              True 3.60148983e-06             True 7.61458333e-01 6.35578704e-05               True 5.19936833e-01             False
1.20000000e+00 2.20000000e-01         C02  2.49485644e-01 5.33524111e-02 2.49489133e-01 5.33481677e-02              True 5.49370673e-06             True 7.61458333e-01 1.00000000e-06               True 5.14744993e-01             False
1.20000000e+00 2.35000000e-01         C02  2.56022513e-01 4.57721821e-02 2.56025561e-01 4.57698034e-02              True 3.86669043e-06             True 7.61458333e-01 1.00000000e-06               True 5.07504059e-01             False
1.20000000e+00 2.45000000e-01         C02  2.60094847e-01 4.07339129e-02 2.60091788e-01 4.07341864e-02              True 3.07121850e-06             True 7.61458333e-01 5.66857639e-05               True 5.03010917e-01             False
1.20000000e+00 2.55000000e-01         C02  2.63963097e-01 3.57081256e-02 2.63967667e-01 3.57100417e-02              True 4.95523577e-06             True 7.61458333e-01 3.13674769e-05               True 4.98772835e-01             False
1.20000000e+00 2.70000000e-01         C02  2.69421982e-01 2.81934209e-02 2.69426516e-01 2.81947943e-02              True 4.73736685e-06             True 7.61458333e-01 3.60434028e-05               True 4.92841363e-01             False
1.20000000e+00 2.80000000e-01         C02  2.72855118e-01 2.31999784e-02 2.72858934e-01 2.32046913e-02              True 6.06440106e-06             True 7.61458333e-01 1.00000000e-06               True 4.89153651e-01             False
1.20000000e+00 2.90000000e-01         C02  2.76139471e-01 1.82199207e-02 2.76143851e-01 1.82198575e-02              True 4.38002832e-06             True 7.61458333e-01 3.82395833e-05               True 4.85659316e-01             False
1.20000000e+00 3.05000000e-01         C02  2.80813417e-01 1.07754740e-02 2.80814181e-01 1.07776643e-02              True 2.31979120e-06             True 7.61718750e-01 2.39040075e-05               True 4.81025504e-01             False
1.20000000e+00 3.25000000e-01         C02  2.86628820e-01 8.98970789e-04 2.86637201e-01 8.99077039e-04              True 8.38084757e-06             True 7.61718750e-01 1.00000000e-06               True 4.75090778e-01             False
1.25000000e+00 5.50000000e-02         C10  1.31500671e-01 1.22717831e-01 1.31495079e-01 1.22718110e-01              True 5.59864137e-06             True 7.61458333e-01 3.13674769e-05               True 6.41793288e-01             False
1.25000000e+00 6.00000000e-02         C10  1.41583570e-01 1.20533217e-01 1.41584946e-01 1.20533496e-01              True 1.40311576e-06             True 7.61458333e-01 3.60434028e-05               True 6.31477862e-01             False
1.25000000e+00 6.50000000e-02         C10  1.50695127e-01 1.18328320e-01 1.50697644e-01 1.18328131e-01              True 2.52367056e-06             True 7.61458333e-01 6.35578704e-05               True 6.22107907e-01             False
1.25000000e+00 7.00000000e-02         C10  1.59016735e-01 1.16105274e-01 1.59014508e-01 1.16102502e-01              True 3.55625448e-06             True 7.61458333e-01 3.82395833e-05               True 6.13520526e-01             False
1.25000000e+00 8.50000000e-02         C10  1.80399665e-01 1.09344771e-01 1.80399891e-01 1.09343962e-01              True 8.40128525e-07             True 7.61458333e-01 1.00000000e-06               True 5.91257335e-01             False
1.25000000e+00 1.00000000e-01         C10  1.97901105e-01 1.02475983e-01 1.97897137e-01 1.02476431e-01              True 3.99364046e-06             True 7.61458333e-01 5.66857639e-05               True 5.72788322e-01             False
1.25000000e+00 1.10000000e-01         C10  2.08004019e-01 9.78506751e-02 2.08000952e-01 9.78538523e-02              True 4.41613365e-06             True 7.61458333e-01 1.00000000e-06               True 5.62037576e-01             False
1.25000000e+00 1.20000000e-01         C11  2.17118782e-01 9.31959387e-02 2.17119144e-01 9.31934033e-02              True 2.56110208e-06             True 7.61458333e-01 3.60434028e-05               True 5.52253848e-01             False
1.25000000e+00 1.25000000e-01         C11  2.21357498e-01 9.08591657e-02 2.21357881e-01 9.08560123e-02              True 3.17662430e-06             True 7.61458333e-01 6.35578704e-05               True 5.47679427e-01             False
1.25000000e+00 1.30000000e-01         C11  2.25406331e-01 8.85168780e-02 2.25409023e-01 8.85156944e-02              True 2.94038674e-06             True 7.61458333e-01 3.82395833e-05               True 5.43304904e-01             False
1.25000000e+00 1.35000000e-01         C11  2.29279747e-01 8.61695822e-02 2.29281558e-01 8.61735683e-02              True 4.37835318e-06             True 7.61458333e-01 3.39817708e-05               True 5.39104247e-01             False
1.25000000e+00 1.40000000e-01         C11  2.32990615e-01 8.38177443e-02 2.32990644e-01 8.38155756e-02              True 2.16885576e-06             True 7.61458333e-01 1.77057292e-05               True 5.35070627e-01             False
1.25000000e+00 1.50000000e-01         C11  2.39969576e-01 7.91021285e-02 2.39971897e-01 7.90973350e-02              True 5.32584325e-06             True 7.61458333e-01 1.01102431e-05               True 5.27452435e-01             False
1.25000000e+00 1.65000000e-01         C11  2.49471909e-01 7.20044086e-02 2.49476777e-01 7.20007650e-02              True 6.08127619e-06             True 7.61458333e-01 1.00000000e-06               True 5.17024748e-01             False
1.25000000e+00 1.75000000e-01         C11  2.55253193e-01 6.72601587e-02 2.55253528e-01 6.72625490e-02              True 2.41360589e-06             True 7.61458333e-01 1.97673611e-05               True 5.10651461e-01             False
1.25000000e+00 1.85000000e-01         C11  2.60650701e-01 6.25085634e-02 2.60647666e-01 6.25122317e-02              True 4.76084360e-06             True 7.61458333e-01 3.82395833e-05               True 5.04688841e-01             False
1.25000000e+00 2.00000000e-01         C11  2.68117444e-01 5.53716212e-02 2.68119797e-01 5.53709037e-02              True 2.46044285e-06             True 7.61458333e-01 3.39817708e-05               True 4.96434777e-01             False
1.25000000e+00 2.10000000e-01         C12  2.72726086e-01 5.06097965e-02 2.72726536e-01 5.06115519e-02              True 1.81212664e-06             True 7.61718750e-01 2.39040075e-05               True 4.91602235e-01             False
1.25000000e+00 2.20000000e-01         C12  2.77073673e-01 4.58466775e-02 2.77078054e-01 4.58462423e-02              True 4.40243259e-06             True 7.61458333e-01 1.00000000e-06               True 4.86549407e-01             False
1.25000000e+00 2.30000000e-01         C12  2.81185364e-01 4.10836574e-02 2.81186644e-01 4.10852783e-02              True 2.06506654e-06             True 7.61458333e-01 3.13674769e-05               True 4.82024289e-01             False
1.25000000e+00 2.40000000e-01         C12  2.85083240e-01 3.63220189e-02 2.85078772e-01 3.63246623e-02              True 5.19155868e-06             True 7.61458333e-01 3.60434028e-05               True 4.77755064e-01             False
1.25000000e+00 2.50000000e-01         C12  2.88786779e-01 3.15629486e-02 2.88787539e-01 3.15607937e-02              True 2.28504335e-06             True 7.61458333e-01 1.00000000e-06               True 4.73724133e-01             False
1.25000000e+00 2.60000000e-01         C12  2.92313251e-01 2.68075484e-02 2.92311062e-01 2.68044241e-02              True 3.81450046e-06             True 7.61458333e-01 1.00000000e-06               True 4.69910310e-01             False
1.25000000e+00 2.70000000e-01         C12  2.95678031e-01 2.20568452e-02 2.95673661e-01 2.20568320e-02              True 4.37011265e-06             True 7.61458333e-01 1.00000000e-06               True 4.66302210e-01             False
1.25000000e+00 2.80000000e-01         C12  2.98894861e-01 1.73117979e-02 2.98899129e-01 1.73068135e-02              True 6.56159862e-06             True 7.61458333e-01 1.00000000e-06               True 4.62887275e-01             False
1.25000000e+00 2.95000000e-01         C12  3.03469326e-01 1.02067783e-02 3.03473719e-01 1.02103918e-02              True 5.68881205e-06             True 7.61458333e-01 3.13674769e-05               True 4.58102030e-01             False
1.25000000e+00 3.05000000e-01         C12  3.06367555e-01 5.47967301e-03 3.06363816e-01 5.47738170e-03              True 4.38589835e-06             True 7.61458333e-01 1.00000000e-06               True 4.55123755e-01             False
1.30000000e+00 5.00000000e-02         C10  1.61555419e-01 1.09254653e-01 1.61551943e-01 1.09254148e-01              True 3.51239639e-06             True 7.61458333e-01 1.00000000e-06               True 6.09770340e-01             False
1.30000000e+00 6.50000000e-02         C10  1.87196926e-01 1.04163916e-01 1.87200382e-01 1.04164855e-01              True 3.58156019e-06             True 7.61458333e-01 6.35578704e-05               True 5.83620638e-01             False
1.30000000e+00 8.00000000e-02         C10  2.07500781e-01 9.86490553e-02 2.07499272e-01 9.86492294e-02              True 1.51852983e-06             True 7.61458333e-01 3.82395833e-05               True 5.62666031e-01             False
1.30000000e+00 9.50000000e-02         C10  2.24259740e-01 9.28297173e-02 2.24256011e-01 9.28338317e-02              True 5.55291028e-06             True 7.61458333e-01 3.39817708e-05               True 5.45154452e-01             False
1.30000000e+00 1.05000000e-01         C10  2.33970370e-01 8.88207778e-02 2.33965576e-01 8.88226817e-02              True 5.15816726e-06             True 7.61458333e-01 5.66857639e-05               True 5.34904305e-01             False
1.30000000e+00 1.15000000e-01         C10  2.42746461e-01 8.47285306e-02 2.42748008e-01 8.47241387e-02              True 4.65628483e-06             True 7.61458333e-01 3.13674769e-05               True 5.25581217e-01             False
1.30000000e+00 1.25000000e-01         C11  2.50734847e-01 8.05663185e-02 2.50732488e-01 8.05632690e-02              True 3.85528106e-06             True 7.61458333e-01 5.66857639e-05               True 5.17030251e-01             False
1.30000000e+00 1.40000000e-01         C11  2.61484950e-01 7.42149320e-02 2.61484391e-01 7.42150617e-02              True 5.74267300e-07             True 7.61458333e-01 1.00000000e-06               True 5.05451374e-01             False
1.30000000e+00 1.50000000e-01         C11  2.67957227e-01 6.99210503e-02 2.67958691e-01 6.99187150e-02              True 2.75614972e-06             True 7.61458333e-01 1.00000000e-06               True 4.98429689e-01             False
1.30000000e+00 1.65000000e-01         C11  2.76793915e-01 6.34079027e-02 2.76792781e-01 6.34040250e-02              True 4.03991871e-06             True 7.61458333e-01 1.00000000e-06               True 4.88794470e-01             False
1.30000000e+00 1.80000000e-01         C11  2.84743372e-01 5.68244576e-02 2.84744271e-01 5.68273304e-02              True 3.01018171e-06             True 7.61458333e-01 1.21718750e-05               True 4.80088315e-01             False
1.30000000e+00 1.90000000e-01         C11  2.89621723e-01 5.24040829e-02 2.89618988e-01 5.24065023e-02              True 3.65158735e-06             True 7.61458333e-01 1.00000000e-06               True 4.74737685e-01             False
1.30000000e+00 2.05000000e-01         C11  2.96394101e-01 4.57359574e-02 2.96389318e-01 4.57374142e-02              True 5.00071349e-06             True 7.61458333e-01 1.00000000e-06               True 4.67307636e-01             False
1.30000000e+00 2.10000000e-01         C12  2.98520908e-01 4.35048963e-02 2.98518422e-01 4.35047762e-02              True 2.48925516e-06             True 7.61458333e-01 1.97673611e-05               True 4.64975285e-01             False
1.30000000e+00 2.20000000e-01         C12  3.02597777e-01 3.90324737e-02 3.02596216e-01 3.90330683e-02              True 1.67065927e-06             True 7.61458333e-01 1.21718750e-05               True 4.60516660e-01             False
1.30000000e+00 2.30000000e-01         C12  3.06457712e-01 3.45485414e-02 3.06459156e-01 3.45513347e-02              True 3.14457629e-06             True 7.61458333e-01 3.39817708e-05               True 4.56307813e-01             False
1.30000000e+00 2.40000000e-01         C12  3.10120844e-01 3.00555444e-02 3.10121924e-01 3.00544010e-02              True 1.57255567e-06             True 7.61458333e-01 1.77057292e-05               True 4.52335938e-01             False
1.30000000e+00 2.55000000e-01         C12  3.15284958e-01 2.33038544e-02 3.15285997e-01 2.33041717e-02              True 1.08615758e-06             True 7.61458333e-01 1.01102431e-05               True 4.46781019e-01             False
1.30000000e+00 2.60000000e-01         C12  3.16925978e-01 2.10510401e-02 3.16918529e-01 2.10472600e-02              True 8.35333645e-06             True 7.61718750e-01 2.53356964e-05               True 4.45289445e-01             False
1.30000000e+00 2.70000000e-01         C12  3.20097938e-01 1.65434110e-02 3.20093321e-01 1.65440400e-02              True 4.66000439e-06             True 7.61718750e-01 1.40328897e-05               True 4.41930042e-01             False
1.30000000e+00 2.80000000e-01         C12  3.23133509e-01 1.20345149e-02 3.23132794e-01 1.20332936e-02              True 1.41531474e-06             True 7.61458333e-01 3.82395833e-05               True 4.38488954e-01             False
1.30000000e+00 2.90000000e-01         C12  3.26044044e-01 7.52591757e-03 3.26041088e-01 7.52164384e-03              True 5.19636818e-06             True 7.61458333e-01 3.39817708e-05               True 4.35478739e-01             False
1.30000000e+00 3.05000000e-01         C12  3.30197522e-01 7.66301802e-04 3.30195978e-01 7.66158713e-04              True 1.55097910e-06             True 7.61718750e-01 1.26012008e-05               True 4.31521886e-01             False
1.35000000e+00 6.00000000e-02         C10  2.12406746e-01 9.21176882e-02 2.12403078e-01 9.21206310e-02              True 4.70266108e-06             True 7.61458333e-01 1.00000000e-06               True 5.56725363e-01             False
1.35000000e+00 7.00000000e-02         C10  2.26013873e-01 8.95122772e-02 2.26022421e-01 8.95151487e-02              True 9.01672128e-06             True 7.61458333e-01 1.97673611e-05               True 5.42871697e-01             False
1.35000000e+00 8.50000000e-02         C10  2.43335691e-01 8.50637216e-02 2.43341716e-01 8.50632817e-02              True 6.04057841e-06             True 7.61458333e-01 3.82395833e-05               True 5.25052764e-01             False
1.35000000e+00 9.50000000e-02         C10  2.53305284e-01 8.18233107e-02 2.53308641e-01 8.18232969e-02              True 3.35627557e-06             True 7.61458333e-01 1.10939236e-04               True 5.14680904e-01             False
1.35000000e+00 1.05000000e-01         C10  2.62276171e-01 7.84113579e-02 2.62275601e-01 7.84131719e-02              True 1.90165479e-06             True 7.61458333e-01 1.00000000e-06               True 5.05302894e-01             False
1.35000000e+00 1.10000000e-01         C10  2.66439507e-01 7.66507553e-02 2.66437072e-01 7.66516819e-02              True 2.60506622e-06             True 7.61458333e-01 3.13674769e-05               True 5.00913335e-01             False
1.35000000e+00 1.20000000e-01         C11  2.74205317e-01 7.30358087e-02 2.74206921e-01 7.30360681e-02              True 1.62419447e-06             True 7.61458333e-01 3.13674769e-05               True 4.92691739e-01             False
1.35000000e+00 1.30000000e-01         C11  2.81313571e-01 6.93127043e-02 2.81316184e-01 6.93140388e-02              True 2.93427401e-06             True 7.61458333e-01 1.17811343e-04               True 4.85105067e-01             False
1.35000000e+00 1.40000000e-01         C11  2.87853762e-01 6.54981376e-02 2.87850466e-01 6.54995050e-02              True 3.56860272e-06             True 7.61458333e-01 1.00000000e-06               True 4.78112084e-01             False
1.35000000e+00 1.50000000e-01         C11  2.93898843e-01 6.16057159e-02 2.93895646e-01 6.16068067e-02              True 3.37810921e-06             True 7.61458333e-01 1.00000000e-06               True 4.71600486e-01             False
1.35000000e+00 1.60000000e-01         C11  2.99509179e-01 5.76466978e-02 2.99504254e-01 5.76460750e-02              True 4.96358118e-06             True 7.61458333e-01 3.39817708e-05               True 4.65527922e-01             False
1.35000000e+00 1.75000000e-01         C11  3.07218031e-01 5.16035602e-02 3.07220079e-01 5.16052323e-02              True 2.64342655e-06             True 7.61458333e-01 1.00000000e-06               True 4.57161980e-01             False
1.35000000e+00 1.90000000e-01         C11  3.14200418e-01 4.54576540e-02 3.14197214e-01 4.54585083e-02              True 3.31594109e-06             True 7.61458333e-01 3.13674769e-05               True 4.49558884e-01             False
1.35000000e+00 1.95000000e-01         C11  3.16386305e-01 4.33899218e-02 3.16385216e-01 4.33847520e-02              True 5.28332407e-06             True 7.61458333e-01 1.15130208e-05               True 4.47180944e-01             False
1.35000000e+00 2.05000000e-01         C11  3.20567379e-01 3.92299224e-02 3.20568051e-01 3.92323050e-02              True 2.47559386e-06             True 7.61458333e-01 1.97673611e-05               True 4.42631076e-01             False
1.35000000e+00 2.10000000e-01         C12  3.22568956e-01 3.71388769e-02 3.22564826e-01 3.71407588e-02              True 4.53834849e-06             True 7.61458333e-01 3.13674769e-05               True 4.40455279e-01             False
1.35000000e+00 2.25000000e-01         C12  3.28252028e-01 3.08281494e-02 3.28251099e-01 3.08304419e-02              True 2.47356573e-06             True 7.61718750e-01 2.53356964e-05               True 4.34559791e-01             False
1.35000000e+00 2.35000000e-01         C12  3.31797768e-01 2.65945610e-02 3.31801671e-01 2.65921830e-02              True 4.57032694e-06             True 7.61458333e-01 1.97673611e-05               True 4.30481616e-01             False
1.35000000e+00 2.45000000e-01         C12  3.35169822e-01 2.23439085e-02 3.35170349e-01 2.23438799e-02              True 5.28372962e-07             True 7.61458333e-01 3.82395833e-05               True 4.26871688e-01             False
1.35000000e+00 2.55000000e-01         C12  3.38383691e-01 1.80792982e-02 3.38383001e-01 1.80776453e-02              True 1.79091395e-06             True 7.61458333e-01 3.39817708e-05               True 4.23459309e-01             False
1.35000000e+00 2.70000000e-01         C12  3.42937708e-01 1.16622775e-02 3.42934792e-01 1.16621540e-02              True 2.91852422e-06             True 7.61458333e-01 5.66857639e-05               True 4.18681506e-01             False
1.35000000e+00 2.80000000e-01         C12  3.45813396e-01 7.37448516e-03 3.45810077e-01 7.37523406e-03              True 3.40284131e-06             True 7.61458333e-01 3.13674769e-05               True 4.15709797e-01             False
1.35000000e+00 2.95000000e-01         C12  3.49912654e-01 9.33462415e-04 3.49916707e-01 9.32116586e-04              True 4.27001653e-06             True 7.61458333e-01 1.00000000e-06               True 4.11546735e-01             False
1.40000000e+00 5.50000000e-02         C10  2.35895361e-01 8.01025666e-02 2.35896984e-01 8.01034233e-02              True 1.83519877e-06             True 7.61458333e-01 1.17811343e-04               True 5.31614521e-01             False
1.40000000e+00 6.50000000e-02         C10  2.49207768e-01 7.87065106e-02 2.49216316e-01 7.87074081e-02              True 8.59491003e-06             True 7.61458333e-01 6.35578704e-05               True 5.18252213e-01             False
1.40000000e+00 8.00000000e-02         C10  2.66129056e-01 7.56907206e-02 2.66127044e-01 7.56942063e-02              True 4.02467139e-06             True 7.61458333e-01 1.21718750e-05               True 5.01077176e-01             False
1.40000000e+00 9.00000000e-02         C10  2.75856409e-01 7.32297072e-02 2.75855338e-01 7.32270217e-02              True 2.89123266e-06             True 7.61458333e-01 3.39817708e-05               True 4.91087409e-01             False
1.40000000e+00 1.00000000e-01         C10  2.84602259e-01 7.04955574e-02 2.84595759e-01 7.04962117e-02              True 6.53293841e-06             True 7.61458333e-01 1.77057292e-05               True 4.82036143e-01             False
1.40000000e+00 1.15000000e-01         C10  2.96221824e-01 6.59925696e-02 2.96215179e-01 6.59942817e-02              True 6.86139053e-06             True 7.61458333e-01 3.13674769e-05               True 4.69889232e-01             False
1.40000000e+00 1.30000000e-01         C11  3.06385482e-01 6.11151986e-02 3.06384099e-01 6.11150670e-02              True 1.38956569e-06             True 7.61458333e-01 1.21718750e-05               True 4.59156705e-01             False
1.40000000e+00 1.45000000e-01         C11  3.15378284e-01 5.59501968e-02 3.15371639e-01 5.59522667e-02              True 6.95971689e-06             True 7.61458333e-01 1.10939236e-04               True 4.49561378e-01             False
1.40000000e+00 1.60000000e-01         C11  3.23411895e-01 5.05600727e-02 3.23416149e-01 5.05563123e-02              True 5.67775123e-06             True 7.61458333e-01 5.66857639e-05               True 4.40948154e-01             False
1.40000000e+00 1.70000000e-01         C11  3.28316331e-01 4.68651382e-02 3.28318487e-01 4.68666136e-02              True 2.61285345e-06             True 7.61458333e-01 1.01102431e-05               True 4.35668897e-01             False
1.40000000e+00 1.80000000e-01         C11  3.32906127e-01 4.31021731e-02 3.32903836e-01 4.31030483e-02              True 2.45199314e-06             True 7.61458333e-01 1.00000000e-06               True 4.30714180e-01             False
1.40000000e+00 1.95000000e-01         C11  3.39272714e-01 3.73503592e-02 3.39281406e-01 3.73504088e-02              True 8.69141563e-06             True 7.61458333e-01 1.97673611e-05               True 4.23832833e-01             False
1.40000000e+00 2.05000000e-01         C11  3.43212440e-01 3.34556202e-02 3.43208458e-01 3.34599366e-02              True 5.87233405e-06             True 7.61458333e-01 1.21718750e-05               True 4.19580853e-01             False
1.40000000e+00 2.20000000e-01         C12  3.48723919e-01 2.75396213e-02 3.48728704e-01 2.75355253e-02              True 6.29881817e-06             True 7.61458333e-01 1.97673611e-05               True 4.13650866e-01             False
1.40000000e+00 2.35000000e-01         C12  3.53816789e-01 2.15514335e-02 3.53816607e-01 2.15534050e-02              True 1.97980666e-06             True 7.61458333e-01 3.82395833e-05               True 4.08208827e-01             False
1.40000000e+00 2.50000000e-01         C12  3.58547196e-01 1.55067696e-02 3.58546291e-01 1.55041427e-02              True 2.77860146e-06             True 7.61458333e-01 3.39817708e-05               True 4.03208125e-01             False
1.40000000e+00 2.60000000e-01         C12  3.61522966e-01 1.14522449e-02 3.61526128e-01 1.14534469e-02              True 3.38314321e-06             True 7.61458333e-01 1.00000000e-06               True 4.00099274e-01             False
1.40000000e+00 2.70000000e-01         C12  3.64370733e-01 7.38196784e-03 3.64366457e-01 7.38196727e-03              True 4.27559423e-06             True 7.61458333e-01 1.01102431e-05               True 3.97156023e-01             False
1.40000000e+00 2.85000000e-01         C12  3.68425601e-01 1.25362645e-03 3.68420064e-01 1.25477552e-03              True 5.65413630e-06             True 7.61458333e-01 1.00000000e-06               True 3.93034729e-01             False
1.45000000e+00 5.50000000e-02         C20  2.65108863e-01 6.84112391e-02 2.65117196e-01 6.84116690e-02              True 8.34404186e-06             True 7.61458333e-01 6.35578704e-05               True 5.01033135e-01             False
1.45000000e+00 6.50000000e-02         C20  2.77168595e-01 6.79358880e-02 2.77171024e-01 6.79406083e-02              True 5.30865277e-06             True 7.61458333e-01 3.82395833e-05               True 4.89026218e-01             False
1.45000000e+00 7.50000000e-02         C20  2.87782306e-01 6.67899812e-02 2.87778522e-01 6.67893169e-02              True 3.84231090e-06             True 7.61458333e-01 3.39817708e-05               True 4.78356919e-01             False
1.45000000e+00 8.50000000e-02         C20  2.97235718e-01 6.51403111e-02 2.97240116e-01 6.51405438e-02              True 4.40405004e-06             True 7.61458333e-01 5.66857639e-05               True 4.68762749e-01             False
1.45000000e+00 1.00000000e-01         C20  3.09677864e-01 6.19587369e-02 3.09673639e-01 6.19618117e-02              True 5.22516949e-06             True 7.61458333e-01 3.13674769e-05               True 4.56005034e-01             False
1.45000000e+00 1.10000000e-01         C20  3.17027138e-01 5.94747193e-02 3.17023212e-01 5.94756831e-02              True 4.04227506e-06             True 7.61458333e-01 3.60434028e-05               True 4.48388273e-01             False
1.45000000e+00 1.25000000e-01         C21  3.26901815e-01 5.53327092e-02 3.26900043e-01 5.53317783e-02              True 2.00178998e-06             True 7.61458333e-01 3.82395833e-05               True 4.38060322e-01             False
1.45000000e+00 1.30000000e-01         C21  3.29928689e-01 5.38600495e-02 3.29932271e-01 5.38577918e-02              True 4.23471631e-06             True 7.61458333e-01 3.39817708e-05               True 4.34873637e-01             False
1.45000000e+00 1.35000000e-01         C21  3.32837758e-01 5.23477555e-02 3.32839711e-01 5.23509979e-02              True 3.78506008e-06             True 7.61458333e-01 1.00000000e-06               True 4.31805258e-01             False
1.45000000e+00 1.45000000e-01         C21  3.38332007e-01 4.92167811e-02 3.38335106e-01 4.92210997e-02              True 5.31562757e-06             True 7.61458333e-01 1.00000000e-06               True 4.25978968e-01             False
1.45000000e+00 1.50000000e-01         C21  3.40930388e-01 4.76035894e-02 3.40933879e-01 4.76061628e-02              True 4.33681680e-06             True 7.61458333e-01 3.60434028e-05               True 4.23209669e-01             False
1.45000000e+00 1.55000000e-01         C21  3.43437507e-01 4.59618202e-02 3.43438842e-01 4.59657417e-02              True 4.14246716e-06             True 7.61458333e-01 6.35578704e-05               True 4.20533069e-01             False
1.45000000e+00 1.70000000e-01         C21  3.50462649e-01 4.08855647e-02 3.50460059e-01 4.08858247e-02              True 2.60225801e-06             True 7.61458333e-01 3.82395833e-05               True 4.13020528e-01             False
1.45000000e+00 1.85000000e-01         C21  3.56835982e-01 3.56190877e-02 3.56831561e-01 3.56146783e-02              True 6.24410194e-06             True 7.61458333e-01 1.00000000e-06               True 4.06187020e-01             False
