task_index,role,Mach,alpha,modal_setting,spectral_cr,spectral_ci,cr,ci,omega_i,matching_y,numerical_extent,modal_dy,tail_tolerance,analytic_tail_points,gamma_left_real,gamma_left_imag,gamma_right_real,gamma_right_imag,mu_left,mu_right,far_left,far_right,left_distance,right_distance,left_interface_amplitude,right_interface_amplitude,left_far_amplitude,right_far_amplitude,delta_kappa_at_match,delta_q_at_match,gamma_mismatch_at_match,right_log_amplitude_shift,n_coordinates,timestamp,modal_success,error
3,low_alpha,1.15,0.06,modal_nominal,-2.549736936302885e-09,0.1998472244836177,-2.549736936302885e-09,0.1998472244836177,0.011990833469017,1.0,40.0,0.025,1e-06,300,0.0241396268942023,-0.0394153827443379,-0.0241396267093811,-0.0394153832471132,0.0241396268942023,0.0241396267093811,-573.0635518301833,573.0635562940676,533.0635518301833,533.0635562940676,0.3876876435853025,0.3876876471656207,1.0000000000000004e-06,9.99999999999999e-07,5.893826801606217e-09,-3.2820360318375212e-09,6.746032528947036e-09,9.235058939793817e-09,3801,2026-07-24T08:33:27.682644+00:00,True,
3,low_alpha,1.15,0.06,modal_strict,-2.549736936302885e-09,0.1998472244836177,-2.549736936302885e-09,0.1998472244836177,0.011990833469017,1.0,50.0,0.0125,1e-06,300,0.0241396268942023,-0.0394153827443379,-0.0241396267093811,-0.0394153832471132,0.0241396268942023,0.0241396267093811,-573.0635518301833,573.0635562940454,523.0635518301833,523.0635562940454,0.3045403845557419,0.3045403879308834,9.99999999999999e-07,1.0000000000000004e-06,5.8930532190193405e-09,-3.284227920868909e-09,6.746423443455734e-09,1.1082738504697431e-08,8601,2026-07-24T08:33:27.975253+00:00,True,
4,peak_growth,1.15,0.165,modal_coarse,0.186149047302406,0.0913362385162638,0.186149047302406,0.0913362385162638,0.0150704793551835,1.0,40.0,0.05,1e-06,300,0.0252995623548893,-0.1541817416128636,-0.0713145128690661,-0.037529575103174,0.0252995623548893,0.0713145128690661,-546.4811094650706,194.69652172192528,506.4811094650706,154.69652172192528,0.3672324886333848,0.0618277201588083,9.99999999999999e-07,1.0000000000000004e-06,8.299326503813376e-12,1.0968843888736755e-11,1.3754793952378089e-11,-1.7816433213470655,2201,2026-07-24T08:33:33.998424+00:00,True,
4,peak_growth,1.15,0.165,modal_nominal,0.186149047302406,0.0913362385162638,0.186149047302406,0.0913362385162638,0.0150704793551835,1.0,40.0,0.025,1e-06,300,0.0252995623548893,-0.1541817416128636,-0.0713145128690661,-0.037529575103174,0.0252995623548893,0.0713145128690661,-546.4811094647578,194.6965217215708,506.48110946475776,154.6965217215708,0.3672324886304787,0.0618277201572453,1.0000000000000004e-06,1.0000000000000004e-06,-5.844259104437201e-11,-3.689886590718672e-11,6.911629875229326e-11,-1.7816433213644318,3801,2026-07-24T08:33:34.146065+00:00,True,
4,peak_growth,1.15,0.165,modal_strict,0.186149047302406,0.0913362385162638,0.186149047302406,0.0913362385162638,0.0150704793551835,1.0,50.0,0.0125,1e-06,300,0.0252995623548893,-0.1541817416128636,-0.0713145128690661,-0.037529575103174,0.0252995623548893,0.0713145128690661,-546.4811094647555,194.6965217215585,496.4811094647554,144.6965217215585,0.285145480506274,0.0303017868110717,9.99999999999999e-07,1.0000000000000004e-06,-6.064682089856888e-11,-4.0669138196003374e-11,7.302065246701587e-11,-2.2417928265070204,8601,2026-07-24T08:33:34.482855+00:00,True,
5,near_neutral,1.15,0.335,modal_coarse,0.2623954185031605,0.0011042778562011,0.2623954185031605,0.0011042778562011,0.0003699330818273,1.0,40.0,0.05,1e-06,300,0.0005868459471212,-0.352561559354988,-0.1774190216091888,-0.0006813763945124,0.0005868459471212,0.1774190216091888,-23520.063764209357,78.86335248454608,23480.063764209357,38.86335248454608,0.9643217256116468,0.0009874224620616,1.0000000000000004e-06,1.0000000000000004e-06,1.4381080812309044e-07,4.9390588043745926e-08,1.5205584079647633e-07,-6.884082283913631,2201,2026-07-24T08:33:42.858350+00:00,True,
5,near_neutral,1.15,0.335,modal_nominal,0.2623954185031605,0.0011042778562011,0.2623954185031605,0.0011042778562011,0.0003699330818273,1.0,40.0,0.025,1e-06,300,0.0005868459471212,-0.352561559354988,-0.1774190216091888,-0.0006813763945124,0.0005868459471212,0.1774190216091888,-23520.063765040155,78.86335225644078,23480.063765040155,38.863352256440784,0.9643217260818028,0.0009874224221004,1.0000000000000004e-06,1.000000000000002e-06,2.8544333563473856e-10,-6.909727332676546e-10,7.476103369922458e-10,-6.884082324871399,3801,2026-07-24T08:33:43.003497+00:00,True,
5,near_neutral,1.15,0.335,modal_strict,0.2623954185031605,0.0011042778562011,0.2623954185031605,0.0011042778562011,0.0003699330818273,1.0,50.0,0.0125,1e-06,300,0.0005868459471212,-0.352561559354988,-0.1774190216091888,-0.0006813763945124,0.0005868459471212,0.1774190216091888,-23520.063764487146,78.8633522540753,23470.063764487146,28.86335225407529,0.9586792154190552,0.0001674873317864,1.0000000000000004e-06,1.0000000000000004e-06,-4.998565450442527e-11,8.031701202010876e-11,9.460120546839803e-11,-8.652404081587225,8601,2026-07-24T08:33:43.324317+00:00,True,
6,low_alpha,1.2,0.05,modal_coarse,0.0587939705593892,0.1408414697456862,0.0587939705593892,0.1408414697456862,0.0070420734872843,1.0,40.0,0.05,1e-06,300,0.0132560167765583,-0.0404978030237992,-0.0161117396610496,-0.0296193357086935,0.0132560167765583,0.0161117396610496,-1042.8728230399493,858.3045717410316,1002.8728230399493,818.3045717410316,0.5936819201589434,0.5319528961531299,1.0000000000000004e-06,1.0000000000000004e-06,-5.224832719252781e-12,-3.1148382484413872e-12,6.082852477097223e-12,-0.1097887436337556,2201,2026-07-24T08:33:36.912698+00:00,True,
6,low_alpha,1.2,0.05,modal_nominal,0.0587939705593892,0.1408414697456862,0.0587939705593892,0.1408414697456862,0.0070420734872843,1.0,40.0,0.025,1e-06,300,0.0132560167765583,-0.0404978030237992,-0.0161117396610496,-0.0296193357086935,0.0132560167765583,0.0161117396610496,-1042.872737283424,858.3045011843054,1002.872737283424,818.3045011843054,0.5936812452676942,0.5319522914338876,1.0000000000000004e-06,1.0000000000000004e-06,-6.313026490456508e-12,-2.203056140293036e-11,2.291724109044303e-11,-0.1097887436354221,3801,2026-07-24T08:33:37.045422+00:00,True,
6,low_alpha,1.2,0.05,modal_strict,0.0587939705593892,0.1408414697456862,0.0587939705593892,0.1408414697456862,0.0070420734872843,1.0,50.0,0.0125,1e-06,300,0.0132560167765583,-0.0404978030237992,-0.0161117396610496,-0.0296193357086935,0.0132560167765583,0.0161117396610496,-1042.8727359967315,858.3045001255585,992.8727359967314,808.3045001255585,0.5199758490581272,0.4527936006258908,9.99999999999999e-07,1.0000000000000004e-06,-1.1349704162610939e-11,-2.0137086442773008e-11,2.3115320352149582e-11,-0.1383459724821732,8601,2026-07-24T08:33:37.357098+00:00,True,
7,peak_growth,1.2,0.16,modal_coarse,0.2163108523694062,0.0839300841651743,0.2163108523694062,0.0839300841651743,0.0134288134664279,1.0,40.0,0.05,1e-06,300,0.0220368077896833,-0.1707717441600239,-0.0672292256956119,-0.0360666528325763,0.0220368077896833,0.0672292256956119,-627.3141973767115,206.4942434361658,587.3141973767115,166.4942434361658,0.4177047322576469,0.0726405851694924,1.000000000000004e-06,1.0000000000000004e-06,-3.439330764631876e-11,2.8335996743455997e-12,3.450983769838363e-11,-1.7492510107525794,2201,2026-07-24T08:33:30.794515+00:00,True,
7,peak_growth,1.2,0.16,modal_nominal,0.2163108523694062,0.0839300841651743,0.2163108523694062,0.0839300841651743,0.0134288134664279,1.0,40.0,0.025,1e-06,300,0.0220368077896833,-0.1707717441600239,-0.0672292256956119,-0.0360666528325763,0.0220368077896833,0.0672292256956119,-627.3142019562756,206.49424493721148,587.3142019562756,166.49424493721148,0.4177047744119818,0.0726405924999549,1.000000000000002e-06,1.0000000000000004e-06,-7.115495692655571e-11,-3.348590155161091e-11,7.864053342865991e-11,-1.7492510107574133,3801,2026-07-24T08:33:30.928319+00:00,True,
7,peak_growth,1.2,0.16,modal_strict,0.2163108523694062,0.0839300841651743,0.2163108523694062,0.0839300841651743,0.0134288134664279,1.0,50.0,0.0125,1e-06,300,0.0220368077896833,-0.1707717441600239,-0.0672292256956119,-0.0360666528325763,0.0220368077896833,0.0672292256956119,-627.314182647392,206.4942386080004,577.314182647392,156.4942386080004,0.3350924280095612,0.0370856910212391,1.0000000000000004e-06,1.0000000000000004e-06,-7.656132672284599e-11,-3.715583569985359e-11,8.510107447098941e-11,-2.2011751898185024,8601,2026-07-24T08:33:31.234572+00:00,True,
8,near_neutral,1.2,0.325,modal_coarse,0.2866288464771564,0.0008986732498213,0.2866288464771564,0.0008986732498213,0.0002920688061919,1.0,40.0,0.05,1e-06,300,0.0004600073883433,-0.3823133871745416,-0.1679940852942404,-0.0005804336483752,0.0004600073883433,0.1679940852942404,-30018.106113025893,83.25421310580904,29978.106113025893,43.25421310580904,0.9749586126677994,0.0014314625543026,1.0000000000000004e-06,1.0000000000000004e-06,-7.388590494983306e-08,2.224826395236148e-07,2.3443048402383701e-07,-6.523698334700638,2201,2026-07-24T08:33:36.939823+00:00,True,
8,near_neutral,1.2,0.325,modal_nominal,0.2866288464771564,0.0008986732498213,0.2866288464771564,0.0008986732498213,0.0002920688061919,1.0,40.0,0.025,1e-06,300,0.0004600073883433,-0.3823133871745416,-0.1679940852942404,-0.0005804336483752,0.0004600073883433,0.1679940852942404,-30018.106114399183,83.25421322158786,29978.106114399183,43.254213221587854,0.974958613283704,0.0014314625821448,1.0000000000000004e-06,9.99999999999999e-07,-5.047303783256574e-09,2.295192039029892e-09,5.544653458648458e-09,-6.523698315882206,3801,2026-07-24T08:33:37.086912+00:00,True,
8,near_neutral,1.2,0.325,modal_strict,0.2866288464771564,0.0008986732498213,0.2866288464771564,0.0008986732498213,0.0002920688061919,1.0,50.0,0.0125,1e-06,300,0.0004600073883433,-0.3823133871745416,-0.1679940852942404,-0.0005804336483752,0.0004600073883433,0.1679940852942404,-30018.10611549024,83.25421323278009,29968.10611549024,33.25421323278009,0.970484031710856,0.0002668031536424,1.0000000000000004e-06,1.0000000000000004e-06,-3.1487229490423374e-11,-1.0395692195529908e-10,1.0862084166219084e-10,-8.19903909356284,8601,2026-07-24T08:33:37.437514+00:00,True,
9,low_alpha,1.25,0.05,modal_coarse,0.1201816977923283,0.124879699478062,0.1201816977923283,0.124879699478062,0.0062439849739031,1.0,40.0,0.05,1e-06,300,0.0110128635961004,-0.0496180956650578,-0.0160057278601804,-0.0268144839437484,0.0110128635961004,0.0160057278601804,-1255.0616214640236,864.0492347669244,1215.0616214640236,824.0492347669244,0.6477809629409771,0.5347249572410819,1.0000000000000004e-06,1.0000000000000004e-06,2.1200194030845942e-10,-1.1592901291712643e-10,2.4162855528784437e-10,-0.191800102970568,2201,2026-07-24T08:33:31.003532+00:00,True,
9,low_alpha,1.25,0.05,modal_nominal,0.1201816977923283,0.124879699478062,0.1201816977923283,0.124879699478062,0.0062439849739031,1.0,40.0,0.025,1e-06,300,0.0110128635961004,-0.0496180956650578,-0.0160057278601804,-0.0268144839437484,0.0110128635961004,0.0160057278601804,-1255.0614769150843,864.0491353087372,1215.0614769150843,824.0491353087372,0.6477799317407417,0.5347241060127373,1.0000000000000004e-06,1.0000000000000004e-06,2.0615679649504948e-10,-1.327446139121058e-10,2.4519738429227846e-10,-0.1918001029734983,3801,2026-07-24T08:33:31.137701+00:00,True,
9,low_alpha,1.25,0.05,modal_strict,0.1201816977923283,0.124879699478062,0.1201816977923283,0.124879699478062,0.0062439849739031,1.0,50.0,0.0125,1e-06,300,0.0110128635961004,-0.0496180956650578,-0.0160057278601804,-0.0268144839437484,0.0110128635961004,0.0160057278601804,-1255.061476915084,864.0491353086001,1205.061476915084,814.0491353086001,0.5802287319320842,0.4556357268234512,1.0000000000000004e-06,1.0000000000000004e-06,2.0007675551048096e-10,-1.3268484748418796e-10,2.400749400656033e-10,-0.2417287456164881,8601,2026-07-24T08:33:31.462133+00:00,True,
10,peak_growth,1.25,0.16,modal_coarse,0.2464222279528879,0.0743731035158428,0.2464222279528879,0.0743731035158428,0.0118996965625348,1.0,40.0,0.05,1e-06,300,0.0193566752053761,-0.1915624215428091,-0.0654237226469178,-0.0342664192009797,0.0193566752053761,0.0654237226469178,-714.1176956084612,212.19075211648607,674.1176956084612,172.19075211648612,0.4644816279268158,0.0780699117589997,1.000000000000002e-06,1.0000000000000004e-06,-2.466402082568209e-12,-7.872816981668862e-13,2.589005929920852e-12,-1.78331727525641,2201,2026-07-24T08:33:30.823364+00:00,True,
10,peak_growth,1.25,0.16,modal_nominal,0.2464222279528879,0.0743731035158428,0.2464222279528879,0.0743731035158428,0.0118996965625348,1.0,40.0,0.025,1e-06,300,0.0193566752053761,-0.1915624215428091,-0.0654237226469178,-0.0342664192009797,0.0193566752053761,0.0654237226469178,-714.1177013812304,212.19075382449964,674.1177013812304,172.19075382449964,0.4644816798287462,0.0780699204828915,9.99999999999999e-07,1.0000000000000004e-06,-2.5621213484150477e-11,-2.9557304520588794e-11,3.911624765903848e-11,-1.7833172752534217,3801,2026-07-24T08:33:30.956405+00:00,True,
10,peak_growth,1.25,0.16,modal_strict,0.2464222279528879,0.0743731035158428,0.2464222279528879,0.0743731035158428,0.0118996965625348,1.0,50.0,0.0125,1e-06,300,0.0193566752053761,-0.1915624215428091,-0.0654237226469178,-0.0342664192009797,0.0193566752053761,0.0654237226469178,-714.1176414234307,212.19073608499312,664.1176414234307,162.19073608499312,0.3827393480908919,0.0405836978239238,1.0000000000000004e-06,1.0000000000000004e-06,-2.854522174189356e-11,-3.2799127996918636e-11,4.348117387619756e-11,-2.24398774966974,8601,2026-07-24T08:33:31.260122+00:00,True,
11,near_neutral,1.25,0.315,modal_coarse,0.3091559040322113,0.0007611268890424,0.3091559040322113,0.0007611268890424,0.0002397549700483,1.0,40.0,0.05,1e-06,300,0.0003786074862212,-0.4080377744622598,-0.1588412650227074,-0.0005132334003841,0.0003786074862212,0.1588412650227074,-36486.65549621375,88.01420053353993,36446.65549621375,48.01420053353994,0.9836019959899022,0.0020521357350772,1.0000000000000004e-06,1.0000000000000004e-06,-1.23187390732582e-07,3.304216368464413e-07,3.526380457803488e-07,-6.172340266790606,2201,2026-07-24T08:33:45.287380+00:00,True,
11,near_neutral,1.25,0.315,modal_nominal,0.3091559040322113,0.0007611268890424,0.3091559040322113,0.0007611268890424,0.0002397549700483,1.0,40.0,0.025,1e-06,300,0.0003786074862212,-0.4080377744622598,-0.1588412650227074,-0.0005132334003841,0.0003786074862212,0.1588412650227074,-36486.65549543628,88.01420074011855,36446.65549543628,48.01420074011856,0.9836019957003708,0.0020521358024143,1.0000000000000004e-06,1.0000000000000004e-06,2.100147902805993e-09,4.20832869108532e-09,4.703259676636226e-09,-6.172340233683038,3801,2026-07-24T08:33:45.439129+00:00,True,
11,near_neutral,1.25,0.315,modal_strict,0.3091559040322113,0.0007611268890424,0.3091559040322113,0.0007611268890424,0.0002397549700483,1.0,50.0,0.0125,1e-06,300,0.0003786074862212,-0.4080377744622598,-0.1588412650227074,-0.0005132334003841,0.0003786074862212,0.1588412650227074,-36486.655495533,88.01420073621397,36436.655495533,38.014200736213965,0.9798850457114452,0.0004191478550822,1.0000000000000004e-06,1.0000000000000004e-06,-3.6962419236452604e-10,3.0259015518924176e-10,4.776848810655175e-10,-7.75696680970473,8601,2026-07-24T08:33:45.771828+00:00,True,
12,low_alpha,1.3,0.05,modal_coarse,0.1615554191173152,0.1092546527199461,0.1615554191173152,0.1092546527199461,0.0054627326359973,1.0,40.0,0.05,1e-06,300,0.0094214553920891,-0.0569100010076082,-0.0151792018525319,-0.0254971758980897,0.0094214553920891,0.0151792018525319,-1466.9037837558803,911.0895764742336,1426.9037837558803,871.0895764742336,0.6893540974116656,0.5526302951733444,1.0000000000000004e-06,1.0000000000000004e-06,1.3853708111244424e-11,-3.8299363680494025e-11,4.072795706590627e-11,-0.2210658345202404,2201,2026-07-24T08:33:30.736021+00:00,True,
12,low_alpha,1.3,0.05,modal_nominal,0.1615554191173152,0.1092546527199461,0.1615554191173152,0.1092546527199461,0.0054627326359973,1.0,40.0,0.025,1e-06,300,0.0094214553920891,-0.0569100010076082,-0.0151792018525319,-0.0254971758980897,0.0094214553920891,0.0151792018525319,-1466.9036735354264,911.0895080622269,1426.9036735354264,871.0895080622267,0.6893533815611737,0.5526297213004265,1.0000000000000004e-06,1.0000000000000004e-06,7.54776796618728e-12,-5.3851442402552685e-11,5.4377813951158897e-11,-0.2210658345228094,3801,2026-07-24T08:33:30.866941+00:00,True,
12,low_alpha,1.3,0.05,modal_strict,0.1615554191173152,0.1092546527199461,0.1615554191173152,0.1092546527199461,0.0054627326359973,1.0,50.0,0.0125,1e-06,300,0.0094214553920891,-0.0569100010076082,-0.0151792018525319,-0.0254971758980897,0.0094214553920891,0.0151792018525319,-1466.9036665820313,911.0895037462624,1416.9036665820313,861.0895037462623,0.6273718396897581,0.4748011626648013,1.0000000000000004e-06,1.0000000000000004e-06,2.5605108311399505e-12,-5.5560380948782566e-11,5.5619350471667915e-11,-0.2786432991290328,8601,2026-07-24T08:33:31.167869+00:00,True,
13,peak_growth,1.3,0.155,modal_coarse,0.2710116736171365,0.0677588912197648,0.2710116736171365,0.0677588912197648,0.0105026281390635,1.0,40.0,0.05,1e-06,300,0.0171291068980926,-0.2041414576007025,-0.0609642907292874,-0.0328973897422383,0.0171291068980926,0.0609642907292874,-806.9661914608731,227.65876467355304,766.9661914608731,187.65876467355304,0.5075984091505686,0.0930119712953778,1.0000000000000004e-06,1.0000000000000004e-06,-9.853229343548264e-13,-4.0580733218220644e-13,1.0656176029976445e-12,-1.696962393298891,2201,2026-07-24T08:33:30.838660+00:00,True,
13,peak_growth,1.3,0.155,modal_nominal,0.2710116736171365,0.0677588912197648,0.2710116736171365,0.0677588912197648,0.0105026281390635,1.0,40.0,0.025,1e-06,300,0.0171291068980926,-0.2041414576007025,-0.0609642907292874,-0.0328973897422383,0.0171291068980926,0.0609642907292874,-806.9661758174014,227.658760278196,766.9661758174014,187.658760278196,0.5075982731351779,0.0930119463719096,1.0000000000000004e-06,1.0000000000000004e-06,-1.5800936947751865e-11,-2.291723755210029e-11,2.7836475808662015e-11,-1.6969623933000184,3801,2026-07-24T08:33:30.973427+00:00,True,
13,peak_growth,1.3,0.155,modal_strict,0.2710116736171365,0.0677588912197648,0.2710116736171365,0.0677588912197648,0.0105026281390635,1.0,50.0,0.0125,1e-06,300,0.0171291068980926,-0.2041414576007025,-0.0609642907292874,-0.0328973897422383,0.0171291068980926,0.0609642907292874,-806.9661206930881,227.65874478993655,756.9661206930881,177.65874478993658,0.4276898659274284,0.0505561241761519,1.0000000000000004e-06,1.0000000000000004e-06,-1.7656230644202964e-11,-2.5966164982071934e-11,3.140038541861343e-11,-2.13531423161246,8601,2026-07-24T08:33:31.280019+00:00,True,
14,near_neutral,1.3,0.305,modal_coarse,0.3301974841968452,0.000766709282334,0.3301974841968452,0.000766709282334,0.0002338463311118,1.0,40.0,0.05,1e-06,300,0.0003726240786305,-0.4302910485191908,-0.1499813319137123,-0.000538302842198,0.0003726240786305,0.1499813319137123,-37079.639795791896,93.15544532953584,37039.639795791896,53.15544532953584,0.9864438177329732,0.0028995896007876,9.99999999999999e-07,1.0000000000000004e-06,-2.052507703242945e-07,2.2662466865464698e-07,3.0575581623502244e-07,-5.829537162725755,2201,2026-07-24T08:33:36.589745+00:00,True,
14,near_neutral,1.3,0.305,modal_nominal,0.3301974841968452,0.000766709282334,0.3301974841968452,0.000766709282334,0.0002338463311118,1.0,40.0,0.025,1e-06,300,0.0003726240786305,-0.4302910485191908,-0.1499813319137123,-0.000538302842198,0.0003726240786305,0.1499813319137123,-37079.63975979874,93.15544558538583,37039.63975979874,53.15544558538584,0.986443804502871,0.0028995897120527,1.0000000000000004e-06,1.0000000000000004e-06,-2.6398516705938846e-09,2.169217009549652e-09,3.416770299165113e-09,-5.829537110941116,3801,2026-07-24T08:33:36.737259+00:00,True,
14,near_neutral,1.3,0.305,modal_strict,0.3301974841968452,0.000766709282334,0.3301974841968452,0.000766709282334,0.0002338463311118,1.0,50.0,0.0125,1e-06,300,0.0003726240786305,-0.4302910485191908,-0.1499813319137123,-0.000538302842198,0.0003726240786305,0.1499813319137123,-37079.639703075605,93.15544544874524,37029.639703075605,43.15544544874524,0.9827748964167488,0.0006471066947171,1.0000000000000004e-06,1.0000000000000004e-06,-1.2632241086496518e-10,-1.1384950545246379e-10,1.7005605363675727e-10,-7.325624188649068,8601,2026-07-24T08:33:37.058487+00:00,True,
15,low_alpha,1.35,0.05,modal_coarse,0.1965550968817506,0.0943334435104852,0.1965550968817506,0.0943334435104852,0.0047166721755242,1.0,40.0,0.05,1e-06,300,0.0080830692617368,-0.0636252694515304,-0.0141034175226231,-0.0244852741303286,0.0080830692617368,0.0141034175226231,-1709.6670570344688,980.5481349536086,1669.6670570344688,940.5481349536086,0.7265295720995452,0.5766224781448229,1.0000000000000004e-06,1.0000000000000004e-06,-1.3791016939546097e-12,-2.7493070320350196e-11,2.7527637695995445e-11,-0.2310914186745802,2201,2026-07-24T08:33:30.742181+00:00,True,
