task_index,role,Mach,alpha,modal_setting,is_modal_reference,p_rel_l2_core,p_rel_l2_amp_mask,modulus_rel_l2_amp_mask,kappa_rel_l2_amp_mask,q_rel_l2_amp_mask,alignment_real,alignment_imag,comparison_core_limit,comparison_amplitude_threshold
3,low_alpha,1.15,0.06,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
4,peak_growth,1.15,0.165,modal_coarse,False,1.0420306672563048e-05,1.0420306672563048e-05,3.447886700615505e-06,4.529685444951002e-05,5.504727591446261e-05,1.000003124252373,-7.662552918575104e-06,20.0,0.001
4,peak_growth,1.15,0.165,modal_nominal,False,2.1175173620386926e-06,2.1175173620386926e-06,7.312825260669594e-07,9.366676297911564e-06,1.1382555491470615e-05,1.0000006248774684,-1.532437418959798e-06,20.0,0.001
4,peak_growth,1.15,0.165,modal_strict,True,1.5042003400405421e-16,1.5042003400405421e-16,1.5793702112955292e-16,0.0,0.0,1.0,0.0,20.0,0.001
5,near_neutral,1.15,0.335,modal_coarse,False,2.4526313791807905e-05,2.4526313791807905e-05,1.491506228146682e-05,7.49953858608736e-05,5.045263064424268e-05,1.0000189673627042,-5.600796972392689e-06,20.0,0.001
5,near_neutral,1.15,0.335,modal_nominal,False,5.099475612081843e-06,5.099475612081843e-06,3.2377985691790568e-06,1.5403472217919445e-05,1.049755062205028e-05,1.0000037942234652,-1.1858131872068355e-06,20.0,0.001
5,near_neutral,1.15,0.335,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
6,low_alpha,1.2,0.05,modal_coarse,False,2.7145217818588814e-06,2.7145217818588814e-06,5.785665086614521e-07,3.152480148621884e-05,6.252052013656273e-05,0.9999992020354154,-4.136316992053141e-06,20.0,0.001
6,low_alpha,1.2,0.05,modal_nominal,False,5.493154345579042e-07,5.493154345579042e-07,1.2104803416279373e-07,6.517640060454363e-06,1.292766070691456e-05,1.0000000541221064,-8.272337264163073e-07,20.0,0.001
6,low_alpha,1.2,0.05,modal_strict,True,1.3795456514549255e-16,1.3795456514549255e-16,1.4361113482495423e-16,0.0,0.0,1.0,0.0,20.0,0.001
7,peak_growth,1.2,0.16,modal_coarse,False,1.1120904361617764e-05,1.1120904361617764e-05,3.80353650150402e-06,4.7853008025246657e-05,5.343509779000264e-05,1.0000033477957826,-7.727134497695715e-06,20.0,0.001
7,peak_growth,1.2,0.16,modal_nominal,False,2.2616797717893274e-06,2.2616797717893274e-06,8.094299515050605e-07,9.895589559653691e-06,1.104918459357506e-05,1.000000308997475,-1.5453471111370471e-06,20.0,0.001
7,peak_growth,1.2,0.16,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
8,near_neutral,1.2,0.325,modal_coarse,False,2.718408993810244e-05,2.718408993810244e-05,1.7249520840496753e-05,7.680168500244504e-05,5.032503956073034e-05,1.0000220643961244,-6.352538551821951e-06,20.0,0.001
8,near_neutral,1.2,0.325,modal_nominal,False,5.66508404337629e-06,5.66508404337629e-06,3.7484060493178417e-06,1.6084161229772955e-05,1.0396216754583215e-05,1.0000044129053902,-1.2681395184183648e-06,20.0,0.001
8,near_neutral,1.2,0.325,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
9,low_alpha,1.25,0.05,modal_coarse,False,2.9559453798493783e-06,2.9559453798493783e-06,5.581478191177249e-07,3.404976976657335e-05,5.994236634315251e-05,0.99999881462073,-4.057103450282746e-06,20.0,0.001
9,low_alpha,1.25,0.05,modal_nominal,False,5.980825469714268e-07,5.980825469714268e-07,1.1732998288969597e-07,7.039901896023588e-06,1.2394536770061676e-05,1.0000000813059873,-8.113855014442585e-07,20.0,0.001
9,low_alpha,1.25,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
10,peak_growth,1.25,0.16,modal_coarse,False,1.2209584137636674e-05,1.2209584137636674e-05,4.517263292399526e-06,5.118720140410493e-05,5.19363150327199e-05,1.0000034506964182,-7.809164425972408e-06,20.0,0.001
10,peak_growth,1.25,0.16,modal_nominal,False,2.486423119492417e-06,2.486423119492417e-06,9.630500745234525e-07,1.058556495823446e-05,1.0739282598496302e-05,0.9999997393556096,-1.5617462424357214e-06,20.0,0.001
10,peak_growth,1.25,0.16,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
11,near_neutral,1.25,0.315,modal_coarse,False,2.9618818693738528e-05,2.9618818693738528e-05,1.951769916344837e-05,8.225582210832101e-05,4.950645049884725e-05,1.0000248894687696,-6.299985184135772e-06,20.0,0.001
11,near_neutral,1.25,0.315,modal_nominal,False,6.189740189128553e-06,6.189740189128553e-06,4.240756214200824e-06,1.6833297674381427e-05,1.029580978472346e-05,1.0000049770804649,-1.3381060688987724e-06,20.0,0.001
11,near_neutral,1.25,0.315,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
12,low_alpha,1.3,0.05,modal_coarse,False,3.1837723519635268e-06,3.1837723519635268e-06,5.527380826437016e-07,3.6075514293131895e-05,5.787823440923783e-05,0.999999357155914,-4.056380953192584e-06,20.0,0.001
12,low_alpha,1.3,0.05,modal_nominal,False,6.441553676468167e-07,6.441553676468167e-07,1.1678606209616428e-07,7.458927428355774e-06,1.196770635229145e-05,1.0000000267124929,-8.112359720834432e-07,20.0,0.001
12,low_alpha,1.3,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
13,peak_growth,1.3,0.155,modal_coarse,False,1.2758694344818736e-05,1.2758694344818736e-05,4.999922578079779e-06,5.3767543461618686e-05,5.0921169292068254e-05,1.0000037879284356,-7.777308757083926e-06,20.0,0.001
13,peak_growth,1.3,0.155,modal_nominal,False,2.6007644268761638e-06,2.6007644268761638e-06,1.06619806146274e-06,1.1119575725640686e-05,1.0529366226967038e-05,1.0000000558276216,-1.555369064882775e-06,20.0,0.001
13,peak_growth,1.3,0.155,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
14,near_neutral,1.3,0.305,modal_coarse,False,3.188339826125754e-05,3.188339826125754e-05,2.165564876365134e-05,8.409106803674101e-05,4.935789107655863e-05,1.0000273912617927,-7.0435693510028444e-06,20.0,0.001
14,near_neutral,1.3,0.305,modal_nominal,False,6.670427038975402e-06,6.670427038975402e-06,4.702573972469925e-06,1.764753026728654e-05,1.0194180716003605e-05,1.0000054627381616,-1.3974428177682582e-06,20.0,0.001
14,near_neutral,1.3,0.305,modal_strict,True,1.338807132199802e-16,1.338807132199802e-16,1.3861407893398036e-16,0.0,0.0,1.0,0.0,20.0,0.001
15,low_alpha,1.35,0.05,modal_coarse,False,3.404659169920948e-06,3.404659169920948e-06,5.702678728122485e-07,3.793005736651532e-05,5.612178425087534e-05,1.0000003703744602,-4.060128104159626e-06,20.0,0.001
15,low_alpha,1.35,0.05,modal_nominal,False,6.888839031661587e-07,6.888839031661587e-07,1.2099427293754338e-07,7.842595463702749e-06,1.1604500149140644e-05,1.000000122314245,-8.119805682277731e-07,20.0,0.001
15,low_alpha,1.35,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
16,peak_growth,1.35,0.155,modal_coarse,False,1.3833980273627707e-05,1.3833980273627707e-05,5.8876371350804485e-06,5.754090736852983e-05,4.98747763343006e-05,1.0000048238141888,-7.788469192403141e-06,20.0,0.001
16,peak_growth,1.35,0.155,modal_nominal,False,2.824329850672475e-06,2.824329850672475e-06,1.25551262322025e-06,1.190058314387522e-05,1.0313013671855644e-05,1.0000007370728203,-1.557599417596028e-06,20.0,0.001
16,peak_growth,1.35,0.155,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
17,near_neutral,1.35,0.295,modal_coarse,False,3.390667759722176e-05,3.390667759722176e-05,2.3646135773265552e-05,8.90383930763782e-05,4.864209154712452e-05,1.00002936070237,-6.83611202883751e-06,20.0,0.001
17,near_neutral,1.35,0.295,modal_nominal,False,7.104156076364795e-06,7.104156076364795e-06,5.126785978204963e-06,1.8504320079227416e-05,1.0089790583447504e-05,1.0000059272181474,-1.438326421945132e-06,20.0,0.001
17,near_neutral,1.35,0.295,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
18,low_alpha,1.4,0.05,modal_coarse,False,3.6236788017001e-06,3.6236788017001e-06,6.150714504394903e-07,3.985662695199148e-05,5.456485780585686e-05,1.0000002439474611,-4.052093727902761e-06,20.0,0.001
18,low_alpha,1.4,0.05,modal_nominal,False,7.332976016188323e-07,7.332976016188323e-07,1.307900471754545e-07,8.241232813676557e-06,1.128255218065385e-05,1.000000067072784,-8.103702010470511e-07,20.0,0.001
18,low_alpha,1.4,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
19,peak_growth,1.4,0.15,modal_coarse,False,1.4281630543749185e-05,1.4281630543749185e-05,6.386989957158121e-06,6.05623892795951e-05,4.913209917546924e-05,1.0000055831902217,-7.694007855315702e-06,20.0,0.001
19,peak_growth,1.4,0.15,modal_nominal,False,2.91843691692753e-06,2.91843691692753e-06,1.3612138077573986e-06,1.2525840776891008e-05,1.0159435011550957e-05,1.0000007048762556,-1.5386965161714497e-06,20.0,0.001
19,peak_growth,1.4,0.15,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
20,near_neutral,1.4,0.285,modal_coarse,False,3.5723060327264326e-05,3.5723060327264326e-05,2.5416588788854896e-05,9.25113988865253e-05,4.836597748153079e-05,1.000031520060134,-7.573487401957094e-06,20.0,0.001
20,near_neutral,1.4,0.285,modal_nominal,False,7.487037336687313e-06,7.487037336687313e-06,5.5069925090261545e-06,1.928234907599309e-05,9.987781427153698e-06,1.000006303383325,-1.4574430247450995e-06,20.0,0.001
20,near_neutral,1.4,0.285,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
21,low_alpha,1.45,0.05,modal_coarse,False,3.844586371755192e-06,3.844586371755192e-06,6.864940914031167e-07,4.206403175732911e-05,5.315351407724707e-05,1.0000006358585312,-4.02809393034041e-06,20.0,0.001
21,low_alpha,1.45,0.05,modal_nominal,False,7.781575274059422e-07,7.781575274059422e-07,1.4602058979431957e-07,8.698035777284803e-06,1.0990711359313404e-05,1.0000000166784728,-8.055670892838345e-07,20.0,0.001
21,low_alpha,1.45,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
22,peak_growth,1.45,0.15,modal_coarse,False,1.537487288451586e-05,1.537487288451586e-05,7.373849151712022e-06,6.501465489359072e-05,4.833391844787239e-05,1.0000072500322903,-7.664168969766144e-06,20.0,0.001
22,peak_growth,1.45,0.15,modal_nominal,False,3.146835834820126e-06,3.146835834820126e-06,1.5710692800616772e-06,1.3447646920996127e-05,9.994410570162642e-06,1.0000014483512991,-1.5327367623740056e-06,20.0,0.001
22,peak_growth,1.45,0.15,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
23,near_neutral,1.45,0.275,modal_coarse,False,3.725885919378965e-05,3.725885919378965e-05,2.697862253199866e-05,9.477119914529512e-05,4.786905969157943e-05,1.0000329458546662,-7.31650394846618e-06,20.0,0.001
23,near_neutral,1.45,0.275,modal_nominal,False,7.816997020251194e-06,7.816997020251194e-06,5.838708644035988e-06,1.9869713543762412e-05,9.8995995021337e-06,1.0000065618245255,-1.4819065712947435e-06,20.0,0.001
23,near_neutral,1.45,0.275,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
24,low_alpha,1.5,0.05,modal_coarse,False,4.069646060069108e-06,4.069646060069108e-06,7.802447024601428e-07,4.472130689419888e-05,5.186565384257232e-05,1.0000007357151606,-3.98969766959954e-06,20.0,0.001
24,low_alpha,1.5,0.05,modal_nominal,False,8.239202459773595e-07,8.239202459773595e-07,1.658246538849513e-07,9.2480260447766e-06,1.072440005588871e-05,1.0000001471480195,-7.97884110803466e-07,20.0,0.001
24,low_alpha,1.5,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
25,peak_growth,1.5,0.145,modal_coarse,False,1.5729825645759008e-05,1.5729825645759008e-05,7.829731012405584e-06,6.857131783707757e-05,4.774661562426276e-05,1.0000076998103422,-7.532746430491426e-06,20.0,0.001
25,peak_growth,1.5,0.145,modal_nominal,False,3.2220253046403443e-06,3.2220253046403443e-06,1.6670506343863287e-06,1.4183145417496798e-05,9.872964778300787e-06,1.000001459825529,-1.506434464833068e-06,20.0,0.001
25,peak_growth,1.5,0.145,modal_strict,True,1.4234321031643336e-16,1.4234321031643336e-16,1.4678381003945882e-16,0.0,0.0,1.0,0.0,20.0,0.001
26,near_neutral,1.5,0.27,modal_coarse,False,3.9680593060752125e-05,3.9680593060752125e-05,2.941754084438531e-05,0.0001024033448848,4.750683980638952e-05,1.0000358203132549,-7.915729955367384e-06,20.0,0.001
26,near_neutral,1.5,0.27,modal_nominal,False,8.331853362265831e-06,8.331853362265831e-06,6.362470588175743e-06,2.072325219205866e-05,9.843962304959315e-06,1.000007178601536,-1.495023906139745e-06,20.0,0.001
26,near_neutral,1.5,0.27,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
27,low_alpha,1.55,0.05,modal_coarse,False,4.299679865879396e-06,4.299679865879396e-06,8.910940485453419e-07,4.793680624218414e-05,5.069408257186952e-05,1.0000007307410332,-3.941202967632443e-06,20.0,0.001
27,low_alpha,1.55,0.05,modal_nominal,False,8.707493837624361e-07,8.707493837624361e-07,1.891558524150229e-07,9.913454354283334e-06,1.0482140417735726e-05,1.0000001359249877,-7.881827348477371e-07,20.0,0.001
27,low_alpha,1.55,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
28,peak_growth,1.55,0.145,modal_coarse,False,1.6846335111392717e-05,1.6846335111392717e-05,8.874973232678363e-06,7.369179500732506e-05,4.710942167566347e-05,1.0000087190886826,-7.485016617472753e-06,20.0,0.001
28,peak_growth,1.55,0.145,modal_nominal,False,3.456020440289322e-06,3.456020440289322e-06,1.8891094927804572e-06,1.5244321111303927e-05,9.741186881847849e-06,1.000001857951085,-1.4968925399329104e-06,20.0,0.001
28,peak_growth,1.55,0.145,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
29,near_neutral,1.55,0.26,modal_coarse,False,4.0789417314361024e-05,4.0789417314361024e-05,3.056911189206318e-05,0.0001028412512408,4.7232863579319e-05,1.000036790985927,-7.910903327392463e-06,20.0,0.001
29,near_neutral,1.55,0.26,modal_nominal,False,8.570435858493395e-06,8.570435858493395e-06,6.605474183659277e-06,2.1521339863338267e-05,9.762660838024113e-06,1.0000073587004397,-1.576606658665871e-06,20.0,0.001
29,near_neutral,1.55,0.26,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
30,low_alpha,1.6,0.05,modal_coarse,False,4.534538647154037e-06,4.534538647154037e-06,1.0146979545390668e-06,5.1744744133454655e-05,4.9634836101379245e-05,1.00000091175589,-3.8873014251093016e-06,20.0,0.001
30,low_alpha,1.6,0.05,modal_nominal,False,9.186113762716688e-07,9.186113762716688e-07,2.1514061830888539e-07,1.0701979584121137e-05,1.0263104536628163e-05,1.0000001393265503,-7.774002713447789e-07,20.0,0.001
30,low_alpha,1.6,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
31,peak_growth,1.6,0.14,modal_coarse,False,1.7102222400009806e-05,1.7102222400009806e-05,9.25190068110813e-06,7.774250629354833e-05,4.662230591719471e-05,1.000008636269771,-7.3335153753186866e-06,20.0,0.001
31,peak_growth,1.6,0.14,modal_nominal,False,3.510639820720193e-06,3.510639820720193e-06,1.96804620726018e-06,1.6080639657313156e-05,9.640545564477693e-06,1.000001773649012,-1.4666298493865914e-06,20.0,0.001
31,peak_growth,1.6,0.14,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
32,near_neutral,1.6,0.255,modal_coarse,False,4.296254416510517e-05,4.296254416510517e-05,3.279100928933648e-05,0.0001100991050046,4.6761918183888345e-05,1.000039144933015,-8.101686384431925e-06,20.0,0.001
32,near_neutral,1.6,0.255,modal_nominal,False,9.02888317523912e-06,9.02888317523912e-06,7.073684003935178e-06,2.2855322050549837e-05,9.692722448160484e-06,1.0000078520757143,-1.5867633295561754e-06,20.0,0.001
32,near_neutral,1.6,0.255,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
33,low_alpha,1.65,0.05,modal_coarse,False,4.773676166888879e-06,4.773676166888879e-06,1.1480905336633904e-06,5.613280005869371e-05,4.868177899854692e-05,1.0000009102865133,-3.831754654832824e-06,20.0,0.001
33,low_alpha,1.65,0.05,modal_nominal,False,9.673914996669046e-07,9.673914996669046e-07,2.431778748454107e-07,1.1609384373517773e-05,1.0066018641284767e-05,1.0000001862960188,-7.662840209818042e-07,20.0,0.001
33,low_alpha,1.65,0.05,modal_strict,True,1.2828892336586052e-16,1.2828892336586052e-16,1.3176010828749531e-16,0.0,0.0,1.0,0.0,20.0,0.001
34,peak_growth,1.65,0.14,modal_coarse,False,1.823685348111984e-05,1.823685348111984e-05,1.0330645538949396e-05,8.342138869760238e-05,4.609982038152005e-05,1.00000974724719,-7.283629094138374e-06,20.0,0.001
34,peak_growth,1.65,0.14,modal_nominal,False,3.7489027383620695e-06,3.7489027383620695e-06,2.197140480381049e-06,1.7258369797744052e-05,9.532329401824856e-06,1.0000018499968928,-1.4565042215599986e-06,20.0,0.001
34,peak_growth,1.65,0.14,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
35,near_neutral,1.65,0.245,modal_coarse,False,4.3575437142142765e-05,4.3575437142142765e-05,3.3463781274571304e-05,0.0001139029070806,4.643110559200959e-05,1.000039480564122,-8.156033207245824e-06,20.0,0.001
35,near_neutral,1.65,0.245,modal_nominal,False,9.161730999497678e-06,9.161730999497678e-06,7.21956315258319e-06,2.347295450256824e-05,9.599260253722504e-06,1.000007896126337,-1.576942439432823e-06,20.0,0.001
35,near_neutral,1.65,0.245,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
36,low_alpha,1.7,0.05,modal_coarse,False,5.016493647923149e-06,5.016493647923149e-06,1.2894515036703468e-06,6.102851188525602e-05,4.7825933849101553e-05,1.0000011295827282,-3.77695260248799e-06,20.0,0.001
36,low_alpha,1.7,0.05,modal_nominal,False,1.0169711323812818e-06,1.0169711323812818e-06,2.728960216544902e-07,1.2624436561501206e-05,9.889063076629325e-06,1.0000002349838055,-7.553309580914058e-07,20.0,0.001
36,low_alpha,1.7,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
37,peak_growth,1.7,0.14,modal_coarse,False,1.9415361782671105e-05,1.9415361782671105e-05,1.1459870127225504e-05,8.936638820003029e-05,4.562855974928144e-05,1.000010546444534,-7.234633405506748e-06,20.0,0.001
37,peak_growth,1.7,0.14,modal_nominal,False,3.996792417307644e-06,3.996792417307644e-06,2.437018114690036e-06,1.8487739354313617e-05,9.435175875708462e-06,1.0000018156358854,-1.4470116779460263e-06,20.0,0.001
37,peak_growth,1.7,0.14,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
38,near_neutral,1.7,0.24,modal_coarse,False,4.542855674262995e-05,4.542855674262995e-05,3.538287821732651e-05,0.0001158792214879,4.618750858801972e-05,1.000041350187141,-8.043558489930162e-06,20.0,0.001
38,near_neutral,1.7,0.24,modal_nominal,False,9.559036978054785e-06,9.559036978054785e-06,7.627215718988942e-06,2.421819104361256e-05,9.549288696225034e-06,1.000008298602476,-1.605753354666792e-06,20.0,0.001
38,near_neutral,1.7,0.24,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
39,low_alpha,1.75,0.05,modal_coarse,False,5.262589623495616e-06,5.262589623495616e-06,1.4377294908338811e-06,6.640241989549425e-05,4.705752583928706e-05,1.0000011718842703,-3.724551158519581e-06,20.0,0.001
39,low_alpha,1.75,0.05,modal_nominal,False,1.0672593375660013e-06,1.0672593375660013e-06,3.040781925985122e-07,1.373321882871437e-05,9.73013924456402e-06,1.0000002623686013,-7.448319742643881e-07,20.0,0.001
39,low_alpha,1.75,0.05,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
40,peak_growth,1.75,0.135,modal_coarse,False,1.9526162216988617e-05,1.9526162216988617e-05,1.170035295139885e-05,9.401107458995223e-05,4.524455145190281e-05,1.0000091363608523,-7.07748613608752e-06,20.0,0.001
40,peak_growth,1.75,0.135,modal_nominal,False,4.020888255560551e-06,4.020888255560551e-06,2.4866877820558387e-06,1.9444261659254697e-05,9.355557357939552e-06,1.0000022073059052,-1.415204379987489e-06,20.0,0.001
40,peak_growth,1.75,0.135,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
41,near_neutral,1.75,0.235,modal_coarse,False,4.733531544278846e-05,4.733531544278846e-05,3.737614734486031e-05,0.0001245244920617,4.578182869190516e-05,1.0000431491714177,-8.299546808999963e-06,20.0,0.001
41,near_neutral,1.75,0.235,modal_nominal,False,9.93544311203185e-06,9.93544311203185e-06,8.010064645335991e-06,2.553779868231864e-05,9.49148383193963e-06,1.0000086634049414,-1.7149749314836828e-06,20.0,0.001
