point_id,Mach,alpha,cr,ci,omega_i,validation_status,has_exported_modal_fields,reference_tier,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,modal_fields_file,modes_pdf,blumen_ci_overlay_pdf,validation_note
M1.40_a0.125000,1.4,0.125,0.303271264704649,0.0535875093459158,0.006698438668239475,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0017665559834707,3.0047490024189555e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.40_a0.137500,1.4,0.1375,0.3111424049240388,0.0511307865076858,0.007030483144806798,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0016248557187462,6.237268754360609e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.40_a0.150000,1.4,0.15,0.3182275185165742,0.0486740636694557,0.007301109550418355,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0013443567711178,1.157019368920801e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.40_a0.162500,1.4,0.1625,0.3246580112197962,0.0462173408312256,0.00751031788507416,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0009231956973406,1.3332772273236985e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.40_a0.168750,1.4,0.16875,0.32767268188658,0.0450433791097876,0.007601070224776658,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0006446884127008,7.493539522747767e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.40_a0.175000,1.4,0.175,0.3334272163349703,0.0426165444542578,0.007457895279495114,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,4.406057886329088e-06,9.000934100903454e-24,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.40_a0.181250,1.4,0.18125,0.3153193678544234,0.0427209194542578,0.007743166651084227,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0058666869984485,1.3654422406630672e-18,True,True,,,extension_or_unmatched,candidate_dense,shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.40_a0.187500,1.4,0.1875,0.3183709082056269,0.0411403935788011,0.0077138237960252065,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0060030096781822,6.8384475574140265e-19,True,True,,,extension_or_unmatched,candidate_dense,shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.40_a0.193750,1.4,0.19375,0.3222828767123289,0.024414084798728,0.00473022892975355,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0307914139539887,2.902276857159237e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_M140_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_M140_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.40_a0.200000,1.4,0.2,0.3240857069010081,0.0232528549709631,0.00465057099419262,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0333763724194165,7.490435597356611e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.50_a0.100000,1.5,0.1,0.3293676490936765,0.0460323254563964,0.00460323254563964,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0052546983899283,1.270114345714536e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M15_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M15_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.50_a0.125000,1.5,0.125,0.3492641497157056,0.0487962958623987,0.006099536982799837,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,1.940808103109891e-06,8.584788614904849e-21,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.50_a0.137500,1.5,0.1375,0.3561293840907055,0.0454370701278998,0.006247597142586223,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,2.9242691405786992e-06,8.883374749124309e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.50_a0.150000,1.5,0.15,0.3623598528407056,0.0418239381434009,0.0062735907215101345,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,1.5826674783649809e-06,1.7707920233320626e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.50_a0.156250,1.5,0.15625,0.3652797747157056,0.0399391725184009,0.006240495706000141,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,1.7671296518669656e-06,2.0131771728764467e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
M1.50_a0.158333,1.5,0.158333,0.2399414062499999,0.0374707031249999,0.0059328488378906094,modal_spectral_validated_with_exported_fields,True,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,0.0254194812899849,1.3342919540887097e-18,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23"
M1.50_a0.162500,1.5,0.1625,0.3680825090907056,0.0380056534011514,0.0061759186776871025,modal_spectral_validated_with_exported_fields,True,A_FINAL23_VALIDATED_MODAL_SPECTRAL,True,True,YES,validated,1.5637777600864958e-06,2.376309309757678e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,assets/supersonic/supersonic_modal_fields_p_rho_u_v_44pts.csv,assets/supersonic/supersonic_modes_p_rho_u_v_44pts.pdf,assets/supersonic/blumen_ci_isolines_overlay_44pts.pdf,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True"
