[info] dataset: assets/pinn_supersonic/datasets/fixedM_M180_alpha_branch_pq_modal_anchors_tail_polished.npz
[info] run dir: assets/pinn_supersonic/runs/pinn_chart_M180_alpha_070_190_pq_supervised_tail_polished_asinh_w192_d6
[info] device: cuda
[info] n train rows: 216482
[info] n val rows: 216482
[info] n spectral anchors: 49
[epoch 005450] train=1.4353e-04 modal=1.4337e-04 spec=1.6401e-07 val=1.4559e-04
[epoch 005500] train=1.5291e-04 modal=1.4755e-04 spec=5.3632e-06 val=1.4191e-04
[epoch 005550] train=1.3725e-04 modal=1.3714e-04 spec=1.1066e-07 val=1.3103e-04
[epoch 005600] train=1.4015e-04 modal=1.3997e-04 spec=1.7648e-07 val=1.3105e-04
[epoch 005650] train=2.1940e-04 modal=2.1915e-04 spec=2.4982e-07 val=2.1829e-04
[epoch 005700] train=1.3027e-04 modal=1.2907e-04 spec=1.1965e-06 val=1.4603e-04
[epoch 005750] train=1.3758e-04 modal=1.3734e-04 spec=2.4381e-07 val=1.2894e-04
[epoch 005800] train=1.7201e-04 modal=1.7190e-04 spec=1.0528e-07 val=2.5855e-04
[epoch 005850] train=1.2761e-04 modal=1.2750e-04 spec=1.0504e-07 val=1.2203e-04
[epoch 005900] train=1.2767e-04 modal=1.2748e-04 spec=1.8699e-07 val=1.4952e-04
[epoch 005950] train=1.4464e-04 modal=1.4453e-04 spec=1.1057e-07 val=1.4179e-04
[epoch 006000] train=1.5823e-04 modal=1.5577e-04 spec=2.4583e-06 val=1.2193e-04
[epoch 006050] train=1.3899e-04 modal=1.3889e-04 spec=1.0854e-07 val=1.1659e-04
[epoch 006100] train=1.1880e-04 modal=1.1828e-04 spec=5.1977e-07 val=1.2416e-04
[epoch 006150] train=1.3838e-04 modal=1.3827e-04 spec=1.0464e-07 val=1.2344e-04
[epoch 006200] train=1.2273e-04 modal=1.2259e-04 spec=1.3703e-07 val=1.6346e-04
[epoch 006250] train=1.2781e-04 modal=1.2770e-04 spec=1.0602e-07 val=1.6433e-04
[epoch 006300] train=1.6411e-04 modal=1.6400e-04 spec=1.0458e-07 val=1.9440e-04
[epoch 006350] train=1.3628e-04 modal=1.3617e-04 spec=1.0451e-07 val=1.1042e-04
[epoch 006400] train=1.5456e-04 modal=1.5444e-04 spec=1.1660e-07 val=1.7977e-04
[epoch 006450] train=1.3792e-04 modal=1.3781e-04 spec=1.0534e-07 val=1.2320e-04
[epoch 006500] train=1.4241e-04 modal=1.4230e-04 spec=1.0448e-07 val=1.3865e-04
