Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,setting,source,validation_status
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-95.47402392239594,-0.17100612229238596,-0.05122640373816853,-0.5540598362273306,-0.16597354811166604,-0.11776088523177837,-0.03317288005413568,0.28440243720065655,0.08606123563021735,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-88.64761248800866,0.03876315323522849,0.18169496073891672,0.12559261648214032,0.5886916727940902,0.028613494210999825,0.12406970089919762,-0.06367712826323049,-0.302612231363928,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-82.72887140269331,0.17433983511807322,-0.0812097857223241,0.5648610657825572,-0.2631197057403301,0.11855045413900436,-0.05761720757187685,-0.2905668362801519,0.13436392284730833,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-77.54805124810733,-0.0840223717015313,-0.17955525781157283,-0.27223248431296143,-0.581759035309496,-0.0596034130183318,-0.12209259754502745,0.13902124974281044,0.2992610013569205,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-72.97524671095128,-0.1970363087529898,0.051336632621712806,-0.638397640359687,0.16633068969434947,-0.13444050144744218,0.03740268936542169,0.3282064038586078,-0.08453445291914781,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-68.90935414807848,-0.017034737376892112,0.20781618326531648,-0.05519254910113048,0.6733244337796255,-0.009327403097756667,0.14259919701749704,0.029320101646483656,-0.345831839440492,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-65.27050866225406,0.18179952735407703,0.11098129532296874,0.5890304686272095,0.3595793968464188,0.12583159427174193,0.0739983415529406,-0.3020904344136668,-0.18557368502239913,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-61.994785373020974,0.19585819511029928,-0.09369745330092437,0.6345805521573696,-0.30357974869499504,0.13315504684345966,-0.06641732277061359,-0.32644227504516216,0.15504970946847457,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-59.03041163444247,0.049243530969183574,-0.21535462863561936,0.15954904034015477,-0.6977489967794067,0.03131352488071171,-0.14812850492745755,-0.08296681801900205,0.35822994534123026,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.125,0.4589165759999999,0.0240312319999999,0.0030039039999999874,-39.44128867603709,1200.0,-56.33501034599148,-0.1254829111438901,-0.18606304750708172,-0.40656463210620397,-0.6028442739229449,-0.08808787944346529,-0.1260841025907898,0.20800226831452306,0.3102859107050336,ms1p5_y1200,convergence_audit_recomputed,convergence_audit_only_not_validated
