Mach,alpha,cr,ci,omega_i,ln_p_start_right_exact,max_y_limit_used,y,p_real,p_imag,rho_real,rho_imag,u_real,u_imag,v_real,v_imag,setting,source,validation_status
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-0.0060610618494936555,0.27352380456350267,-0.13260443504873043,0.8862171267857487,-0.4296383695578867,1.7164015179123722,1.455491888715578,-0.15004722060109196,0.09312694712380162,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-0.004497990895561441,0.2735121636518806,-0.1326244875585102,0.8861794102320932,-0.4297033396895731,1.7177803316083733,1.454808161815267,-0.14959611843596227,0.09277540615931579,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-0.0029349272678341753,0.27350060690680456,-0.1326444154812825,0.8861419663780468,-0.4297679061593553,1.7191535402679037,1.4541159159824497,-0.14914538164610816,0.09242310688730987,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,-0.0013718684204218163,0.27348913410854403,-0.13266421928047883,0.8861047945116827,-0.42983207046875155,1.720521143760614,1.453415150363521,-0.14869501193492277,0.09207005033575662,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.0,0.2734794484478568,-0.1326816427834633,0.8860734129710562,-0.4298885226184212,1.7219668654305893,1.4527916231545166,-0.14830055461235847,0.09178029878627764,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.0011995803613666976,0.2734707545646566,-0.1326966745476488,0.8860452447894874,-0.42993722553438224,1.7230088635127538,1.4522422956274388,-0.14795541439522383,0.09150826851383485,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.0023991618735252937,0.27346210979126606,-0.13271163392395,0.8860172357237021,-0.42998569391359803,1.7240475599886211,1.4516879487310914,-0.14761049304231394,0.09123579380478188,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.0035987456872720322,0.27345351402706,-0.13272652112076677,0.8859893854476741,-0.4300339284312843,1.7250829551926736,1.4511285820922932,-0.1472657913249602,0.09096287511932483,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.004798332953409852,0.2734449671710948,-0.1327413363463514,0.8859616936343471,-0.4300819297621786,1.7261150495485424,1.4505641953410928,-0.14692131001495196,0.09068951291680279,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
1.8,0.175,0.47527856,0.014093992,0.0024664485999999998,-113.34442777365624,2000.0,0.005997924822753729,0.27343646912217034,-0.13275607980868492,0.8859341599558321,-0.43012969858013916,1.727143843568583,1.4499947881103135,-0.14657704988450998,0.0904157076555762,ms3_y2000,convergence_audit_recomputed,convergence_audit_only_not_validated
