chart_id,n_points,n_charts,median_e_joint,median_e_anchor,median_delta_e,mean_delta_e,fraction_physics_better,median_delta_e_prefit,median_delta_e_rel_reg
HM2_NEUTRAL1,4.0,1.0,0.00086468195364465,0.0008648224332541,-1.2089113154978293e-07,5.029464422018348e-08,0.5,3.677916510198137e-05,-9.628303873580185e-07
HM2_NEUTRAL2,1.0,1.0,0.0002542135149919,0.0002545879246454,-3.744096534197272e-07,-3.744096534197272e-07,1.0,2.7755568572249145e-05,-5.123649445764201e-06
HM2_NEUTRAL3,14.0,1.0,0.00093713135971595,0.00094191458482875,-3.8472621240780505e-06,-2.9183641101146462e-06,0.8571428571428571,-7.151798223239622e-06,-7.694524248154743e-05
HM2_VLOW_EXTREME,22.0,1.0,0.00013927964432335,0.00017044528350565003,-2.0302350084072662e-05,-1.9196179285527444e-05,0.8636363636363636,-1.4606438185738035e-05,-4.179827691490989e-05
HM2_VLOW_MOD,4.0,1.0,0.0004846359170305,0.0005616995188795,-4.411359747230614e-05,-4.6464171915207745e-05,0.75,-3.090496772140128e-05,-9.993440163262333e-05
LMEDGE_HIGH,3.0,1.0,0.0001373504657906,0.0001366559234881,6.945423025039865e-07,-4.3772277386056047e-07,0.3333333333333333,-1.7349449181969234e-05,2.23199764035558e-06
LMEDGE_MID,1.0,1.0,0.0011693103411996,0.0011620480593949,7.262281804754078e-06,7.262281804754078e-06,0.0,0.0003030747419554,2.1270320999156826e-05
LMEDGE_NEUTRAL1,2.0,1.0,0.0003333754482926713,0.0003319460241035227,1.429424189153261e-06,1.429424189153261e-06,0.5,-6.733152767337049e-05,5.7388831874135345e-06
LMEDGE_NEUTRAL2,1.0,1.0,5.379832862828504e-05,5.386570921352141e-05,-6.738058523636514e-08,-6.738058523636514e-08,1.0,-3.0441167191141982e-05,-6.338818533622439e-07
LMEDGE_NEUTRAL3,3.0,1.0,0.0002856083316478,0.0003389503217743,-3.545558512704772e-05,-4.112235725789217e-05,1.0,1.6485319143173804e-05,-0.0007091117025409
LMEDGE_VLOW,1.0,1.0,0.0001707334467269,0.0001746501206281,-3.916673901205314e-06,-3.916673901205314e-06,1.0,9.44226068799736e-06,-4.62261038011811e-06
LOW,20.0,1.0,0.00027069240582039997,0.00026861064713125,4.0510334556875804e-06,3.1258712068216177e-06,0.35,-1.1959275044409745e-05,7.545865147603266e-06
LOWM_EXT_HIGH,1.0,1.0,0.0004077813230589,0.0004169714840046,-9.19016094569347e-06,-9.19016094569347e-06,1.0,2.025718272397059e-05,-3.526975654752503e-05
LOWM_EXT_LOW,1.0,1.0,0.0003546985342396,0.0003539497775768,7.487566627828457e-07,7.487566627828457e-07,0.0,0.0001033101975979,1.2620952189148138e-06
LOWM_EXT_MID,1.0,1.0,0.0014689416012169,0.0014772977581194,-8.356156902533662e-06,-8.356156902533662e-06,1.0,8.179523537871214e-05,-2.3992289849477343e-05
LOWM_EXT_NEUTRAL1,2.0,1.0,0.0008555008818698,0.0008545106247322,9.902571375397518e-07,9.902571375397518e-07,0.0,5.937969049341436e-05,4.23464009027515e-06
LOWM_EXT_NEUTRAL2,1.0,1.0,0.0003972978666451,0.0003918335204832,5.46434616190139e-06,5.46434616190139e-06,0.0,0.0001344492922945,4.587627229404043e-05
LOWM_EXT_NEUTRAL3,3.0,1.0,0.0003082878820589,0.0003195302284,-1.124234634107199e-05,-1.017289289700502e-05,1.0,3.069337622846682e-05,-0.0002248469268214
LOWM_EXT_VLOW_EXTREME,1.0,1.0,0.0004800826878814,0.0004649149923572,1.5167695524231917e-05,1.5167695524231917e-05,0.0,9.73346262700403e-05,1.87098581876724e-05
LOWM_EXT_VLOW_MOD,1.0,1.0,0.0001911084122131,0.0001916471699594,-5.38757746304519e-07,-5.38757746304519e-07,1.0,-5.265314212254957e-05,-7.986504200851834e-07
MID,43.0,1.0,0.0002198522398985,0.0002154951900628,-5.685205258509907e-06,-1.5397460228571987e-06,0.5348837209302325,1.104452097688835e-05,-1.4099803390023834e-05
NEUTRAL1_HIM,9.0,1.0,0.0002256773377827,0.0002255761079561,-9.25046954980413e-07,-1.4427412349033503e-06,0.6666666666666666,-1.8922154343126163e-05,-4.121950009791046e-06
NEUTRAL1_LOWM,9.0,1.0,0.0003766985701563,0.0003792197437496,-2.808562138412185e-07,3.333764611590517e-08,0.6666666666666666,1.532307885049322e-05,-1.820151717849472e-06
NEUTRAL2_HIM,15.0,1.0,0.0001872763965329,0.0001783293771676,-2.4220886384526685e-06,-2.9377581349983767e-07,0.7333333333333333,3.2665109552854066e-05,-3.801223670724888e-05
NEUTRAL2_LOWM,4.0,1.0,0.00037152540786355,0.00037479863025390004,-2.4342861968291996e-06,-2.1303959947972105e-06,0.75,2.9848978133604348e-05,-3.730535750739333e-05
NEUTRAL3_HIM,24.0,1.0,0.00022200813542455,0.00023724737829120001,-1.5381949244106137e-05,-1.6376096810504946e-05,1.0,1.342527089970725e-05,-0.00030763898488205
NEUTRAL3_LOWM,21.0,1.0,0.0002024994896779,0.0002357473095708,-4.032560628378784e-05,-4.2273726005177105e-05,0.9523809523809523,1.1707653959722867e-05,-0.0008065121256757
ULTRALOW_M002_006_eta002_006,1.0,1.0,0.0001661788125548,0.0001528791321274,1.329968042740326e-05,1.329968042740326e-05,0.0,3.657479669827435e-05,1.4576013383476026e-05
VLOW_EXTREME_CI_ONLY,12.0,1.0,0.00034379086341565,0.00032959727900855004,1.2061124900264453e-05,1.923624639216248e-05,0.08333333333333333,-5.876249394753952e-05,1.870475668564245e-05
VLOW_MOD_QSCALED,21.0,1.0,0.0002780117983035,0.0003345919107531,-1.933066720916088e-05,-2.5928145470173403e-05,0.7619047619047619,-0.0001072369176511,-2.9055741967143404e-05
