alpha,Mach,N,mapping_kind,mapping_scale,cubic_delta,xi_max,shooting_cr,shooting_ci,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,n_finite_modes,success
0.18,1.8,641,pin,1.5,0.2,0.98,0.47708333333333325,0.012988934895833332,0.4721645964827022,0.019882416356641154,0.0035788349441954075,0.014638111859381332,nearest_to_target,201,True
0.18,1.8,641,pin,5.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.484249739749272,0.01976440596507464,0.003557593073713435,0.015329233958646198,nearest_to_target,213,True
0.18,1.8,721,pin,2.0,0.2,0.98,0.47708333333333325,0.012988934895833332,0.47861947247770104,0.021030251589915876,0.0037854452861848576,0.01615582929375591,nearest_to_target,230,True
0.18,1.8,641,pin,3.0,0.2,0.95,0.47708333333333325,0.012988934895833332,0.48016879949814345,0.0227518365281469,0.004095330575066442,0.019768082724005185,nearest_to_target,209,True
0.18,1.8,561,pin,2.0,0.2,0.95,0.47708333333333325,0.012988934895833332,0.4841876395509041,0.022313017781320263,0.0040163432006376475,0.019955582012427926,nearest_to_target,175,True
0.18,1.8,561,pin,1.5,0.2,0.98,0.47708333333333325,0.012988934895833332,0.4739931528305893,0.022940666539709782,0.0041293199771477605,0.02014192310546504,nearest_to_target,176,True
0.18,1.8,561,pin,5.0,0.2,0.9,0.47708333333333325,0.012988934895833332,0.4668329225103206,0.021965687591767875,0.003953823766518217,0.02067363726818305,nearest_to_target,195,True
0.18,1.8,641,pin,2.0,0.2,0.98,0.47708333333333325,0.012988934895833332,0.47670311311631347,0.024001145341591295,0.004320206161486433,0.02202770262692126,nearest_to_target,203,True
0.18,1.8,561,pin,2.0,0.2,0.98,0.47708333333333325,0.012988934895833332,0.4725225166618362,0.025765800760043336,0.004637844136807801,0.025957547148354843,nearest_to_target,183,True
0.18,1.8,641,cubic,3.0,0.4,0.9,0.47708333333333325,0.012988934895833332,0.47706091927285904,2.775476693814933e-11,4.9958580488668795e-12,0.02597787940573394,nearest_to_target,164,True
0.18,1.8,641,cubic,1.5,0.1,0.95,0.47708333333333325,0.012988934895833332,0.477126235991746,3.6743104543440475e-11,6.613758817819285e-12,0.02597790514519706,nearest_to_target,162,True
0.18,1.8,721,cubic,3.0,0.1,0.95,0.47708333333333325,0.012988934895833332,0.4771308515585645,5.0710691396965556e-11,9.1279244514538e-12,0.02597791314992591,nearest_to_target,184,True
0.18,1.8,561,cubic,5.0,0.2,0.98,0.47708333333333325,0.012988934895833332,0.47694300352526686,5.733421814861241e-12,1.0320159266750233e-12,0.0259782488011038,nearest_to_target,147,True
