final_rank,path_id,total_score,alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_previous,distance_to_shooting,overlap_to_previous,overlap_to_reference,peak_y,peak_amp,centroid_y,spread_y,phase_span,blumen_ci_target,blumen_ci_abs_err,cr_floor_term,low_ci_term,score,selection_source,success,accepted,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success,reference_cr,reference_ci
3,30,2.2385566439684372,0.2,1.25,561,0.7484393149038551,0.005726957498371597,0.0011453914996743194,0.0004147440718016054,0.4905442889992375,0.9993715363382232,0.9964337417632809,-7.105263157894739,,0.1466211893908834,1.8842536166582713,3.133886522032708,0.021778790673641038,0.01605183317526944,0.0,0.23640566688378703,0.6700676666123624,beam_search,True,False,0.26803873697916675,0.05534798177083333,0.011069596354166667,True,0.766497361544398,0.00500183734569255
3,30,2.2385566439684372,0.2,1.2,561,0.7575548454443385,0.006126526040807728,0.0012253052081615456,0.009150492725252781,0.5302580611449659,0.9975053359807362,0.9880030452617432,-7.105263157894739,,0.13046127717114128,1.9297400292672269,3.1313234667794463,0.023310350301933562,0.017183824261125833,0.0,0.18312986122563624,0.7163345486531952,beam_search,True,False,0.23985351562499993,0.06348274739583332,0.012696549479166664,True,0.766497361544398,0.00500183734569255
4,31,2.2404317271565786,0.2,1.3,561,0.766497361544398,0.00500183734569255,0.0010003674691385102,0.0,0.01113277323570164,1.0,1.0,-7.105263157894739,0.9999999999999999,0.15629807641996515,1.8390818595481089,3.136892957776151,0.020247231045348518,,0.0,0.3330883539076599,0.0,reference_anchor,True,True,0.7616080729166668,1e-06,2e-07,True,0.766497361544398,0.00500183734569255
4,31,2.2404317271565786,0.2,1.275,561,0.7484313146446543,0.005519624046567929,0.0011039248093135858,0.018095702883672453,0.47607274022296103,0.9987976501374503,0.9987976501374503,-7.105263157894739,,0.15178755405861002,1.8639973070333062,3.135181974915812,0.02101301085949478,0.01549338681292685,0.0,0.2640501271242761,0.8521544287028795,beam_search,True,False,0.28134521484375,0.05155175781249999,0.010310351562499999,True,0.766497361544398,0.00500183734569255
4,31,2.2404317271565786,0.2,1.25,561,0.7484393149038551,0.005726957498371597,0.0011453914996743194,0.0004147440718016054,0.4905442889992375,0.9993715363382232,0.9964337417632809,-7.105263157894739,,0.1466211893908834,1.8842536166582713,3.133886522032708,0.021778790673641038,0.01605183317526944,0.0,0.23640566688378703,0.6700676666123624,beam_search,True,False,0.26803873697916675,0.05534798177083333,0.011069596354166667,True,0.766497361544398,0.00500183734569255
4,31,2.2404317271565786,0.2,1.2,561,0.7393282986661016,0.006669367388974467,0.0013338734777948935,0.009303932635839082,0.5122363707168505,0.995511809852212,0.9840032951171356,-7.105263157894739,,0.12036575398885582,1.9461959280410717,3.129605480663767,0.023310350301933562,0.016640982912959096,0.0,0.11075101480340437,0.7182096318413368,beam_search,True,False,0.23985351562499993,0.06348274739583332,0.012696549479166664,True,0.766497361544398,0.00500183734569255
5,21,2.240831207064816,0.2,1.3,561,0.766497361544398,0.00500183734569255,0.0010003674691385102,0.0,0.01113277323570164,1.0,1.0,-7.105263157894739,0.9999999999999999,0.15629807641996515,1.8390818595481089,3.136892957776151,0.020247231045348518,,0.0,0.3330883539076599,0.0,reference_anchor,True,True,0.7616080729166668,1e-06,2e-07,True,0.766497361544398,0.00500183734569255
5,21,2.240831207064816,0.2,1.275,561,0.7665006496258118,0.005136914081030167,0.0010273828162060334,0.0002701734798185383,0.4939566243842048,0.9995188310904513,0.9995188310904513,-7.105263157894739,,0.15527778450304544,1.8544785483135324,3.135974590639359,0.02101301085949478,0.01587609677846461,0.0,0.315078122529311,0.7549919174924999,beam_search,True,False,0.28134521484375,0.05155175781249999,0.010310351562499999,True,0.766497361544398,0.00500183734569255
5,21,2.240831207064816,0.2,1.25,561,0.7665069010761517,0.00531484561783624,0.001062969123567248,0.0003559179790233083,0.5084129910529785,0.9994231820757202,0.9978899326444854,-7.105263157894739,,0.1517601768701428,1.873072951815513,3.1349194435437786,0.021778790673641038,0.0164639450558048,0.0,0.29135391762183466,0.7366639432082257,beam_search,True,False,0.26803873697916675,0.05534798177083333,0.011069596354166667,True,0.766497361544398,0.00500183734569255
5,21,2.240831207064816,0.2,1.2,561,0.7665381537722481,0.005872483293575927,0.0011744966587151854,0.0011157131533825054,0.5391404994804464,0.9968954045662948,0.9896953955334398,-7.105263157894739,,0.13499450137912997,1.9222811178049148,3.132106932054627,0.023310350301933562,0.017437867008357637,0.0,0.21700222752320972,0.7491753463640907,beam_search,True,False,0.23985351562499993,0.06348274739583332,0.012696549479166664,True,0.766497361544398,0.00500183734569255
6,37,2.252144669730296,0.2,1.3,561,0.766497361544398,0.00500183734569255,0.0010003674691385102,0.0,0.01113277323570164,1.0,1.0,-7.105263157894739,0.9999999999999999,0.15629807641996515,1.8390818595481089,3.136892957776151,0.020247231045348518,,0.0,0.3330883539076599,0.0,reference_anchor,True,True,0.7616080729166668,1e-06,2e-07,True,0.766497361544398,0.00500183734569255
6,37,2.252144669730296,0.2,1.275,561,0.7665006496258118,0.005136914081030167,0.0010273828162060334,0.0002701734798185383,0.4939566243842048,0.9995188310904513,0.9995188310904513,-7.105263157894739,,0.15527778450304544,1.8544785483135324,3.135974590639359,0.02101301085949478,0.01587609677846461,0.0,0.315078122529311,0.7549919174924999,beam_search,True,False,0.28134521484375,0.05155175781249999,0.010310351562499999,True,0.766497361544398,0.00500183734569255
6,37,2.252144669730296,0.2,1.25,561,0.7575181660482854,0.005518885534265304,0.001103777106853061,0.009014910980418928,0.4995216379786194,0.9990511231343912,0.9972225731757355,-7.105263157894739,,0.14928650605898008,1.8784704904231682,3.134369911566168,0.021778790673641038,0.016259905139375735,0.0,0.26414859543129277,0.7805617952333923,beam_search,True,False,0.26803873697916675,0.05534798177083333,0.011069596354166667,True,0.766497361544398,0.00500183734569255
6,37,2.252144669730296,0.2,1.2,561,0.7575548454443385,0.006126526040807728,0.0012253052081615456,0.0012158344125987534,0.5302580611449659,0.9967525482682911,0.9880030452617432,-7.105263157894739,,0.13046127717114128,1.9297400292672269,3.1313234667794463,0.023310350301933562,0.017183824261125833,0.0,0.18312986122563624,0.7165909570044039,beam_search,True,False,0.23985351562499993,0.06348274739583332,0.012696549479166664,True,0.766497361544398,0.00500183734569255
