alpha,Mach,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.275,-4.838883888797999,0.7741162459126972,-0.5150120275042318,0.9297813456184133,1.2584227222618283,-0.8372164272115667,1.511475799970933
0.2,1.275,-4.830843975324914,0.7731472849825133,-0.5166891010031345,0.9299055604582968,1.256847555149698,-0.8399427198182204,1.5116777267200185
0.2,1.275,-4.822821807581402,0.7721768637176154,-0.5183606795381296,0.9300295172477078,1.2552700140809485,-0.8426600796741719,1.511879233975805
0.2,1.275,-4.814817321354408,0.771205001462284,-0.5200267806277805,0.9301532168683475,1.2536901305021253,-0.8453685352580357,1.5120803231716076
0.2,1.275,-4.806830452733465,0.7702317174045981,-0.5216874217507422,0.9302766601979077,1.2521079356058495,-0.8480681149835503,1.5122809957342234
0.2,1.275,-4.798861138108888,0.7692570305778683,-0.5233426203451772,0.930399848110067,1.250523460333147,-0.8507588471986286,1.5124812530839276
0.2,1.275,-4.790909314170014,0.7682809598620766,-0.524992393808154,0.9305227814744836,1.248936735375788,-0.8534407601843803,1.5126810966344573
0.2,1.275,-4.782974917903421,0.7673035239852999,-0.5266367594950755,0.9306454611567897,1.247347791178603,-0.856113882154182,1.5128805277930062
0.2,1.275,-4.775057886591188,0.7663247415251379,-0.5282757347191076,0.9307678880185878,1.2457566579418022,-0.8587782412527493,1.5130795479602168
0.2,1.275,-4.767158157809144,0.7653446309101224,-0.5299093367506246,0.9308900629174415,1.2441633656232676,-0.861433865555234,1.5132781585301656
0.2,1.275,-4.759275669425153,0.7643632104211228,-0.5315375828166765,0.9310119867068741,1.2425679439408377,-0.8640807830663597,1.5134763608903623
0.2,1.275,-4.75141035959739,0.7633804981927649,-0.5331604901004265,0.9311336602363599,1.2409704223746134,-0.8667190217195059,1.5136741564217326
0.2,1.275,-4.743562166772644,0.7623965122148033,-0.5347780757406623,0.9312550843513191,1.2393708301691895,-0.8693486093759141,1.5138715464986128
0.2,1.275,-4.735731029684616,0.761411270333538,-0.5363903568312479,0.931376259893114,1.2377691963359576,-0.8719695738237974,1.5140685324887435
0.2,1.275,-4.727916887352249,0.7604247902531732,-0.5379973504206524,0.9314971876990422,1.2361655496553146,-0.8745819427775731,1.5142651157532556
0.2,1.275,-4.72011967907806,0.7594370895372174,-0.5395990735114272,0.931617868602331,1.234559918678939,-0.8771857438770138,1.5144612976466643
0.2,1.275,-4.712339344446476,0.7584481856098376,-0.5411955430597473,0.931738303432133,1.2329523317319921,-0.8797810046865016,1.514657079516861
0.2,1.275,-4.704575823322205,0.7574580957572334,-0.5427867759749248,0.9318584930135194,1.2313428169153524,-0.882367752694237,1.5148524627051023
0.2,1.275,-4.696829055848582,0.7564668371289924,-0.544372789118951,0.9319784381674757,1.2297314021078183,-0.8849460153114947,1.5150474485460026
0.2,1.275,-4.689098982445963,0.7554744267366019,-0.5459535993105638,0.9320981397112414,1.2281181149636884,-0.8875158198792351,1.5152420383680867
0.2,1.275,-4.681385543810111,0.7544808813457388,-0.5475292234973664,0.9322175984714469,1.2265029827376666,-0.8900771939479063,1.515436233515146
0.2,1.275,-4.6736886809105975,0.753486217637832,-0.5490996784987703,0.9323368152645368,1.2248860325475004,-0.8926301648595634,1.5156300353144128
0.2,1.275,-4.666008334989211,0.7524904522141092,-0.5506649810031613,0.9324557908966015,1.2232672913805611,-0.895174759743264,1.5158234450762877
0.2,1.275,-4.658344447558379,0.7514936015380408,-0.552225147661329,0.932574526170532,1.2216467860002775,-0.897711005666948,1.5160164641059712
0.2,1.275,-4.650696960399608,0.7504956819365383,-0.5537801950859951,0.9326930218860181,1.220024542948085,-0.9002389296366706,1.516209093703458
0.2,1.275,-4.643065815561926,0.7494967096011508,-0.5553301398513404,0.9328112788395415,1.2184005885453706,-0.9027585585958352,1.5164013351635297
0.2,1.275,-4.635450955360338,0.7484967005892474,-0.5568749984925587,0.9329292978243726,1.2167749488953954,-0.9052699194244657,1.5165931897757454
0.2,1.275,-4.627852322374289,0.7474956708252082,-0.5584147875053977,0.9330470796305652,1.215147649885229,-0.9077730389384622,1.5167846588244378
0.2,1.275,-4.620269859446145,0.7464936361015982,-0.5599495233457216,0.9331646250449521,1.2135187171876605,-0.9102679438888885,1.5169757435887001
0.2,1.275,-4.612703509679675,0.7454906120803426,-0.5614792224290811,0.933281934851141,1.2118881762631069,-0.9127546609612749,1.5171664453423859
0.2,1.275,-4.605153216438558,0.7444866142938948,-0.5630039011302861,0.9333990098295089,1.2102560523615127,-0.9152332167749212,1.5173567653540951
0.2,1.275,-4.597618923344887,0.7434816581463995,-0.5645235757829932,0.9335158507571988,1.2086223705242407,-0.9177036378822282,1.5175467048871711
0.2,1.275,-4.590100574277679,0.7424757589148524,-0.5660382626792954,0.9336324584081153,1.2069871555859568,-0.9201659507680294,1.5177362651996922
0.2,1.275,-4.58259811337141,0.7414689317502493,-0.5675479780693251,0.9337488335529179,1.205350432176499,-0.9226201818489466,1.5179254475444621
0.2,1.275,-4.575111485014561,0.7404611916787365,-0.5690527381608643,0.9338649769590204,1.2037122247227459,-0.925066357472755,1.5181142531690075
0.2,1.275,-4.567640633848154,0.7394525536027536,-0.5705525591189571,0.9339808893905829,1.2020725574504763,-0.9275045039177545,1.5183026833155662
0.2,1.275,-4.560185504764321,0.7384430323021667,-0.5720474570655397,0.9340965716085085,1.2004314543862096,-0.9299346473921679,1.5184907392210816
0.2,1.275,-4.55274604290486,0.737432642435413,-0.5735374480790613,0.9342120243704412,1.198788939359068,-0.9323568140335239,1.5186784221171983
0.2,1.275,-4.545322193659826,0.7364213985406062,-0.5750225481941446,0.9343272484307571,1.1971450360025728,-0.9347710299081061,1.518865733230249
0.2,1.275,-4.537913902666108,0.7354093150366839,-0.5765027734012066,0.9344422445405642,1.1954997677565093,-0.9371773210103364,1.5190526737812546
0.2,1.275,-4.530521115806036,0.734396406224503,-0.5779781396461401,0.9345570134476966,1.1938531578687075,-0.9395757132622564,1.5192392449859116
0.2,1.275,-4.523143779205987,0.7333826862879645,-0.5794486628299554,0.9346715558967088,1.1922052293968723,-0.9419662325129462,1.5194254480545872
0.2,1.275,-4.515781839234989,0.7323681692951138,-0.5809143588084633,0.9347858726288736,1.1905560052103694,-0.9443489045380081,1.5196112841923126
0.2,1.275,-4.508435242503358,0.7313528691992451,-0.5823752433919451,0.9348999643821768,1.1889055079920228,-0.9467237550390307,1.519796754598776
0.2,1.275,-4.501103935861336,0.7303367998399978,-0.5838313323448376,0.9350138318913134,1.1872537602398963,-0.9490908096430766,1.5199818604683162
0.2,1.275,-4.493787866397725,0.7293199749444452,-0.5852826413854261,0.9351274758876821,1.1856007842690637,-0.9514500939021832,1.520166602989913
0.2,1.275,-4.48648698143855,0.7283024081281791,-0.5867291861855461,0.9352408970993827,1.1839466022133711,-0.9538016332928784,1.5203509833471838
0.2,1.275,-4.479201228545711,0.7272841128963968,-0.5881709823702813,0.9353540962512115,1.182291236027205,-0.9561454532156884,1.5205350027183755
0.2,1.275,-4.471930555515665,0.7262651026449705,-0.5896080455176823,0.9354670740646571,1.18063470748723,-0.9584815789946822,1.5207186622763582
0.2,1.275,-4.464674910378101,0.7252453906615253,-0.5910403911584748,0.935579831257895,1.178977038194142,-0.9608100358769955,1.5209019631886156
0.2,1.275,-4.457434241394636,0.7242249901264982,-0.592468034775798,0.9356923685457859,1.1773182495743886,-0.9631308490324065,1.521084906617243
0.2,1.275,-4.450208497057496,0.7232039141141955,-0.5938909918049373,0.9358046866398697,1.1756583628818889,-0.9654440435529011,1.5212674937189379
0.2,1.275,-4.4429976260882516,0.722182175593859,-0.5953092776330476,0.935916786248361,1.173997399199767,-0.967749644452223,1.521449725644992
0.2,1.275,-4.435801577436499,0.7211597874307101,-0.5967229075989138,0.9360286680761485,1.172335379442048,-0.9700476766654841,1.5216316035412887
0.2,1.275,-4.428620300278617,0.720136762386992,-0.5981318969926974,0.9361403328247863,1.1706723243553538,-0.9723381650487537,1.5218131285482932
0.2,1.275,-4.421453744016481,0.7191131131230131,-0.5995362610556962,0.9362517811924927,1.169008254520598,-0.9746211343786662,1.5219943018010458
0.2,1.275,-4.414301858276205,0.7180888521981867,-0.6009360149801006,0.9363630138741454,1.1673431903546772,-0.976896609352026,1.5221751244291575
0.2,1.275,-4.407164592906896,0.7170639920720482,-0.6023311739087828,0.9364740315612786,1.1656771521121232,-0.9791646145854649,1.5223555975568033
0.2,1.275,-4.4000418979794125,0.7160385450191703,-0.6037217530517148,0.9365848349514347,1.1640101597467887,-0.9814251748046938,1.5225357223179259
0.2,1.275,-4.39293372378513,0.7150125232113707,-0.6051077675737884,0.936695424739133,1.1623422330454842,-0.9836783146621396,1.5227154998415529
0.2,1.275,-4.3858400208347135,0.713985938801942,-0.6064892324827279,0.9368058016069174,1.160673391764907,-0.9859240585547344,1.522894931237245
0.2,1.275,-4.378760739856902,0.7129588038414008,-0.6078661627451817,0.936915966234706,1.159003655494677,-0.9881624308126359,1.5230740176102937
0.2,1.275,-4.371695831797293,0.711931130278409,-0.6092385732864646,0.9370259192997918,1.1573330436588387,-0.9903934556988089,1.523252760061724
0.2,1.275,-4.364645247817155,0.7109029299606857,-0.6106064789903051,0.9371356614768352,1.1556615755173396,-0.9926171574086146,1.5234311596882801
0.2,1.275,-4.357608939292221,0.7098742146359146,-0.611969894698603,0.9372451934378623,1.1539892701675085,-0.9948335600694164,1.5236092175824247
