mode_index,alpha,Mach,accepted,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,N
76,0.17,1.675,False,0.7300441517135275,0.005691804958984673,0.0009676068430273945,0.033450574566067835,target_then_overlap,561
77,0.18,1.675,False,0.7300651284558244,0.005626462341019876,0.0010127632213835776,0.033386635469076026,target_then_overlap,561
78,0.19,1.675,False,0.7300885755876744,0.005664526587832396,0.0010762600516881552,0.03337929733178913,target_then_overlap,561
79,0.2,1.675,False,0.7301146731367165,0.005803240820277741,0.0011606481640555482,0.03344958286155506,target_then_overlap,561
80,0.21,1.675,False,0.730144042446738,0.006049023240314124,0.0012702948804659661,0.03361183419899382,target_then_overlap,561
81,0.22,1.675,False,0.7301780523585379,0.006419435655706668,0.001412275844255467,0.033848746859920203,target_then_overlap,561
82,0.23,1.675,False,0.7302198982181494,0.006951211943223249,0.0015987787469413475,0.03422754225233862,target_then_overlap,561
83,0.24,1.675,False,0.7302788305430363,0.0077264366708169096,0.0018543448009960583,0.034838697448739596,target_then_overlap,561
84,0.25,1.675,False,0.7303969342143869,0.008990513780848407,0.0022476284452121018,0.03590577937313918,target_then_overlap,561
85,0.26,1.675,False,0.7323436918210458,0.013007231079390398,0.0033818800806415038,0.039067163140735016,target_then_overlap,561
86,0.27,1.675,False,0.7346077702784108,0.009903137487624433,0.0026738471216585973,0.033392528995209975,target_then_overlap,561
87,0.28,1.675,False,0.734605304264202,0.009824495583040537,0.0027508587632513507,0.033282432526873074,target_then_overlap,561
88,0.29,1.675,False,0.733925079080849,0.011148610326739796,0.003233096994754541,0.03545488498017364,target_then_overlap,561
89,0.3,1.675,False,0.7308129513432364,0.010143897786345545,0.0030431693359036635,0.03678157666693524,target_then_overlap,561
90,0.01,1.7000000000000002,True,0.7575407687989432,0.004033029000583826,4.033029000583826e-05,0.008598278943203027,nearest_to_target,561
91,0.02,1.7000000000000002,True,0.748498442617431,0.004319431092684264,8.638862185368529e-05,0.015125775217900084,target_then_overlap,561
92,0.03,1.7000000000000002,False,0.7393901260610704,0.004709619641268003,0.00014128858923804008,0.024366557155547638,target_then_overlap,561
93,0.04,1.7000000000000002,False,0.739432367800822,0.005059947170819107,0.00020239788683276428,0.024677317160155744,target_then_overlap,561
94,0.05,1.7000000000000002,False,0.7395069007696545,0.005575850954570328,0.00027879254772851644,0.024640472718212795,target_then_overlap,561
95,0.06,1.7000000000000002,False,0.7396600853360519,0.006349508977646951,0.00038097053865881705,0.025242665565209012,target_then_overlap,561
96,0.07,1.7000000000000002,False,0.7401237332256632,0.007609695629719056,0.000532678694080334,0.026215884399585703,target_then_overlap,561
97,0.08,1.7000000000000002,False,0.7330762498421366,0.008648787610681661,0.0006919030088545329,0.033251582887868864,target_then_overlap,561
98,0.09,1.7000000000000002,False,0.7341001680694378,0.007914837128586084,0.0007123353415727475,0.03162301973547388,target_then_overlap,561
99,0.1,1.7000000000000002,False,0.7343243797108367,0.007908921520040016,0.0007908921520040016,0.031439274856819854,target_then_overlap,561
