quantity,alpha_target,target_mach,target_level,level,Mach,alpha,level_value,distance_to_target_raw
ci,0.2,1.275,0.050919975576394085,0.05,1.3195020746887969,0.1846281989561602,0.05,0.04708212950726271
ci,0.2,1.275,0.050919975576394085,0.07,1.2268326417704012,0.1744477048516388,0.07,0.05452535360882546
ci,0.2,1.275,0.050919975576394085,0.07,1.26417704011065,0.1636043037374965,0.07,0.037970819943726385
ci,0.2,1.275,0.050919975576394085,0.07,1.2946058091286308,0.1485790483177063,0.07,0.05503182736836103
ci,0.2,1.275,0.050919975576394085,0.07,1.3360995850622408,0.1308524945935827,0.07,0.09227424775476917
ci,0.2,1.275,0.050919975576394085,0.03,1.197786998616874,0.2654474526795199,0.03,0.10121865759250409
ci,0.2,1.275,0.050919975576394085,0.03,1.2337482710926695,0.2559776254556292,0.03,0.06953560015916009
ci,0.2,1.275,0.050919975576394085,0.03,1.272475795297372,0.2437606504512353,0.03,0.04383339066620295
ci,0.2,1.275,0.050919975576394085,0.03,1.309820193637621,0.2342984648067063,0.03,0.04887566442574771
ci,0.2,1.275,0.050919975576394085,0.03,1.351313969571231,0.2262404193698754,0.03,0.08069932812871322
ci,0.2,1.3,0.04671105940369977,0.01,1.3748271092669433,0.2774752985947136,0.01,0.10771034385604333
ci,0.2,1.3,0.04671105940369977,0.05,1.2213001383125863,0.2199972490314298,0.05,0.08120072781966348
ci,0.2,1.3,0.04671105940369977,0.05,1.2544951590594744,0.2077497077095895,0.05,0.04616003161401225
ci,0.2,1.3,0.04671105940369977,0.05,1.2835408022130013,0.199622888058504,0.05,0.016463517400846162
ci,0.2,1.3,0.04671105940369977,0.05,1.3195020746887969,0.1846281989561602,0.05,0.024831898527877504
ci,0.2,1.3,0.04671105940369977,0.05,1.3582295988934994,0.1751736548909929,0.05,0.06330113426131746
ci,0.2,1.3,0.04671105940369977,0.07,1.2268326417704012,0.1744477048516388,0.07,0.07750085223820065
ci,0.2,1.3,0.04671105940369977,0.07,1.26417704011065,0.1636043037374965,0.07,0.05106790735546537
ci,0.2,1.3,0.04671105940369977,0.07,1.2946058091286308,0.1485790483177063,0.07,0.051703109839443394
ci,0.2,1.3,0.04671105940369977,0.07,1.3360995850622408,0.1308524945935827,0.07,0.0780035739283558
ci,0.2,1.3,0.04671105940369977,0.03,1.2337482710926695,0.2559776254556292,0.03,0.08673399641928833
ci,0.2,1.3,0.04671105940369977,0.03,1.272475795297372,0.2437606504512353,0.03,0.051696966762348556
ci,0.2,1.3,0.04671105940369977,0.03,1.309820193637621,0.2342984648067063,0.03,0.035676615466958765
ci,0.2,1.3,0.04671105940369977,0.03,1.351313969571231,0.2262404193698754,0.03,0.05763404446908229
