alpha,Mach,rank_cr,candidate_cr,candidate_ci,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.463846013141786,0.49858372276443264,-0.0010336509718867231,0.4985847942326082,0.810510164318931,-0.001680328861173365,0.810511906124384
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.407183524686007,0.4937308436856722,-0.0010749164470874471,0.4937320138009423,0.8026212027665209,-0.001747411049296415,0.8026231049351569
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.351805524024062,0.48885791281603597,-0.0011165770902844077,0.4888591879746657,0.7946996445215685,-0.001815135632393577,0.794701717451316
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.297668467990431,0.484057934450789,-0.0011571240364345147,0.48405931748164915,0.7868966796915637,-0.001881049761728798,0.7868989279811057
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.244730758165186,0.4792430620924269,-0.0011980340255023185,0.4792445595405878,0.7790695028140014,-0.0019475540627072858,0.779071937103168
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.192952633494862,0.47450603649118334,-0.0012377846452270753,0.47450765091555713,0.77136887557098,-0.002012173663897282,0.7713715000196026
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.142296069950316,0.46975819216872505,-0.0012778755534533415,0.46975993025752943,0.7636506611442835,-0.0020773464465824883,0.7636534866248961
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.092724686689338,0.46509203620055506,-0.0013167720667945776,0.46509390022430336,0.7560652413485272,-0.0021405775910829294,0.756068271552133
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-4.044203658237364,0.46041824047695074,-0.0013559937070111595,0.4604202372646371,0.7484674021753429,-0.002204337269959999,0.7484706482033255
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.9966996322406976,0.4558290992338543,-0.001393994741663588,0.45583123075288157,0.7410071794420345,-0.0022661127019168617,0.7410106444926532
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.9501806523841037,0.4512347554205418,-0.0014323118704099012,0.45123702864096854,0.7335384992805182,-0.00232840198433504,0.7335421946844745
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.904616086098282,0.44672730429041596,-0.0014693894737168485,0.44672972086487306,0.7262110740371075,-0.00238867626321093,0.7262150024809593
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.8599765567136255,0.44221647438635797,-0.0015067790619224357,0.4422190414283874,0.7188781561743232,-0.002449457712537654,0.7188823292220222
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.816233879744375,0.4377941704862812,-0.001542916226763506,0.43779688932455185,0.7116891483967608,-0.002508203191132404,0.7116935682082245
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-3.7733610030128037,0.43336980502164524,-0.0015793651988794829,0.4333726829172903,0.7044967892883119,-0.0025674555514284764,0.70450146766742
