point_id,reference_tier,Mach,alpha,cr,ci,omega_i,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,validation_note,original_row_index,tol_ci,tol_scaled,scale_M,scale_alpha,matched_ci_isoline,ci_abs_err_to_isoline,scaled_distance_to_isoline,nearest_isoline_M,nearest_isoline_alpha,match_score,keep_on_blumen_ci_isoline,filter_reason
M1.30_a0.125000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.125,0.2507322022046491,0.0805622512041191,0.0100702814005148,True,True,YES,validated,8.48044792429182e-07,1.4640677329075317e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",10,0.012,1.0,0.05,0.025,0.07,0.010562251204119091,0.646984807296551,1.3210139744115266,0.1372972174862151,1.0923916663315303,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.150000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.15,0.2679464671366972,0.0699190855162764,0.0104878628274414,True,True,YES,validated,2.48584615768089e-06,5.4148242835433054e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",11,0.012,1.0,0.05,0.025,0.07,8.091448372360421e-05,0.11329378642186437,1.296320233949848,0.14784662898455372,0.1134942658761976,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.162500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.1625,0.2753741570531295,0.0644937399606446,0.0104802327436047,True,True,YES,validated,3.525295246738324e-06,3.76409257947918e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",12,0.012,1.0,0.05,0.025,0.07,0.005506260039355407,0.47200561573302974,1.2834167777277325,0.15410401893348136,0.6582835371769934,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.175000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.175,0.2821847483866972,0.0590180438496097,0.0103281576736816,True,True,YES,validated,2.234820388918325e-06,1.157558020111278e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",13,0.012,1.0,0.05,0.025,0.05,0.009018043849609698,0.5455807946291228,1.317471058552581,0.18547506708478098,0.9286636342859089,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.183333,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.183333,0.286403134768127,0.0553553184156296,0.0101484565910926,True,True,YES,validated,5.897737531703279e-07,1.5236565398847437e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",14,0.012,1.0,0.05,0.025,0.05,0.005355318415629598,0.28959309161089647,1.309273599638705,0.18889314268056373,0.532002729387073,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.191667,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.191667,0.290397275393127,0.0516736777906296,0.0099041388010966,True,True,YES,validated,3.697097577497154e-06,1.8110070860450328e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",15,0.012,1.0,0.05,0.025,0.05,0.001673677790629595,0.03357466883951722,1.3010751569904098,0.19231162846182537,0.14345737255640004,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.2,0.2727688216788323,0.0467110594036997,0.0093422118807399,True,True,YES,validated,0.0114810158991341,1.6726103028849283e-20,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M13_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M13_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",16,0.012,1.0,0.05,0.025,0.05,0.003288940596300305,0.2224130341787114,1.2928776980765333,0.19572970405760814,0.3529681541076945,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.225000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.2249999999999999,0.2807064105959674,0.0353543235424167,0.0079547227970437,True,True,YES,validated,0.0183502648700106,1.5485891781714665e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",17,0.012,1.0,0.05,0.025,0.03,0.005354323542416703,0.4205506508003616,1.3095049870792235,0.23437833067962133,0.613148924840933,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.250000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.25,0.2886439995131025,0.0255613688283836,0.0063903422070959,True,True,YES,validated,0.0267995410060461,1.6709758490539702e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",18,0.012,1.0,0.05,0.025,0.03,0.0044386311716164,0.4714542158451484,1.289344526702015,0.23948651362663967,0.5992367475099074,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.275000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.3,0.275,0.2965815884302376,0.0171633516439817,0.0047199217020949,True,True,YES,validated,0.0261349939882448,2.044343122066965e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",19,0.012,1.0,0.05,0.025,0.01,0.007163351643981701,0.7467677338140682,1.3191350694457051,0.29103125258653034,0.9560368924686868,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.33_a0.180000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.33,0.18,0.2771044303979708,0.0508498118838383,0.0091529661390908,True,True,YES,validated,0.0029902678212216,1.3042589531394374e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",20,0.012,1.0,0.05,0.025,0.05,0.0008498118838383001,0.07423726680054482,1.3316285938720636,0.18166775383786965,0.10259781831538324,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.1,0.283841246397037,0.0425165800223759,0.0042516580022375,True,True,YES,validated,0.0083962628131086,2.0046362322329786e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",21,0.012,1.0,0.05,0.025,0.05,0.007483419977624105,1.833943377450145,1.457773884448091,0.13560389394087302,1.9370720521026108,False,rejected: no ci isoline satisfies both tolerances
M1.40_a0.125000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.125,0.303271264704649,0.0535875093459158,0.0066984386682394,True,True,YES,validated,0.0017665559834707,3.0047490024189555e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",22,0.012,1.0,0.05,0.025,0.05,0.0035875093459157986,1.0183409254327804,1.4288597430094938,0.1459741557306498,1.0613174789640365,False,rejected: no ci isoline satisfies both tolerances
M1.40_a0.137500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.1375,0.3111424049240388,0.0511307865076858,0.0070304831448067,True,True,YES,validated,0.0016248557187462,6.237268754360609e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",23,0.012,1.0,0.05,0.025,0.05,0.0011307865076857979,0.6217713246493383,1.421342633123535,0.14880255459779632,0.6288714410467992,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.150000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.15,0.3182275185165742,0.0486740636694557,0.0073011095504183,True,True,YES,validated,0.0013443567711178,1.157019368920801e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",24,0.012,1.0,0.05,0.025,0.05,0.0013259363305443,0.2582114707377523,1.4088632467754156,0.15469376622898565,0.2808598245914891,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.162500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.1625,0.3246580112197962,0.0462173408312256,0.0075103178850741,True,True,YES,validated,0.0009231956973406,1.3332772273236985e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",25,0.012,1.0,0.05,0.025,0.05,0.003782659168774405,0.10534838317383373,1.3963838604272965,0.160584977860175,0.33235965053448335,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.168750,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.4,0.16875,0.32767268188658,0.0450433791097876,0.0076010702247766,True,True,YES,validated,0.0006446884127008,7.493539522747767e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",26,0.012,1.0,0.05,0.025,0.05,0.004956620890212406,0.2892801481105349,1.3914118787360525,0.16293081441731602,0.5042764566296176,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.175000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.175,0.3334272163349703,0.0426165444542578,0.0074578952794951,True,True,YES,validated,4.406057886329088e-06,9.000934100903454e-24,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",27,0.012,1.0,0.05,0.025,0.05,0.0073834555457422055,0.49044105115530334,1.3854398331594806,0.1651342435259373,0.7868365147977641,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.181250,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.18125,0.3153193678544234,0.0427209194542578,0.0077431666510842,True,True,YES,validated,0.0058666869984485,1.3654422406630672e-18,True,True,,,extension_or_unmatched,candidate_dense,shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",28,0.012,1.0,0.05,0.025,0.05,0.007279080545742202,0.6916019542000733,1.3794677875829084,0.1673376726345586,0.9199264896321823,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.187500,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.1875,0.3183709082056269,0.0411403935788011,0.0077138237960252,True,True,YES,validated,0.0060030096781822,6.8384475574140265e-19,True,True,,,extension_or_unmatched,candidate_dense,shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",29,0.012,1.0,0.05,0.025,0.05,0.008859606421198901,0.8927628572448425,1.3734957420063365,0.16954110174317993,1.1584960938237066,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.193750,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.19375,0.3222828767123289,0.024414084798728,0.0047302289297535,True,True,YES,validated,0.0307914139539887,2.902276857159237e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_M140_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_M140_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",30,0.012,1.0,0.05,0.025,0.03,0.005585915201271999,0.6763914846622735,1.4134324758868804,0.20926879660973638,0.8210901969976199,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.40_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.4,0.2,0.3240857069010081,0.0232528549709631,0.0046505709941926,True,True,YES,validated,0.0333763724194165,7.490435597356611e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M14_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",31,0.012,1.0,0.05,0.025,0.03,0.006747145029036897,0.44695635779214526,1.4088761178025897,0.21025474886554518,0.7182678044060016,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.50_a0.100000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.1,0.3293676490936765,0.0460323254563964,0.0046032325456396,True,True,YES,validated,0.0052546983899283,1.270114345714536e-18,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M15_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M15_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",32,0.012,1.0,0.05,0.025,0.05,0.003967674543603604,0.629710954997787,1.5203203959861185,0.11202519463540934,0.711237228891046,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.50_a0.125000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.125,0.3492641497157056,0.0487962958623987,0.0060995369827998,True,True,YES,validated,1.940808103109891e-06,8.584788614904849e-21,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",33,0.012,1.0,0.05,0.025,0.05,0.0012037041376013052,0.16154655351301686,1.4954414472626882,0.12166597768000192,0.19015551493662367,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.50_a0.137500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.1375,0.3561293840907055,0.0454370701278998,0.0062475971425862,True,True,YES,validated,2.9242691405786992e-06,8.883374749124309e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",34,0.012,1.0,0.05,0.025,0.05,0.004562929872100205,0.5743095927108094,1.4837940178296325,0.12564731135361196,0.6887794468900466,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.50_a0.150000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.15,0.3623598528407056,0.0418239381434009,0.0062735907215101,True,True,YES,validated,1.5826674783649809e-06,1.7707920233320626e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",35,0.012,1.0,0.05,0.025,0.05,0.008176061856599103,0.9792661014415983,1.46915062521326,0.13098867890670918,1.192972854984884,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.50_a0.156250,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.15625,0.3652797747157056,0.0399391725184009,0.0062404957060001,True,True,YES,validated,1.7671296518669656e-06,2.0131771728764467e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",36,0.012,1.0,0.05,0.025,0.03,0.009939172518400902,0.888320913475538,1.5194877055481972,0.17620629252743233,1.2145517373715662,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.50_a0.158333,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.158333,0.2399414062499999,0.0374707031249999,0.0059328488378906,True,True,YES,validated,0.0254194812899849,1.3342919540887097e-18,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",37,0.012,1.0,0.05,0.025,0.03,0.0074707031249999015,0.8134489491589425,1.5178451878811208,0.1766072800932552,1.0243429091567702,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.50_a0.162500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.5,0.1625,0.3680825090907056,0.0380056534011514,0.0061759186776871,True,True,YES,validated,1.5637777600864958e-06,2.376309309757678e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",38,0.012,1.0,0.05,0.025,0.03,0.008005653401151398,0.6636690762317905,1.5145593640123225,0.17740944772973322,0.9410257514145377,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.50_a0.165625,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.5,0.165625,0.3680825090907056,0.0380056534011514,0.0062946863445657,True,True,YES,validated,2.1496167389108205e-06,4.5129458631744745e-19,,,,,extension_or_unmatched,candidate_dense,shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",39,0.012,1.0,0.05,0.025,0.03,0.008005653401151398,0.551343157609919,1.5120951932443853,0.17801102533088367,0.8654779601597103,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
