kind,Mach,alpha,requested_target,cr_seed,ci_seed,accepted,box_scale,seed_distance,error,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,min_abs_U_minus_c,success,point_index,alpha_step_used
alpha_trace,1.8,0.16640000000000002,True,0.4730915437056003,0.0163634284598723,True,1.0,0.0006731862019647752,,0.47276243010560026,0.016069802890136466,0.0026740152009187084,1.555022011799218e-07,1.6117959878170463e-16,-61.85838048268694,1154.486470672242,0.016314881440191043,True,3,0.014399999999999996
alpha_trace,1.8,0.18368,True,0.4781173517619204,0.012355976484668041,True,1.0,0.0008049673436395225,,0.4776989453619205,0.012012134766443947,0.002206388913900424,1.6814332818839167e-07,3.5155463539174805e-16,-88.04163683026721,1399.9372376536899,0.012012134813815887,True,4,0.01727999999999999
alpha_trace,1.8,0.20368,True,0.48341250468636515,0.007315759623281309,True,1.0,0.0008796884841740279,,0.4829250561103652,0.0069496156232813095,0.001415497710149937,6.190278375768216e-08,1.1173561423220123e-15,-149.0602108465282,2000.0,0.0073708386735853145,True,5,0.01999999999999999
alpha_trace,1.8,0.22368,True,0.4881511668588099,0.0018870964801186718,True,1.0,0.0007455780856324802,,0.48770467828280994,0.0015885438745041243,0.0003553254938490825,1.4189151865243172e-07,1.3233534681049974e-15,-176.6585988713207,2000.0,0.0028146991554985545,True,6,0.01999999999999999
alpha_trace,1.8,0.22618,True,0.48830213105436554,0.0009184099059069751,True,1.0,4.359028711915347e-05,,0.4882749336143655,0.0009013774927736592,0.00020387356131554624,1.0931713922601481e-07,1.3484742093165408e-15,-180.2608609545717,2000.0,0.0030309748836269555,True,7,0.0025000000000000022
alpha_trace,1.8,0.22868,True,0.4888451889459211,0.00021421111104319413,True,1.0,1.0490477744291018e-05,,0.4888386353459211,0.00021011536781566885,4.804918231208715e-05,1.153533747371241e-07,1.502230923980715e-15,-183.89548483074526,2000.0,0.003463923223844371,True,8,0.0025000000000000022
alpha_trace,1.8,0.22968,True,0.48906411603854333,1e-08,True,1.0,9.335634073109192e-05,,0.48912765319054335,3.420954923104e-05,7.857249267385266e-06,5.880685516390833e-06,1.6061284423928252e-15,-185.39409986584496,2000.0,0.0037467187641804156,True,9,0.0010000000000000009
alpha_trace,2.0,0.13,True,0.5152721226240002,0.014978653042971217,True,0.0,0.0,,0.5152721226240002,0.014978653042971217,0.0019472248955862582,1.0485919954254159e-07,1.2077098866750197e-16,-49.94186423369769,1454.3719718590307,0.0149789066037067,True,0,0.0
alpha_trace,2.0,0.14,True,0.5152721226240002,0.014978653042971217,True,1.0,0.004073071285262298,,0.5180709337600002,0.013499078279751168,0.0018898709591651636,9.179785334409722e-08,1.6512314933878397e-16,-58.38297600153648,1498.8446235887295,0.013768739641790243,True,1,0.010000000000000009
alpha_trace,2.0,0.15200000000000002,True,0.5214295071232002,0.011723588563887109,True,1.0,0.00047128243221164457,,0.5212605716992003,0.011503606772919499,0.0017485482294837642,7.692293733840094e-08,2.601792603415416e-16,-72.53348032569299,1620.395954602673,0.01158907221258608,True,2,0.01200000000000001
alpha_trace,2.0,0.16640000000000002,True,0.5250881372262403,0.0091090409647215,True,1.0,0.0005793721182779341,,0.5248675922022403,0.008841164153562559,0.00147116971515281,1.5151772509616678e-07,5.446154912312911e-16,-100.4031157066316,1926.4579078145061,0.009111295371074116,True,3,0.014399999999999996
alpha_trace,2.0,0.18368,True,0.5291960168058885,0.005646233010334232,True,1.0,0.0006930301475877139,,0.5289066589818885,0.0053313668343342325,0.0009792654601305118,1.621899475800046e-07,8.837369903199218e-16,-124.46417819309652,2000.0,0.005422314224403088,True,4,0.01727999999999999
alpha_trace,2.0,0.20368,True,0.5335815047916664,0.0012691014185607068,True,1.0,0.0007601980203203196,,0.5332334840556663,0.0009311729507554463,0.00018966130660986932,8.153273548611205e-08,9.536976539305343e-16,-150.20313128187968,2000.0,0.003465328668583471,True,5,0.01999999999999999
alpha_trace,2.0,0.20618,True,0.5337743371898885,0.00038114871530809736,True,1.0,4.9201696341395114e-05,,0.5337497611898885,0.00035983658761710763,7.419110763489525e-05,1.5459844617913883e-07,9.883163883036234e-16,-153.57434302014454,2000.0,0.003319367521271783,True,6,0.0025000000000000022
alpha_trace,2.0,0.20718,True,0.5339562720435773,0.00013130204236177213,True,1.0,7.635010816578675e-06,,0.5339562720435773,0.0001274845369534828,2.6412246366022564e-05,2.292032915345637e-07,1.0189967422392858e-15,-154.9376451552267,2000.0,0.0030959208617863006,True,7,0.0010000000000000009
alpha_trace,2.0,0.20818,True,0.5341627828972662,1e-08,True,2.0,7.617606850151724e-05,,0.5341267380972663,3.356430600279999e-05,6.987417223662902e-06,8.83817597015806e-06,1.1440973170359272e-15,-156.10850953285038,2000.0,0.002923021612272792,True,8,0.0010000000000000009
