benchmark_id,atlas_chart,Mach,alpha,shoot_stage1_mismatch,shoot_stage2_mismatch,stage1_fraction_of_nominal,stage2_fraction_of_nominal,critical_common_multiplier
19,C00,1.162,0.08875,4.624855950216564e-07,4.5318530431143226e-21,9.249711900433129e-06,4.531853043114322e-19,9.249711900433129e-06
20,C00,1.162,0.10425,3.971573461190334e-07,4.1321643551124565e-21,7.943146922380668e-06,4.1321643551124565e-19,7.943146922380668e-06
21,C00,1.198,0.05775,1.3815366566144944e-07,3.1982400578440677e-21,2.7630733132289885e-06,3.1982400578440676e-19,2.7630733132289885e-06
22,C00,1.198,0.07325,3.366283163624459e-07,4.4207919745322925e-21,6.7325663272489185e-06,4.4207919745322925e-19,6.7325663272489185e-06
23,C00,1.198,0.08875,3.923089516331973e-07,5.081769677772559e-21,7.846179032663946e-06,5.081769677772559e-19,7.846179032663946e-06
24,C00,1.198,0.10425,5.350449093445324e-07,4.708429947436145e-21,1.0700898186890646e-05,4.708429947436145e-19,1.0700898186890646e-05
25,C01,1.018,0.13525,6.291950278771798e-07,3.416418120434979e-21,1.2583900557543596e-05,3.4164181204349786e-19,1.2583900557543596e-05
26,C01,1.018,0.15075,1.6927990985319974e-08,1.3959938871810522e-21,3.3855981970639945e-07,1.3959938871810522e-19,3.3855981970639945e-07
27,C01,1.018,0.16625,1.1848813045524556e-07,1.0301016685235668e-20,2.3697626091049113e-06,1.0301016685235668e-18,2.3697626091049113e-06
28,C01,1.018,0.18175,1.548086226183348e-06,1.8336624261746528e-20,3.096172452366696e-05,1.8336624261746528e-18,3.096172452366696e-05
29,C01,1.018,0.19725,2.5884097887183818e-06,2.280029296941823e-20,5.1768195774367634e-05,2.280029296941823e-18,5.1768195774367634e-05
30,C01,1.054,0.11975,3.585960009913019e-07,3.022509672862676e-21,7.171920019826038e-06,3.022509672862676e-19,7.171920019826038e-06
31,C01,1.054,0.13525,1.2360973999309185e-07,2.0554888228119618e-22,2.472194799861837e-06,2.0554888228119618e-20,2.472194799861837e-06
32,C01,1.054,0.15075,6.52714298279842e-07,1.210804070122839e-21,1.305428596559684e-05,1.210804070122839e-19,1.305428596559684e-05
33,C01,1.054,0.16625,3.811554921604778e-07,3.4900091517358784e-21,7.623109843209556e-06,3.4900091517358784e-19,7.623109843209556e-06
34,C01,1.054,0.18175,1.8738208891770689e-06,6.84929459145666e-21,3.7476417783541376e-05,6.84929459145666e-19,3.7476417783541376e-05
35,C01,1.054,0.19725,1.215814837269663e-06,1.0960933160721412e-20,2.431629674539326e-05,1.0960933160721413e-18,2.431629674539326e-05
36,C01,1.09,0.11975,4.376939034656852e-07,1.0540142597332758e-21,8.753878069313703e-06,1.0540142597332758e-19,8.753878069313703e-06
37,C01,1.09,0.13525,8.018502977208172e-07,2.0169603513299882e-22,1.6037005954416345e-05,2.0169603513299882e-20,1.6037005954416345e-05
38,C01,1.09,0.15075,1.816347923040504e-06,8.079869976124285e-23,3.632695846081008e-05,8.079869976124285e-21,3.632695846081008e-05
39,C01,1.09,0.16625,7.422322179408589e-07,9.634577193669224e-22,1.4844644358817179e-05,9.634577193669224e-20,1.4844644358817179e-05
40,C01,1.09,0.18175,1.4488356267626008e-06,2.816141333903265e-21,2.8976712535252014e-05,2.816141333903265e-19,2.8976712535252014e-05
41,C01,1.09,0.19725,1.0891907366090948e-06,5.6963689765538865e-21,2.1783814732181895e-05,5.696368976553886e-19,2.1783814732181895e-05
42,C01,1.126,0.11975,5.004634486087252e-07,2.022802689903935e-21,1.0009268972174503e-05,2.0228026899039348e-19,1.0009268972174503e-05
43,C01,1.126,0.13525,1.398550483840976e-06,8.353893129615839e-22,2.7971009676819517e-05,8.353893129615839e-20,2.7971009676819517e-05
44,C01,1.126,0.15075,9.87272307356165e-07,8.741977401347677e-23,1.97454461471233e-05,8.741977401347677e-21,1.97454461471233e-05
45,C01,1.126,0.16625,7.853129248130737e-07,1.3418032064148917e-22,1.5706258496261473e-05,1.3418032064148916e-20,1.5706258496261473e-05
46,C01,1.126,0.18175,1.989215264914469e-06,1.0057896464297412e-21,3.978430529828937e-05,1.0057896464297412e-19,3.978430529828937e-05
47,C01,1.126,0.19725,1.1361082515551937e-06,2.766822126198284e-21,2.272216503110387e-05,2.766822126198284e-19,2.272216503110387e-05
48,C01,1.162,0.11975,3.2971556437883577e-07,2.9573353914123096e-21,6.594311287576715e-06,2.9573353914123096e-19,6.594311287576715e-06
49,C01,1.162,0.13525,6.542160408586623e-07,1.6593016787285854e-21,1.3084320817173244e-05,1.6593016787285854e-19,1.3084320817173244e-05
0,C01,1.162,0.15075,1.899723537332144e-06,5.501585942723002e-22,3.7994470746642875e-05,5.501585942723001e-20,3.7994470746642875e-05
1,C01,1.162,0.16625,1.268869617663925e-06,2.829023410989064e-23,2.53773923532785e-05,2.829023410989064e-21,2.53773923532785e-05
2,C01,1.162,0.18175,1.2594598804160936e-06,2.2992949019037527e-22,2.5189197608321872e-05,2.2992949019037527e-20,2.5189197608321872e-05
3,C01,1.162,0.19725,2.803853329661633e-06,1.1757670780747119e-21,5.6077066593232656e-05,1.175767078074712e-19,5.6077066593232656e-05
4,C01,1.198,0.11975,1.4650385375805192e-06,3.76502580769552e-21,2.9300770751610383e-05,3.76502580769552e-19,2.9300770751610383e-05
5,C01,1.198,0.13525,4.424569332820054e-07,2.482666674621053e-21,8.849138665640107e-06,2.482666674621053e-19,8.849138665640107e-06
6,C01,1.198,0.15075,5.28470666995243e-07,1.2077772155626714e-21,1.0569413339904858e-05,1.2077772155626714e-19,1.0569413339904858e-05
7,C01,1.198,0.16625,8.407169664398557e-07,3.3054920648052307e-22,1.6814339328797112e-05,3.3054920648052307e-20,1.6814339328797112e-05
8,C01,1.198,0.18175,5.410816983859499e-07,1.8940550334356491e-25,1.0821633967718998e-05,1.894055033435649e-23,1.0821633967718998e-05
9,C01,1.198,0.19725,2.0243969820517978e-07,2.732959452215191e-22,4.048793964103595e-06,2.732959452215191e-20,4.048793964103595e-06
10,C02,1.018,0.21275,4.570191641286851e-07,2.80907798739269e-20,9.140383282573701e-06,2.80907798739269e-18,9.140383282573701e-06
