metric,mismatch,ecdf
stage1_mismatch,8.414191428273387e-07,0.362
stage1_mismatch,8.431025224582386e-07,0.364
stage1_mismatch,8.482125495789998e-07,0.366
stage1_mismatch,8.501778473414874e-07,0.368
stage1_mismatch,8.667729515895732e-07,0.37
stage1_mismatch,8.702339767954952e-07,0.372
stage1_mismatch,8.747720187221734e-07,0.374
stage1_mismatch,8.769127356391492e-07,0.376
stage1_mismatch,8.777992146775617e-07,0.378
stage1_mismatch,8.837250835411864e-07,0.38
stage1_mismatch,8.842781824566722e-07,0.382
stage1_mismatch,8.877829153058691e-07,0.384
stage1_mismatch,8.891047868777642e-07,0.386
stage1_mismatch,8.914972544908956e-07,0.388
stage1_mismatch,8.940062454085429e-07,0.39
stage1_mismatch,9.006854100281993e-07,0.392
stage1_mismatch,9.076499761316272e-07,0.394
stage1_mismatch,9.162052963341628e-07,0.396
stage1_mismatch,9.278415059241136e-07,0.398
stage1_mismatch,9.307735407043364e-07,0.4
stage1_mismatch,9.316268110970973e-07,0.402
stage1_mismatch,9.410835472064212e-07,0.404
stage1_mismatch,9.415924428925096e-07,0.406
stage1_mismatch,9.5256177078468e-07,0.408
stage1_mismatch,9.590059316707303e-07,0.41
stage1_mismatch,9.627847853006163e-07,0.412
stage1_mismatch,9.682411861345118e-07,0.414
stage1_mismatch,9.711732038483308e-07,0.416
stage1_mismatch,9.79189558757427e-07,0.418
stage1_mismatch,9.87272307356165e-07,0.42
stage1_mismatch,9.873192608610084e-07,0.422
stage1_mismatch,9.993573649814277e-07,0.424
stage1_mismatch,9.99709001668724e-07,0.426
stage1_mismatch,1.0008594769902323e-06,0.428
stage1_mismatch,1.003757160067719e-06,0.43
stage1_mismatch,1.0065708914871638e-06,0.432
stage1_mismatch,1.011861208401638e-06,0.434
stage1_mismatch,1.0267127001549803e-06,0.436
stage1_mismatch,1.0416959914020828e-06,0.438
stage1_mismatch,1.0421415968685625e-06,0.44
stage1_mismatch,1.055486665682374e-06,0.442
stage1_mismatch,1.0583483068075127e-06,0.444
stage1_mismatch,1.067499494844965e-06,0.446
stage1_mismatch,1.0715155499241782e-06,0.448
stage1_mismatch,1.0725251675880906e-06,0.45
stage1_mismatch,1.0731733509069267e-06,0.452
stage1_mismatch,1.073957761943223e-06,0.454
stage1_mismatch,1.0864740273389693e-06,0.456
stage1_mismatch,1.0884607585029108e-06,0.458
stage1_mismatch,1.0891907366090948e-06,0.46
stage1_mismatch,1.0924105270331752e-06,0.462
stage1_mismatch,1.0944560710795568e-06,0.464
stage1_mismatch,1.0972493269795335e-06,0.466
stage1_mismatch,1.1089853086956662e-06,0.468
stage1_mismatch,1.1172687253377449e-06,0.47
stage1_mismatch,1.1184206746104907e-06,0.472
stage1_mismatch,1.1319883624629218e-06,0.474
stage1_mismatch,1.1361082515551937e-06,0.476
stage1_mismatch,1.1368422543165487e-06,0.478
stage1_mismatch,1.1379880315529997e-06,0.48
stage1_mismatch,1.1419501466827586e-06,0.482
stage1_mismatch,1.1495944907733664e-06,0.484
stage1_mismatch,1.1559017672409196e-06,0.486
stage1_mismatch,1.169644525128166e-06,0.488
stage1_mismatch,1.1723977069078776e-06,0.49
stage1_mismatch,1.182232290798509e-06,0.492
stage1_mismatch,1.1897167386131923e-06,0.494
stage1_mismatch,1.194849063963169e-06,0.496
stage1_mismatch,1.1987900373760714e-06,0.498
stage1_mismatch,1.2022415369675969e-06,0.5
stage1_mismatch,1.2042916030425033e-06,0.502
stage1_mismatch,1.2094458657051755e-06,0.504
stage1_mismatch,1.2104992977701814e-06,0.506
stage1_mismatch,1.2126246851899396e-06,0.508
stage1_mismatch,1.214767119136216e-06,0.51
stage1_mismatch,1.215814837269663e-06,0.512
stage1_mismatch,1.2193329277352325e-06,0.514
stage1_mismatch,1.219702321523188e-06,0.516
stage1_mismatch,1.2207787615639365e-06,0.518
stage1_mismatch,1.2209190526717085e-06,0.52
stage1_mismatch,1.226987651409106e-06,0.522
stage1_mismatch,1.2288770902302578e-06,0.524
stage1_mismatch,1.2409467045488749e-06,0.526
stage1_mismatch,1.2594598804160936e-06,0.528
stage1_mismatch,1.2634294076282387e-06,0.53
stage1_mismatch,1.2635220704783704e-06,0.532
stage1_mismatch,1.2660279864277846e-06,0.534
stage1_mismatch,1.2671695069936582e-06,0.536
stage1_mismatch,1.268155966684465e-06,0.538
stage1_mismatch,1.268869617663925e-06,0.54
stage1_mismatch,1.2699129633617051e-06,0.542
stage1_mismatch,1.283757657570304e-06,0.544
stage1_mismatch,1.2849716551173852e-06,0.546
stage1_mismatch,1.2869758048648677e-06,0.548
stage1_mismatch,1.289492947927355e-06,0.55
stage1_mismatch,1.2911669322417709e-06,0.552
stage1_mismatch,1.2946905972220568e-06,0.554
stage1_mismatch,1.3149087123696822e-06,0.556
stage1_mismatch,1.3181434706615826e-06,0.558
stage1_mismatch,1.3280697311167578e-06,0.56
stage1_mismatch,1.3326093534174404e-06,0.562
stage1_mismatch,1.3329372096635071e-06,0.564
stage1_mismatch,1.3339512328098514e-06,0.566
stage1_mismatch,1.3476443169288742e-06,0.568
stage1_mismatch,1.3642875700670382e-06,0.57
stage1_mismatch,1.3697867101042806e-06,0.572
stage1_mismatch,1.398550483840976e-06,0.574
stage1_mismatch,1.413685705643238e-06,0.576
stage1_mismatch,1.4157338296775269e-06,0.578
stage1_mismatch,1.4258293342413814e-06,0.58
stage1_mismatch,1.4488356267626008e-06,0.582
