task_index,blumen_row_id,source_row_id,curve_id,curve_label,curve_key,family,Mach,alpha,blumen_ci,status,accepted_seed_source,n_attempts,classical_cr,classical_ci,classical_omega_i,delta_ci,residual_norm,settings_name,spectral_extent,matching_y,max_step,rtol,atol,mode_status
101,101,113,5,ci=0.07,5__ci=0.07__ci_0.07,ci_level,1.3928077455048409,0.002712760673376,0.07,no_accepted_root,,75,,,,,,,,,,,,not_reconstructed
102,102,114,5,ci=0.07,5__ci=0.07__ci_0.07,ci_level,1.4107883817427385,0.0193866868404362,0.07,accepted_root,nearest_parameter,1,0.1705652483929016,0.072169847870327,0.0013991342399839,0.0021698478703269,8.910273418380411e-09,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
103,103,115,5,ci=0.07,5__ci=0.07__ci_0.07,ci_level,1.4260027662517287,0.0401889762576129,0.07,accepted_root,nearest_parameter,1,0.228600745151829,0.0735236001937019,0.0029548382225589,0.0035236001937019,1.7005773222435445e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
104,104,116,5,ci=0.07,5__ci=0.07__ci_0.07,ci_level,1.4273858921161826,0.0802518664557591,0.07,accepted_root,nearest_parameter,1,0.2810909409199188,0.0701869247597056,0.0056326317127563,0.0001869247597055,8.026855876283282e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
105,105,117,5,ci=0.07,5__ci=0.07__ci_0.07,ci_level,1.432918395573997,0.0637078471378465,0.07,accepted_root,nearest_parameter,1,0.2662776808143291,0.0715899393347426,0.0045608409117454,0.0015899393347425,5.7559484348290425e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
106,106,118,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.0110650069156293,0.1718744030016124,0.1,accepted_root,nearest_parameter,1,9.010762831126632e-09,0.090510410041798,0.0155564226913651,-0.0094895899582019,6.000787577035476e-10,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
107,107,119,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.0428769017980637,0.1679065129180899,0.1,accepted_root,nearest_parameter,1,0.0850097386888578,0.1107967600030938,0.0186034976147419,0.0107967600030938,2.3159695367423234e-16,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
108,108,120,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.0760719225449515,0.1653274798835424,0.1,accepted_root,nearest_parameter,1,0.1235936755239762,0.1062160715566562,0.0175604354335919,0.0062160715566562,1.2677731358180416e-15,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
109,109,121,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.1189488243430152,0.1558958605564598,0.1,accepted_root,nearest_parameter,1,0.1547918704090208,0.1029483803117135,0.0160492263415882,0.0029483803117135,1.5063154436343048e-16,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
110,110,122,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.1507607192254494,0.1422594621856445,0.1,accepted_root,nearest_parameter,1,0.1683231397523761,0.1037658588495092,0.0147616752731626,0.0037658588495092,3.038292771391702e-16,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
111,111,123,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.1825726141078838,0.1341479256932823,0.1,accepted_root,nearest_parameter,1,0.1847098030474706,0.1010860826064673,0.0135604882981173,0.0010860826064673,5.903210636619344e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
112,112,124,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.211618257261411,0.1191150286941306,0.1,accepted_root,nearest_parameter,1,0.1912656966762362,0.1022765820935058,0.0121826780108055,0.0022765820935057,2.697479057019705e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
113,113,125,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.2420470262793917,0.1054709887439536,0.1,accepted_root,nearest_parameter,1,0.1983449177767278,0.1018259335076605,0.010739681886829,0.0018259335076605,3.5736078327597204e-14,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
114,114,126,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.268326417704011,0.0931852395253051,0.1,accepted_root,nearest_parameter,1,0.2024999136184599,0.1010901891949871,0.0094201134937932,0.0010901891949871,1.5991961621078137e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
115,115,127,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.2959889349930842,0.0809071318860182,0.1,accepted_root,nearest_parameter,1,0.2060497774876325,0.0993084107824993,0.0080347586885705,-0.0006915892175006,2.1646588200768623e-10,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
116,116,128,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.313969571230982,0.0685755331911999,0.1,accepted_root,nearest_parameter,1,0.201613217155283,0.0991552316974625,0.0067996228823504,-0.0008447683025374,4.552907190502974e-14,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
117,117,129,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.3333333333333337,0.0534891451365168,0.1,accepted_root,nearest_parameter,1,0.1913804392129731,0.0983388333402651,0.0052600601290931,-0.0016611666597348,1.3581886374135189e-10,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
118,118,130,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.3416320885200554,0.0397228399165539,0.1,accepted_root,nearest_parameter,1,0.1710190524645405,0.0987388974535447,0.0039221894170841,-0.0012611025464552,6.668217770168395e-14,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
119,119,131,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.351313969571231,0.0038647287621406,0.1,no_accepted_root,,75,,,,,,,,,,,,not_reconstructed
120,120,132,6,ci=0.10,6__ci=0.10__ci_0.1,ci_level,1.351313969571231,0.0190580989278864,0.1,accepted_root,nearest_parameter,1,0.1195435404805788,0.0961358148717478,0.0018321658703387,-0.0038641851282521,8.691670851127479e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
121,121,135,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.0290456431535269,0.2990455667377334,0.03,accepted_root,nearest_parameter,1,0.1699833037703474,0.0336945932767273,0.0100762187424363,0.0036945932767273,9.436997751319546e-15,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
122,122,136,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.062240663900415,0.2950853182335725,0.03,accepted_root,nearest_parameter,1,0.1935957070012894,0.0326321825276222,0.0096292779658194,0.0026321825276222,6.854305381283173e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
123,123,137,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.0982019363762103,0.2883779219489085,0.03,accepted_root,nearest_parameter,1,0.215578839972229,0.0319405073321006,0.009210937130425,0.0019405073321005,7.430901429713981e-15,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
124,124,138,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.1313969571230982,0.2830364579751344,0.03,accepted_root,nearest_parameter,1,0.2345545008729019,0.030473162275086,0.0086250159136418,0.000473162275086,1.4082558383806603e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
125,125,139,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.164591977869986,0.2735513475925205,0.03,accepted_root,nearest_parameter,1,0.2508032615289459,0.0310322927440539,0.0084889254990215,0.0010322927440539,3.843831340870044e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
126,126,140,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.197786998616874,0.2654474526795199,0.03,accepted_root,nearest_parameter,1,0.2665907219802941,0.0307613216218089,0.0081655144655646,0.0007613216218089,2.89740345037962e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
127,127,141,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.2337482710926695,0.2559776254556292,0.03,accepted_root,nearest_parameter,1,0.2824991526155258,0.0307639284132596,0.0078748773449131,0.0007639284132596,2.506590359687762e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
128,128,142,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.272475795297372,0.2437606504512353,0.03,accepted_root,nearest_parameter,1,0.2979339381282995,0.0316755071049305,0.0077212422152705,0.0016755071049305,5.9867780254543746e-15,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
129,129,143,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.309820193637621,0.2342984648067063,0.03,accepted_root,nearest_parameter,1,0.3127949747092271,0.0314392752853141,0.0073661739339845,0.0014392752853141,5.996287546463139e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
130,130,144,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.351313969571231,0.2262404193698754,0.03,accepted_root,nearest_parameter,1,0.3293031768621738,0.0301575667495502,0.0068228605485932,0.0001575667495502,2.5637254294031845e-15,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
131,131,145,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.3914246196403872,0.2140310859448431,0.03,accepted_root,nearest_parameter,1,0.3428352715658843,0.0308057406898849,0.0065933861331913,0.0008057406898849,3.2374916690066935e-14,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
132,132,146,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.4273858921161826,0.0029038001574166,0.03,accepted_root,nearest_parameter,26,0.108522941381989,0.0352300629153303,0.0001023010622393,0.0052300629153303,6.3934957176045365e-09,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
133,133,147,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.428769017980636,0.2059501157699274,0.03,accepted_root,nearest_parameter,1,0.3559639829202611,0.0300879715318757,0.006196621220272,8.79715318757926e-05,5.063727761162804e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
134,134,148,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.460580912863071,0.1923137173991121,0.03,accepted_root,nearest_parameter,1,0.3641345396305428,0.0319386683306675,0.0061422440354479,0.0019386683306675,1.0233818862076434e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
135,135,149,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.4979253112033195,0.0074371671136991,0.03,accepted_root,nearest_parameter,1,0.2101222686606161,0.0247950022216771,0.0001844045751071,-0.0052049977783228,1.1744141450065707e-09,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
136,136,150,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.4979253112033195,0.1814703162849698,0.03,accepted_root,nearest_parameter,1,0.3751072645725326,0.0320836512492969,0.0058222303397865,0.0020836512492969,5.886993447940325e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
137,137,151,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.5283540802213,0.0103677127988812,0.03,accepted_root,nearest_parameter,1,0.2426528220058298,0.0250405015347488,0.0002596127282522,-0.0049594984652511,3.4759900931198917e-10,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
138,138,152,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.536652835408022,0.1720157722198024,0.03,accepted_root,nearest_parameter,1,0.3866097588399668,0.0315767320828613,0.0054316959534112,0.0015767320828613,3.1087337584804365e-14,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
139,139,153,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.5684647302904566,0.0147329650092081,0.03,accepted_root,nearest_parameter,1,0.2792274517000491,0.025515636459041,0.0003759209791387,-0.0044843635409589,3.209591789232789e-09,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
140,140,154,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.5864453665283542,0.1557162834414617,0.03,accepted_root,nearest_parameter,1,0.3989282869504271,0.0319910508562791,0.0049815275427265,0.0019910508562791,1.810559532455285e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
141,141,155,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.6141078838174274,0.0218912144762079,0.03,accepted_root,nearest_parameter,1,0.3166202872128694,0.0272359939230924,0.0005962289844431,-0.0027640060769075,2.8471688113699205e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
142,142,156,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.6293222683264177,0.1421410177055394,0.03,accepted_root,nearest_parameter,1,0.4089960787500679,0.0319051902636941,0.0045350362141703,0.0019051902636941,3.0457565147455083e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
143,143,157,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.6514522821576765,0.0290036144670381,0.03,accepted_root,nearest_parameter,1,0.3440626026908959,0.0283096108182904,0.0008210810378855,-0.0016903891817095,3.7826629272521793e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
144,144,158,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.6804979253112031,0.0360701649816984,0.03,accepted_root,nearest_parameter,1,0.3644468741753323,0.029148980491206,0.0010514085353661,-0.0008510195087939,2.342128419155117e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
145,145,159,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.6832641770401109,0.123102022726057,0.03,accepted_root,nearest_parameter,1,0.4199140656401272,0.0316656004524931,0.003898099466537,0.0016656004524931,8.760333993912726e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
146,146,160,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.7081604426002766,0.0403666429777707,0.03,accepted_root,nearest_parameter,1,0.3802899538005778,0.0285012763154737,0.0011505008454375,-0.0014987236845262,4.987876759296312e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
147,147,161,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.7150760719225449,0.1149904862336948,0.03,accepted_root,nearest_parameter,1,0.4273105614957609,0.0306835004449757,0.0035283106355195,0.0006835004449757,2.9701173220746495e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
148,148,162,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.7372060857538036,0.0515768399012708,0.03,accepted_root,nearest_parameter,1,0.4003222985659553,0.029325363199812,0.0015125095628033,-0.0006746368001879,2.400526236640909e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
149,149,163,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.7413554633471646,0.0999423060758198,0.03,accepted_root,nearest_parameter,1,0.4293376551727824,0.0306535149833441,0.0030635829767651,0.0006535149833441,2.9921901048568e-14,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
150,150,164,7,ci=0.03,7__ci=0.03__ci_0.03,ci_level,1.752420470262794,0.0751415602576741,0.03,accepted_root,nearest_parameter,1,0.4204238069901207,0.03078034743413,0.0023128833314738,0.00078034743413,5.4168996684900055e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
