task_index,role,Mach,alpha,reference_cr,reference_ci,reference_omega_i,reference_residual_norm,reference_mode_gamma_mismatch
25,peak_growth,1.5,0.145,0.3599323242867976,0.0433022950552245,0.0062788327830075,1.6890123342547937e-14,4.555359681833968e-11
26,near_neutral,1.5,0.27,0.403514362879259,0.0004165216734289,0.0001124608518258,7.252377962455237e-11,9.330108730488362e-07
27,low_alpha,1.55,0.05,0.3135717144297565,0.0492291037382038,0.0024614551869101,2.706364120155936e-12,1.6349480568807456e-11
28,peak_growth,1.55,0.145,0.3802800476378144,0.0381293633372997,0.0055287576839084,2.1012357385556347e-14,3.040117338739139e-11
29,near_neutral,1.55,0.26,0.4189715103041552,0.0011522371683095,0.0002995816637604,7.67762136997416e-12,3.1951693056654035e-08
30,low_alpha,1.6,0.05,0.3386982234532665,0.0421909590288649,0.0021095479514432,2.945218720919713e-12,1.6864304339501826e-11
31,peak_growth,1.6,0.14,0.3972610228311672,0.0348245264517454,0.0048754337032443,2.9482550913495267e-14,7.523849583973827e-11
32,near_neutral,1.6,0.255,0.4347990673571785,0.0002641241639164,6.73516617987011e-05,1.2316091276088356e-10,3.023462822459524e-06
33,low_alpha,1.65,0.05,0.3621555514026959,0.036495669112601,0.00182478345563,2.9782570403742682e-12,1.8393156249375955e-11
34,peak_growth,1.65,0.14,0.4154940034661983,0.030796267900056,0.0043114775060078,4.1743571701284775e-14,3.2467342828753686e-11
35,near_neutral,1.65,0.245,0.4485786032506465,0.0011851061122299,0.0002903509974963,1.998567206976377e-12,2.4800447430174315e-08
36,low_alpha,1.7,0.05,0.3840001105701379,0.0318734709789904,0.0015936735489495,2.9300863242392568e-12,2.1560934263539427e-11
37,peak_growth,1.7,0.14,0.4326991990780491,0.0272788284589627,0.0038190359842547,6.11072501935685e-14,3.262761657450158e-11
38,near_neutral,1.7,0.24,0.4628080238673403,0.0005983786311341,0.0001436108714721,7.658806410667952e-11,2.165435284283057e-07
39,low_alpha,1.75,0.05,0.4043340347931455,0.028092539405828,0.0014046269702914,2.8348558950312658e-12,4.8122819111489564e-11
40,peak_growth,1.75,0.135,0.4470880807437472,0.0251461979502636,0.0033947367232855,7.500456104877209e-14,3.4908156311238875e-11
41,near_neutral,1.75,0.235,0.4762994308359091,0.0001659878864715,3.900715332082168e-05,9.310579116081408e-11,5.1216969237438885e-06
42,low_alpha,1.8,0.05,0.423279653101262,0.0249681660027234,0.0012484083001361,2.7116635781584912e-12,2.5231928551421423e-11
43,peak_growth,1.8,0.135,0.4625620837767313,0.0223946521316,0.003023278037766,1.0595490573498769e-13,3.354272379852993e-11
44,near_neutral,1.8,0.225,0.4880064912957754,0.0012262526181953,0.0002759068390939,1.900075652847197e-12,1.7350272858878813e-08
45,low_alpha,1.85,0.05,0.4409623344477715,0.0223581821587575,0.0011179091079378,2.5732927561469268e-12,2.0642440221431376e-11
46,peak_growth,1.85,0.13,0.4755143909772433,0.0207788968142683,0.0027012565858548,1.19510443423808e-13,4.887834620045509e-11
47,near_neutral,1.85,0.22,0.5002275325325128,0.0009551031056836,0.0002101226832504,1.8308449099361968e-11,3.468697873429921e-08
48,low_alpha,1.9,0.05,0.4575013033096492,0.0201545403695674,0.0010077270184783,2.430813635677558e-12,1.1293100157953828e-11
49,peak_growth,1.9,0.13,0.4894770013114648,0.0186080268219635,0.0024190434868552,1.572536428375473e-13,2.846796597416205e-11
50,near_neutral,1.9,0.215,0.51185864489249,0.0007752887358164,0.0001666870782005,4.8747236814518326e-11,6.492127512660786e-08
