boundary_id,normal_axis,pair_id,idx_a,idx_b,Mach_minus_grid,Mach_plus_grid,eta_minus_grid,eta_plus_grid,Mach_mid,eta_mid,component,chart_minus,chart_plus,Mach_boundary,eta_boundary,clean_pair_switch,third_chart_seen,eps,Mach_minus,eta_minus,Mach_plus,eta_plus,routed_chart_minus,routed_chart_plus,family_minus,family_plus,ci_minus,ci_plus,samepoint_ci_abs_diff,samepoint_ci_rel_diff_reg,samepoint_p_overlap,samepoint_p_rel,samepoint_q_overlap,samepoint_q_rel,routed_ci_abs_diff,routed_ci_rel_diff_reg,routed_p_overlap,routed_p_rel,routed_q_overlap,routed_q_rel,success,error
ROUTE_0143,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.324,0.324,0.8504,0.324,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.324,True,,0.0002,0.8497999995052815,0.324,0.8501999995052815,0.324,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.3554659123025379,0.35528330624773247,0.00012829114005602493,0.00036095032960195816,0.9736526034185783,0.22803641782887366,0.9525362612448339,0.4562913915005269,0.00018260605480541203,0.0005137090463121414,0.9736313356386276,0.22812720631818909,0.9525107334252333,0.4564668633906077,True,
ROUTE_0143,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.324,0.324,0.8504,0.324,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.324,True,,5e-05,0.8499499995052815,0.324,0.8500499995052815,0.324,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.3554359816926802,0.35529413651071196,0.00012829114005602493,0.00036095032960195816,0.9736526034185783,0.22803641782887366,0.9525362612448339,0.4562913915005269,0.00014184518196824758,0.00039907378339340685,0.9736472888719808,0.22805910828607914,0.9525298820689829,0.4563352428608797,True,
ROUTE_0144,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.3591999999999999,0.3591999999999999,0.8504,0.3591999999999999,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.3591999999999999,True,,0.001,0.8489999995052815,0.3591999999999999,0.8509999995052815,0.3591999999999999,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.3331999805729026,0.33303103134263073,7.342769947282779e-05,0.00022042878885494244,0.9733023874490649,0.22952660539891712,0.9516675319898884,0.4533275374385613,0.00016894923027188646,0.0005070505405834534,0.9731998156144226,0.22996112473210276,0.9515437832248606,0.4541604148567135,True,
ROUTE_0144,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.3591999999999999,0.3591999999999999,0.8504,0.3591999999999999,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.3591999999999999,True,,0.0002,0.8497999995052815,0.3591999999999999,0.8501999995052815,0.3591999999999999,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.33307129625403803,0.33309664501719577,7.342769947282779e-05,0.00022042878885494244,0.9733023874490649,0.22952660539891712,0.9516675319898884,0.4533275374385613,2.5348763157739818e-05,7.610032564702419e-05,0.9732819180536711,0.22961338808912524,0.9516428336536374,0.45349381601117317,True,
ROUTE_0144,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.3591999999999999,0.3591999999999999,0.8504,0.3591999999999999,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.3591999999999999,True,,5e-05,0.8499499995052815,0.3591999999999999,0.8500499995052815,0.3591999999999999,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.3330475004108661,0.3331089269148807,7.342769947282779e-05,0.00022042878885494244,0.9733023874490649,0.22952660539891712,0.9516675319898884,0.4533275374385613,6.142650401458338e-05,0.00018440365613581918,0.9732972721914508,0.22954829545148225,0.9516613597954685,0.4533690932803897,True,
ROUTE_0145,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.3976,0.3976,0.8504,0.3976,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.3976,True,,0.001,0.8489999995052815,0.3976,0.8509999995052815,0.3976,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.30981656097484306,0.3096316408739159,2.8116311058423715e-05,9.077798129351665e-05,0.9726871948164293,0.23211984197854763,0.9504706595725607,0.4517431637418014,0.00018492010092713285,0.0005968696455259803,0.9725878400304028,0.23253578955721088,0.9503503094488736,0.45253558551593276,True,
ROUTE_0145,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.3976,0.3976,0.8504,0.3976,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.3976,True,,0.0002,0.8497999995052815,0.3976,0.8501999995052815,0.3976,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.30972126822527146,0.3097069574691895,2.8116311058423715e-05,9.077798129351665e-05,0.9726871948164293,0.23211984197854763,0.9504706595725607,0.4517431637418014,1.431075608193666e-05,4.620527406444665e-05,0.9726673618904945,0.2322029351945962,0.9504466331693215,0.45190140877829604,True,
ROUTE_0145,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.3976,0.3976,0.8504,0.3976,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.3976,True,,5e-05,0.8499499995052815,0.3976,0.8500499995052815,0.3976,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.3097037919430717,0.30972130989068036,2.8116311058423715e-05,9.077798129351665e-05,0.9726871948164293,0.23211984197854763,0.9504706595725607,0.4517431637418014,1.751794760868064e-05,5.656035619526405e-05,0.9726822383519912,0.2321406108257675,0.9504646549978412,0.4517827138871864,True,
ROUTE_0146,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.2504,0.2504,0.7,0.2504,0,LOW,HM1_LOW,0.6999999995052814,0.2504,True,,0.001,0.6989999995052814,0.2504,0.7009999995052814,0.2504,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.4571613700282194,0.45645977435726237,8.849573564728708e-06,1.937379479399345e-05,0.9635633392751731,0.267480263206238,0.9503491842719295,0.45576636245717805,0.0007015956709570115,0.001534678380445189,0.9635519014604698,0.2675214630490661,0.9503271101198193,0.4558877765411791,True,
ROUTE_0146,Mach,HM1_LOW__LOW,30,8,0.6983999999999999,0.7016,0.2504,0.2504,0.7,0.2504,0,LOW,HM1_LOW,0.6999999995052814,0.2504,True,,0.0002,0.6997999995052814,0.2504,0.7001999995052813,0.2504,LOW,HM1_LOW,pq_legacy,pq_etaaware,0.4568496614004986,0.4567168913683853,8.849573564728708e-06,1.937379479399345e-05,0.9635633392751731,0.267480263206238,0.9503491842719295,0.45576636245717805,0.00013277003211331628,0.00029062083948207864,0.9635610517273698,0.2674885036670645,0.9503447748791897,0.45579062348956073,True,
