t401_row,test_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
230,230,C20,1.5,0.065,0.3035789845194382,0.0586404622091123,0.31559938,0.05269719,COMPLETED,True,0.4616142529936851,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,2.1050108988545396e-08,6.410023633315871e-19,2.10501089891864e-08,0,12,12,12,12,373.52893397712614
231,231,C20,1.5,0.075,0.3132090515913153,0.0581127147885543,0.32156146,0.054304,COMPLETED,True,0.4520004313912778,False,11,2,0.9,0.0001,0.7614583333333332,1e-06,3.526663329801961e-08,4.4180759019809285e-19,3.5266633298461416e-08,0,12,12,12,13,422.0556412389269
232,232,C20,1.5,0.09,0.3258504254289729,0.0562632320216114,0.3184838,0.06032676,COMPLETED,True,0.43922409844716825,False,10,2,0.9,0.0001,0.7614583333333332,1.7705729166666663e-05,2.750332976222027e-08,5.066850928642006e-19,2.7503329762726954e-08,0,12,12,12,13,470.7288173168199
233,233,C20,1.5,0.1,0.3332980185827091,0.0545024471140046,0.32033077,0.059081893,COMPLETED,True,0.4316113455925256,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,3.1423221251605496e-08,4.571605397730751e-19,3.1423221252062656e-08,0,12,12,12,13,467.6449327718001
234,234,C20,1.5,0.115,0.3432807312668702,0.0512712829522548,0.34104705,0.049092095,COMPLETED,True,0.42129465285922824,False,11,5,0.9,0.002,0.7614583333333332,0.00011781134259259261,6.005948499646664e-08,3.8502147105529456e-19,6.005948499685165e-08,0,12,12,12,13,440.97302578028757
235,235,C20,1.55,0.055,0.3188262390250224,0.0500136695789316,0.32245415,0.047634874,COMPLETED,True,0.44544156134274127,False,10,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,1.99832635835675e-08,6.99942862559488e-19,1.9983263584267444e-08,0,12,12,12,12,365.3946091280086
236,236,C20,1.55,0.065,0.3284933098185326,0.0507775752636187,0.33561084,0.046390444,COMPLETED,True,0.4359279662655845,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,2.0869484645170056e-08,6.429821669387863e-19,2.0869484645813036e-08,0,12,12,12,12,367.97272629197687
237,237,C20,1.55,0.075,0.3371855211912236,0.0507066573395572,0.3426547,0.047541793,COMPLETED,True,0.4272920345726216,False,11,2,0.9,0.0001,0.7614583333333332,1e-06,3.5202171052674754e-08,5.624681191115503e-19,3.520217105323722e-08,0,12,12,12,13,415.2410677772714
238,238,C20,1.55,0.09,0.3487121099820713,0.0494574826476193,0.34490648,0.050786294,COMPLETED,True,0.4156920538373056,False,10,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,3.133706065484604e-08,5.083580652649695e-19,3.13370606553544e-08,0,12,12,12,13,426.27711478993297
239,239,C20,1.55,0.1,0.3555551063603823,0.0480504120008845,0.34674942,0.04948743,COMPLETED,True,0.40873372543020714,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,3.1181717970331735e-08,4.598681222286682e-19,3.11817179707916e-08,0,12,12,12,13,431.1701499200426
240,240,C20,1.55,0.115,0.3647793295971357,0.0452945808224513,0.36177626,0.043218404,COMPLETED,True,0.3992564845670789,False,11,5,0.9,0.002,0.7614583333333332,1e-06,4.279141899272157e-08,3.680725249528498e-19,4.279141899308965e-08,0,12,12,12,13,444.83006940502673
241,241,C20,1.6,0.05,0.3386982234532665,0.0421909590288649,0.336912,0.041508902,COMPLETED,True,0.42485389068969914,False,10,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,1.8063846027445442e-08,7.308816028116828e-19,1.8063846028176322e-08,0,12,12,12,12,357.0149102101568
242,242,C20,1.6,0.06,0.3477230740318452,0.0437857312429802,0.34894103,0.04067204,COMPLETED,True,0.4160417140333171,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,1.9166697540848237e-08,6.734317885088392e-19,1.9166697541521668e-08,0,12,12,12,12,364.8098626330029
243,243,C20,1.6,0.07,0.3559247173858385,0.0444157003676643,0.35498932,0.040637653,COMPLETED,True,0.4079585509242325,False,11,2,0.9,0.0001,0.7614583333333332,1e-06,3.105978579083527e-08,8.3042141724736565e-19,3.1059785791665695e-08,0,12,12,12,12,378.36922240280546
244,244,C20,1.6,0.08,0.3633999906790227,0.0443109431210614,0.36303243,0.04164283,COMPLETED,True,0.4005107781957077,False,10,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,2.7687167293711383e-08,5.625027576215562e-19,2.7687167294273886e-08,0,12,12,12,13,424.6261513958452
245,245,C20,1.6,0.095,0.3734431471291369,0.0431154410476996,0.37119326,0.042324286,COMPLETED,True,0.390399823412531,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,2.9441396069041863e-08,4.868269769011207e-19,2.944139606952869e-08,0,12,12,12,13,435.5095251726452
246,246,C20,1.6,0.105,0.3794689505346765,0.0417841166306905,0.37836826,0.040575847,COMPLETED,True,0.3842677678472039,False,11,5,0.9,0.002,0.7614583333333332,1e-06,3.346258650885431e-08,4.239839180167109e-19,3.3462586509278295e-08,0,12,12,12,13,444.051682499703
247,247,C20,1.6,0.115,0.3850335169835032,0.0401163544206415,0.38650396,0.03846462,COMPLETED,True,0.3785496914217481,False,10,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,4.111909723311817e-08,3.9307638522341126e-19,4.111909723351125e-08,0,12,12,12,13,446.7979592437623
248,248,C21,1.45,0.125,0.3269018153356393,0.0553327091569246,0.32724184,0.05454532,COMPLETED,True,0.4380603219874004,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,4.050694090752576e-08,3.428982491884913e-19,4.0506940907868654e-08,0,12,12,12,13,457.640914436779
249,249,C21,1.45,0.13,0.3299286886080188,0.0538600495140795,0.33053774,0.053017948,COMPLETED,True,0.4348736366411013,False,11,2,0.9,0.0001,0.7614583333333332,3.3981770833333346e-05,4.145035549524912e-08,3.2273383874574165e-19,4.1450355495571854e-08,0,12,12,12,13,447.1623955410905
250,250,C21,1.45,0.135,0.3328377578010073,0.0523477554749174,0.33337682,0.051618576,COMPLETED,True,0.43180525770121553,False,10,2,0.9,0.0001,0.7614583333333332,1e-06,3.458733226340615e-08,2.403934591512323e-19,3.458733226364654e-08,0,12,12,12,13,456.1753781690495
