condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,383,C31,1.85,0.205,5,generic,4,0.5,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.49677734374999993,0.0048212200520833335,4.56280061117531e-06,8.571909388157619e-21,4.562800611175318e-06,True,True,True,0.004283082521729132,43.29020260600373,383,383
generic,383,C31,1.85,0.205,6,generic,5,0.9,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7849609375000002,1e-06,0.0005006487882082775,3.809555068017007e-09,0.0005006525977633455,True,True,True,0.11505642920705852,46.83272548392415,383,383
generic,383,C31,1.85,0.205,7,generic,0,0.1,0.0001,0.06,0.015,COMPLETED,,1,0.105,0.02625,0.3056982421875001,5.182980384355709e-06,0.018632416825151883,1.99431925448924e-24,0.018632416825151883,True,True,True,0.2056982640405471,86.34020828595385,383,383
generic,383,C31,1.85,0.205,8,generic,1,0.5,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.49675781249999995,0.0048206184895833335,1.1477617523268274e-05,8.575198969686827e-21,1.1477617523268283e-05,True,True,True,0.005726780833011911,38.600255308905616,383,383
generic,383,C31,1.85,0.205,9,generic,2,0.9,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,3.136747685185185e-05,5.966151704411791e-08,1.2216824409905822e-19,5.966151704424008e-08,True,True,True,0.13854168366668945,27.09634666692,383,383
generic,383,C31,1.85,0.205,10,generic,3,0.1,0.002,0.1,0.015,COMPLETED,,1,0.17500000000000002,0.02625,0.4122314453124998,0.00593414485677083,0.038903989845253714,2.541163187569218e-22,0.038903989845253714,True,True,True,0.312256229621903,85.42645471100695,383,383
generic,383,C31,1.85,0.205,11,generic,4,0.5,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.49680989583333324,0.004822501953125,6.977544802829504e-06,8.564510137135049e-21,6.977544802829512e-06,True,True,True,0.004259493147028069,42.05914531298913,383,383
generic,384,C31,1.9,0.14,0,generic,0,0.1,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.15193603515625004,1.0762912326388879e-05,0.041135238696784454,4.973263136439138e-25,0.041135238696784454,True,True,True,0.05193611182028412,85.89883029798511,384,384
generic,384,C31,1.9,0.14,1,generic,1,0.5,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.492607421875,0.0170189453125,6.72867784600308e-07,8.303178205496823e-21,6.728677846003163e-07,True,True,True,0.018463502425639457,34.82115099602379,384,384
generic,384,C31,1.9,0.14,2,generic,2,0.9,0.0001,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.8475512695312502,1e-06,0.03463922803775716,3.268999180121862e-06,0.03464249703693728,True,True,True,0.05244882390276803,107.06128205999266,384,384
