script,line,literal,suffix,exists,status
code/scripts/audits/audit_diagnose_supersonic_local_mode_families.py,218,_profiles.npz,.npz,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_local_spectrum.py,197,_modes.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_local_spectrum.py,198,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_mach_branch_tracking.py,334,_surface.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_mach_branch_tracking.py,335,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_modal_branch_selector.py,318,_surface.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_modal_branch_selector.py,319,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv.py,42,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,.csv,no,MISSING_STATIC_LITERAL_REVIEW
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv.py,80,model_best.pt,.pt,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv.py,137,diagnostics_vs_validated_csv.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv.py,157,fields_vs_validated_csv.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv_enveloped.py,60,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,.csv,no,MISSING_STATIC_LITERAL_REVIEW
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv_enveloped.py,98,model_best.pt,.pt,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv_enveloped.py,156,diagnostics_vs_validated_csv.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_pinn_against_validated_csv_enveloped.py,176,fields_vs_validated_csv.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_pinn_zone_errors.py,20,validated_csv_diagnostics/fields_vs_validated_csv.csv,.csv,no,MISSING_STATIC_LITERAL_REVIEW
code/scripts/audits/audit_diagnose_supersonic_pinn_zone_errors.py,57,validated_csv_diagnostics/zone_errors_vs_validated_csv.csv,.csv,no,MISSING_STATIC_LITERAL_REVIEW
