point_id,seam_id,chart_a,checkpoint_a,chart_b,checkpoint_b,Mach,eta,alpha,overlap_mach_min,overlap_mach_max,overlap_eta_min,overlap_eta_max
SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME_P0,SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.7749999999999999,0.055,0.0347578678143524,0.7,0.85,0.05,0.06
SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME_P1,SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.73,0.052,0.0355392515396709,0.7,0.85,0.05,0.06
SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME_P2,SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.73,0.0579999999999999,0.0396399344096329,0.7,0.85,0.05,0.06
SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME_P3,SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.82,0.052,0.0297629030842087,0.7,0.85,0.05,0.06
SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME_P4,SEAM_0002_ETAEDGE_HM1__HM1_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.82,0.0579999999999999,0.0331970842093097,0.7,0.85,0.05,0.06
SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME_P0,SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.855,0.055,0.0285245398735895,0.85,0.86,0.05,0.06
SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME_P1,SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.852,0.052,0.0272241727881675,0.85,0.86,0.05,0.06
SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME_P2,SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.852,0.0579999999999999,0.0303654234944945,0.85,0.86,0.05,0.06
SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME_P3,SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.858,0.052,0.0267097836756496,0.85,0.86,0.05,0.06
SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME_P4,SEAM_0003_ETAEDGE_HM1__HM2_VLOW_EXTREME,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.858,0.0579999999999999,0.0297916817920707,0.85,0.86,0.05,0.06
SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY_P0,SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,VLOW_EXTREME_CI_ONLY,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/VLOW_EXTREME_CI_ONLY/model_state.pt,0.69,0.055,0.0398095151942346,0.68,0.7,0.05,0.06
SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY_P1,SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,VLOW_EXTREME_CI_ONLY,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/VLOW_EXTREME_CI_ONLY/model_state.pt,0.684,0.052,0.0379330644161528,0.68,0.7,0.05,0.06
SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY_P2,SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,VLOW_EXTREME_CI_ONLY,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/VLOW_EXTREME_CI_ONLY/model_state.pt,0.684,0.0579999999999999,0.0423099564641704,0.68,0.7,0.05,0.06
SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY_P3,SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,VLOW_EXTREME_CI_ONLY,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/VLOW_EXTREME_CI_ONLY/model_state.pt,0.696,0.052,0.0373381726387352,0.68,0.7,0.05,0.06
SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY_P4,SEAM_0004_ETAEDGE_HM1__VLOW_EXTREME_CI_ONLY,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,VLOW_EXTREME_CI_ONLY,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/VLOW_EXTREME_CI_ONLY/model_state.pt,0.696,0.0579999999999999,0.0416464233278201,0.68,0.7,0.05,0.06
SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B_P0,SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,0.925,0.04,0.0151986841535706,0.92,0.93,0.02,0.06
SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B_P1,SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,0.922,0.0279999999999999,0.0108413165252196,0.92,0.93,0.02,0.06
SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B_P2,SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,0.922,0.0519999999999999,0.0201338735468364,0.92,0.93,0.02,0.06
SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B_P3,SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,0.928,0.0279999999999999,0.0104322453958867,0.92,0.93,0.02,0.06
SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B_P4,SEAM_0005_ETAEDGE_HM2A__ETAEDGE_HM2B,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,0.928,0.0519999999999999,0.0193741700209325,0.92,0.93,0.02,0.06
SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME_P0,SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.845,0.055,0.0294121467254602,0.84,0.85,0.05,0.06
SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME_P1,SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.842,0.052,0.0280528313009578,0.84,0.85,0.05,0.06
SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME_P2,SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.842,0.0579999999999999,0.0312896964510683,0.84,0.85,0.05,0.06
SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME_P3,SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.848,0.052,0.0275598037728863,0.84,0.85,0.05,0.06
SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME_P4,SEAM_0006_ETAEDGE_HM2A__HM1_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM1_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM1_VLOW_EXTREME/model_state.pt,0.848,0.0579999999999999,0.0307397811312962,0.84,0.85,0.05,0.06
SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME_P0,SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.89,0.055,0.0250778288533915,0.85,0.93,0.05,0.06
SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME_P1,SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.866,0.052,0.0260022878993368,0.85,0.93,0.05,0.06
SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME_P2,SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.866,0.0579999999999999,0.0290025518877218,0.85,0.93,0.05,0.06
SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME_P3,SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.914,0.052,0.0210971376257538,0.85,0.93,0.05,0.06
SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME_P4,SEAM_0007_ETAEDGE_HM2A__HM2_VLOW_EXTREME,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.914,0.0579999999999999,0.0235314227364177,0.85,0.93,0.05,0.06
SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME_P0,SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.95,0.055,0.0171737444955955,0.92,0.98,0.05,0.06
SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME_P1,SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.932,0.052,0.0188478302199483,0.92,0.98,0.05,0.06
SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME_P2,SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.932,0.0579999999999999,0.0210225798607116,0.92,0.98,0.05,0.06
SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME_P3,SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.968,0.052,0.0130494101016099,0.92,0.98,0.05,0.06
SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME_P4,SEAM_0008_ETAEDGE_HM2B__HM2_VLOW_EXTREME,ETAEDGE_HM2B,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2B/model_state.pt,HM2_VLOW_EXTREME,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/HM2_VLOW_EXTREME/model_state.pt,0.968,0.0579999999999999,0.0145551112671803,0.92,0.98,0.05,0.06
