tail_polish_left_applied,tail_polish_reason,tail_polish_lambda_real,tail_polish_lambda_imag,tail_polish_fit_rel_resid,tail_polish_fit_n,tail_polish_y_join,tail_polish_n_replaced,Mach,alpha,tail_polish_fit_y_min,tail_polish_fit_y_max
False,fit_failed,,,,0,,0,1.8,0.1775,,
False,fit_failed,,,,0,,0,1.8,0.18,,
False,fit_failed,,,,0,,0,1.8,0.1825,,
False,fit_failed,,,,0,,0,1.8,0.185,,
False,fit_failed,,,,0,,0,1.8,0.1875,,
False,fit_failed,,,,0,,0,1.8,0.19,,
False,fit_failed,,,,0,,0,1.9,0.08,,
False,fit_failed,,,,0,,0,1.9,0.0825,,
False,fit_failed,,,,0,,0,1.9,0.085,,
False,fit_failed,,,,0,,0,1.9,0.0875,,
False,fit_failed,,,,0,,0,1.9,0.09,,
False,fit_failed,,,,0,,0,1.9,0.0925,,
False,fit_failed,,,,0,,0,1.9,0.095,,
False,fit_failed,,,,0,,0,1.9,0.0975,,
False,fit_failed,,,,0,,0,1.9,0.1,,
False,fit_failed,,,,0,,0,1.9,0.1025,,
False,fit_failed,,,,0,,0,1.9,0.105,,
False,fit_failed,,,,0,,0,1.9,0.1075,,
False,fit_failed,,,,0,,0,1.9,0.11,,
False,fit_failed,,,,0,,0,1.9,0.1125,,
False,fit_failed,,,,0,,0,1.9,0.115,,
False,fit_failed,,,,0,,0,1.9,0.1175,,
False,fit_failed,,,,0,,0,1.9,0.12,,
False,fit_failed,,,,0,,0,1.9,0.1225,,
False,fit_failed,,,,0,,0,1.9,0.125,,
False,fit_failed,,,,0,,0,1.9,0.1275,,
False,fit_failed,,,,0,,0,1.9,0.13,,
False,fit_failed,,,,0,,0,1.9,0.1325,,
False,fit_failed,,,,0,,0,1.9,0.135,,
False,fit_failed,,,,0,,0,1.9,0.1375,,
False,fit_failed,,,,0,,0,1.9,0.14,,
False,fit_failed,,,,0,,0,1.9,0.1425,,
False,fit_failed,,,,0,,0,1.9,0.145,,
False,fit_failed,,,,0,,0,1.9,0.1475,,
False,fit_failed,,,,0,,0,1.9,0.15,,
False,fit_failed,,,,0,,0,1.9,0.1525,,
False,fit_failed,,,,0,,0,1.9,0.155,,
False,fit_failed,,,,0,,0,1.9,0.1575,,
False,fit_failed,,,,0,,0,1.9,0.16,,
False,fit_failed,,,,0,,0,1.9,0.1625,,
False,fit_failed,,,,0,,0,1.9,0.165,,
False,fit_failed,,,,0,,0,1.9,0.1675,,
False,fit_failed,,,,0,,0,1.9,0.17,,
False,fit_failed,,,,0,,0,1.9,0.1725,,
False,fit_failed,,,,0,,0,1.9,0.175,,
False,fit_failed,,,,0,,0,1.9,0.1775,,
