y,mask,p_ref_real,p_ref_imag,q_ref_real,q_ref_imag,p_pred_raw_real,p_pred_raw_imag,q_pred_raw_real,q_pred_raw_imag,p_pred_aligned_real,p_pred_aligned_imag,q_pred_aligned_real,q_pred_aligned_imag,p_y_pred_num_aligned_real,p_y_pred_num_aligned_imag
-85.69161059243989,0,0.1663449639511813,-0.0712061207797535,-0.01853283266085197,-0.047737203600895256,0.38872391509194926,-0.15120031231174139,-0.04808836997204846,-0.09749926406805628,0.1726590195546541,-0.06665930197613693,-0.021229745006186226,-0.0433174641108328,-0.015130669532262933,-0.05482156462404351
-84.27720777056597,0,0.1257931708000279,-0.1338443992854066,-0.03670449299474348,-0.036947290918123,0.30132346759953726,-0.3137692082472648,-0.09011236465991217,-0.08161542001044902,0.13405770709308734,-0.13889428101840634,-0.03989497529407914,-0.036316118581722207,-0.03657901368793654,-0.04136261609311286
-82.90805955361023,0,0.0648916420248616,-0.1747043877131699,-0.04895673329659326,-0.0201282770567962,0.16047204038859414,-0.4120430100454806,-0.11665685091995932,-0.048778767575577746,0.07166661702887411,-0.18265889669768381,-0.05171031506063897,-0.021774954897050305,-0.05129527500044173,-0.020354148752967063
-81.58202775200492,0,-0.005774188246474,-0.1889182977379364,-0.05376792319281501,-0.0002153020651457921,-0.009455532186445728,-0.43883695935948036,-0.12530655339654426,-0.004403253408197558,-0.0037062985953142413,-0.19473783458683827,-0.05559798388131146,-0.002093636457705097,-0.05808563302496274,0.002524877728221042
-80.29710678743865,0,-0.075455276661885,-0.1761167860111419,-0.05089031598974541,0.01974460575831201,-0.1810447522872241,-0.3984504197426871,-0.11553173950390574,0.04386235462579304,-0.07989147419397902,-0.17700829606252302,-0.05131438994496229,0.01933440207537694,-0.05417356914951043,0.02411387548626035
-79.05141356907998,1,-0.1348159500735358,-0.1397080340254846,-0.04116998971686528,0.037051702412728135,-0.31895465695181513,-0.30233397972490733,-0.08968925883651592,0.08530152617697102,-0.14119411868643603,-0.13451189014834578,-0.03989339719824578,0.03775123314964656,-0.03960972102045549,0.04053583497613656
-77.84317828329539,1,-0.1769618456087384,-0.0857718863591241,-0.02624816029136675,0.04966302892222249,-0.40112770779598095,-0.17479506738297537,-0.05469595719837566,0.11230222881348377,-0.17779942078249586,-0.0780100701968734,-0.02439576176050191,0.049771417450999236,-0.02049706778517478,0.05006331802238146
-76.67073600211968,1,-0.1979132773431909,-0.0218305970275355,-0.008218214646933675,0.056345992012070495,-0.4298062452466733,-0.03398557115235,-0.015494093722280514,0.12425896393846325,-0.19068213977702567,-0.015559964161630769,-0.007013861318385287,0.05512076181331122,-0.003024350344971325,0.05404300970154219
-75.53251902680334,1,-0.1966023605614664,0.0443024711409076,0.010702764181785729,0.0566949038750582,-0.41737977364755996,0.10654547686070993,0.024497871686493106,0.12378049998864829,-0.18532481979759133,0.04681243063278026,0.010732504395873269,0.05495305518569026,0.01127255906858255,0.05311633976719318
-74.42704989239853,1,-0.1745161866878796,0.105465826113312,0.028448618258040195,0.05104308706692581,-0.3730879121260271,0.23469219928094986,0.06200186837369698,0.11289466044855856,-0.16581390047304692,0.10372500821396452,0.027386479214572105,0.050164457529572055,0.023789874623562843,0.04759905209572128
