alpha,Mach,blumen_cr,blumen_ci,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.06,0.008,0.06,0.008,0,0.19769531250000005,0.08598437500000004,0.008598437500000005,,,,0.0020034690258665805,6.580724522801244e-19,-12.848823493437038,True,True,True,validated,-0.15588420154870675,max_ci_fallback,416.97544225788687
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.1,0.008,0.1,0.008,0,0.19769531250000003,0.08598437500000004,0.008598437500000005,,,,0.0020034690258666395,6.580735330382507e-19,-12.848823493437038,True,True,True,validated,-0.15588420154870672,max_ci_fallback,416.97544225788687
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.03,0.008,0.03,0.008,0,0.20005859374999996,0.08598437500000004,0.008598437500000005,,,,0.0020234168389357864,7.248166554242751e-19,-13.041615919141146,True,True,True,validated,-0.15588320415805326,max_ci_fallback,417.6144360668107
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.015,0.008,0.015,0.008,0,0.23002929687500004,0.08598437500000004,0.008598437500000005,,,,0.0044104527172826235,1.6447868729586267e-18,-15.682164716301363,True,True,True,validated,-0.15576385236413592,max_ci_fallback,425.3351146137153
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.06,0.015,0.06,0.015,0,0.19769531250000005,0.08497070312499999,0.008497070312499999,,,,0.0021301380324434266,6.888197628345232e-19,-12.923659364520743,True,True,True,validated,-0.15486419622337783,max_ci_fallback,421.9141977757321
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.015,0.015,0.015,0.015,0,0.19768554687500003,0.08497070312499999,0.008497070312499999,,,,0.0021301381223335467,6.885334117073892e-19,-12.922854784725606,True,True,True,validated,-0.1548641962188833,max_ci_fallback,421.91151429800414
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.03,0.015,0.03,0.015,0,0.19767578125000004,0.08497070312499999,0.008497070312499999,,,,0.0021301388687302637,6.882578043149128e-19,-12.922050254694522,True,True,True,validated,-0.1548641961815635,max_ci_fallback,421.90883074004574
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.1,0.015,0.1,0.015,0,0.19764322916666668,0.08497070312499999,0.008497070312499999,,,,0.0021301460972987848,6.873718500019936e-19,-12.919368847419785,True,True,True,validated,-0.15486419582013505,max_ci_fallback,421.8998849673657
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.1,0.03,0.1,0.03,0,0.197607421875,0.08239638671874999,0.008239638671874999,,,,0.0024540311230963766,7.7477221303975575e-19,-13.112350698611758,True,True,True,validated,-0.15227368516259518,max_ci_fallback,434.97967761704535
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.06,0.03,0.06,0.03,0,0.16489257812499997,0.08239638671874999,0.008239638671874999,,,,0.004543954995715108,1.4260064222746465e-18,-10.628697324983538,True,True,True,validated,-0.15216918896896425,max_ci_fallback,425.2017696684476
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.03,0.03,0.03,0.03,0,0.10994140624999998,0.08239638671874999,0.008239638671874999,,,,0.009594076687870915,9.028368448010801e-19,-7.871057850694126,True,True,True,validated,-0.15191668288435645,max_ci_fallback,406.2538361400489
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.015,0.03,0.015,0.03,0,0.07997070312499999,0.08239638671874999,0.008239638671874999,,,,0.01198229425075546,4.343890974737047e-19,-6.871392226284676,True,True,True,validated,-0.15179727200621224,max_ci_fallback,394.31244925623906
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.06,0.008,0.06,0.008,0,0.19699218749999997,0.07098437500000003,0.007098437500000003,,,,0.003933485639027223,1.2476196615517076e-18,-13.963311150166971,True,True,True,validated,-0.1407877007180487,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.1,0.008,0.1,0.008,0,0.1969921875,0.07098437500000003,0.007098437500000003,,,,0.003933485639027243,1.2476201575856205e-18,-13.963311150166971,True,True,True,validated,-0.1407877007180487,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.015,0.008,0.015,0.008,0,0.197001953125,0.07098437500000003,0.007098437500000003,,,,0.003933485704319923,1.2480477754959914e-18,-13.964283345143016,True,True,True,validated,-0.14078770071478405,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.03,0.008,0.03,0.008,0,0.19701171874999998,0.07098437500000003,0.007098437500000003,,,,0.003933486132415392,1.248503006147905e-18,-13.965255608147555,True,True,True,validated,-0.1407877006933793,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.06,0.015,0.06,0.015,0,0.1969140625,0.06997070312499998,0.006997070312499998,,,,0.004068826406223743,1.2195365704101994e-18,-13.923930959273795,True,True,True,validated,-0.1397672618046888,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.1,0.015,0.1,0.015,0,0.19694010416666666,0.06997070312499998,0.006997070312499998,,,,0.0040688276881432435,1.2207109170080372e-18,-13.926540367909137,True,True,True,validated,-0.1397672617405928,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.03,0.015,0.03,0.015,0,0.15994140624999997,0.06997070312499998,0.006997070312499998,,,,0.005910222493560651,1.520543166698188e-18,-10.76682109239956,True,True,True,validated,-0.13967519200032194,max_ci_fallback,498.2778971426919
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.015,0.015,0.015,0.015,0,0.129970703125,0.06997070312499998,0.006997070312499998,,,,0.008364154638252908,1.552118655695681e-18,-8.92617407556584,True,True,True,validated,-0.13955249539308734,max_ci_fallback,486.3142914291847
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.1,0.03,0.1,0.03,0,0.1499023437500001,0.06740615234375001,0.006740615234375001,,,,0.006904973578768648,1.7134653556137624e-18,-10.018867451913724,True,True,True,validated,-0.1370609036648116,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.06,0.03,0.06,0.03,0,0.08994140624999997,0.06740615234375001,0.006740615234375001,,,,0.011553742658937046,6.754418555798103e-19,-7.282640006845535,True,True,True,validated,-0.1368284652108032,max_ci_fallback,485.9305124339476
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.03,0.03,0.03,0.03,0,0.04497070312499998,0.06740615234375001,0.006740615234375001,,,,0.014519924231096984,2.346534362876378e-19,-5.989979681844263,True,True,True,validated,-0.1366801561321952,max_ci_fallback,461.3042744091197
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.015,0.03,0.015,0.03,0,0.02248535156249999,0.06740615234375001,0.006740615234375001,,,,0.01578642493054841,1.6785249484573362e-19,-5.472806765846935,True,True,True,validated,-0.1366168310972226,max_ci_fallback,447.27038453855255
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.1,0.008,0.1,0.008,0,0.19498697916666666,0.05598437500000002,0.005598437500000002,,,,0.0060182233488211235,5.026525415958241e-19,-13.188723228191838,True,True,True,validated,-0.125683463832559,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.06,0.008,0.06,0.008,0,0.1949609375,0.05598437500000002,0.005598437500000002,,,,0.006018224916830149,5.018972634302404e-19,-13.185871437318124,True,True,True,validated,-0.12568346375415854,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.03,0.008,0.03,0.008,0,0.15994140624999997,0.05598437500000002,0.005598437500000002,,,,0.007225196178211719,1.2236343344650582e-18,-10.088123380637086,True,True,True,validated,-0.12562311519108946,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.015,0.008,0.015,0.008,0,0.129970703125,0.05598437500000002,0.005598437500000002,,,,0.009190972942702437,9.09323669086698e-19,-8.436518700066525,True,True,True,validated,-0.1255248263528649,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.1,0.015,0.1,0.015,0,0.19477539062500007,0.05497070312499999,0.0054970703125,,,,0.006166252867048048,4.478412345785184e-19,-13.118510201171883,True,True,True,validated,-0.1246623904816476,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.06,0.015,0.06,0.015,0,0.16489257812499997,0.05497070312499999,0.0054970703125,,,,0.00705850899212658,1.1179659832992209e-18,-10.379730534418707,True,True,True,validated,-0.12461777767539367,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.03,0.015,0.03,0.015,0,0.10994140624999998,0.05497070312499999,0.0054970703125,,,,0.010625728683543528,5.47368659645168e-19,-7.609712614660889,True,True,True,validated,-0.12443941669082283,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.015,0.015,0.015,0.015,0,0.07997070312499999,0.05497070312499999,0.0054970703125,,,,0.01260571328544045,3.4515351872760033e-19,-6.71532823936319,True,True,True,validated,-0.12434041746072798,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.1,0.015,0.1,0.015,0,0.1499023437500001,0.04492080078125002,0.004492080078125002,,,,0.008895417460200903,3.7027836441173466e-19,-8.798639172810752,True,True,True,validated,-0.11447602990823998,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.06,0.015,0.06,0.015,0,0.08994140624999997,0.04492080078125002,0.004492080078125002,,,,0.012361457153840719,5.433249695749146e-20,-6.664687398668583,True,True,True,validated,-0.11430272792355799,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.03,0.015,0.03,0.015,0,0.04497070312499998,0.04492080078125002,0.004492080078125002,,,,0.014943516577897428,4.776311267660401e-20,-5.750654209517945,True,True,True,validated,-0.11417362495235515,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.015,0.015,0.015,0.015,0,0.02248535156249999,0.04492080078125002,0.004492080078125002,,,,0.016125117448473295,6.34606861587226e-20,-5.369541337057627,True,True,True,validated,-0.11411454490882636,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.1,0.008,0.1,0.008,0,0.18881835937500008,0.04098437500000002,0.004098437500000002,,,,0.00831592655805933,2.3801342118871583e-19,-11.615903867982432,True,True,True,validated,-0.11056857867209706,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.06,0.008,0.06,0.008,0,0.16489257812499997,0.04098437500000002,0.004098437500000002,,,,0.008717782106618659,3.4178744674365046e-19,-9.443358573074981,True,True,True,validated,-0.11054848589466909,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.03,0.008,0.03,0.008,0,0.10994140624999998,0.04098437500000002,0.004098437500000002,,,,0.011388410251052942,2.0762525100231784e-20,-7.028769174545707,True,True,True,validated,-0.11041495448744738,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_01,0.05,0.025,0.015,0.008,0.015,0.008,0,0.07997070312499999,0.04098437500000002,0.004098437500000002,,,,0.013102044185322433,8.535847701489565e-21,-6.320249259267211,True,True,True,validated,-0.1103292727907339,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.1,0.008,0.1,0.008,0,0.1499023437500001,0.030984375,0.0030984375000000005,,,,0.010352514361004848,1.4971520227326882e-21,-7.806329535948349,True,True,True,validated,-0.10046674928194978,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.06,0.008,0.06,0.008,0,0.08994140624999997,0.030984375,0.0030984375000000005,,,,0.01299642910932989,2.5019128951258256e-20,-6.18189385526081,True,True,True,validated,-0.10033455354453352,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.03,0.008,0.03,0.008,0,0.04497070312499998,0.030984375,0.0030984375000000005,,,,0.015311311410197776,1.1762780941621759e-20,-5.53032669147132,True,True,True,validated,-0.10021880942949013,max_ci_fallback,500.0
0.1,1.25,0.19343452686431648,,False,generic_00,0.0,0.015,0.015,0.008,0.015,0.008,0,0.02248535156249999,0.030984375,0.0030984375000000005,,,,0.01643595078678316,4.636366070581156e-21,-5.261849423212131,True,True,True,validated,-0.10016257746066086,max_ci_fallback,500.0
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_04,0.26,0.07,0.015,0.015,0.015,0.015,0,0.28997070312499995,0.05258789062500001,0.009465820312500001,0.012866272727029116,0.0017380787411616708,0.03418063266649147,0.002990267821221698,1.3042589531394374e-18,-25.360796711387188,True,True,True,validated,0.00828332376940085,distance_to_blumen,387.508573656473
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_04,0.26,0.07,0.015,0.03,0.015,0.03,0,0.28997070312499995,0.052597656250000006,0.009467578125,0.012866272727029116,0.0017478443661616688,0.0343726810662438,0.002990269459545355,1.3069328457543704e-18,-25.3568908407402,True,True,True,validated,0.008316136612288201,distance_to_blumen,387.436718643753
0.18,1.33,0.27710443039797084,0.05084981188383834,True,blumen,0.27710443039797084,0.05084981188383834,0.1,0.03,0.1,0.03,0,0.2998257845646375,0.052353718133838316,0.009423669264090896,0.022721354166666652,0.0015039062499999784,0.02957545356186395,1.4891510741500716e-05,1.524937603818714e-18,-27.359391382021272,True,True,True,validated,0.009971438522028489,distance_to_blumen,390.73825909332686
0.18,1.33,0.27710443039797084,0.05084981188383834,True,blumen,0.27710443039797084,0.05084981188383834,0.03,0.03,0.03,0.03,0,0.29985833664797085,0.052353718133838316,0.009423669264090896,0.02275390625000001,0.0015039062499999784,0.02957545356186395,6.89569742978933e-06,1.525715057758699e-18,-27.365604793768103,True,True,True,validated,0.009980527276690503,distance_to_blumen,390.7431437451703
0.18,1.33,0.27710443039797084,0.05084981188383834,True,blumen,0.27710443039797084,0.05084981188383834,0.015,0.03,0.015,0.03,0,0.29986810227297084,0.052353718133838316,0.009423669264090896,0.022763671875000002,0.0015039062499999784,0.02957545356186395,5.58000573102069e-06,1.5250116385147557e-18,-27.367468707875936,True,True,True,validated,0.009983254825037051,distance_to_blumen,390.74460905777846
0.18,1.33,0.27710443039797084,0.05084981188383834,True,blumen,0.27710443039797084,0.05084981188383834,0.06,0.03,0.06,0.03,0,0.29987786789797083,0.052353718133838316,0.009423669264090896,0.022773437499999993,0.0015039062499999784,0.02957545356186395,5.591313646705821e-06,1.5254144735895033e-18,-27.369332571467687,True,True,True,validated,0.009985982798278229,distance_to_blumen,390.74607433210684
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_02,0.1,0.04,0.1,0.03,0.1,0.03,0,0.2998046875000002,0.05236328125,0.009425390624999998,0.022700257102029386,0.00151346936616166,0.029763519472186837,2.0257902441837803e-05,1.5237538412764331e-18,-27.35101778790598,True,True,True,validated,0.009988687963791355,distance_to_blumen,390.66381984920486
0.18,1.33,0.27710443039797084,0.05084981188383834,True,blumen,0.27710443039797084,0.05084981188383834,0.1,0.015,0.1,0.015,0,0.2998257845646375,0.05236348375883833,0.009425427076590899,0.022721354166666652,0.0015136718749999903,0.029767501961616552,1.410571135157715e-05,1.5243388114498914e-18,-27.354951961777253,True,True,True,validated,0.009995052915348948,distance_to_blumen,390.6654762266696
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_05,0.34,0.085,0.1,0.03,0.1,0.03,0,0.29983072916666675,0.05236328125000001,0.009425390625000002,0.02272629876869592,0.0015134693661616738,0.029763519472187108,1.2687487687749548e-05,1.524297415774e-18,-27.35598761027206,True,True,True,validated,0.00999593930969725,distance_to_blumen,390.66772710203594
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_03,0.18,0.055,0.1,0.03,0.1,0.03,0,0.2998567708333334,0.05236328125,0.009425390624999998,0.02275234043536256,0.00151346936616166,0.029763519472186837,5.408307715877226e-06,1.5262288070953347e-18,-27.360957073950434,True,True,True,validated,0.010003193703991196,distance_to_blumen,390.67163408266845
0.18,1.33,0.27710443039797084,0.05084981188383834,True,blumen,0.27710443039797084,0.05084981188383834,0.03,0.015,0.03,0.015,0,0.29985833664797085,0.05236348375883833,0.009425427076590899,0.02275390625000001,0.0015136718749999903,0.029767501961616552,4.977460691916063e-06,1.5249995734787574e-18,-27.361163787583465,True,True,True,validated,0.010004120216330618,distance_to_blumen,390.6703599553937
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_02,0.1,0.04,0.1,0.008,0.1,0.008,0,0.2998046875000002,0.05236979166666667,0.009426562500000001,0.022700257102029386,0.0015199797828283346,0.02989155173868857,2.0103443223870095e-05,1.5253555121035596e-18,-27.34805979006414,True,True,True,validated,0.01000449256705925,distance_to_blumen,390.6153130506
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_04,0.26,0.07,0.03,0.03,0.03,0.03,0,0.29986328125,0.05236328125000001,0.009425390625000002,0.022758850852029167,0.0015134693661616738,0.029763519472187108,3.83433047436977e-06,1.523489627268792e-18,-27.362199383800878,True,True,True,validated,0.010005007778098346,distance_to_blumen,390.6726107852985
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_05,0.34,0.085,0.03,0.03,0.03,0.03,0,0.29986328125,0.05236328125000001,0.009425390625000002,0.022758850852029167,0.0015134693661616738,0.029763519472187108,3.83433047436977e-06,1.523489627268792e-18,-27.362199383800878,True,True,True,validated,0.010005007778098346,distance_to_blumen,390.6726107852985
0.18,1.33,0.27710443039797084,0.05084981188383834,True,blumen,0.27710443039797084,0.05084981188383834,0.015,0.015,0.015,0.015,0,0.29986810227297084,0.05236348375883833,0.009425427076590899,0.022763671875000002,0.0015136718749999903,0.029767501961616552,2.8918404937225032e-06,1.5249768145635067e-18,-27.363027225894754,True,True,True,validated,0.010006841333990331,distance_to_blumen,390.67182499108185
0.18,1.33,0.27710443039797084,0.05084981188383834,True,blumen,0.27710443039797084,0.05084981188383834,0.06,0.015,0.06,0.015,0,0.29987786789797083,0.05236348375883833,0.009425427076590899,0.022773437499999993,0.0015136718749999903,0.029767501961616552,2.9138040241301044e-06,1.5257630552353437e-18,-27.364890613812868,True,True,True,validated,0.010009562879044245,distance_to_blumen,390.6732899884976
0.18,1.33,0.27710443039797084,0.05084981188383834,True,generic_03,0.18,0.055,0.06,0.03,0.06,0.03,0,0.29988281249999993,0.05236328125,0.009425390624999998,0.022778382102029093,0.00151346936616166,0.029763519472186837,3.89431907479274e-06,1.5242176415866441e-18,-27.365926178718762,True,True,True,validated,0.0100104511400459,distance_to_blumen,390.6755407911287
