chart_id,field_family,best_epoch,total_epochs,n_holdout,prefit_loss_replay,prefit_loss_historical,prefit_loss_abs_diff,prefit_loss_rel_diff,anchor_continuation_clip_count,anchor_continuation_clip_fraction,anchor_continuation_max_grad_norm,max_joint_vs_release_abs
HM2_NEUTRAL2,pq_etaaware,24811,25000,1,2.247426131068e-08,2.2474261310676254e-08,3.742165091189897e-21,1.6650892500801377e-13,2485,0.1001571883438797,69.72206115957893,0.0033764034113771
HM2_NEUTRAL3,pq_etaaware,24680,25000,14,3.8038758867892823e-06,3.8038758867890274e-06,2.5538043359717155e-19,6.713689962496287e-14,86,0.0034846029173419,47.11652156668651,0.041531674073686
HM2_VLOW_EXTREME,pQscaled,29076,30000,22,1.3387493622419601e-10,1.3371732768490551e-10,1.5760853929047337e-13,0.0011786695263748,1,3.439262622093823e-05,10.023626114239995,0.0055578191748237
HM2_VLOW_MOD,pQscaled,28712,30000,4,4.7503937354600756e-11,4.750176326485177e-11,2.1740897489943438e-15,4.576861151179685e-05,2,6.965728615213152e-05,16.36416829286706,0.0077609618129033
LMEDGE_HIGH,pq_etaaware,39792,40000,3,3.876009048197255e-08,3.876009048198185e-08,9.304127529996455e-21,2.400440095546631e-13,1,2.5130679533574587e-05,13.008232278576603,0.0057872529850725
LMEDGE_MID,pq_etaaware,39823,40000,1,1.0074328242794525e-07,1.007432824279611e-07,1.5855397981416434e-20,1.573841709272697e-13,1,2.5111116691359264e-05,13.104924297320194,0.0085870410242183
LMEDGE_NEUTRAL1,pq_etaaware,37463,40000,2,2.969129464372192e-07,2.969129464372803e-07,6.109225132071641e-20,2.057581255845356e-13,4,0.0001067720150548,21.721357891016623,0.0067412793140394
LMEDGE_NEUTRAL2,pq_etaaware,39443,40000,1,9.706553635854652e-07,9.706553635853392e-07,1.2599615090407718e-19,1.2980523843053972e-13,17,0.0004310016986537,40.72231829529488,0.0050003388717118
LMEDGE_NEUTRAL3,pq_etaaware,38832,40000,3,2.876785924812164e-07,2.876785924812251e-07,8.735027268559972e-21,3.0363841790313443e-14,61,0.0015708693860733,47.14053939604469,0.0017597362901245
LMEDGE_VLOW,pQscaled,43102,45000,1,1.937866170899136e-09,1.937433754660413e-09,4.324162387222738e-13,0.0002231902059526,0,0.0,5.315982615337953,0.0025364792375575
LOW,pq_legacy,14681,18000,20,6.474998657967152e-08,6.474998657966642e-08,5.0954325733266505e-21,7.86939556668075e-14,1,6.811525100469996e-05,13.085022383810385,0.0132277484015141
LOWM_EXT_HIGH,pq_etaaware,24897,25000,1,1.774273524864071e-09,1.774273524863923e-09,1.4806532964699195e-22,8.345124219691424e-14,1,4.016548178495401e-05,11.498447439024927,0.0046755521192822
LOWM_EXT_LOW,pq_etaaware,24756,25000,1,1.1510993462219674e-09,1.1510993462172008e-09,4.76683507498996e-21,4.141115265728338e-12,1,4.039424785910486e-05,10.235884406150005,0.0143219653433758
LOWM_EXT_MID,pq_etaaware,24712,25000,1,5.5210049948504965e-09,5.521004994852058e-09,1.5617169965001164e-21,2.828682455379601e-13,3,0.0001213985108449,18.09586863613097,0.004621416460646
LOWM_EXT_NEUTRAL1,pq_etaaware,24824,25000,2,2.0638098398202025e-08,2.063809839818091e-08,2.1112957954803478e-20,1.0230088813155588e-12,6,0.0002417015791169,23.93862263487304,0.0104703259916636
LOWM_EXT_NEUTRAL2,pq_etaaware,24789,25000,1,8.608205716162836e-08,8.608205716166477e-08,3.640918184213407e-20,4.2295901193156317e-13,19,0.000766468998346,46.47030354792616,0.0053554578059711
LOWM_EXT_NEUTRAL3,pq_etaaware,21280,25000,3,3.74994427810068e-08,3.7499442781009984e-08,3.189608442004475e-21,8.505748900406909e-14,36,0.0016917293233082,49.75794002113909,0.001436719093652
LOWM_EXT_VLOW_EXTREME,pQscaled,29317,30000,1,1.051605320538051e-09,1.0515872343259122e-09,1.8086212138905183e-14,1.7198965096318227e-05,0,0.0,4.498828267512273,0.0048085775592957
LOWM_EXT_VLOW_MOD,pQscaled,29063,30000,1,3.393729861100066e-09,3.393729861094137e-09,5.9292306307801016e-21,1.7471133158690837e-12,0,0.0,5.626513433698215,0.0012269897035094
MID,pq_legacy,17920,18000,43,2.1766043940545965e-07,2.1766043940544803e-07,1.1673172804348328e-20,5.363019957248213e-14,2,0.0001116071428571,16.91475430355371,0.0148209675286999
NEUTRAL1_HIM,pq_legacy,23793,24000,9,3.729001037157924e-07,3.729001037158021e-07,9.68793933422106e-21,2.5979985625331223e-14,5,0.0002101458412138,15.8206952529586,0.0062244273719768
NEUTRAL1_LOWM,pq_legacy,23689,24000,9,2.019626229125895e-07,2.0196262291259525e-07,5.7174723939665265e-21,2.830955704333924e-14,6,0.0002532821140613,19.13070716468229,0.0074763354708895
NEUTRAL2_HIM,pq_legacy,25774,26000,15,9.5128026768595e-07,9.51280267686002e-07,5.1880768019325896e-20,5.4537836830702206e-14,25,0.0009699697369442,28.32345198726582,0.0044500233763653
NEUTRAL2_LOWM,pq_legacy,25667,26000,4,6.099611063026081e-07,6.09961106302657e-07,4.8916152703935845e-20,8.019552754838127e-14,22,0.000857131725562,40.728539847182745,0.0024933272751162
NEUTRAL3_HIM,pq_legacy,29017,30000,24,4.448686112009516e-07,4.448686112008425e-07,1.0916137107739796e-19,2.453789013855946e-13,41,0.0014129648137298,34.90415520502764,0.0027973148409728
NEUTRAL3_LOWM,pq_legacy,29453,30000,21,3.681394542210494e-07,3.681394542211344e-07,8.502093208065041e-20,2.309476235317607e-13,74,0.0025124775065358,41.79787054226121,0.0029804018114832
ULTRALOW_M002_006_eta002_006,pQscaled,41361,45000,1,6.875373698222424e-10,6.897387966156946e-10,2.201426793452361e-12,0.003191681842828,0,0.0,3.723674247982232,0.0010277919485702
VLOW_EXTREME_CI_ONLY,pQscaled,21422,22000,12,6.83762914126898e-08,6.837629141268926e-08,5.4263048183478625e-22,7.935944910491079e-15,0,0.0,9.94313824689354,0.013535023832392
VLOW_MOD_QSCALED,pQscaled,17957,18000,21,1.307719002899116e-07,1.3077190028991088e-07,7.146840492458159e-22,5.465119399973682e-15,1,5.5688589408030296e-05,11.202319688525982,0.0128779309445382
