median_delta_e,fraction_physics_better
-4.541778586220069e-06,0.6624685138539043
-1.718888299806487e-06,0.5837988826815642
-8.55116844278303e-08,0.503006012024048
-8.174308891717441e-07,0.5763358778625954
-3.104075556759067e-06,0.6736111111111112
-2.164745315447192e-06,0.6146095717884131
-2.6506887873447432e-06,0.6388059701492538
-3.104075556759067e-06,0.6330935251798561
-6.046045652713383e-06,0.6691176470588235
-1.6353356442067035e-06,0.5839552238805971
-3.562558353743805e-06,0.6455696202531646
-1.024468066906925e-06,0.5725593667546174
-4.3431084007089504e-06,0.6842105263157895
-2.164745315447192e-06,0.6058201058201058
-3.147700892158767e-07,0.54
-1.94617151034332e-06,0.6106194690265486
-3.506222863325359e-06,0.6421725239616614
-1.6594530048430478e-06,0.5711252653927813
-4.524757978435767e-07,0.5482233502538071
-1.6762395751990231e-06,0.5714285714285714
-6.431403169960409e-06,0.7159090909090909
-3.104075556759067e-06,0.6141176470588235
-2.4220886384526685e-06,0.6141732283464567
-1.935741477585712e-06,0.5922619047619048
-4.64042988120722e-06,0.636
-2.164745315447192e-06,0.6162280701754386
-2.4504977441386355e-06,0.6292906178489702
-1.7720755353112239e-06,0.607981220657277
-8.98750526759362e-06,0.7246963562753036
-9.523714760706348e-07,0.5705128205128205
-1.2703665956403931e-06,0.6058631921824105
-1.4895875823095484e-06,0.5798319327731093
-2.66146535523714e-06,0.6512345679012346
-1.5592496415139934e-06,0.6021505376344086
-6.406526981028726e-06,0.709832134292566
-3.506222863325359e-06,0.6925566343042071
-1.463388962646972e-06,0.5847826086956521
-1.1626013393436357e-06,0.5737327188940092
-3.290655259877151e-07,0.512280701754386
-1.8252627708159608e-06,0.6056782334384858
-3.4730306721839077e-07,0.5071428571428571
-1.905853242112343e-06,0.592326139088729
-4.3431084007089504e-06,0.6554878048780488
-2.6506887873447432e-06,0.6343825665859564
-2.2813841975277693e-06,0.6144578313253012
-1.4895875823095484e-06,0.5988372093023255
-2.4220886384526685e-06,0.596816976127321
-1.4625215390973167e-06,0.5690140845070423
-2.810424472365902e-06,0.6079136690647482
-2.66146535523714e-06,0.6522842639593909
-7.426343641148136e-07,0.550755939524838
-3.104075556759067e-06,0.647191011235955
-1.1626013393436357e-06,0.5761904761904761
-2.672241923129537e-06,0.6448362720403022
-2.0589430420742127e-06,0.6109660574412533
-1.935741477585712e-06,0.6021739130434782
-5.367605931394515e-07,0.5389908256880734
-4.233943114662075e-06,0.6615384615384615
-9.7484935565606e-07,0.5901639344262295
-2.6963096477761184e-06,0.610062893081761
-2.164745315447192e-06,0.6129943502824858
-3.916673901205314e-06,0.6648936170212766
-3.690585639953836e-06,0.6255506607929515
-1.4625215390973167e-06,0.5774278215223098
-1.6594530048430478e-06,0.5717761557177615
-4.452951236647018e-06,0.68
-2.4916951117878727e-06,0.6388888888888888
-2.810424472365902e-06,0.6503667481662592
-2.4220886384526685e-06,0.6479750778816199
