oracle_status,oracle_error,oracle_source,oracle_alpha_set,Mach,alpha,is_anchor,oracle_cr_reference,oracle_ci_reference,oracle_cr_used,oracle_ci_used,oracle_cr_abs_error,oracle_ci_abs_error,oracle_complex_spectral_error,oracle_ln_p_start_right,oracle_stage1_mismatch,oracle_stage2_mismatch,oracle_stage1_seconds,oracle_stage2_seconds,oracle_reconstruction_seconds,oracle_fixed_c_total_seconds,oracle_alignment_real,oracle_alignment_imag,oracle_shooting_y_min,oracle_shooting_y_max,oracle_n_shooting_points,oracle_n_core20,oracle_n_core40,oracle_p_rel_l2_core20,oracle_p_rel_l2_core40,oracle_rho_rel_l2_core20,oracle_rho_rel_l2_core40,oracle_u_rel_l2_core20,oracle_u_rel_l2_core40,oracle_v_rel_l2_core20,oracle_v_rel_l2_core40,oracle_p_overlap_error_core20,oracle_p_overlap_error_core40,fixed_pinn_status,fixed_pinn_error,fixed_pinn_source,fixed_pinn_alpha_set,fixed_pinn_cr_reference,fixed_pinn_ci_reference,fixed_pinn_cr_used,fixed_pinn_ci_used,fixed_pinn_cr_abs_error,fixed_pinn_ci_abs_error,fixed_pinn_complex_spectral_error,fixed_pinn_ln_p_start_right,fixed_pinn_stage1_mismatch,fixed_pinn_stage2_mismatch,fixed_pinn_stage1_seconds,fixed_pinn_stage2_seconds,fixed_pinn_reconstruction_seconds,fixed_pinn_fixed_c_total_seconds,fixed_pinn_alignment_real,fixed_pinn_alignment_imag,fixed_pinn_shooting_y_min,fixed_pinn_shooting_y_max,fixed_pinn_n_shooting_points,fixed_pinn_n_core20,fixed_pinn_n_core40,fixed_pinn_p_rel_l2_core20,fixed_pinn_p_rel_l2_core40,fixed_pinn_rho_rel_l2_core20,fixed_pinn_rho_rel_l2_core40,fixed_pinn_u_rel_l2_core20,fixed_pinn_u_rel_l2_core40,fixed_pinn_v_rel_l2_core20,fixed_pinn_v_rel_l2_core40,fixed_pinn_p_overlap_error_core20,fixed_pinn_p_overlap_error_core40,pinn_only_p_rel_l2_core20,pinn_only_p_rel_l2_core40,pinn_only_overlap_error_core20,pinn_only_overlap_error_core40,fixed_c_pinn_pressure_gain
COMPLETED,,oracle,all,1.5,0.1,False,0.3332980185827091,0.0545024471140046,0.3332980185827091,0.0545024471140046,0.0,0.0,0.0,-14.99999335625205,,118.56982111464971,,6.45757461595349,0.2097620170097798,6.66733663296327,2.2499985612570077,0.0052547137682044,-1059.693527744935,1059.693527744935,4517,1601,3201,4.75039290143135e-06,6.632353686886238e-05,4.75039290144076e-06,6.63235368688599e-05,5.011288345515257e-06,2.597051446191985e-05,5.644831477559984e-06,7.984512691234906e-05,1.1283640688475316e-11,1.895278156638369e-09,COMPLETED,,pinn,all,0.3332980185827091,0.0545024471140046,0.3353471755981445,0.0442478209733963,0.0020491570154353,0.0102546261406082,0.0104573611278159,-14.99999335625205,,166.26664417051077,,7.323609931394458,0.2368344934657216,7.560444424860179,2.2121739581618107,-0.0200016681795299,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0192576114013539,0.0374111705242797,0.019257611401354,0.0374111705242797,0.0260369069394488,0.032456666483166,0.038101920641719,0.0390273268924384,0.0001854449933663,0.0005791665170429,0.3351732805491034,0.6361378371641927,0.0578434991966827,0.1721633768955955,17.003954387135302
COMPLETED,,oracle,all,1.5,0.105,False,0.3367722951175382,0.0534961131632005,0.3367722951175382,0.0534961131632005,0.0,0.0,0.0,-14.99999335625205,,147.38515398821858,,6.495439766906202,0.2121819709427654,6.707621737848967,2.249999725674661,0.0051164989397744,-1029.087308843116,1029.087308843116,4517,1601,3201,5.253627746363702e-06,7.346002097585023e-05,5.253627746364178e-06,7.34600209758639e-05,5.367136759804885e-06,2.945667243702969e-05,6.233200897651148e-06,8.806148028630328e-05,1.3799517084578383e-11,2.32188879234485e-09,COMPLETED,,pinn,all,0.3367722951175382,0.0534961131632005,0.3391368985176086,0.0435142740607261,0.0023646034000703,0.0099818391024743,0.0102580924692318,-14.99999335625205,,234.66191853213363,,6.547943143174052,0.2116832705214619,6.759626413695514,2.213136925361058,-0.0221160020988229,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0197717022809929,0.0377561760118084,0.0197717022809929,0.0377561760118084,0.026194800338072,0.0328924568417036,0.0376742979946964,0.0391394876831181,0.0001954792116047,0.000594503732374,0.3538448559375034,0.6652108827221527,0.0646958687536081,0.1936322447823264,17.618597882214164
COMPLETED,,oracle,all,1.5,0.11,False,0.3400963428514539,0.0524167659885181,0.3400963428514539,0.0524167659885181,0.0,0.0,0.0,-14.99999335625205,,181.36600513874407,,6.498926016036421,0.2117008878849446,6.710626903921366,2.250001070350541,0.004961061828921,-1003.341395928097,1003.341395928097,4517,1601,3201,5.79601373185115e-06,8.101917210367265e-05,5.796013731856624e-06,8.101917210367469e-05,5.752986026601319e-06,3.323077292275473e-05,6.860289032809562e-06,9.67002951154965e-05,1.6796897206461378e-11,2.818853039876501e-09,COMPLETED,,pinn,all,0.3400963428514539,0.0524167659885181,0.3425955474376678,0.0431138575077056,0.0024992045862138,0.0093029084808125,0.0096327633504683,-14.99999335625205,,318.52666295303163,,6.550726691260934,0.2119767973199486,6.7627034885808825,2.215662322597151,-0.0225599328547785,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0193120094138798,0.036287116637241,0.0193120094138798,0.036287116637241,0.0251323770076564,0.0317280440858619,0.0354982190497888,0.0374994323721874,0.0001864942438525,0.0005526211811021,0.3725299187094281,0.6921355675404978,0.0719798172095896,0.2147259547323755,19.073865098175588
COMPLETED,,oracle,all,1.5,0.115,False,0.3432807312668702,0.0512712829522548,0.3432807312668702,0.0512712829522548,0.0,0.0,0.0,-14.99999335625205,,221.3402694268783,,7.163884625770152,0.2321931030601263,7.396077728830278,2.25000131590092,0.0048007061068219,-981.9052144409184,981.9052144409184,4517,1601,3201,6.387888518960796e-06,8.923602549118095e-05,6.387888518961386e-06,8.923602549118694e-05,6.1510226632457e-06,3.73933756752467e-05,7.5567607025833e-06,0.0001060360388819,2.040245750123404e-11,3.414493576769928e-09,COMPLETED,,pinn,all,0.3432807312668702,0.0512712829522548,0.3457269966602325,0.0429952815175056,0.0024462653933622,0.0082760014347492,0.0086299718494751,-14.99999335625205,,388.55226016802953,,6.5388298984617,0.2130198199301958,6.751849718391895,2.219471399893292,-0.0213222304963133,-1171.4914801105388,1171.4914801105388,4517,1601,3201,0.0179022489600539,0.0331403622587593,0.0179022489600539,0.0331403622587593,0.0229360329742236,0.0290627741761124,0.0317971548899254,0.0342269945520667,0.0001602581002432,0.0004631858123894,0.3908629528835841,0.7165706436055433,0.0795511138237353,0.2348730063608006,21.622293625234807
COMPLETED,,oracle,all,1.5,0.12,False,0.3463350090058034,0.0500656877706976,0.3463350090058034,0.0500656877706976,0.0,0.0,0.0,-14.99999335625205,,268.2919874167706,,7.238928423030302,0.236018078867346,7.474946501897648,2.2500021963248438,0.0046257315078347,-964.3476785433857,964.3476785433857,4517,1601,3201,7.014552253577566e-06,9.811349092500548e-05,7.014552253576646e-06,9.811349092500464e-05,6.580381118539142e-06,4.196378990752531e-05,8.286871458649485e-06,0.0001160618555028,2.460198711418116e-11,4.121959884528792e-09,COMPLETED,,pinn,all,0.3463350090058034,0.0500656877706976,0.3485496044158935,0.0431073084473609,0.0022145954100901,0.0069583793233366,0.0073022924919392,-14.99999335625205,,434.98791342100697,,6.563134542666376,0.2124634198844432,6.775597962550819,2.2243221804058724,-0.01850104713344,-1120.5214876834018,1120.5214876834018,4517,1601,3201,0.015607069394645,0.0285018607366234,0.015607069394645,0.0285018607366233,0.0197245672923687,0.0250514607976803,0.0268303273017743,0.0294730648232585,0.0001217977248875,0.000343828074137,0.408477039734765,0.7381541413665266,0.0872314050047933,0.2534870665664189,25.89845442680299
COMPLETED,,oracle,all,1.5,0.125,False,0.3492678340847004,0.0488052859720997,0.3492678340847004,0.0488052859720997,0.0,0.0,0.0,-14.99999335625205,,323.3960994649445,,7.271905753994361,0.2358629228547215,7.507768676849082,2.2500036923310542,0.0044493462893401,-950.3345313035156,950.3345313035156,4517,1601,3201,7.67300175823656e-06,0.00010759829308,7.673001758237374e-06,0.00010759829308,7.054657744722709e-06,4.693546879625805e-05,9.040551846053456e-06,0.0001267056118571,2.9437563497936026e-11,4.947415255251997e-09,COMPLETED,,pinn,all,0.3492678340847004,0.0488052859720997,0.3510921001434326,0.0433970093727111,0.0018242660587322,0.0054082765993886,0.005707661730388,-14.99999335625205,,473.7819500493272,,6.57803859654814,0.2123139100149274,6.790352506563067,2.230002546667123,-0.014301135840927,-1069.1700192073226,1069.1700192073226,4517,1601,3201,0.0125256372507626,0.0225942785570817,0.0125256372507626,0.0225942785570817,0.015643427463503,0.0198913559197442,0.0208758335777593,0.0234218757690663,7.844887138153123e-05,0.0002166079922342,0.4249879696579237,0.7564804132324332,0.0948010021845828,0.2699667783443578,33.4810607615232
COMPLETED,,oracle,all,1.5,0.13,False,0.3520870854995211,0.0474947792679625,0.3520870854995211,0.0474947792679625,0.0,0.0,0.0,-14.99999335625205,,388.0623314142966,,7.3677448141388595,0.2388905810657888,7.606635395204648,2.250004454129169,0.0042605245593549,-939.6118272679048,939.6118272679048,4517,1601,3201,8.367265238981924e-06,0.0001176585958493,8.36726523898762e-06,0.0001176585958493,7.567637137450159e-06,5.230602351625877e-05,9.829967055510364e-06,0.0001379226370054,3.5005220944128717e-11,5.910800737751742e-09,COMPLETED,,pinn,all,0.3520870854995211,0.0474947792679625,0.3533899784088135,0.0438078604638576,0.0013028929092923,0.0036869188041048,0.0039103580655927,-14.99999335625205,,505.2055319849839,,7.488152424804866,0.2438312927260995,7.731983717530966,2.236314295611604,-0.0089718350492611,-1018.9646276845637,1018.9646276845637,4517,1601,3201,0.0087874797298435,0.0156698042040032,0.0087874797298435,0.0156698042040032,0.010862243243387,0.0138139089962853,0.0142215643383997,0.0162938239787081,3.861064539201209e-05,0.0001043633235781,0.4399860331421547,0.7710961448584173,0.1019953838426938,0.2837063889405374,49.209047848946554
COMPLETED,,oracle,all,1.5,0.135,False,0.3547999528774636,0.0461383483534535,0.3547999528774636,0.0461383483534535,0.0,0.0,0.0,-14.99999335625205,,463.99123925050577,,7.456735813990235,0.2428486191201955,7.699584433110431,2.250005693039902,0.0040665630947911,-931.9943082587984,931.9943082587984,4517,1601,3201,9.092353680359151e-06,0.0001282642389875,9.092353680362368e-06,0.0001282642389875,8.123431111985507e-06,5.807465602246903e-05,1.0647839611839675e-05,0.000149670820345,4.13356016082389e-11,7.0110920402655105e-09,COMPLETED,,pinn,all,0.3547999528774636,0.0461383483534535,0.3554832935333252,0.0442780181765556,0.0006833406558616,0.0018603301768978,0.0019818634713396,-14.99999335625205,,530.8445124556566,,7.48805368412286,0.2424320448189973,7.730485728941858,2.243057357515673,-0.0028091249660247,-971.2889357841436,971.2889357841436,4517,1601,3201,0.0045503819237095,0.0080096419289082,0.0045503819237095,0.0080096419289082,0.0055751133295339,0.0070814520099211,0.0071623777253635,0.0083508668712922,1.0353041418720288e-05,2.731327733607181e-05,0.4530382935561329,0.7815159598454734,0.1085089430780884,0.2941210963781688,97.57189731851126
COMPLETED,,oracle,all,1.5,0.14,True,0.3574130186646834,0.0447397340201771,0.3574130186646834,0.0447397340201771,0.0,0.0,0.0,-14.99999335625205,,553.2459595894372,,7.549036856042221,0.2458333030808717,7.794870159123093,2.250007348491104,0.0038686277774299,-927.3571329334544,927.3571329334544,4517,1601,3201,9.855128083106266e-06,0.0001394170496966,9.85512808310012e-06,0.0001394170496966,8.723761442341917e-06,6.425353127179554e-05,1.1504804245573098e-05,0.0001619465152125,4.85615991863142e-11,8.268784545961694e-09,COMPLETED,,pinn,all,0.3574130186646834,0.0447397340201771,0.3574146628379822,0.0447392463684082,1.6441732987870772e-06,4.876517688962023e-07,1.7149664965100556e-06,-14.99999335625205,,553.2940481061767,,7.521652944386005,0.242130072787404,7.7637830171734095,2.250008526582231,0.0038601435608569,-927.3675921515616,927.3675921515616,4517,1601,3201,9.583137881696843e-06,0.0001374534091785,9.583137881697594e-06,0.0001374534091785,1.0341016913268722e-05,6.38619463414749e-05,1.2105049755317849e-05,0.0001594822025746,4.591771407547185e-11,8.035650256310589e-09,0.4637052453046736,0.7872591226298726,0.1140104710116864,0.3006907219589624,5727.461598333445
COMPLETED,,oracle,all,1.5,0.145,False,0.3599323242867976,0.0433022950552245,0.3599323242867976,0.0433022950552245,0.0,0.0,0.0,-14.99999335625205,,658.3452540862662,,6.674431292107329,0.2161322690080851,6.890563561115414,2.250008612313892,0.0036678137530864,-925.6307598682648,925.6307598682648,4517,1601,3201,1.0655599947285482e-05,0.0001511249328808,1.0655599947278425e-05,0.0001511249328809,9.376245274858127e-06,7.085886146655211e-05,1.2399216972930251e-05,0.000174753233591,5.6771365386509836e-11,9.695435343459737e-09,COMPLETED,,pinn,all,0.3599323242867976,0.0433022950552245,0.3592280745506286,0.045117050409317,0.000704249736169,0.0018147553540924,0.0019466136458222,-14.99999335625205,,575.8928147413001,,7.455172753892839,0.2416568482294678,7.696829602122307,2.2569107789640324,0.0106847783474824,-888.2697368850693,888.2697368850693,4517,1601,3201,0.0046574380802034,0.0082385233483223,0.0046574380802034,0.0082385233483223,0.0056173517436017,0.0071579030238918,0.0069602570215823,0.0086989816149869,1.0845923552826877e-05,2.874504531180655e-05,0.4715737884553399,0.7879065952119781,0.1181733945713143,0.3030207265705932,95.63687106287418
