benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
43,C20,1.6,0.08,0.3633999906790227,0.0443109431210614,0.36303243,0.04164283,0.0026933118051097656,COMPLETED,,0.36340352375,0.044308845624999996,4.715238983662236e-07,3.294285415277796e-21,4.715238983662269e-07,True,True,0,0.03,0.015,12,321.928952390037,4.108780872534408e-06
27,C20,1.45,0.11,0.3170271381952615,0.0594747193281552,0.3130779,0.063176855,0.005413159045849111,COMPLETED,,0.31702321249999993,0.05947568312500001,6.510184973361319e-07,6.284002470843153e-21,6.510184973361381e-07,True,True,0,0.06,0.015,12,323.81413575599436,4.042275058047189e-06
24,C20,1.45,0.075,0.287782306314316,0.0667899812334504,0.2926711,0.06285377,0.0062764689575847445,COMPLETED,,0.287778521875,0.06678931687500002,3.4668797259322015e-07,3.604905010242771e-21,3.4668797259322375e-07,True,True,0,0.015,0.015,12,304.66186553798616,3.842310904510121e-06
44,C20,1.6,0.095,0.3734431471291369,0.0431154410476996,0.37119326,0.042324286,0.0023849357231079233,COMPLETED,,0.37343935375,0.043115301625000005,5.570179670771787e-07,4.792909661310551e-21,5.570179670771834e-07,True,True,0,0.03,0.015,12,329.401318808028,3.7959404586437585e-06
49,C21,1.45,0.135,0.3328377578010073,0.0523477554749174,0.33337682,0.051618576,0.0009068024928415838,COMPLETED,,0.332839710625,0.052350997875,8.135012059224989e-07,6.753632055598461e-21,8.135012059225056e-07,True,True,0,0.015,0.015,12,333.72610989701934,3.7850600843634585e-06
14,C12,1.35,0.28,0.3458133962855934,0.0073744851632601,0.34546828,0.0042795744,0.003114093428772646,COMPLETED,,0.34581007687500004,0.007375234057291667,1.6601935960770358e-06,1.3900932036656945e-21,1.6601935960770373e-06,True,True,0,0.015,0.008,12,421.7653484210023,3.4028413065680385e-06
19,C12,1.4,0.26,0.361522965709991,0.0114522448996731,0.3621023,0.007310549,0.004182017831734964,COMPLETED,,0.3615261281249999,0.011453446893554686,1.534604682074965e-06,4.833949038399659e-23,1.534604682074965e-06,True,True,0,0.015,0.008,12,417.3827372119995,3.3831432100923098e-06
38,C20,1.55,0.1,0.3555551063603823,0.0480504120008845,0.34674942,0.04948743,0.00892217086852774,COMPLETED,,0.3555580137499999,0.048051883125000014,4.938985296732008e-07,5.4408812647256515e-21,4.938985296732062e-07,True,True,0,0.03,0.015,12,327.0549244779977,3.2583923262619122e-06
41,C20,1.6,0.06,0.3477230740318452,0.0437857312429802,0.34894103,0.04067204,0.0033434248753299975,COMPLETED,,0.34772032687499993,0.04378727437499999,2.3725610068920483e-07,1.5711414356932575e-21,2.372561006892064e-07,True,True,0,0.015,0.015,12,310.97466598200845,3.1508930738910553e-06
0,C12,1.3,0.23,0.306457711909123,0.0345485414177597,0.306049,0.035462793,0.0010014496394167148,COMPLETED,,0.30645915625000014,0.03455133466666668,1.2311330196895523e-06,1.5541293157951426e-22,1.2311330196895526e-06,True,True,0,0.03,0.008,12,377.649209458963,3.144576287149616e-06
37,C20,1.55,0.09,0.3487121099820713,0.0494574826476193,0.34490648,0.050786294,0.004030950157302339,COMPLETED,,0.34871507374999994,0.04945816900000001,3.9600875661397765e-07,4.5256966296289395e-21,3.9600875661398215e-07,True,True,0,0.03,0.008,12,322.72351321799215,3.0422031367565053e-06
33,C20,1.5,0.115,0.3432807312668702,0.0512712829522548,0.34104705,0.049092095,0.003120607654483213,COMPLETED,,0.34328337812500004,0.051269829375000006,5.374413124995284e-07,6.529542477643103e-21,5.37441312499535e-07,True,True,0,0.015,0.015,12,331.0670027770102,3.019725947026655e-06
13,C12,1.35,0.27,0.3429377077855445,0.0116622774727566,0.34220237,0.0069180797,0.004800847234174214,COMPLETED,,0.34293479187500003,0.011662153984667968,1.3717764729145988e-06,8.707716272932497e-22,1.3717764729145996e-06,True,True,0,0.015,0.008,12,414.370055974985,2.91852421805238e-06
35,C20,1.55,0.065,0.3284933098185326,0.0507775752636187,0.33561084,0.046390444,0.00836099016913191,COMPLETED,,0.32849169937500006,0.05077520962500001,2.2934071223547892e-07,2.1676764871213507e-21,2.293407122354811e-07,True,True,0,0.015,0.015,12,310.8709892189945,2.8617781964544852e-06
30,C20,1.5,0.075,0.3132090515913153,0.0581127147885543,0.32156146,0.054304,0.009179816695665532,COMPLETED,,0.31321185062500007,0.058112593750000004,2.649782963323694e-07,3.333450103868691e-21,2.6497829633237276e-07,True,True,0,0.015,0.03,12,310.79185596696334,2.8016494963023704e-06
18,C12,1.4,0.25,0.3585471960115449,0.0155067696233285,0.3590834,0.013384351,0.002189103818891835,COMPLETED,,0.35854629062500004,0.015504142666666667,1.2113938196136066e-06,8.664090876478581e-25,1.2113938196136066e-06,True,True,0,0.015,0.008,12,409.43588010198437,2.77860146453957e-06
9,C12,1.35,0.225,0.3282520280938685,0.0308281493607343,0.32701412,0.03103552,0.0012551569746029995,COMPLETED,,0.32825109916666684,0.030830441875,9.565198858797611e-07,6.132564366395889e-23,9.565198858797611e-07,True,True,0,0.1,0.015,12,385.09530734998407,2.4735657267240216e-06
47,C21,1.45,0.125,0.3269018153356393,0.0553327091569246,0.32724184,0.05454532,0.0008576703660591604,COMPLETED,,0.32690004312499993,0.05533177833333333,3.870437755830379e-07,6.828728356568824e-21,3.8704377558304474e-07,True,True,0,0.015,0.008,12,329.1179307519924,2.0017899760681736e-06
17,C12,1.4,0.235,0.3538167885435443,0.021551433545976,0.35269356,0.02310028,0.0019132610117742345,COMPLETED,,0.353816606875,0.021553404999999994,8.098908234455242e-07,1.3939475827817698e-22,8.098908234455243e-07,True,True,0,0.015,0.008,12,401.2116324509843,1.979806664480813e-06
28,C20,1.5,0.05,0.2867884838082837,0.0578781158051297,0.28831387,0.058239527,0.0015676163706903601,COMPLETED,,0.28679043249999997,0.057878198874999995,9.875117138257555e-08,1.2435036978771563e-21,9.87511713825768e-08,True,True,0,0.06,0.015,12,296.9650201559998,1.9504614860096774e-06
12,C12,1.35,0.255,0.3383836906248472,0.0180792982433239,0.33711347,0.015110046,0.0032295385615086136,COMPLETED,,0.33838300125000004,0.01807764532617187,7.929977905109282e-07,3.6791464139726756e-22,7.929977905109285e-07,True,True,0,0.03,0.03,12,404.1962672229856,1.7909139542025841e-06
1,C12,1.3,0.24,0.3101208441395475,0.030055544403957,0.30975083,0.031757526,0.0017417381596365653,COMPLETED,,0.31012192375,0.030054401000000005,6.462183323266755e-07,4.60767520557194e-22,6.462183323266759e-07,True,True,0,0.03,0.008,12,384.0503078789916,1.572555670867798e-06
7,C12,1.3,0.305,0.3301975224894724,0.0007663018022479,0.33045965,0.0029963546,0.0022454056008965008,COMPLETED,,0.33019597812499996,0.0007661587129231771,8.417784114640661e-07,4.126033623979918e-24,8.417784114640661e-07,True,True,0,0.015,0.015,12,439.9536990679917,1.5509791031837026e-06
5,C12,1.3,0.28,0.3231335088509647,0.0120345149244255,0.32323045,0.008464613,0.003571217906596176,COMPLETED,,0.32313279375,0.012033293553710939,6.885174476719226e-07,3.015189655029426e-21,6.885174476719255e-07,True,True,0,0.03,0.015,12,410.5019289129996,1.4153147396008278e-06
29,C20,1.5,0.065,0.3035789845194382,0.0586404622091123,0.31559938,0.05269719,0.013409414307146922,COMPLETED,,0.303577895625,0.058639898333333336,9.310322808296213e-08,2.394207268511979e-21,9.310322808296452e-08,True,True,0,0.015,0.008,12,305.32373924797866,1.2262328456324444e-06
2,C12,1.3,0.255,0.3152849580975781,0.0233038543659301,0.31572545,0.02277813,0.0006858711431689431,COMPLETED,,0.315285996875,0.023304171666666665,4.774414050954293e-07,1.1953698666865944e-21,4.774414050954305e-07,True,True,0,0.015,0.008,12,392.35970646102214,1.0861575804576518e-06
