Mach,alpha,ci,source
1.2,0.2,0.0085929242438992,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0034343227566912,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0086544843802696,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0037024189244155,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0087251434789842,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0039373434524019,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0041481976551813,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.00880761090304,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0043409599503116,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0089053998467193,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0045197688595741,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0090232288891919,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0046876033550195,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0091676780842399,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0048466724234763,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0093482898198169,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0049986516839884,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0095794091249208,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0051448339705767,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0098828342805105,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0052862288324874,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0102875838702678,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0054236303188923,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0107917158880287,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0055576643111623,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0111432988469313,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0108388220460147,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0056888222320783,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0101240497013782,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0058174854172232,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0094459256230196,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
