path,size_KiB,argparse_flags,mentions_anchor,mentions_riccati,mentions_seed
classic_supersonic/scripts/convergence/plot_classical_convergence.py,14.873046875,--dpi|--dry-run|--errors-csv|--figure|--formats|--output-dir,False,False,True
classic_supersonic/scripts/convergence/run_classical_convergence_sweep.py,35.5615234375,--case-id|--cases-config|--dry-run|--fail-fast|--force|--max-runs|--output-dir|--resume|--sweep-config,False,True,True
classic_supersonic/scripts/plotting/build_primary133_assets.py,12.130859375,--output-dir|--report,False,False,False
classic_supersonic/scripts/plotting/build_validated50_primary_assets.py,16.943359375,--output-dir,False,False,False
classic_supersonic/scripts/validation/audit_gep_nearest_to_fixed_ci_shooting_anchors.py,3.1259765625,--anchors|--ci-weight|--n-points|--output,True,False,False
classic_supersonic/scripts/validation/calibrate_witness_modal_reproduction.py,16.087890625,--config|--csv-output|--json-output|--reference,False,False,False
classic_supersonic/src/classic_supersonic_reference/io/blumen_reference.py,8.701171875,,True,False,False
classic_supersonic/src/classic_supersonic_reference/solver/mstab17_supersonic_solver.py,21.724609375,--alpha|--amplitude-match-y|--ci-max|--ci-min|--cr-max|--cr-min|--grid-size|--mach|--mapping-scale|--match-y|--max-iter|--output|--plot|--use-mapping,False,True,False
classic_supersonic/src/classic_supersonic_reference/validation/modal_reconstruction.py,14.41796875,,False,True,False
classic_supersonic/tests/convergence/test_convergence_configs.py,2.3916015625,,False,False,False
classic_supersonic/tests/convergence/test_convergence_plot_inputs.py,0.8193359375,,False,False,False
classic_supersonic/tests/convergence/test_modal_stage2_fix.py,9.7734375,,False,True,False
classic_supersonic/tests/convergence/test_sweep_dry_run.py,2.6494140625,,False,False,False
classic_supersonic/tools/prepare_modal_reference.py,11.576171875,,False,False,False
classical_solver/gep/__init__.py,0.2607421875,,False,False,False
classical_solver/gep/adaptive_continuation_sweep_gep.py,9.662109375,--alpha-max|--alpha-min|--ci-weight|--cubic-delta|--distance-tol|--mach|--mapping-kind|--mapping-scale|--n-values|--num-points|--output-stem|--previous-weight|--xi-max,True,False,False
classical_solver/gep/audit_supersonic_blumen_points.py,9.623046875,--ci-max|--ci-min|--ci-weight|--cr-max-cap|--cr-max-floor|--cr-max-scale|--cr-min|--cubic-delta|--distance-tol|--families|--mapping-kind|--mapping-scale|--n-values|--output-stem|--previous-weight|--shooting-max-iter|--xi-max,True,False,False
classical_solver/gep/build_supersonic_mode_database.py,22.78125,--accepted-only|--alpha-max|--alpha-min|--alpha-values|--branch-jump-ci-weight|--branch-jump-cr-weight|--branch-overlap-top-k|--branch-overlap-weight|--ci-weight|--cubic-delta|--distance-tol|--mach-max|--mach-min|--mach-values|--mapping-kind|--mapping-scale|--n-values|--num-alpha|--num-mach|--output-stem|--previous-weight|--resume|--xi-max|--y-points,True,False,False
classical_solver/gep/compare_sweep_gep_vs_shooting.py,5.8505859375,--alpha-max|--alpha-min|--cr-window|--gep-csv|--mach|--mapping-scale|--n-points|--num-points|--output-stem|--xi-max,True,False,False
classical_solver/gep/dense_gep_notebook_style.py,17.1025390625,--alpha|--cr-window|--mach|--mapping-scale|--n-points|--target-ci|--target-cr|--xi-max,False,False,False
classical_solver/gep/plot_single_mode_like_thesis.py,3.9091796875,--alpha|--mach|--mapping-scale|--n-points|--output|--xi-max,False,False,False
classical_solver/gep/scan_gep_supersonic_local.py,10.1669921875,--alpha-max|--alpha-min|--cr-window|--guide-with-shooting|--mach-max|--mach-min|--mapping-scale|--n-points|--num-alpha|--num-mach|--output-stem|--xi-max,True,False,False
classical_solver/gep/scan_gep_validity_frontier.py,5.693359375,--alpha-max|--alpha-min|--ci-weight|--cubic-delta|--distance-tol|--mach-max|--mach-min|--mapping-kind|--mapping-scale|--n-values|--num-alpha|--num-mach|--output-stem|--previous-weight|--xi-max,True,False,False
classical_solver/subsonic/__init__.py,0.2802734375,,False,False,False
classical_solver/subsonic/compare_subsonic_shooting_solvers.py,5.521484375,,False,False,False
classical_solver/subsonic/hybrid_subsonic_scan.py,12.7666015625,--alpha-max|--alpha-min|--ci-max|--mach-max|--mach-min|--mismatch-threshold|--n-scan|--neutral-ratio-threshold|--num-alpha|--num-mach,False,False,False
classical_solver/subsonic/mstab17_subsonic_solver.py,11.9794921875,--alpha|--ci-max|--ci-min|--mach|--match-y|--n-scan|--output|--plot,False,True,False
classical_solver/subsonic/plot_subsonic_ci_map.py,3.212890625,--alpha-cut|--input-csv|--mach-cut|--output,False,False,False
classical_solver/subsonic/plot_subsonic_error_map.py,2.4404296875,,False,False,False
classical_solver/subsonic/reconstruct_blumen_subsonic_robust.py,8.921875,--alpha-max|--alpha-min|--force-cross-check|--mach-max|--mach-min|--num-alpha|--num-mach,False,False,False
classical_solver/subsonic/reconstruct_blumen_subsonic_shooting.py,9.826171875,--alpha-max|--alpha-min|--ci-max|--mach-max|--mach-min|--n-scan|--num-alpha|--num-mach,False,False,False
classical_solver/subsonic/robust_subsonic_shooting.py,6.58203125,--alpha|--force-cross-check|--mach,False,False,False
classical_solver/subsonic/shooting_subsonic.py,13.8017578125,,False,True,False
classical_solver/supersonic/blumen_reference.py,8.701171875,,True,False,False
classical_solver/supersonic/mstab17_supersonic_solver.py,18.3330078125,--alpha|--amplitude-match-y|--ci-max|--ci-min|--cr-max|--cr-min|--grid-size|--mach|--mapping-scale|--match-y|--max-iter|--output|--plot|--use-mapping,False,True,False
classical_solver/supersonic/reconstruct_blumen_supersonic_shooting.py,4.9794921875,--alpha-max|--alpha-min|--ci-max|--cr-max|--mach-max|--mach-min|--num-alpha|--num-mach|--output-stem|--tracking-weight,True,False,True
