path,size_MiB,categories,n_columns,columns
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_experts_light_anchor/history.csv,1.1398849487304688,anchor_ablation;training_history,37,epoch|loss|loss_pde|loss_bc|loss_bc_kappa|loss_bc_q|loss_norm|loss_integral_norm|loss_phase|loss_peak_slope|loss_peak_curvature|loss_loc_center|loss_loc_spread|loss_riccati_anchor|loss_ci_supervision|stage_w_ci_supervision|stage_neutral_fraction|ci_supervision_neutral_fraction|stage2_started|mapping_scale|ci_mid|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|audit_p_rel_l2_mean|audit_p_rel_l2_max|audit_env_rel_mean|audit_env_rel_max|audit_phase_rel_mean|audit_phase_rel_max|audit_peak_shift_mean|audit_peak_shift_max|audit_checkpoint_metric|n_focus_alphas|focus_alpha_min|focus_alpha_max
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_modeaudit/config.csv,0.001102447509765625,anchor_ablation,58,mach|alpha_min|alpha_max|epochs|learning_rate|hidden_dim|mode_depth|ci_depth|activation|fourier_features|fourier_scale|initial_ci|mapping_scale|trainable_mapping_scale|n_interior|n_boundary|n_alpha_supervision|n_anchor_alpha|n_norm_interior|n_reference_alpha|n_audit_alpha|n_mode_audit_alpha|n_mode_audit_y|audit_every|checkpoint_every|focus_fraction|focus_half_width|error_threshold|mode_error_threshold|max_focus_points|anchor_strategy|anchor_half_width|anchor_max_candidates|mode_center_fraction|mode_center_half_width|w_pde|w_bc|w_norm|w_integral_norm|w_phase|w_peak_slope|w_peak_curvature|w_loc_center|w_loc_spread|w_ci_supervision|audit_ci_weight|audit_mode_weight|audit_env_weight|audit_phase_weight|audit_peak_weight|phase_mask_fraction|classic_n_points|classic_mapping_scale|classic_xi_max|enforce_mode_symmetry|mode_representation|output_dir|device
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_modeaudit/history.csv,0.8429069519042969,training_history,30,epoch|loss|loss_pde|loss_bc|loss_norm|loss_integral_norm|loss_phase|loss_peak_slope|loss_peak_curvature|loss_loc_center|loss_loc_spread|loss_ci_supervision|mapping_scale|ci_mid|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|audit_p_rel_l2_mean|audit_p_rel_l2_max|audit_env_rel_mean|audit_env_rel_max|audit_phase_rel_mean|audit_phase_rel_max|audit_peak_shift_mean|audit_peak_shift_max|audit_checkpoint_metric|n_focus_alphas|focus_alpha_min|focus_alpha_max
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_multibranch/config.csv,0.0014295578002929688,anchor_ablation,73,mach|alpha_min|alpha_max|epochs|learning_rate|hidden_dim|mode_depth|ci_depth|activation|fourier_features|fourier_scale|initial_ci|mapping_scale|trainable_mapping_scale|n_interior|n_boundary|n_alpha_supervision|n_anchor_alpha|n_norm_interior|n_reference_alpha|n_audit_alpha|n_mode_audit_alpha|n_mode_audit_y|audit_every|checkpoint_every|stage_split_epoch|stage2_freeze_ci|stage2_ci_lr_scale|separate_branch_optimizers|detach_ci_in_mode_branch|ci_branch_lr|mode_branch_lr|stage1_w_ci_supervision|stage2_w_ci_supervision|stage1_neutral_fraction|stage2_neutral_fraction|focus_fraction|focus_half_width|neutral_fraction|neutral_half_width|error_threshold|mode_error_threshold|max_focus_points|anchor_strategy|anchor_half_width|anchor_max_candidates|mode_center_fraction|mode_center_half_width|w_pde|w_bc|w_bc_kappa|w_bc_q|w_norm|w_integral_norm|w_phase|w_peak_slope|w_peak_curvature|w_loc_center|w_loc_spread|w_ci_supervision|audit_ci_weight|audit_mode_weight|audit_env_weight|audit_phase_weight|audit_peak_weight|phase_mask_fraction|classic_n_points|classic_mapping_scale|classic_xi_max|enforce_mode_symmetry|mode_representation|output_dir|device
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_multibranch/history.csv,1.0982084274291992,training_history,35,epoch|loss|loss_pde|loss_bc|loss_bc_kappa|loss_bc_q|loss_norm|loss_integral_norm|loss_phase|loss_peak_slope|loss_peak_curvature|loss_loc_center|loss_loc_spread|loss_ci_supervision|stage_w_ci_supervision|stage_neutral_fraction|stage2_started|mapping_scale|ci_mid|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|audit_p_rel_l2_mean|audit_p_rel_l2_max|audit_env_rel_mean|audit_env_rel_max|audit_phase_rel_mean|audit_phase_rel_max|audit_peak_shift_mean|audit_peak_shift_max|audit_checkpoint_metric|n_focus_alphas|focus_alpha_min|focus_alpha_max
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_multibranch_refined/config.csv,0.0015048980712890625,anchor_ablation,76,mach|alpha_min|alpha_max|epochs|learning_rate|hidden_dim|mode_hidden_dim|ci_hidden_dim|mode_depth|ci_depth|activation|fourier_features|fourier_scale|initial_ci|mapping_scale|trainable_mapping_scale|n_interior|n_boundary|n_alpha_supervision|n_anchor_alpha|n_norm_interior|n_reference_alpha|n_audit_alpha|n_mode_audit_alpha|n_mode_audit_y|audit_every|checkpoint_every|stage_split_epoch|stage2_freeze_ci|stage2_ci_lr_scale|separate_branch_optimizers|detach_ci_in_mode_branch|ci_branch_lr|mode_branch_lr|stage1_w_ci_supervision|stage2_w_ci_supervision|stage1_neutral_fraction|stage2_neutral_fraction|focus_fraction|focus_half_width|neutral_fraction|ci_supervision_neutral_boost|neutral_half_width|error_threshold|mode_error_threshold|max_focus_points|anchor_strategy|anchor_half_width|anchor_max_candidates|mode_center_fraction|mode_center_half_width|w_pde|w_bc|w_bc_kappa|w_bc_q|w_norm|w_integral_norm|w_phase|w_peak_slope|w_peak_curvature|w_loc_center|w_loc_spread|w_ci_supervision|audit_ci_weight|audit_mode_weight|audit_env_weight|audit_phase_weight|audit_peak_weight|phase_mask_fraction|classic_n_points|classic_mapping_scale|classic_xi_max|enforce_mode_symmetry|mode_representation|output_dir|device
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_multibranch_refined/history.csv,1.1204414367675781,training_history,36,epoch|loss|loss_pde|loss_bc|loss_bc_kappa|loss_bc_q|loss_norm|loss_integral_norm|loss_phase|loss_peak_slope|loss_peak_curvature|loss_loc_center|loss_loc_spread|loss_ci_supervision|stage_w_ci_supervision|stage_neutral_fraction|ci_supervision_neutral_fraction|stage2_started|mapping_scale|ci_mid|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|audit_p_rel_l2_mean|audit_p_rel_l2_max|audit_env_rel_mean|audit_env_rel_max|audit_phase_rel_mean|audit_phase_rel_max|audit_peak_shift_mean|audit_peak_shift_max|audit_checkpoint_metric|n_focus_alphas|focus_alpha_min|focus_alpha_max
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/runs_frozen/kh_subsonic_2d_local_m0008_jz_neutral_h160/history.csv,0.7674293518066406,training_history,13,epoch|loss|loss_pde|loss_bc|loss_norm|loss_phase|loss_ci_supervision|mapping_scale|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|n_focus_points
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/runs_frozen/kh_subsonic_fixed_mach_M05_adaptive_jz/history.csv,0.5170326232910156,training_history,16,epoch|loss|loss_pde|loss_bc|loss_norm|loss_phase|loss_ci_supervision|mapping_scale|ci_mid|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|n_focus_alphas|focus_alpha_min|focus_alpha_max
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/runs_frozen/kh_subsonic_singlecase_a050_m050/config.csv,0.0008287429809570312,anchor_ablation,46,mach|alpha_min|alpha_max|epochs|learning_rate|hidden_dim|mode_depth|ci_depth|activation|fourier_features|fourier_scale|initial_ci|mapping_scale|trainable_mapping_scale|n_interior|n_boundary|n_alpha_supervision|n_anchor_alpha|n_norm_interior|n_reference_alpha|n_audit_alpha|n_mode_audit_alpha|n_mode_audit_y|audit_every|checkpoint_every|focus_fraction|focus_half_width|error_threshold|mode_error_threshold|max_focus_points|anchor_half_width|mode_center_fraction|mode_center_half_width|w_pde|w_bc|w_norm|w_integral_norm|w_phase|w_ci_supervision|audit_ci_weight|audit_mode_weight|classic_n_points|classic_mapping_scale|classic_xi_max|output_dir|device
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/runs_frozen/kh_subsonic_singlecase_a050_m050/history.csv,0.9936456680297852,training_history,20,epoch|loss|loss_pde|loss_bc|loss_norm|loss_integral_norm|loss_phase|loss_ci_supervision|mapping_scale|ci_mid|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|audit_p_rel_l2_mean|audit_p_rel_l2_max|audit_checkpoint_metric|n_focus_alphas|focus_alpha_min|focus_alpha_max
