normal_axis,chart_minus_grid,chart_plus_grid,Mach_minus_grid,Mach_plus_grid,alpha_minus_grid,alpha_plus_grid,Mach_mid,alpha_mid,pair_id
Mach,C21,C31,1.648,1.6509999999999998,0.18743333333333334,0.18743333333333334,1.6494999999999997,0.18743333333333334,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.18846666666666667,0.18846666666666667,1.6494999999999997,0.18846666666666667,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.1895,0.1895,1.6494999999999997,0.1895,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.19053333333333333,0.19053333333333333,1.6494999999999997,0.19053333333333333,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.19156666666666666,0.19156666666666666,1.6494999999999997,0.19156666666666666,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.1926,0.1926,1.6494999999999997,0.1926,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.19363333333333332,0.19363333333333332,1.6494999999999997,0.19363333333333332,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.19466666666666665,0.19466666666666665,1.6494999999999997,0.19466666666666665,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.19569999999999999,0.19569999999999999,1.6494999999999997,0.19569999999999999,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.19673333333333332,0.19673333333333332,1.6494999999999997,0.19673333333333332,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.1977666666666667,0.1977666666666667,1.6494999999999997,0.1977666666666667,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.19880000000000003,0.19880000000000003,1.6494999999999997,0.19880000000000003,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.19983333333333336,0.19983333333333336,1.6494999999999997,0.19983333333333336,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.2008666666666667,0.2008666666666667,1.6494999999999997,0.2008666666666667,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.20190000000000002,0.20190000000000002,1.6494999999999997,0.20190000000000002,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.20293333333333335,0.20293333333333335,1.6494999999999997,0.20293333333333335,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.20396666666666668,0.20396666666666668,1.6494999999999997,0.20396666666666668,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.20500000000000002,0.20500000000000002,1.6494999999999997,0.20500000000000002,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.20603333333333335,0.20603333333333335,1.6494999999999997,0.20603333333333335,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.20706666666666668,0.20706666666666668,1.6494999999999997,0.20706666666666668,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.2081,0.2081,1.6494999999999997,0.2081,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.20913333333333334,0.20913333333333334,1.6494999999999997,0.20913333333333334,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.21016666666666667,0.21016666666666667,1.6494999999999997,0.21016666666666667,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.2112,0.2112,1.6494999999999997,0.2112,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.21223333333333333,0.21223333333333333,1.6494999999999997,0.21223333333333333,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.21326666666666666,0.21326666666666666,1.6494999999999997,0.21326666666666666,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.2143,0.2143,1.6494999999999997,0.2143,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.21533333333333332,0.21533333333333332,1.6494999999999997,0.21533333333333332,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.21636666666666665,0.21636666666666665,1.6494999999999997,0.21636666666666665,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.21739999999999998,0.21739999999999998,1.6494999999999997,0.21739999999999998,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.21843333333333337,0.21843333333333337,1.6494999999999997,0.21843333333333337,C21--C31
Mach,C21,C31,1.648,1.6509999999999998,0.2194666666666667,0.2194666666666667,1.6494999999999997,0.2194666666666667,C21--C31
Mach,C22,C32,1.648,1.6509999999999998,0.22050000000000003,0.22050000000000003,1.6494999999999997,0.22050000000000003,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.22153333333333336,0.22153333333333336,1.6494999999999997,0.22153333333333336,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2225666666666667,0.2225666666666667,1.6494999999999997,0.2225666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.22360000000000002,0.22360000000000002,1.6494999999999997,0.22360000000000002,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.22463333333333335,0.22463333333333335,1.6494999999999997,0.22463333333333335,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.22566666666666668,0.22566666666666668,1.6494999999999997,0.22566666666666668,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2267,0.2267,1.6494999999999997,0.2267,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.22773333333333334,0.22773333333333334,1.6494999999999997,0.22773333333333334,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.22876666666666667,0.22876666666666667,1.6494999999999997,0.22876666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2298,0.2298,1.6494999999999997,0.2298,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.23083333333333333,0.23083333333333333,1.6494999999999997,0.23083333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.23186666666666667,0.23186666666666667,1.6494999999999997,0.23186666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2329,0.2329,1.6494999999999997,0.2329,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.23393333333333333,0.23393333333333333,1.6494999999999997,0.23393333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.23496666666666666,0.23496666666666666,1.6494999999999997,0.23496666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.236,0.236,1.6494999999999997,0.236,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.23703333333333332,0.23703333333333332,1.6494999999999997,0.23703333333333332,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.23806666666666665,0.23806666666666665,1.6494999999999997,0.23806666666666665,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.23910000000000003,0.23910000000000003,1.6494999999999997,0.23910000000000003,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.24013333333333337,0.24013333333333337,1.6494999999999997,0.24013333333333337,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2411666666666667,0.2411666666666667,1.6494999999999997,0.2411666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.24220000000000003,0.24220000000000003,1.6494999999999997,0.24220000000000003,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.24323333333333336,0.24323333333333336,1.6494999999999997,0.24323333333333336,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2442666666666667,0.2442666666666667,1.6494999999999997,0.2442666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.24530000000000002,0.24530000000000002,1.6494999999999997,0.24530000000000002,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.24633333333333335,0.24633333333333335,1.6494999999999997,0.24633333333333335,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.24736666666666668,0.24736666666666668,1.6494999999999997,0.24736666666666668,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2484,0.2484,1.6494999999999997,0.2484,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.24943333333333334,0.24943333333333334,1.6494999999999997,0.24943333333333334,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.25046666666666667,0.25046666666666667,1.6494999999999997,0.25046666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2515,0.2515,1.6494999999999997,0.2515,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.25253333333333333,0.25253333333333333,1.6494999999999997,0.25253333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.25356666666666666,0.25356666666666666,1.6494999999999997,0.25356666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2546,0.2546,1.6494999999999997,0.2546,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2556333333333333,0.2556333333333333,1.6494999999999997,0.2556333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.25666666666666665,0.25666666666666665,1.6494999999999997,0.25666666666666665,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2577,0.2577,1.6494999999999997,0.2577,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.25873333333333337,0.25873333333333337,1.6494999999999997,0.25873333333333337,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2597666666666667,0.2597666666666667,1.6494999999999997,0.2597666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.26080000000000003,0.26080000000000003,1.6494999999999997,0.26080000000000003,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.26183333333333336,0.26183333333333336,1.6494999999999997,0.26183333333333336,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2628666666666667,0.2628666666666667,1.6494999999999997,0.2628666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2639,0.2639,1.6494999999999997,0.2639,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.26493333333333335,0.26493333333333335,1.6494999999999997,0.26493333333333335,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2659666666666667,0.2659666666666667,1.6494999999999997,0.2659666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.267,0.267,1.6494999999999997,0.267,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.26803333333333335,0.26803333333333335,1.6494999999999997,0.26803333333333335,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2690666666666667,0.2690666666666667,1.6494999999999997,0.2690666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2701,0.2701,1.6494999999999997,0.2701,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.27113333333333334,0.27113333333333334,1.6494999999999997,0.27113333333333334,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.27216666666666667,0.27216666666666667,1.6494999999999997,0.27216666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2732,0.2732,1.6494999999999997,0.2732,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.27423333333333333,0.27423333333333333,1.6494999999999997,0.27423333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.27526666666666666,0.27526666666666666,1.6494999999999997,0.27526666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2763,0.2763,1.6494999999999997,0.2763,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2773333333333333,0.2773333333333333,1.6494999999999997,0.2773333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.27836666666666665,0.27836666666666665,1.6494999999999997,0.27836666666666665,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.27940000000000004,0.27940000000000004,1.6494999999999997,0.27940000000000004,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.28043333333333337,0.28043333333333337,1.6494999999999997,0.28043333333333337,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2814666666666667,0.2814666666666667,1.6494999999999997,0.2814666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.28250000000000003,0.28250000000000003,1.6494999999999997,0.28250000000000003,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.28353333333333336,0.28353333333333336,1.6494999999999997,0.28353333333333336,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2845666666666667,0.2845666666666667,1.6494999999999997,0.2845666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2856,0.2856,1.6494999999999997,0.2856,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.28663333333333335,0.28663333333333335,1.6494999999999997,0.28663333333333335,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2876666666666667,0.2876666666666667,1.6494999999999997,0.2876666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2887,0.2887,1.6494999999999997,0.2887,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.28973333333333334,0.28973333333333334,1.6494999999999997,0.28973333333333334,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2907666666666667,0.2907666666666667,1.6494999999999997,0.2907666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2918,0.2918,1.6494999999999997,0.2918,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.29283333333333333,0.29283333333333333,1.6494999999999997,0.29283333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.29386666666666666,0.29386666666666666,1.6494999999999997,0.29386666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2949,0.2949,1.6494999999999997,0.2949,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.2959333333333333,0.2959333333333333,1.6494999999999997,0.2959333333333333,C22--C32
