boundary_id,normal_axis,chart_minus_grid,chart_plus_grid,Mach_minus_grid,Mach_plus_grid,alpha_minus_grid,alpha_plus_grid,Mach_mid,alpha_mid,pair_id,component,chart_minus,chart_plus,Mach_boundary,alpha_boundary,clean_pair_switch
ROUTE_0047,Mach,C12,C22,1.3479999999999999,1.351,0.2907666666666667,0.2907666666666667,1.3495,0.2907666666666667,C12--C22,0,C12,C22,1.3499999994997631,0.2907666666666667,True
ROUTE_0048,Mach,C12,C22,1.3479999999999999,1.351,0.3248666666666667,0.3248666666666667,1.3495,0.3248666666666667,C12--C22,0,C12,C22,1.3499999994997631,0.3248666666666667,True
ROUTE_0049,Mach,C12,C22,1.3479999999999999,1.351,0.36,0.36,1.3495,0.36,C12--C22,0,C12,C22,1.3499999994997631,0.36,True
ROUTE_0050,alpha,C20,C21,1.351,1.351,0.12956666666666666,0.1306,1.351,0.13008333333333333,C20--C21,0,C20,C21,1.351,0.13000000049990673,True
ROUTE_0051,alpha,C20,C21,1.426,1.426,0.12956666666666666,0.1306,1.426,0.13008333333333333,C20--C21,0,C20,C21,1.426,0.13000000049990673,True
ROUTE_0052,alpha,C20,C21,1.501,1.501,0.12956666666666666,0.1306,1.501,0.13008333333333333,C20--C21,0,C20,C21,1.501,0.13000000049990673,True
ROUTE_0053,alpha,C20,C21,1.573,1.573,0.12956666666666666,0.1306,1.573,0.13008333333333333,C20--C21,0,C20,C21,1.573,0.13000000049990673,True
ROUTE_0054,alpha,C20,C21,1.648,1.648,0.12956666666666666,0.1306,1.648,0.13008333333333333,C20--C21,0,C20,C21,1.648,0.13000000049990673,True
ROUTE_0055,Mach,C20,C30,1.648,1.6509999999999998,0.05,0.05,1.6494999999999997,0.05,C20--C30,0,C20,C30,1.6500000005000033,0.05,True
ROUTE_0056,Mach,C20,C30,1.648,1.6509999999999998,0.06963333333333334,0.06963333333333334,1.6494999999999997,0.06963333333333334,C20--C30,0,C20,C30,1.6500000005000033,0.06963333333333334,True
