benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
43,C21,1.55,0.2,0.4017552663925157,0.0216202143809181,0.40285558,0.021675648,0.0011017090908854482,COMPLETED,,0.40175206437499994,0.021618356333333328,1.3122294646435558e-06,4.1845128484497e-21,1.31222946464356e-06,True,True,0,0.015,0.008,12,400.6130703749368,3.7020611824265964e-06
46,C22,1.55,0.26,0.4189715103041552,0.0011522371683095,0.42486626,0.0041346466,0.006606272776301237,COMPLETED,,0.41896782250000003,0.0011522105982096356,1.6275000575686435e-06,4.539210358882817e-21,1.627500057568648e-06,True,True,0,0.06,0.008,12,449.0126452569384,3.687899870798025e-06
12,C02,1.0,0.25,0.111546652099929,0.0638826719697617,0.11007476,0.063748345,0.0014780088256295355,COMPLETED,,0.111549369375,0.06388506375,1.1610142981242514e-06,4.853492739870348e-20,1.1610142981243e-06,True,True,0,0.015,0.03,12,320.77007177006453,3.6199718948824546e-06
3,C00,1.1,0.115,0.0840064838857459,0.1316074319054831,0.076363474,0.10816106,0.024660656026226,COMPLETED,,0.08400995837500001,0.131608325625,3.3800073498678205e-07,1.6829745677680393e-21,3.3800073498678375e-07,True,True,0,0.015,0.015,12,271.9378441370791,3.5875911349844844e-06
16,C02,1.05,0.35,0.2055430635370356,0.0033487427887457,0.2043289,0.0017546337,0.0020038405329487786,COMPLETED,,0.2055398375,0.003347436714290365,2.0978893909884825e-06,4.746740938644019e-20,2.09788939098853e-06,True,True,0,0.06,0.015,12,392.1501400039997,3.4803944371388755e-06
6,C01,1.0,0.155,-1.1093810174199796e-10,0.0355397248680497,0.0030324757,0.059891757,0.02454011773605547,COMPLETED,,0.0,0.03553628825,1.018704175434704e-06,3.093529781229911e-21,1.0187041754347071e-06,True,True,0,0.015,0.03,12,274.2025319369277,3.436618051494794e-06
42,C21,1.55,0.12,0.3676123448280693,0.0442350462458262,0.36064517,0.044268288,0.00696725412907431,COMPLETED,,0.3676113158333334,0.04423182966666667,6.593175981786062e-07,6.794715249177688e-21,6.59317598178613e-07,True,True,0,0.1,0.008,12,334.79785695998,3.377160294699026e-06
9,C01,1.15,0.175,0.193178755219419,0.0858418261519786,0.18804461,0.068710774,0.017883858503351384,COMPLETED,,0.19318132875000002,0.08583968025000002,8.491068709478193e-07,1.3400547612994938e-22,8.491068709478194e-07,True,True,0,0.03,0.03,12,329.85797647899017,3.350814073204308e-06
47,C22,1.6,0.22,0.4256110612063782,0.0118039423351638,0.43542886,0.009394779,0.010109067272876297,COMPLETED,,0.4256144068749999,0.011804011323242188,1.2994148299276494e-06,3.53876575153465e-21,1.299414829927653e-06,True,True,0,0.015,0.03,12,419.8379736560164,3.3463798172349633e-06
55,C31,1.75,0.14,0.4489475540963262,0.0242005183491091,0.45154846,0.022530224,0.0030910507489251868,COMPLETED,,0.4489508037499999,0.024200145875,8.411875447830639e-07,8.04016022566865e-21,8.411875447830719e-07,True,True,0,0.03,0.015,12,368.4565203009406,3.2709304427031953e-06
10,C01,1.15,0.2,0.2086070430962784,0.0722196863696432,0.20819515,0.06459534,0.007635464195911941,COMPLETED,,0.20860530624999998,0.07222229312500002,9.608587830907976e-07,1.8628362025189323e-21,9.608587830907995e-07,True,True,0,0.03,0.015,12,336.02151322201826,3.132380641803253e-06
13,C02,1.0,0.315,0.1527202937243574,0.0259287963122211,0.15887514,0.029043365,0.006898019338019031,COMPLETED,,0.15272279625,0.025928130625000007,1.277207832792204e-06,5.690465210761758e-20,1.277207832792261e-06,True,True,0,0.03,0.015,12,354.517440126976,2.589550939487126e-06
