ranking_metric,stage,dataset,source_id,chart,Mach,alpha,ranking_value
bc_q_max_abs,joint,V64,47,C22,1.6,0.22,0.006138592958450317
bc_q_max_abs,joint,V64,46,C22,1.55,0.26,0.00595700740814209
bc_q_max_abs,joint,T401,63,C01,1.2,0.15,0.004942163825035095
bc_q_max_abs,joint,T401,289,C22,1.5,0.25,0.004613131284713745
bc_q_max_abs,joint,T401,290,C22,1.5,0.26,0.00457233190536499
bc_q_max_abs,joint,T401,285,C22,1.45,0.265,0.004356598947197199
bc_q_max_abs,joint,V64,13,C02,1.0,0.315,0.0036094272509217262
bc_q_max_abs,joint,V64,5,C01,1.0,0.145,0.003473760560154915
bc_q_max_abs,joint,T401,30,C01,1.0,0.15,0.003373943269252777
bc_q_max_abs,joint,T401,31,C01,1.0,0.16,0.0033606961369514465
bc_q_max_abs,joint,T401,364,C31,1.75,0.17,0.003350408747792244
bc_q_max_abs,joint,T401,59,C01,1.15,0.195,0.0033447742462158203
bc_q_max_abs,joint,V64,6,C01,1.0,0.155,0.003332238644361496
bc_q_max_abs,joint,V64,12,C02,1.0,0.25,0.0033042728900909424
bc_q_max_abs,joint,T401,58,C01,1.15,0.1875,0.00312235951423645
bc_q_max_abs,joint,T401,365,C31,1.75,0.18,0.0030724825337529182
