stage,dataset,source_id,chart,Mach,alpha,n_xi,xi_boundary,mapping_scale,cr_pred,ci_pred,r_kappa_abs_median,r_kappa_abs_p90,r_kappa_abs_p95,r_kappa_abs_max,r_q_abs_median,r_q_abs_p90,r_q_abs_p95,r_q_abs_max,r_logamp_abs_median,r_logamp_abs_p90,r_logamp_abs_p95,r_logamp_abs_max,r_kappa_normalized_rms,r_q_normalized_rms,r_logamp_normalized_rms,bc_kappa_rmse,bc_q_rmse,bc_kappa_max_abs,bc_q_max_abs,reference_ci
joint,T401,87,C02,1.05,0.255,256,0.9850000143051147,3.0,0.1524982452392578,0.05845332145690918,0.008193620014935732,0.018849054351449013,0.02347747841849923,0.034931737929582596,0.006028492236509919,0.01572890765964985,0.01748875016346574,0.04133495315909386,0.0030848945025354624,0.008122799452394247,0.011999893002212048,0.11622545123100281,0.01121945852136624,0.008936480990554886,0.009620887336344313,0.0029848961004419875,0.0006373665551528426,0.004001997411251068,0.0007887184619903564,0.0570224832728613
joint,T401,97,C02,1.1,0.23,256,0.9850000143051147,3.0,0.1902490258216858,0.06194154918193817,0.006469374522566795,0.01815156452357769,0.023424473125487566,0.03796578571200371,0.006831645499914885,0.01764629501849413,0.02506395848467946,0.04475187882781029,0.0035910033620893955,0.011029431596398354,0.013631824404001236,0.030498651787638664,0.010085772453988414,0.011482584748489393,0.006867047125405683,0.0011396915831487422,0.0023427956346714087,0.00136597640812397,0.0026845932006835938,0.0641319550045144
joint,T401,99,C02,1.1,0.26,256,0.9850000143051147,3.0,0.20531654357910156,0.0487360879778862,0.0064504684414714575,0.018062394112348557,0.023043273948132992,0.05681346356868744,0.005977122578769922,0.016986009664833546,0.02145590027794242,0.05097408965229988,0.003557909745723009,0.0112602012231946,0.015258781611919403,0.023838821798563004,0.011361396190328922,0.010919280568889352,0.006879450897510064,0.0016949050518911876,0.0013233357888440041,0.0022191107273101807,0.0018146038055419922,0.0473401459935351
joint,T401,100,C02,1.1,0.27,256,0.9850000143051147,3.0,0.21158021688461304,0.043878041207790375,0.006307223346084356,0.018240426667034626,0.025147814769297838,0.06504202634096146,0.005796384532004595,0.018288590013980865,0.02138016652315855,0.052559275180101395,0.0037199194775894284,0.010678765829652548,0.016533310059458017,0.12381701171398163,0.012162064342291355,0.01058644610565284,0.010845747190743509,0.001847345186081024,0.0014446963521448691,0.002591107040643692,0.0020313262939453125,0.0418049284949206
joint,T401,101,C02,1.1,0.28,256,0.9850000143051147,3.0,0.21706663072109222,0.038307636976242065,0.0062987240962684155,0.02000205498188734,0.024471316020935774,0.07195066660642624,0.0057837036438286304,0.01797538809478283,0.02047545649111271,0.055358268320560455,0.0037254809867590666,0.010327751748263836,0.014118849532678723,0.082967109978199,0.01220922569577397,0.010195770964737153,0.008073316730900575,0.001992417605197216,0.0014815175497952609,0.002817632630467415,0.0020903348922729492,0.0362992172070976
joint,T401,105,C02,1.1,0.315,256,0.9850000143051147,3.0,0.22662214934825897,0.015737095847725868,0.0072549995966255665,0.02384872082620859,0.02879830962046981,0.052745215594768524,0.00476142717525363,0.014137391932308674,0.017583084292709827,0.04827944189310074,0.003466755850240588,0.011378678027540445,0.013900114223361015,0.13680928945541382,0.013363800866813904,0.008485179483593109,0.010069771555123919,0.0018327005261330825,0.0007817279118880363,0.0019481200724840164,0.001100846566259861,0.0172498403916324
joint,T401,108,C02,1.1,0.345,256,0.9850000143051147,3.0,0.23373833298683167,0.004470186308026314,0.007806763052940369,0.026946790516376495,0.031668330542743206,0.08860248327255249,0.006407967768609524,0.019547385163605213,0.02235634345561266,0.0494193471968174,0.003955264575779438,0.014594729989767075,0.018590074963867664,0.030396142974495888,0.01523242484809376,0.010091096122616694,0.00839641645144053,0.0012315317789263873,0.0008874337296587025,0.0015455915126949549,0.0011443495750427246,0.0011771278177396
joint,T401,112,C02,1.15,0.245,256,0.9850000143051147,3.0,0.2353995144367218,0.04810575768351555,0.006144059589132667,0.01774351019412279,0.023178234230726957,0.07029177993535995,0.005376426270231605,0.01636491995304823,0.020406417548656464,0.05444559082388878,0.004536408931016922,0.014952740631997585,0.018827454186975956,0.023767385631799698,0.01103714475607479,0.010088814173139948,0.008213778036353958,0.0019395570484136303,0.0013574117612011717,0.0027403272688388824,0.0018285512924194336,0.048079054596058
joint,T401,116,C02,1.15,0.295,256,0.9850000143051147,3.0,0.25086119771003723,0.021379118785262108,0.008467337116599083,0.020680511370301247,0.02680133655667305,0.1137264221906662,0.004737415816634893,0.01666110008955002,0.021196833811700344,0.06378042697906494,0.004067442379891872,0.01203292515128851,0.016388589050620794,0.12403939664363861,0.017065898263962518,0.010808769852028593,0.01161408937060722,0.0018161650090156624,0.0006857067552197693,0.0025567328557372093,0.0008911192417144775,0.0217781061290199
joint,T401,120,C02,1.15,0.335,256,0.9850000143051147,3.0,0.257676362991333,0.00703065562993288,0.007817311678081751,0.025443140417337418,0.0284308516420424,0.152230367064476,0.005703229224309325,0.013487386051565409,0.017454094253480434,0.056359920650720596,0.0037332074716687202,0.014695857651531696,0.01752740563824773,0.07066356390714645,0.016333795145043215,0.008231039215365993,0.009484109593913877,0.0020084359593755753,0.0012981434709829053,0.002364849904552102,0.0017841160297393799,0.0011041412933339
