cost_id,Mach,alpha,classical_success,classical_cr,classical_ci,classical_omega_i,classical_residual_norm,classical_delta_kappa,classical_delta_q,classical_parameterization,classical_settings_name,classical_best_seed_index,classical_best_seed_cr,classical_best_seed_ci,classical_n_generic_starts,classical_n_accepted_starts,classical_n_solver_attempts,classical_objective_calls,classical_integration_failures,classical_seconds,status,_source_file,_technical_success,mach_index,alpha_index,primary_chart
30,1.054,0.21275,True,0.1421539860006032,0.0814467101611013,0.0173277875867743,2.950458159105176e-16,1.9428902930940242e-16,-2.220446049250313e-16,log_ci,nominal,3,0.1,0.002,6,1,36,3452,0,305.2579792329343,COMPLETED,classical_COST500_chunk_006.csv,True,1,10,C02
31,1.054,0.2282499999999999,True,0.15275323600932,0.0722101463090478,0.0164819658950401,1.9304604014008868e-14,7.910339050454239e-16,1.9288390329386118e-14,log_ci,nominal,3,0.1,0.002,6,1,36,3070,0,277.7586026870413,COMPLETED,classical_COST500_chunk_006.csv,True,1,11,C02
32,1.054,0.24375,True,0.1621848920177062,0.0630819846470151,0.0153762337577099,8.272093932318476e-13,-6.210310043996971e-14,8.248748906147796e-13,log_ci,nominal,3,0.1,0.002,6,1,36,2622,0,233.1460286079673,COMPLETED,classical_COST500_chunk_006.csv,True,1,12,C02
33,1.054,0.25925,True,0.1706800732684199,0.0540563781204972,0.0140141160277389,1.9205033519090294e-11,-2.4448915114660967e-12,1.904877471037292e-11,log_ci,nominal,3,0.1,0.002,6,1,36,2667,0,237.68915627000388,COMPLETED,classical_COST500_chunk_006.csv,True,1,13,C02
34,1.054,0.27475,True,0.1784049754781612,0.04512779131073,0.012398860662623,5.282189687296997e-15,-3.386180225106728e-15,-4.054048763357798e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2600,0,230.61674702295568,COMPLETED,classical_COST500_chunk_006.csv,True,1,14,C02
35,1.054,0.29025,True,0.1854841073210956,0.0362909774962221,0.0105334562182784,6.579685174546844e-15,9.15933995315754e-16,6.515621375768888e-15,log_ci,nominal,3,0.1,0.002,6,1,36,2587,0,218.88362975697964,COMPLETED,classical_COST500_chunk_007.csv,True,1,15,C02
36,1.054,0.3057499999999999,True,0.192013766205223,0.0275409634895297,0.0084206495869237,1.4969211450130512e-14,9.298117831235686e-16,1.494030593685025e-14,log_ci,nominal,3,0.1,0.002,6,1,36,2556,0,216.48762013902888,COMPLETED,classical_COST500_chunk_007.csv,True,1,16,C02
37,1.054,0.32125,True,0.1980703529005303,0.0188730392966253,0.0060629638740408,8.81446083942897e-13,-3.262112802104866e-13,8.18861038004437e-13,log_ci,nominal,3,0.1,0.002,6,1,36,2546,0,217.9604476740351,COMPLETED,classical_COST500_chunk_007.csv,True,1,17,C02
38,1.054,0.33675,True,0.2037157671825396,0.0102827517958056,0.0034627166672375,1.2294593992488195e-10,-5.309058748181883e-11,1.1089226151922428e-10,log_ci,nominal,3,0.1,0.002,6,2,36,2552,0,211.65106374397877,COMPLETED,classical_COST500_chunk_007.csv,True,1,18,C02
39,1.054,0.3522499999999999,True,0.2090010050075581,0.0017658740516352,0.0006220291346885,1.0131019962966168e-12,3.0167535136627066e-13,-9.671440623186534e-13,log_ci,nominal,3,0.1,0.002,6,3,32,2183,0,187.51860520394985,COMPLETED,classical_COST500_chunk_007.csv,True,1,19,C02
