benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error,cost_id,cost_chunk
37,C01,1.09,0.13525,0.0,0.0,0.10584268,0.13352978,0.1703903608084412,COMPLETED,,0.10363564875,0.1215766549999999,8.018502977208172e-07,2.016960351329988e-22,8.018502977208174e-07,True,True,0,0.03,0.008,12,350.9731793399551,0.1597536563989143,37,0
38,C01,1.09,0.15075,0.0,0.0,0.13059989,0.13947776,0.1910768871492041,COMPLETED,,0.1227776243749999,0.112163306875,1.816347923040504e-06,8.079869976124285e-23,1.816347923040504e-06,True,True,0,0.015,0.015,12,370.7948814560077,0.1662977824756061,38,0
39,C01,1.09,0.16625,0.0,0.0,0.14011693,0.11659956,0.1822860704080772,COMPLETED,,0.1383493518749999,0.102878856875,7.422322179408589e-07,9.634577193669224e-22,7.422322179408599e-07,True,True,0,0.015,0.015,12,386.1519466319587,0.172408243295207,39,0
40,C01,1.09,0.18175,0.0,0.0,0.13921905,0.08287136,0.1620173021351488,COMPLETED,,0.1515237374999999,0.0936890683333333,1.4488356267626008e-06,2.816141333903265e-21,1.4488356267626035e-06,True,True,0,0.06,0.008,12,394.7069763719919,0.1781490515022095,40,0
41,C01,1.09,0.19725,0.0,0.0,0.15289596,0.07656681,0.1709960554454333,COMPLETED,,0.16295455375,0.084613685,1.0891907366090948e-06,5.6963689765538865e-21,1.0891907366091005e-06,True,True,0,0.03,0.008,12,401.6366972820251,0.1836128053190759,41,0
42,C01,1.126,0.11975,0.0,0.0,0.12161335,0.13059609,0.1784520821439486,COMPLETED,,0.1224043656249999,0.1223831993749999,5.004634486087252e-07,2.022802689903935e-21,5.004634486087272e-07,True,True,0,0.015,0.015,12,348.3284531639656,0.173090947808716,42,0
43,C01,1.126,0.13525,0.0,0.0,0.14452201,0.13707809,0.1991908987190132,COMPLETED,,0.140840369375,0.11334762125,1.398550483840976e-06,8.353893129615839e-22,1.398550483840977e-06,True,True,0,0.015,0.03,12,360.6240329749999,0.1807863183117569,43,0
44,C01,1.126,0.15075,0.0,0.0,0.16438484,0.12260707,0.205072838854419,COMPLETED,,0.156093824375,0.1043941793749999,9.87272307356165e-07,8.741977401347677e-23,9.87272307356165e-07,True,True,0,0.015,0.015,12,381.6771697489894,0.1877855870278467,44,0
45,C01,1.126,0.16625,0.0,0.0,0.16829526,0.08586,0.1889318240489611,COMPLETED,,0.169105806875,0.0955422916666666,7.853129248130737e-07,1.3418032064148917e-22,7.853129248130738e-07,True,True,0,0.015,0.008,12,397.59950656601,0.194229512216252,45,0
46,C01,1.126,0.18175,0.0,0.0,0.17128305,0.06805402,0.1843074411288456,COMPLETED,,0.1804529718749999,0.086774723125,1.989215264914469e-06,1.0057896464297412e-21,1.9892152649144697e-06,True,True,0,0.015,0.015,12,405.9501443150221,0.2002326837255594,46,0
47,C01,1.126,0.19725,0.0,0.0,0.18432613,0.068188205,0.1965343570521422,COMPLETED,,0.190488239375,0.0780684133333333,1.1361082515551937e-06,2.766822126198284e-21,1.1361082515551964e-06,True,True,0,0.015,0.008,12,411.9369047039654,0.2058651172505227,47,0
48,C01,1.162,0.11975,0.0,0.0,0.15251291,0.12603849,0.1978531998178149,COMPLETED,,0.1549543162499999,0.113665443125,3.2971556437883577e-07,2.9573353914123096e-21,3.297155643788388e-07,True,True,0,0.03,0.015,12,357.5625430060318,0.1921735493904081,48,0
49,C01,1.162,0.13525,0.0,0.0,0.16886494,0.113261655,0.203331184166479,COMPLETED,,0.17056415875,0.10512103,6.542160408586623e-07,1.6593016787285854e-21,6.54216040858664e-07,True,True,0,0.03,0.008,12,371.4841803189484,0.2003560909939004,49,0
0,C01,1.162,0.15075,0.0,0.0,0.18358216,0.08970878,0.204328350160603,COMPLETED,,0.183904425625,0.0966423737499999,1.899723537332144e-06,5.501585942723001e-22,1.8997235373321448e-06,True,True,0,0.015,0.03,12,315.2387749699992,0.2077512603295004,50,1
1,C01,1.162,0.16625,0.0,0.0,0.1927982,0.07356903,0.2063578156949256,COMPLETED,,0.195503278125,0.0882272331249999,1.268869617663925e-06,2.829023410989064e-23,1.268869617663925e-06,True,True,0,0.015,0.015,12,328.6765855549602,0.2144891056033248,51,1
2,C01,1.162,0.18175,0.0,0.0,0.20707045,0.06757129,0.2178165523909204,COMPLETED,,0.2057520906249999,0.079866211875,1.2594598804160936e-06,2.2992949019037527e-22,1.2594598804160938e-06,True,True,0,0.015,0.015,12,333.8154526790022,0.2207091629176745,52,1
3,C01,1.162,0.19725,0.0,0.0,0.22006461,0.06387045,0.2291459512137506,COMPLETED,,0.2149181256249999,0.0715527416666666,2.803853329661633e-06,1.175767078074712e-21,2.8038533296616348e-06,True,True,0,0.015,0.008,12,339.7744049000321,0.2265162147886548,53,1
4,C01,1.198,0.11975,0.0,0.0,0.18305567,0.10674313,0.2119043985417617,COMPLETED,,0.182362310625,0.10512203625,1.4650385375805192e-06,3.76502580769552e-21,1.465038537580523e-06,True,True,0,0.015,0.03,12,295.47730973298894,0.2104914602586891,54,1
5,C01,1.198,0.13525,0.0,0.0,0.20344725,0.09371461,0.2239937759403475,COMPLETED,,0.1963671718749999,0.09709351625,4.424569332820054e-07,2.482666674621053e-21,4.4245693328200797e-07,True,True,0,0.015,0.03,12,305.98916857497534,0.2190598481876009,55,1
6,C01,1.198,0.15075,0.0,0.0,0.21559013,0.08239275,0.2307978973170669,COMPLETED,,0.2085100518749999,0.08909196875,5.28470666995243e-07,1.2077772155626714e-21,5.284706669952441e-07,True,True,0,0.015,0.03,12,318.50052045600023,0.2267461590163461,56,1
7,C01,1.198,0.16625,0.0,0.0,0.21779291,0.07602151,0.2306794781270068,COMPLETED,,0.2191893943749999,0.0811100516666666,8.407169664398557e-07,3.3054920648052307e-22,8.40716966439856e-07,True,True,0,0.015,0.008,12,334.9723578639678,0.2337152778229284,57,1
8,C01,1.198,0.18175,0.0,0.0,0.23222657,0.070613265,0.242724974009526,COMPLETED,,0.22869141375,0.0731620931249999,5.410816983859499e-07,1.8940550334356491e-25,5.410816983859499e-07,True,True,0,0.03,0.015,12,339.6373882209882,0.2401092555346521,58,1
9,C01,1.198,0.19725,0.0,0.0,0.25042015,0.06243977,0.2580871488541717,COMPLETED,,0.237226790625,0.065242504375,2.0243969820517975e-07,2.732959452215191e-22,2.0243969820518001e-07,True,True,0,0.015,0.015,12,344.3962792209932,0.2460348238915773,59,1
10,C02,1.018,0.21275,0.0,0.0,0.09100416,0.08827708,0.1267856458382888,COMPLETED,,0.1018244725,0.0859385383333333,4.570191641286851e-07,2.80907798739269e-20,4.570191641287132e-07,True,True,0,0.06,0.008,12,313.7156940390123,0.1332428443511059,60,1
11,C02,1.018,0.2282499999999999,0.0,0.0,0.09985915,0.07522633,0.1250234000657132,COMPLETED,,0.1159724312499999,0.076398205,1.2634294076282387e-06,3.2885906391315144e-20,1.2634294076282715e-06,True,True,0,0.03,0.008,12,319.0358074060059,0.1388750896930691,61,1
12,C02,1.018,0.24375,0.0,0.0,0.113854885,0.06604198,0.1316224827325621,COMPLETED,,0.128005275625,0.0669990112499999,9.162052963341628e-07,3.7445126355364736e-20,9.162052963342004e-07,True,True,0,0.015,0.03,12,326.4685752800433,0.1444791268533619,62,1
13,C02,1.018,0.25925,0.0,0.0,0.13036141,0.06000539,0.1435086897934762,COMPLETED,,0.1385254725,0.057729999375,7.525268410942029e-07,4.1912013445530216e-20,7.525268410942449e-07,True,True,0,0.06,0.015,12,334.0226953219972,0.1500735131833254,63,1
14,C02,1.018,0.27475,0.0,0.0,0.14706756,0.054082897,0.1566966079794524,COMPLETED,,0.147878106875,0.048584850125,7.801055155745426e-07,4.52488808751188e-20,7.801055155745878e-07,True,True,0,0.015,0.015,12,341.0746833009762,0.1556548173189723,64,1
15,C02,1.018,0.29025,0.0,0.0,0.15988097,0.045205276,0.1661488535812904,COMPLETED,,0.1563002408333333,0.039550979125,1.7426678694490364e-06,4.8607744460426464e-20,1.742667869449085e-06,True,True,0,0.1,0.015,12,348.1019624850014,0.1612266889640304,65,1
16,C02,1.018,0.3057499999999999,0.0,0.0,0.167511,0.031415604,0.1704314386951093,COMPLETED,,0.163966078125,0.0306187289999999,6.981468924810801e-07,5.0351597510195864e-20,6.981468924811305e-07,True,True,0,0.015,0.008,12,357.19026821799343,0.1668004236843212,66,1
17,C02,1.018,0.32125,0.0,0.0,0.17256418,0.015164816,0.1732292350135688,COMPLETED,,0.170991914375,0.0217846076666666,2.18029157494316e-06,5.2613179454963484e-20,2.180291574943212e-06,True,True,0,0.015,0.008,12,367.53969406697433,0.1723740233121508,67,1
18,C02,1.018,0.33675,0.0,0.0,0.1785019,0.0044462993,0.1785572677912472,COMPLETED,,0.177476509375,0.013045126967871,2.9803009574396305e-06,5.3821206562531046e-20,2.9803009574396843e-06,True,True,0,0.015,0.008,12,376.0053137060022,0.1779552941542969,68,1
19,C02,1.018,0.3522499999999999,0.0,0.0,0.18434793,0.0012152703,0.1843519356480613,COMPLETED,,0.1835015758333333,0.0043935534258138,8.289756956131819e-07,5.517680489277332e-20,8.289756956132371e-07,True,True,0,0.1,0.008,12,389.24243586102966,0.1835541654254189,69,1
20,C02,1.054,0.21275,0.0,0.0,0.12856975,0.08264425,0.152840611988846,COMPLETED,,0.1421537343749999,0.081443078125,1.0715155499241782e-06,1.5505549714338618e-20,1.0715155499241936e-06,True,True,0,0.015,0.015,12,322.72541755001293,0.1638311910816524,70,1
21,C02,1.054,0.2282499999999999,0.0,0.0,0.13541466,0.07172208,0.1532357233233882,COMPLETED,,0.1527486443749999,0.07221036125,1.5192978230880157e-06,2.0298090710182584e-20,1.5192978230880358e-06,True,True,0,0.015,0.03,12,328.30699415004347,0.1689570496613139,71,1
22,C02,1.054,0.24375,0.0,0.0,0.14663175,0.0631253,0.1596423302515736,COMPLETED,,0.162188390625,0.063078425,1.8267450060427923e-06,2.4944726209696016e-20,1.826745006042817e-06,True,True,0,0.015,0.008,12,334.5922426309553,0.174022877099559,72,1
23,C02,1.054,0.25925,0.0,0.0,0.16057241,0.05592678,0.1700332425567909,COMPLETED,,0.170679831875,0.0540569883333333,2.6317853437441417e-07,2.9366317086346776e-20,2.631785343744436e-07,True,True,0,0.015,0.008,12,342.0111938009504,0.1790356472788265,73,1
24,C02,1.054,0.27475,0.0,0.0,0.17488927,0.047467325,0.1812164553890968,COMPLETED,,0.1784146606249999,0.0451287833333333,4.241634215193597e-06,3.392791799452203e-20,4.241634215193631e-06,True,True,0,0.015,0.008,12,349.36265209299745,0.1840336877071175,74,1
25,C02,1.054,0.29025,0.0,0.0,0.18575618,0.03581829,0.1891779805017394,COMPLETED,,0.1854827425,0.0362922483333333,8.769127356391492e-07,3.642202837334469e-20,8.769127356391856e-07,True,True,0,0.06,0.008,12,356.4087039420265,0.1889999340063632,75,1
26,C02,1.054,0.3057499999999999,0.0,0.0,0.19503972,0.021735083,0.1962470540178763,COMPLETED,,0.1920123762499999,0.0275423746666666,9.99709001668724e-07,3.987877343579413e-20,9.99709001668764e-07,True,True,0,0.03,0.008,12,364.2900802150252,0.1939776663315924,76,1
27,C02,1.054,0.32125,0.0,0.0,0.20319664,0.010103356,0.2034476647930674,COMPLETED,,0.198069686875,0.0188769343398437,2.130929798606083e-06,4.300420895094056e-20,2.1309297986061263e-06,True,True,0,0.015,0.015,12,373.0140241990448,0.1989671819894711,77,1
28,C02,1.054,0.33675,0.0,0.0,0.20724674,0.003993387,0.2072852102306369,COMPLETED,,0.20371158375,0.010283462305013,2.4356209929196685e-06,4.539561039819599e-20,2.435620992919714e-06,True,True,0,0.03,0.03,12,381.7077544089989,0.2039709757561401,78,1
29,C02,1.054,0.3522499999999999,0.0,0.0,0.20606999,0.0017039592,0.2060770347601968,COMPLETED,,0.2089996774999999,0.0017663119315104,8.667729515895732e-07,3.876062448686861e-20,8.667729515896119e-07,True,True,0,0.06,0.008,12,401.1065325170057,0.209007141152984,79,1
30,C02,1.09,0.21275,0.0,0.0,0.16971107,0.07474113,0.1854402431896102,COMPLETED,,0.173060679375,0.0756213383333333,9.590059316707303e-07,9.281105183188316e-21,9.590059316707398e-07,True,True,0,0.015,0.008,12,329.3292985080043,0.1888612865493111,80,1
31,C02,1.09,0.2282499999999999,0.0,0.0,0.17838024,0.06458775,0.1897131715841578,COMPLETED,,0.182100943125,0.066726421875,9.627847853006163e-07,1.3168069180296731e-20,9.627847853006297e-07,True,True,0,0.015,0.015,12,335.6610255110427,0.1939411479373445,81,1
32,C02,1.09,0.24375,0.0,0.0,0.18696389,0.057164315,0.1955076854585295,COMPLETED,,0.1902744368749999,0.057916268125,1.1987900373760714e-06,1.707503402365208e-20,1.1987900373760886e-06,True,True,0,0.015,0.015,12,340.71046428603586,0.1988935781809589,82,1
33,C02,1.09,0.25925,0.0,0.0,0.19621149,0.050530456,0.2026136120589829,COMPLETED,,0.1977251618749999,0.04918279975,2.0575403865791697e-06,2.0566477612645094e-20,2.0575403865791905e-06,True,True,0,0.015,0.03,12,348.62539033894427,0.2037503065758271,83,1
34,C02,1.09,0.27475,0.0,0.0,0.20671812,0.04247059,0.2110358551319716,COMPLETED,,0.204559916875,0.04053699625,1.3476443169288742e-06,2.457047607175218e-20,1.3476443169288987e-06,True,True,0,0.015,0.03,12,354.7327691499959,0.2085377847222882,84,1
