benchmark_id,mach_index,alpha_index,Mach,alpha,primary_chart,charts,cr,ci,omega_i,point_role,mach_split
31,1,11,1.054,0.2282499999999999,C02,C02,0.0,0.0,0.0,validation,test
32,1,12,1.054,0.24375,C02,C02,0.0,0.0,0.0,validation,test
33,1,13,1.054,0.25925,C02,C02,0.0,0.0,0.0,validation,test
34,1,14,1.054,0.27475,C02,C02,0.0,0.0,0.0,validation,test
35,1,15,1.054,0.29025,C02,C02,0.0,0.0,0.0,validation,test
36,1,16,1.054,0.3057499999999999,C02,C02,0.0,0.0,0.0,validation,test
37,1,17,1.054,0.32125,C02,C02,0.0,0.0,0.0,validation,test
38,1,18,1.054,0.33675,C02,C02,0.0,0.0,0.0,validation,test
39,1,19,1.054,0.3522499999999999,C02,C02,0.0,0.0,0.0,validation,test
40,2,0,1.09,0.05775,C00,C00,0.0,0.0,0.0,validation,test
41,2,1,1.09,0.07325,C00,C00,0.0,0.0,0.0,validation,test
42,2,2,1.09,0.08875,C00,C00,0.0,0.0,0.0,validation,test
43,2,3,1.09,0.10425,C00,C00;C01,0.0,0.0,0.0,validation,test
44,2,4,1.09,0.11975,C01,C01;C00,0.0,0.0,0.0,validation,test
45,2,5,1.09,0.13525,C01,C01,0.0,0.0,0.0,validation,test
46,2,6,1.09,0.15075,C01,C01,0.0,0.0,0.0,validation,test
47,2,7,1.09,0.16625,C01,C01,0.0,0.0,0.0,validation,test
48,2,8,1.09,0.18175,C01,C01,0.0,0.0,0.0,validation,test
49,2,9,1.09,0.19725,C01,C01;C02,0.0,0.0,0.0,validation,test
50,2,10,1.09,0.21275,C02,C02;C01,0.0,0.0,0.0,validation,test
51,2,11,1.09,0.2282499999999999,C02,C02,0.0,0.0,0.0,validation,test
52,2,12,1.09,0.24375,C02,C02,0.0,0.0,0.0,validation,test
53,2,13,1.09,0.25925,C02,C02,0.0,0.0,0.0,validation,test
54,2,14,1.09,0.27475,C02,C02,0.0,0.0,0.0,validation,test
55,2,15,1.09,0.29025,C02,C02,0.0,0.0,0.0,validation,test
56,2,16,1.09,0.3057499999999999,C02,C02,0.0,0.0,0.0,validation,test
57,2,17,1.09,0.32125,C02,C02,0.0,0.0,0.0,validation,test
58,2,18,1.09,0.33675,C02,C02,0.0,0.0,0.0,validation,test
59,2,19,1.09,0.3522499999999999,C02,C02,0.0,0.0,0.0,validation,test
60,3,0,1.126,0.05775,C00,C00,0.0,0.0,0.0,validation,test
61,3,1,1.126,0.07325,C00,C00,0.0,0.0,0.0,validation,test
62,3,2,1.126,0.08875,C00,C00,0.0,0.0,0.0,validation,test
63,3,3,1.126,0.10425,C00,C00;C01,0.0,0.0,0.0,validation,test
64,3,4,1.126,0.11975,C01,C01;C00,0.0,0.0,0.0,validation,test
65,3,5,1.126,0.13525,C01,C01,0.0,0.0,0.0,validation,test
66,3,6,1.126,0.15075,C01,C01,0.0,0.0,0.0,validation,test
67,3,7,1.126,0.16625,C01,C01,0.0,0.0,0.0,validation,test
68,3,8,1.126,0.18175,C01,C01,0.0,0.0,0.0,validation,test
69,3,9,1.126,0.19725,C01,C01;C02,0.0,0.0,0.0,validation,test
70,3,10,1.126,0.21275,C02,C02;C01,0.0,0.0,0.0,validation,test
71,3,11,1.126,0.2282499999999999,C02,C02,0.0,0.0,0.0,validation,test
72,3,12,1.126,0.24375,C02,C02,0.0,0.0,0.0,validation,test
73,3,13,1.126,0.25925,C02,C02,0.0,0.0,0.0,validation,test
74,3,14,1.126,0.27475,C02,C02,0.0,0.0,0.0,validation,test
75,3,15,1.126,0.29025,C02,C02,0.0,0.0,0.0,validation,test
76,3,16,1.126,0.3057499999999999,C02,C02,0.0,0.0,0.0,validation,test
77,3,17,1.126,0.32125,C02,C02,0.0,0.0,0.0,validation,test
78,3,18,1.126,0.33675,C02,C02,0.0,0.0,0.0,validation,test
79,3,19,1.126,0.3522499999999999,C02,C02,0.0,0.0,0.0,validation,test
80,4,0,1.162,0.05775,C00,C00;C10,0.0,0.0,0.0,validation,test
81,4,1,1.162,0.07325,C00,C00;C10,0.0,0.0,0.0,validation,test
82,4,2,1.162,0.08875,C00,C00;C10,0.0,0.0,0.0,validation,test
83,4,3,1.162,0.10425,C00,C00;C10;C01;C11,0.0,0.0,0.0,validation,test
84,4,4,1.162,0.11975,C01,C01;C00;C10;C11,0.0,0.0,0.0,validation,test
85,4,5,1.162,0.13525,C01,C01;C11,0.0,0.0,0.0,validation,test
86,4,6,1.162,0.15075,C01,C01;C11,0.0,0.0,0.0,validation,test
87,4,7,1.162,0.16625,C01,C01;C11,0.0,0.0,0.0,validation,test
88,4,8,1.162,0.18175,C01,C01;C11,0.0,0.0,0.0,validation,test
89,4,9,1.162,0.19725,C01,C01;C02;C11;C12,0.0,0.0,0.0,validation,test
90,4,10,1.162,0.21275,C02,C02;C01;C11;C12,0.0,0.0,0.0,validation,test
91,4,11,1.162,0.2282499999999999,C02,C02;C12,0.0,0.0,0.0,validation,test
92,4,12,1.162,0.24375,C02,C02;C12,0.0,0.0,0.0,validation,test
93,4,13,1.162,0.25925,C02,C02;C12,0.0,0.0,0.0,validation,test
94,4,14,1.162,0.27475,C02,C02;C12,0.0,0.0,0.0,validation,test
95,4,15,1.162,0.29025,C02,C02;C12,0.0,0.0,0.0,validation,test
96,4,16,1.162,0.3057499999999999,C02,C02;C12,0.0,0.0,0.0,validation,test
97,4,17,1.162,0.32125,C02,C02;C12,0.0,0.0,0.0,validation,test
98,4,18,1.162,0.33675,C02,C02;C12,0.0,0.0,0.0,validation,test
99,4,19,1.162,0.3522499999999999,C02,C02;C12,0.0,0.0,0.0,validation,test
100,5,0,1.198,0.05775,C00,C00;C10,0.0,0.0,0.0,validation,test
101,5,1,1.198,0.07325,C00,C00;C10,0.0,0.0,0.0,validation,test
102,5,2,1.198,0.08875,C00,C00;C10,0.0,0.0,0.0,validation,test
103,5,3,1.198,0.10425,C00,C00;C10;C01;C11,0.0,0.0,0.0,validation,test
104,5,4,1.198,0.11975,C01,C01;C11;C00;C10,0.0,0.0,0.0,validation,test
105,5,5,1.198,0.13525,C01,C01;C11,0.0,0.0,0.0,validation,test
106,5,6,1.198,0.15075,C01,C01;C11,0.0,0.0,0.0,validation,test
107,5,7,1.198,0.16625,C01,C01;C11,0.0,0.0,0.0,validation,test
108,5,8,1.198,0.18175,C01,C01;C11,0.0,0.0,0.0,validation,test
109,5,9,1.198,0.19725,C01,C01;C11;C02;C12,0.0,0.0,0.0,validation,test
110,5,10,1.198,0.21275,C02,C02;C12;C01;C11,0.0,0.0,0.0,validation,test
111,5,11,1.198,0.2282499999999999,C02,C02;C12,0.0,0.0,0.0,validation,test
112,5,12,1.198,0.24375,C02,C02;C12,0.0,0.0,0.0,validation,test
113,5,13,1.198,0.25925,C02,C02;C12,0.0,0.0,0.0,validation,test
114,5,14,1.198,0.27475,C02,C02;C12,0.0,0.0,0.0,validation,test
115,5,15,1.198,0.29025,C02,C02;C12,0.0,0.0,0.0,validation,test
116,5,16,1.198,0.3057499999999999,C02,C02;C12,0.0,0.0,0.0,validation,test
117,5,17,1.198,0.32125,C02,C02;C12,0.0,0.0,0.0,validation,test
118,5,18,1.198,0.33675,C02,C02;C12,0.0,0.0,0.0,validation,test
119,5,19,1.198,0.3522499999999999,C02,C02;C12,0.0,0.0,0.0,validation,test
120,6,0,1.234,0.05775,C10,C10;C00,0.0,0.0,0.0,validation,test
121,6,1,1.234,0.07325,C10,C10;C00,0.0,0.0,0.0,validation,test
122,6,2,1.234,0.08875,C10,C10;C00,0.0,0.0,0.0,validation,test
123,6,3,1.234,0.10425,C10,C10;C00;C01;C11,0.0,0.0,0.0,validation,test
124,6,4,1.234,0.11975,C11,C11;C10;C00;C01,0.0,0.0,0.0,validation,test
125,6,5,1.234,0.13525,C11,C11;C01,0.0,0.0,0.0,validation,test
126,6,6,1.234,0.15075,C11,C11;C01,0.0,0.0,0.0,validation,test
127,6,7,1.234,0.16625,C11,C11;C01,0.0,0.0,0.0,validation,test
128,6,8,1.234,0.18175,C11,C11;C01,0.0,0.0,0.0,validation,test
129,6,9,1.234,0.19725,C11,C11;C01;C02;C12,0.0,0.0,0.0,validation,test
130,6,10,1.234,0.21275,C12,C12;C02;C01;C11,0.0,0.0,0.0,validation,test
131,6,11,1.234,0.2282499999999999,C12,C12;C02,0.0,0.0,0.0,validation,test
132,6,12,1.234,0.24375,C12,C12;C02,0.0,0.0,0.0,validation,test
133,6,13,1.234,0.25925,C12,C12;C02,0.0,0.0,0.0,validation,test
134,6,14,1.234,0.27475,C12,C12;C02,0.0,0.0,0.0,validation,test
135,6,15,1.234,0.29025,C12,C12;C02,0.0,0.0,0.0,validation,test
136,6,16,1.234,0.3057499999999999,C12,C12;C02,0.0,0.0,0.0,validation,test
137,6,17,1.234,0.32125,C12,C12;C02,0.0,0.0,0.0,validation,test
138,6,18,1.234,0.33675,C12,C12;C02,0.0,0.0,0.0,validation,test
139,6,19,1.234,0.3522499999999999,C02,C02;C12,0.0,0.0,0.0,validation,test
140,7,0,1.27,0.05775,C10,C10,0.0,0.0,0.0,validation,test
141,7,1,1.27,0.07325,C10,C10,0.0,0.0,0.0,validation,test
142,7,2,1.27,0.08875,C10,C10,0.0,0.0,0.0,validation,test
143,7,3,1.27,0.10425,C10,C10;C11,0.0,0.0,0.0,validation,test
144,7,4,1.27,0.11975,C11,C11;C10,0.0,0.0,0.0,validation,test
145,7,5,1.27,0.13525,C11,C11,0.0,0.0,0.0,validation,test
146,7,6,1.27,0.15075,C11,C11,0.0,0.0,0.0,validation,test
147,7,7,1.27,0.16625,C11,C11,0.0,0.0,0.0,validation,test
148,7,8,1.27,0.18175,C11,C11,0.0,0.0,0.0,validation,test
149,7,9,1.27,0.19725,C11,C11;C12,0.0,0.0,0.0,validation,test
150,7,10,1.27,0.21275,C12,C12;C11,0.0,0.0,0.0,validation,test
151,7,11,1.27,0.2282499999999999,C12,C12,0.0,0.0,0.0,validation,test
152,7,12,1.27,0.24375,C12,C12,0.0,0.0,0.0,validation,test
153,7,13,1.27,0.25925,C12,C12,0.0,0.0,0.0,validation,test
154,7,14,1.27,0.27475,C12,C12,0.0,0.0,0.0,validation,test
155,7,15,1.27,0.29025,C12,C12,0.0,0.0,0.0,validation,test
156,7,16,1.27,0.3057499999999999,C12,C12,0.0,0.0,0.0,validation,test
157,7,17,1.27,0.32125,C12,C12,0.0,0.0,0.0,validation,test
158,7,18,1.27,0.33675,C12,C12,0.0,0.0,0.0,validation,test
159,7,19,1.27,0.3522499999999999,C12,C12,0.0,0.0,0.0,validation,test
160,8,0,1.306,0.05775,C10,C10,0.0,0.0,0.0,validation,test
161,8,1,1.306,0.07325,C10,C10,0.0,0.0,0.0,validation,test
162,8,2,1.306,0.08875,C10,C10,0.0,0.0,0.0,validation,test
163,8,3,1.306,0.10425,C10,C10;C11,0.0,0.0,0.0,validation,test
164,8,4,1.306,0.11975,C11,C11;C10,0.0,0.0,0.0,validation,test
165,8,5,1.306,0.13525,C11,C11,0.0,0.0,0.0,validation,test
166,8,6,1.306,0.15075,C11,C11,0.0,0.0,0.0,validation,test
167,8,7,1.306,0.16625,C11,C11,0.0,0.0,0.0,validation,test
168,8,8,1.306,0.18175,C11,C11,0.0,0.0,0.0,validation,test
169,8,9,1.306,0.19725,C11,C11;C12,0.0,0.0,0.0,validation,test
170,8,10,1.306,0.21275,C12,C12;C11,0.0,0.0,0.0,validation,test
171,8,11,1.306,0.2282499999999999,C12,C12,0.0,0.0,0.0,validation,test
172,8,12,1.306,0.24375,C12,C12,0.0,0.0,0.0,validation,test
173,8,13,1.306,0.25925,C12,C12,0.0,0.0,0.0,validation,test
174,8,14,1.306,0.27475,C12,C12,0.0,0.0,0.0,validation,test
175,8,15,1.306,0.29025,C12,C12,0.0,0.0,0.0,validation,test
176,8,16,1.306,0.3057499999999999,C12,C12,0.0,0.0,0.0,validation,test
177,8,17,1.306,0.32125,C12,C12,0.0,0.0,0.0,validation,test
178,8,18,1.306,0.33675,C12,C12,0.0,0.0,0.0,validation,test
179,8,19,1.306,0.3522499999999999,C12,C12,0.0,0.0,0.0,validation,test
180,9,0,1.342,0.05775,C10,C10,0.0,0.0,0.0,validation,test
181,9,1,1.342,0.07325,C10,C10,0.0,0.0,0.0,validation,test
182,9,2,1.342,0.08875,C10,C10,0.0,0.0,0.0,validation,test
183,9,3,1.342,0.10425,C10,C10;C11,0.0,0.0,0.0,validation,test
184,9,4,1.342,0.11975,C11,C11;C10,0.0,0.0,0.0,validation,test
185,9,5,1.342,0.13525,C11,C11,0.0,0.0,0.0,validation,test
186,9,6,1.342,0.15075,C11,C11,0.0,0.0,0.0,validation,test
187,9,7,1.342,0.16625,C11,C11,0.0,0.0,0.0,validation,test
188,9,8,1.342,0.18175,C11,C11,0.0,0.0,0.0,validation,test
189,9,9,1.342,0.19725,C11,C11;C12,0.0,0.0,0.0,validation,test
190,9,10,1.342,0.21275,C12,C12;C11,0.0,0.0,0.0,validation,test
191,9,11,1.342,0.2282499999999999,C12,C12,0.0,0.0,0.0,validation,test
192,9,12,1.342,0.24375,C12,C12,0.0,0.0,0.0,validation,test
193,9,13,1.342,0.25925,C12,C12,0.0,0.0,0.0,validation,test
194,9,14,1.342,0.27475,C12,C12,0.0,0.0,0.0,validation,test
195,9,15,1.342,0.29025,C12,C12,0.0,0.0,0.0,validation,test
196,9,16,1.342,0.3057499999999999,C12,C12,0.0,0.0,0.0,validation,test
197,9,17,1.342,0.32125,C12,C12,0.0,0.0,0.0,validation,test
198,9,18,1.342,0.33675,C12,C12,0.0,0.0,0.0,validation,test
199,9,19,1.342,0.3522499999999999,C12,C12,0.0,0.0,0.0,validation,test
200,10,0,1.378,0.05775,C10,C10;C20,0.0,0.0,0.0,validation,test
201,10,1,1.378,0.07325,C10,C10;C20,0.0,0.0,0.0,validation,test
202,10,2,1.378,0.08875,C10,C10;C20,0.0,0.0,0.0,validation,test
203,10,3,1.378,0.10425,C10,C10;C20;C11;C21,0.0,0.0,0.0,validation,test
204,10,4,1.378,0.11975,C11,C11;C10;C20;C21,0.0,0.0,0.0,validation,test
205,10,5,1.378,0.13525,C11,C11;C21,0.0,0.0,0.0,validation,test
206,10,6,1.378,0.15075,C11,C11;C21,0.0,0.0,0.0,validation,test
207,10,7,1.378,0.16625,C11,C11;C21,0.0,0.0,0.0,validation,test
208,10,8,1.378,0.18175,C11,C11;C21,0.0,0.0,0.0,validation,test
209,10,9,1.378,0.19725,C11,C11;C21;C12;C22,0.0,0.0,0.0,validation,test
210,10,10,1.378,0.21275,C12,C12;C22;C11;C21,0.0,0.0,0.0,validation,test
211,10,11,1.378,0.2282499999999999,C12,C12;C22,0.0,0.0,0.0,validation,test
212,10,12,1.378,0.24375,C12,C12;C22,0.0,0.0,0.0,validation,test
213,10,13,1.378,0.25925,C12,C12;C22,0.0,0.0,0.0,validation,test
214,10,14,1.378,0.27475,C12,C12;C22,0.0,0.0,0.0,validation,test
215,10,15,1.378,0.29025,C12,C12;C22,0.0,0.0,0.0,validation,test
216,10,16,1.378,0.3057499999999999,C12,C12;C22,0.0,0.0,0.0,validation,test
217,10,17,1.378,0.32125,C12,C12;C22,0.0,0.0,0.0,validation,test
218,10,18,1.378,0.33675,C12,C12;C22,0.0,0.0,0.0,validation,test
219,10,19,1.378,0.3522499999999999,C12,C12;C22,0.0,0.0,0.0,validation,test
220,11,0,1.414,0.05775,C10,C10;C20,0.0,0.0,0.0,validation,test
221,11,1,1.414,0.07325,C20,C20;C10,0.0,0.0,0.0,validation,test
222,11,2,1.414,0.08875,C20,C20;C10,0.0,0.0,0.0,validation,test
223,11,3,1.414,0.10425,C20,C20;C10;C11;C21,0.0,0.0,0.0,validation,test
224,11,4,1.414,0.11975,C21,C21;C20;C10;C11,0.0,0.0,0.0,validation,test
225,11,5,1.414,0.13525,C21,C21;C11,0.0,0.0,0.0,validation,test
226,11,6,1.414,0.15075,C21,C21;C11,0.0,0.0,0.0,validation,test
227,11,7,1.414,0.16625,C21,C21;C11,0.0,0.0,0.0,validation,test
228,11,8,1.414,0.18175,C21,C21;C11,0.0,0.0,0.0,validation,test
229,11,9,1.414,0.19725,C21,C21;C11;C12;C22,0.0,0.0,0.0,validation,test
230,11,10,1.414,0.21275,C22,C22;C12;C11;C21,0.0,0.0,0.0,validation,test
231,11,11,1.414,0.2282499999999999,C22,C22;C12,0.0,0.0,0.0,validation,test
232,11,12,1.414,0.24375,C22,C22;C12,0.0,0.0,0.0,validation,test
233,11,13,1.414,0.25925,C22,C22;C12,0.0,0.0,0.0,validation,test
234,11,14,1.414,0.27475,C22,C22;C12,0.0,0.0,0.0,validation,test
235,11,15,1.414,0.29025,C22,C22;C12,0.0,0.0,0.0,validation,test
236,11,16,1.414,0.3057499999999999,C22,C22;C12,0.0,0.0,0.0,validation,test
237,11,17,1.414,0.32125,C22,C22;C12,0.0,0.0,0.0,validation,test
238,11,18,1.414,0.33675,C22,C22;C12,0.0,0.0,0.0,validation,test
239,11,19,1.414,0.3522499999999999,C12,C12;C22,0.0,0.0,0.0,validation,test
240,12,0,1.45,0.05775,C20,C20;C10,0.0,0.0,0.0,validation,test
241,12,1,1.45,0.07325,C20,C20;C10,0.0,0.0,0.0,validation,test
242,12,2,1.45,0.08875,C20,C20;C10,0.0,0.0,0.0,validation,test
243,12,3,1.45,0.10425,C20,C20;C21;C10;C11,0.0,0.0,0.0,validation,test
244,12,4,1.45,0.11975,C21,C21;C20;C10;C11,0.0,0.0,0.0,validation,test
245,12,5,1.45,0.13525,C21,C21;C11,0.0,0.0,0.0,validation,test
246,12,6,1.45,0.15075,C21,C21;C11,0.0,0.0,0.0,validation,test
247,12,7,1.45,0.16625,C21,C21;C11,0.0,0.0,0.0,validation,test
248,12,8,1.45,0.18175,C21,C21;C11,0.0,0.0,0.0,validation,test
249,12,9,1.45,0.19725,C21,C21;C22;C11;C12,0.0,0.0,0.0,validation,test
250,12,10,1.45,0.21275,C22,C22;C21;C11;C12,0.0,0.0,0.0,validation,test
251,12,11,1.45,0.2282499999999999,C22,C22;C12,0.0,0.0,0.0,validation,test
252,12,12,1.45,0.24375,C22,C22;C12,0.0,0.0,0.0,validation,test
253,12,13,1.45,0.25925,C22,C22;C12,0.0,0.0,0.0,validation,test
254,12,14,1.45,0.27475,C22,C22;C12,0.0,0.0,0.0,validation,test
255,12,15,1.45,0.29025,C22,C22;C12,0.0,0.0,0.0,validation,test
256,12,16,1.45,0.3057499999999999,C22,C22;C12,0.0,0.0,0.0,validation,test
257,12,17,1.45,0.32125,C22,C22;C12,0.0,0.0,0.0,validation,test
258,12,18,1.45,0.33675,C22,C22;C12,0.0,0.0,0.0,validation,test
259,12,19,1.45,0.3522499999999999,C22,C22;C12,0.0,0.0,0.0,validation,test
260,13,0,1.486,0.05775,C20,C20,0.0,0.0,0.0,validation,test
261,13,1,1.486,0.07325,C20,C20,0.0,0.0,0.0,validation,test
262,13,2,1.486,0.08875,C20,C20,0.0,0.0,0.0,validation,test
263,13,3,1.486,0.10425,C20,C20;C21,0.0,0.0,0.0,validation,test
264,13,4,1.486,0.11975,C21,C21;C20,0.0,0.0,0.0,validation,test
265,13,5,1.486,0.13525,C21,C21,0.0,0.0,0.0,validation,test
266,13,6,1.486,0.15075,C21,C21,0.0,0.0,0.0,validation,test
267,13,7,1.486,0.16625,C21,C21,0.0,0.0,0.0,validation,test
268,13,8,1.486,0.18175,C21,C21,0.0,0.0,0.0,validation,test
269,13,9,1.486,0.19725,C21,C21;C22,0.0,0.0,0.0,validation,test
270,13,10,1.486,0.21275,C22,C22;C21,0.0,0.0,0.0,validation,test
271,13,11,1.486,0.2282499999999999,C22,C22,0.0,0.0,0.0,validation,test
272,13,12,1.486,0.24375,C22,C22,0.0,0.0,0.0,validation,test
273,13,13,1.486,0.25925,C22,C22,0.0,0.0,0.0,validation,test
274,13,14,1.486,0.27475,C22,C22,0.0,0.0,0.0,validation,test
275,13,15,1.486,0.29025,C22,C22,0.0,0.0,0.0,validation,test
276,13,16,1.486,0.3057499999999999,C22,C22,0.0,0.0,0.0,validation,test
277,13,17,1.486,0.32125,C22,C22,0.0,0.0,0.0,validation,test
278,13,18,1.486,0.33675,C22,C22,0.0,0.0,0.0,validation,test
279,13,19,1.486,0.3522499999999999,C22,C22,0.0,0.0,0.0,validation,test
280,14,0,1.522,0.05775,C20,C20,0.0,0.0,0.0,validation,test
281,14,1,1.522,0.07325,C20,C20,0.0,0.0,0.0,validation,test
282,14,2,1.522,0.08875,C20,C20,0.0,0.0,0.0,validation,test
283,14,3,1.522,0.10425,C20,C20;C21,0.0,0.0,0.0,validation,test
284,14,4,1.522,0.11975,C21,C21;C20,0.0,0.0,0.0,validation,test
285,14,5,1.522,0.13525,C21,C21,0.0,0.0,0.0,validation,test
286,14,6,1.522,0.15075,C21,C21,0.0,0.0,0.0,validation,test
287,14,7,1.522,0.16625,C21,C21,0.0,0.0,0.0,validation,test
288,14,8,1.522,0.18175,C21,C21,0.0,0.0,0.0,validation,test
289,14,9,1.522,0.19725,C21,C21;C22,0.0,0.0,0.0,validation,test
290,14,10,1.522,0.21275,C22,C22;C21,0.0,0.0,0.0,validation,test
291,14,11,1.522,0.2282499999999999,C22,C22,0.0,0.0,0.0,validation,test
292,14,12,1.522,0.24375,C22,C22,0.0,0.0,0.0,validation,test
293,14,13,1.522,0.25925,C22,C22,0.0,0.0,0.0,validation,test
294,14,14,1.522,0.27475,C22,C22,0.0,0.0,0.0,validation,test
295,14,15,1.522,0.29025,C22,C22,0.0,0.0,0.0,validation,test
296,14,16,1.522,0.3057499999999999,C22,C22,0.0,0.0,0.0,validation,test
297,14,17,1.522,0.32125,C22,C22,0.0,0.0,0.0,validation,test
298,14,18,1.522,0.33675,C22,C22,0.0,0.0,0.0,validation,test
299,14,19,1.522,0.3522499999999999,C22,C22,0.0,0.0,0.0,validation,test
300,15,0,1.558,0.05775,C20,C20;C30,0.0,0.0,0.0,validation,test
301,15,1,1.558,0.07325,C20,C20;C30,0.0,0.0,0.0,validation,test
302,15,2,1.558,0.08875,C20,C20;C30,0.0,0.0,0.0,validation,test
303,15,3,1.558,0.10425,C20,C20;C21;C30;C31,0.0,0.0,0.0,validation,test
304,15,4,1.558,0.11975,C21,C21;C20;C30;C31,0.0,0.0,0.0,validation,test
305,15,5,1.558,0.13525,C21,C21;C31,0.0,0.0,0.0,validation,test
306,15,6,1.558,0.15075,C21,C21;C31,0.0,0.0,0.0,validation,test
307,15,7,1.558,0.16625,C21,C21;C31,0.0,0.0,0.0,validation,test
308,15,8,1.558,0.18175,C21,C21;C31,0.0,0.0,0.0,validation,test
309,15,9,1.558,0.19725,C21,C21;C22;C31;C32,0.0,0.0,0.0,validation,test
310,15,10,1.558,0.21275,C22,C22;C21;C31;C32,0.0,0.0,0.0,validation,test
311,15,11,1.558,0.2282499999999999,C22,C22;C32,0.0,0.0,0.0,validation,test
312,15,12,1.558,0.24375,C22,C22;C32,0.0,0.0,0.0,validation,test
313,15,13,1.558,0.25925,C22,C22;C32,0.0,0.0,0.0,validation,test
314,15,14,1.558,0.27475,C22,C22;C32,0.0,0.0,0.0,validation,test
315,15,15,1.558,0.29025,C22,C22;C32,0.0,0.0,0.0,validation,test
316,15,16,1.558,0.3057499999999999,C22,C22;C32,0.0,0.0,0.0,validation,test
317,15,17,1.558,0.32125,C22,C22;C32,0.0,0.0,0.0,validation,test
318,15,18,1.558,0.33675,C22,C22;C32,0.0,0.0,0.0,validation,test
319,15,19,1.558,0.3522499999999999,C22,C22;C32,0.0,0.0,0.0,validation,test
320,16,0,1.594,0.05775,C20,C20;C30,0.0,0.0,0.0,validation,test
321,16,1,1.594,0.07325,C20,C20;C30,0.0,0.0,0.0,validation,test
322,16,2,1.594,0.08875,C20,C20;C30,0.0,0.0,0.0,validation,test
323,16,3,1.594,0.10425,C20,C20;C30;C21;C31,0.0,0.0,0.0,validation,test
324,16,4,1.594,0.11975,C21,C21;C20;C30;C31,0.0,0.0,0.0,validation,test
325,16,5,1.594,0.13525,C21,C21;C31,0.0,0.0,0.0,validation,test
326,16,6,1.594,0.15075,C21,C21;C31,0.0,0.0,0.0,validation,test
327,16,7,1.594,0.16625,C21,C21;C31,0.0,0.0,0.0,validation,test
328,16,8,1.594,0.18175,C21,C21;C31,0.0,0.0,0.0,validation,test
329,16,9,1.594,0.19725,C21,C21;C31;C22;C32,0.0,0.0,0.0,validation,test
330,16,10,1.594,0.21275,C22,C22;C32;C21;C31,0.0,0.0,0.0,validation,test
331,16,11,1.594,0.2282499999999999,C22,C22;C32,0.0,0.0,0.0,validation,test
332,16,12,1.594,0.24375,C22,C22;C32,0.0,0.0,0.0,validation,test
333,16,13,1.594,0.25925,C22,C22;C32,0.0,0.0,0.0,validation,test
334,16,14,1.594,0.27475,C22,C22;C32,0.0,0.0,0.0,validation,test
335,16,15,1.594,0.29025,C22,C22;C32,0.0,0.0,0.0,validation,test
336,16,16,1.594,0.3057499999999999,C22,C22;C32,0.0,0.0,0.0,validation,test
337,16,17,1.594,0.32125,C22,C22;C32,0.0,0.0,0.0,validation,test
338,16,18,1.594,0.33675,C22,C22;C32,0.0,0.0,0.0,validation,test
