t401_row,test_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
361,361,C31,1.75,0.145,0.4507527496767314,0.0232075905536416,0.45244437,0.021287236,COMPLETED,True,0.31157102811480075,False,10,5,0.9,0.002,0.7614583333333332,1e-06,4.4574088410956584e-08,2.718225700157142e-19,4.457408841122841e-08,0,12,12,12,16,587.2942722182488
362,362,C31,1.75,0.155,0.454210275656528,0.0210935694595094,0.4550853,0.020459019,COMPLETED,True,0.307971208772141,False,9,5,0.9,0.002,0.7614583333333332,1e-06,3.54662676144447e-08,3.3558044700914485e-19,3.5466267614780276e-08,0,12,12,12,18,675.7418589511653
363,363,C31,1.75,0.165,0.4574793931424895,0.018828570909226,0.45650417,0.019669203,COMPLETED,True,0.3045594074403704,False,11,2,0.9,0.0001,0.7614583333333332,3.3981770833333326e-05,4.973302895215442e-08,2.192126236156629e-19,4.973302895237363e-08,0,12,12,12,15,570.5576985432999
364,364,C31,1.75,0.17,0.4590486458589695,0.0176460441250757,0.45713094,0.018925175,COMPLETED,True,0.30292402786923034,False,10,2,0.9,0.0001,0.7614583333333332,1e-06,4.573602642094963e-08,2.5954228206870633e-19,4.573602642120917e-08,0,12,12,11,20,849.9156520511024
365,365,C31,1.75,0.18,0.4620662827835929,0.0151923791554015,0.45905182,0.016372679,COMPLETED,True,0.29977675230361855,False,9,2,0.9,0.0001,0.7614583333333332,1.0110243055555556e-05,5.166007825766468e-08,1.765739063119606e-19,5.1660078257841255e-08,0,12,12,12,19,854.4759294888936
366,366,C31,1.75,0.195,0.4663168174173413,0.0113198117294429,0.46244425,0.011369861,COMPLETED,True,0.2953571360994001,False,11,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,5.908435622341501e-08,1.3788107961099966e-19,5.908435622355289e-08,0,12,12,11,17,842.1450388798257
367,367,C31,1.75,0.205,0.4689848747690122,0.0086298225268226,0.45913112,0.009061165,COMPLETED,True,0.2926001657800833,False,10,5,0.9,0.002,0.7614583333333332,1.9767361111111112e-05,5.926759906389927e-08,1.157734210219891e-19,5.9267599064015044e-08,0,12,12,11,23,952.1442891458282
368,368,C31,1.8,0.12,0.4570139296353342,0.0247637524176646,0.4528746,0.027071936,COMPLETED,True,0.3054498139634869,False,9,5,0.9,0.002,0.7614583333333332,1e-06,3.2608961147325653e-08,3.118874304392852e-19,3.260896114763754e-08,0,12,12,12,12,427.21234189288225
369,369,C31,1.8,0.13,0.460766570274683,0.0232401554047952,0.4597941,0.022420308,COMPLETED,True,0.30158591291048237,False,11,2,0.9,0.0001,0.7614583333333332,3.398177083333332e-05,3.8980030881188186e-08,3.452865097071665e-19,3.898003088153347e-08,0,12,12,12,13,484.17973568395246
370,370,C31,1.8,0.145,0.4660029490764631,0.0205562890486093,0.47012734,0.019005237,COMPLETED,True,0.29616569318745495,False,10,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,4.78976782368533e-08,2.8784435340330013e-19,4.789767823714115e-08,0,12,12,12,16,590.8784602066735
371,371,C31,1.8,0.16,0.4708206894052918,0.017481000149528,0.4757244,0.017579768,COMPLETED,True,0.29116227788325716,False,9,2,0.9,0.0001,0.7614583333333332,1.0110243055555556e-05,4.4795514743710535e-08,2.3895507154847197e-19,4.479551474394949e-08,0,12,12,12,19,717.3574377131881
372,372,C31,1.8,0.17,0.4738261942242381,0.0152523837741779,0.4768158,0.016113656,COMPLETED,True,0.28803434597764926,False,11,5,0.9,0.002,0.7614583333333332,3.604340277777778e-05,5.1023583524420667e-08,2.0772434940163417e-19,5.102358352462839e-08,0,12,12,12,18,691.5211390061304
373,373,C31,1.8,0.18,0.476682986410943,0.0129033521196374,0.47735962,0.013435091,COMPLETED,True,0.2850674813179975,False,10,5,0.9,0.002,0.7614583333333332,1e-06,4.8703935698582634e-08,1.7748723098343676e-19,4.870393569876012e-08,0,12,12,11,22,847.9844611064764
