condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,16,C00,1.15,0.06,9,generic,1,0.5,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.0041078124999999995,0.002370178914695268,2.485296099787104e-19,0.0023701789146952684,True,True,True,0.19984487911379564,31.51156195998192,16,16
generic,16,C00,1.15,0.06,10,generic,2,0.9,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,5.668576388888889e-05,2.1939415958347045e-08,6.584792402659816e-19,2.1939415959005523e-08,True,True,True,0.13854167343763701,21.977345361956395,16,16
generic,16,C00,1.15,0.06,11,generic,3,0.1,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.006461588541666666,0.04791884765624998,0.002378425246143628,4.7085037540512985e-22,0.002378425246143628,True,True,True,0.104201607416711,23.171644623973407,16,16
generic,17,C00,1.15,0.075,0,generic,5,0.9,0.002,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.00074630859375,0.023687127449589777,5.435209221886161e-19,0.023687127449589777,True,True,True,0.05246371193430442,76.70620663790032,17,17
generic,17,C00,1.15,0.075,1,generic,0,0.1,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.07002929687500004,0.022585351562499995,0.007201709245838745,3.05341452865886e-22,0.007201709245838745,True,True,True,0.03746777389565737,25.46455750707537,17,17
generic,17,C00,1.15,0.075,2,generic,1,0.5,0.0001,0.015,0.03,COMPLETED,,0,0.015,0.03,0.5299707031249998,0.028547265624999995,0.01442460826271321,1.434676097713806e-20,0.01442460826271321,True,True,True,0.04132178562630348,30.33208535599988,17,17
generic,17,C00,1.15,0.075,3,generic,2,0.9,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.0006148450520833335,0.017897435353186376,5.477907103076968e-19,0.017897435353186376,True,True,True,0.0599436172470032,39.27682380203623,17,17
generic,17,C00,1.15,0.075,4,generic,3,0.1,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.040058593750000024,0.025433496093749994,0.0064185261087247505,2.6421050164745664e-22,0.0064185261087247505,True,True,True,0.06435915569989505,25.20339560706634,17,17
generic,17,C00,1.15,0.075,5,generic,4,0.5,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.5599414062499999,0.018573339843750005,0.012951924026934604,2.066045923954493e-20,0.012951924026934604,True,True,True,0.06219041547380076,31.09726255305577,17,17
generic,17,C00,1.15,0.075,6,generic,5,0.9,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,9.72802734375e-06,0.0005060310232502301,2.001117714941179e-14,0.0005060310232702413,True,True,True,0.11989933242280894,39.488796181976795,17,17
generic,17,C00,1.15,0.075,7,generic,0,0.1,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.02839843750000001,0.022585351562499995,0.006592576289886592,1.8249831614354028e-22,0.006592576289886592,True,True,True,0.07504914914461473,25.17689561401494,17,17
generic,17,C00,1.15,0.075,8,generic,1,0.5,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.6198828124999999,0.006574609375,0.009109293799135863,7.675593024093708e-20,0.009109293799135863,True,True,True,0.1200575249597832,32.559973084018566,17,17
generic,17,C00,1.15,0.075,9,generic,2,0.9,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,3.136747685185185e-05,2.4615064207922004e-08,5.721158483366208e-19,2.461506420849412e-08,True,True,True,0.13854168366668945,23.50938528298866,17,17
generic,17,C00,1.15,0.075,10,generic,3,0.1,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.028417968749999998,0.025433496093749994,0.006375849867029407,2.339740019423335e-22,0.006375849867029407,True,True,True,0.07532008986354022,25.037226499058306,17,17
generic,17,C00,1.15,0.075,11,generic,4,0.5,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.6998046874999995,0.0007826278211805555,0.0029485987947423186,5.2822397096522e-19,0.002948598794742319,True,True,True,0.19980839607482517,34.7025066280039,17,17
generic,18,C00,1.15,0.08,0,generic,0,0.1,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.07002929687500004,0.0120921875,0.008953142457417419,9.165525656602977e-23,0.008953142457417419,True,True,True,0.03228088609133955,26.4601359940134,18,18
generic,18,C00,1.15,0.08,1,generic,1,0.5,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.022585351562499995,0.015336339309080065,1.54135591625028e-20,0.015336339309080065,True,True,True,0.03746777389565726,31.654676764970645,18,18
generic,18,C00,1.15,0.08,2,generic,2,0.9,0.0001,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.8475512695312502,0.0007256223958333332,0.025286636475144796,5.172649762339441e-19,0.025286636475144796,True,True,True,0.052452461631135476,75.02519476099405,18,18
generic,18,C00,1.15,0.08,3,generic,3,0.1,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.040058593750000024,0.014940332031249998,0.008223398689060196,1.0069399563019863e-22,0.008223398689060196,True,True,True,0.06132229917661708,26.052073123981245,18,18
generic,18,C00,1.15,0.08,4,generic,4,0.5,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.01851285807291667,0.01377353388726129,1.8754574578136637e-20,0.01377353388726129,True,True,True,0.06217432480504967,31.844672403065488,18,18
generic,18,C00,1.15,0.08,5,generic,5,0.9,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,0.0006011182725694445,0.019105537435964142,5.212599749820914e-19,0.019105537435964142,True,True,True,0.059957727219391035,39.20329849794507,18,18
generic,18,C00,1.15,0.08,6,generic,0,0.1,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.03449218750000001,0.0120921875,0.008449647630070486,5.435772364056308e-23,0.008449647630070486,True,True,True,0.06659644179361471,26.174624032108113,18,18
generic,18,C00,1.15,0.08,7,generic,1,0.5,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.0076146484375000005,0.00969937392796755,5.735300601199602e-20,0.00969937392796755,True,True,True,0.1201181030238546,32.78972994897049,18,18
generic,18,C00,1.15,0.08,8,generic,2,0.9,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,8.157502350983799e-06,0.0005361720923435132,2.2144747811236249e-16,0.0005361720923437346,True,True,True,0.11988284768036866,39.22387294098735,18,18
generic,18,C00,1.15,0.08,9,generic,3,0.1,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.03473307291666667,0.014940332031249998,0.00821362715415644,9.055318238269528e-23,0.00821362715415644,True,True,True,0.06653738771533,25.901667127967812,18,18
generic,18,C00,1.15,0.08,10,generic,4,0.5,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6998046874999995,0.002933170572916668,0.0031469847846534557,2.465843081876995e-19,0.003146984784653456,True,True,True,0.19980686663448433,34.03305534797255,18,18
generic,18,C00,1.15,0.08,11,generic,5,0.9,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,0.00011781134259259261,4.3676391995375147e-08,5.434253256630608e-19,4.367639199591857e-08,True,True,True,0.1385544515232906,22.887446579989046,18,18
generic,19,C00,1.15,0.09,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.0120921875,0.017186061630077555,2.0875235592706427e-20,0.017186061630077555,True,True,True,0.032280886091339424,32.639970808057114,19,19
