chart_id,field_family,n_interior,n_active,active_fraction,active_threshold_fraction,ode_rms_abs,ode_term_qprime_rms,ode_term_Pq_rms,ode_term_alpha2Rp_rms,ode_scale_rms_sum,ode_norm,compat_rms_abs,compat_term_pprime_rms,compat_term_q_rms,compat_scale_rms_sum,compat_norm,checkpoint,best_epoch
HM1_NEUTRAL1,pq_etaaware,4096,1789,0.436767578125,0.05,0.004431769326408177,0.06851821620117923,0.12231423658973431,0.06703937975566078,0.2578718325465743,0.017185938001226846,0.0002503238468874235,0.10852536616647067,0.10851539002359374,0.2170407561900644,0.0011533494965720302,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_NEUTRAL1/model_best.pt,24811
HM1_NEUTRAL2,pq_etaaware,4096,1835,0.447998046875,0.05,0.003759005611156544,0.08195028356883571,0.1598377158228309,0.09367142584740808,0.3354594252390747,0.01120554477930552,0.00027683189892538845,0.1199127531221183,0.11991871809442717,0.23983147121654547,0.0011542767824471003,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_NEUTRAL2/model_best.pt,24523
HM1_NEUTRAL3,pq_etaaware,4096,1709,0.417236328125,0.05,0.0027545925597808225,0.0936481866298195,0.19129607342381869,0.1160914385890752,0.4010356986427134,0.006868696649958128,0.0004040030065441539,0.1304224986499039,0.13041677610062283,0.2608392747505267,0.0015488580350123753,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_NEUTRAL3/model_best.pt,23892
HM1_VLOW_EXTREME,pQscaled,4096,3427,0.836669921875,0.05,0.001759739138656707,0.001101162718347693,0.000862215435442621,0.001513629083687651,0.003477007237477965,0.5061074132054806,4.490034968436676e-05,0.013228046761512275,0.013225693466881351,0.026453740228393627,0.0016973157404854915,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_VLOW_EXTREME/model_best.pt,25249
HM1_VLOW_MOD,pQscaled,4096,2441,0.595947265625,0.05,0.0011617985129694342,0.015923354377591466,0.018742606298638446,0.005571887134744304,0.04023784781097422,0.02887327668286902,0.00011874361225727308,0.041795677610782185,0.04179890055429082,0.08359457816507301,0.0014204702609156275,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM1_VLOW_MOD/model_best.pt,29846
HM2_HIGH,pq_etaaware,4096,2354,0.57470703125,0.05,0.003147539602647846,0.026346171214819466,0.03793151700340703,0.016323134141619386,0.08060082235984588,0.03905096139832815,0.00015039268875400699,0.062448905259938285,0.06244748525398446,0.12489639051392275,0.0012041395923066492,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_HIGH/model_best.pt,24692
HM2_LOW,pq_etaaware,4096,3975,0.970458984375,0.05,0.0043291883010337165,0.008046378788182347,0.010929622110722024,0.004952245769009426,0.023928246667913797,0.18092375764576485,0.0002021430021948608,0.03016446426066033,0.030152667730231602,0.060317131990891934,0.0033513364366426607,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_LOW/model_best.pt,24811
HM2_MID,pq_etaaware,4096,1663,0.406005859375,0.05,0.0039904129966513305,0.023394221524228136,0.030243280537523023,0.011421765399697154,0.06505926746144831,0.061335043451202394,0.00019309463900223794,0.0598707762723514,0.05986795034001868,0.11973872661237009,0.0016126331427203397,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_MID/model_best.pt,23590
HM2_NEUTRAL1,pq_etaaware,4096,2156,0.5263671875,0.05,0.004009019888369677,0.02860191255800817,0.04641148374376813,0.022302324133069637,0.09731572043484593,0.04119601509864755,0.0002009830393215438,0.06558817656489711,0.06558203506159192,0.13117021162648904,0.0015322308078136583,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_NEUTRAL1/model_best.pt,24142
HM2_NEUTRAL2,pq_etaaware,4096,2581,0.630126953125,0.05,0.004039061434339323,0.029121749154910323,0.05416377262974043,0.028891505947286678,0.11217702773193744,0.036006137049657085,0.00024106149189461387,0.06451471699133993,0.06449872783355998,0.1290134448248999,0.001868498994207838,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_NEUTRAL2/model_best.pt,24811
HM2_NEUTRAL3,pq_etaaware,4096,3085,0.753173828125,0.05,0.00371669537616467,0.029805093302665637,0.05927775765381705,0.03319957034145167,0.12228242129793436,0.030394355433224104,0.000286601153391339,0.062125917663527624,0.062125954606813694,0.12425187227034132,0.0023066143644722378,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_NEUTRAL3/model_best.pt,24680
HM2_VLOW_EXTREME,pQscaled,4096,3529,0.861572265625,0.05,0.0008720622832116331,0.0003530434736754324,0.00017704708855503402,0.0007800122631608238,0.00131010282539129,0.6656441512147515,1.848845369044784e-05,0.008104333788049355,0.008103002096982918,0.016207335885032273,0.0011407460067216978,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_VLOW_EXTREME/model_best.pt,29076
HM2_VLOW_MOD,pQscaled,4096,3232,0.7890625,0.05,0.0025142539162986734,0.003311391132619665,0.003812152043284156,0.0024485912101607464,0.009572134386064567,0.26266387567218114,8.468773938967043e-05,0.020238204644136955,0.02023500664002647,0.040473211284163424,0.0020924393370982033,assets/pinn_subsonic/joint_ci_mode_atlas_v2/HM2_VLOW_MOD/model_best.pt,28712
LMEDGE_HIGH,pq_etaaware,4096,1532,0.3740234375,0.05,0.0009696768959611813,0.1801663801135996,0.3028164407601333,0.17608440968744163,0.6590672305611746,0.0014712867686283424,0.0001087410548305854,0.1970501851553751,0.19705499010811126,0.3941051752634863,0.00027591887053471083,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_HIGH/model_best.pt,39792
LMEDGE_LOW,pq_etaaware,4096,1363,0.332763671875,0.05,0.000792843978428978,0.06100482461107234,0.08014184899160688,0.03450481740694949,0.1756514910096287,0.004513733267345374,0.00010565142749137419,0.09374590830506864,0.09374003698078656,0.18748594528585522,0.0005635165202932415,assets/pinn_subsonic/joint_ci_mode_atlas_v2/LMEDGE_LOW/model_best.pt,39792
