status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit,p_rel_l2_core40,u_rel_l2_core40,v_rel_l2_core40,oracle_p_rel_l2_core40,oracle_u_rel_l2_core40,oracle_v_rel_l2_core40,retry_required
COMPLETED,,1.15,0.11,0.132791163489221,0.1220783521564731,0.13648122549057,0.1074278876185417,0.0151080332522464,0.09648122549057,0.17648122549057,0.0774278876185417,0.1374278876185417,False,Maximum number of function evaluations has been exceeded.,0.1327911477627879,0.1220783423138194,1.855258813874524e-08,0.0151080275488053,0.0017892796577846,2.1482347973590543e-09,832906.9336295448,0.173674888908863,13.573733432218432,80,81,2,1.5212804050734131e-05,8.839770294216528e-06,1.691688188399002e-05,1.52084050110945e-05,8.841554449777562e-06,1.6904676783534806e-05,False
COMPLETED,,1.15,0.115,0.1391735170370881,0.1192436508743323,0.1442136913537979,0.1030192449688911,0.0169892526064961,0.1042136913537979,0.1842136913537979,0.0730192449688911,0.1330192449688911,False,Maximum number of function evaluations has been exceeded.,0.1391545061399434,0.1192374868366932,1.9985233805533256e-05,0.0169890177559097,0.0021993842012191,2.5188207366052946e-06,873.1801232442438,0.1743909744545817,13.693904678337276,80,81,2,5.5767278161111146e-05,4.614422101539364e-05,7.082306980971942e-05,1.681736909887823e-05,9.898563735187933e-06,1.872386208421318e-05,False
COMPLETED,,1.15,0.12,0.1451318869386702,0.1164175356042111,0.1512919664382934,0.0993660539388656,0.0181300746392642,0.1112919664382934,0.1912919664382934,0.0693660539388656,0.1293660539388656,False,Maximum number of function evaluations has been exceeded.,0.1451318866466332,0.1163626463755535,5.488922865830277e-05,0.0180784605953742,0.0025441180575225,7.490449402107969e-06,339.64825352222624,0.1763622360303998,13.789970824494958,80,81,1,0.0001335339663903,0.0001231173667491,0.000171583395428,1.858329163455192e-05,1.107151345133667e-05,2.0713284642706584e-05,False
COMPLETED,,1.15,0.125,0.1507213948393332,0.1135997862286294,0.1576822400093078,0.0963991209864616,0.0185557605679066,0.1176822400093078,0.1976822400093078,0.0663991209864616,0.1263991209864616,False,Maximum number of function evaluations has been exceeded.,0.1507213945338607,0.1135653621901832,3.442403844746788e-05,0.0185238550738609,0.0028019937770551,5.058052082666949e-06,553.9669681648966,0.1774571649730205,13.88256268762052,80,81,1,8.343123555966923e-05,7.770884255086489e-05,0.0001080830631773,2.0522580544018963e-05,1.2374060924494982e-05,2.2889809697617206e-05,False
COMPLETED,,1.15,0.13,0.1559861792264185,0.1107901946633786,0.1633844077587127,0.0940450206398963,0.018306682891577,0.1233844077587127,0.2033844077587127,0.0640450206398963,0.1240450206398963,False,Maximum number of function evaluations has been exceeded.,0.1559861827010747,0.1107799632260411,1.0231437927478044e-05,0.0182973232295061,0.0029563456356278,1.6109436198850228e-06,1835.163936922176,0.1788760628551244,13.979688182473184,80,81,1,2.614642225353232e-05,2.380922798514984e-05,3.448117999693196e-05,2.260235515759976e-05,1.3790160714836367e-05,2.521500201609577e-05,False
COMPLETED,,1.15,0.135,0.1609622771307044,0.1079885641008672,0.1684236228466034,0.0922295823693275,0.0174360885839446,0.1284236228466033,0.2084236228466034,0.0622295823693275,0.1222295823693275,False,Maximum number of function evaluations has been exceeded.,0.1609622860021952,0.1079885547228986,1.2909285186953853e-08,0.0174360763116689,0.0029956343492367,2.167880581289344e-09,1381826.2754376803,0.1806931747123599,14.06553820054978,80,81,2,2.477818518511983e-05,1.5298079389313826e-05,2.7637546140415528e-05,2.4800049529547804e-05,1.5309384709216044e-05,2.766261751616752e-05,False
COMPLETED,,1.15,0.14,0.1656795952978949,0.1051947086301248,0.172842651605606,0.090879775583744,0.016007082300963,0.132842651605606,0.212842651605606,0.0608797755837439,0.1208797755837439,False,Maximum number of function evaluations has been exceeded.,0.1656795981194995,0.1051947054707885,4.235901161231042e-09,0.0160070782129601,0.002913155857541,7.547226971217107e-10,3859902.277552969,0.1812606425955891,14.11802512127906,80,81,2,2.7103571866085537e-05,1.692656200805998e-05,3.0217885105852735e-05,2.7111091943895865e-05,1.6930602847845413e-05,3.0226457372183975e-05,False
COMPLETED,,1.15,0.145,0.1701633002107831,0.1024084525397898,0.1766959428787231,0.0899241864681243,0.0140901497357241,0.136695942878723,0.2166959428787231,0.0599241864681243,0.1199241864681243,False,Maximum number of function evaluations has been exceeded.,0.1701632854217959,0.102408447602856,1.559126213996215e-08,0.0140901522181173,0.0027065768829445,2.9852906544604676e-09,906637.6431053692,0.1801325930282473,14.182397198863328,80,81,2,2.9547272187844024e-05,1.86592173942394e-05,3.292295881098834e-05,2.9539761684983552e-05,1.865807214170181e-05,3.291000628637475e-05,False
COMPLETED,,1.15,0.15,0.1744348245057917,0.0996296300519795,0.1800451576709747,0.0892925634980201,0.0117614107642467,0.1400451576709747,0.2200451576709747,0.0592925634980201,0.1192925634980201,False,Maximum number of function evaluations has been exceeded.,0.1744348302217353,0.0996296197499516,1.1781501995227928e-08,0.0117613989832539,0.0023775311500376,2.362800964287131e-09,1006234.2050698216,0.1823704782873392,14.305692287161946,80,81,2,3.208090190269726e-05,2.049119090474609e-05,3.5706678236808485e-05,3.210399944022065e-05,2.0504836098523368e-05,3.573213086628021e-05,False
COMPLETED,,1.15,0.155,0.1785126112675655,0.0968580842660088,0.1829560399055481,0.0889148712158203,0.0091015763261936,0.1429560399055481,0.2229560399055481,0.0589148712158203,0.1189148712158203,False,Maximum number of function evaluations has been exceeded.,0.1785126155669286,0.0968580859821688,4.629225491410753e-09,0.0091015757249705,0.0019313918826363,8.542581407962847e-10,2260899.5927577554,0.1825642399489879,14.334457653574646,80,81,2,3.4819226961852544e-05,2.2483890544985324e-05,3.870738179964281e-05,3.4820713512463985e-05,2.248381439217848e-05,3.871037039766513e-05,False
