dataset,source_id,chart,Mach,alpha,r_kappa_normalized_rms_stage2,r_q_normalized_rms_stage2,r_logamp_normalized_rms_stage2,bc_kappa_rmse_stage2,bc_q_rmse_stage2,r_kappa_normalized_rms_stage3,r_q_normalized_rms_stage3,r_logamp_normalized_rms_stage3,bc_kappa_rmse_stage3,bc_q_rmse_stage3,r_kappa_normalized_rms_delta,r_kappa_normalized_rms_ratio,r_q_normalized_rms_delta,r_q_normalized_rms_ratio,r_logamp_normalized_rms_delta,r_logamp_normalized_rms_ratio,bc_kappa_rmse_delta,bc_kappa_rmse_ratio,bc_q_rmse_delta,bc_q_rmse_ratio
T401,23,C00,1.2,0.065,0.0198025781450543,0.0187872070459074,0.0092374865416173,0.0016792561019013,0.0008980599369491,0.0074726845121603,0.0081656706995071,0.0054981417752565,0.0009303717394294,0.0003503477057261,-0.012329893632893999,0.37735917300377403,-0.0106215363464003,0.43463994831982794,-0.003739344766360799,0.5951988942539651,-0.0007488843624718999,0.5540380281340098,-0.0005477122312230001,0.3901161729987705
T401,24,C00,1.2,0.08,0.0172271491997474,0.0169094338316714,0.0097073758672651,0.0018171716059696,0.0010590088996002,0.0069412766980956,0.0071352431224062,0.0059979318618926,0.0009139922616511,0.0003801490228386,-0.0102858725016518,0.4029266025162991,-0.0097741907092652,0.4219681861282592,-0.003709444005372501,0.6178736605964369,-0.0009031793443185001,0.5029752053402877,-0.0006788598767616,0.3589667877032147
T401,25,C00,1.2,0.09,0.0173945728043865,0.0158067273677042,0.009278054272899,0.001851856577112,0.0014904653521422,0.0077394778576865,0.0066817256618009,0.005089553881019,0.0009221366458494,0.0007328925073543,-0.009655094946699999,0.44493635714553376,-0.0091250017059033,0.4227140448726147,-0.004188500391879999,0.5485583217469938,-0.0009297199312625999,0.49795251816287356,-0.0007575728447879,0.4917205933710141
T401,26,C00,1.2,0.1,0.0198814460745306,0.0176934903698253,0.009193895652169,0.0020545357751304,0.0016911359726223,0.0084191414360324,0.0064318663645169,0.0065016820485793,0.0009624402873782,0.0011268630613718,-0.011462304638498202,0.4234672570833696,-0.011261624005308401,0.36351597282839593,-0.0026922136035896996,0.7071737916718078,-0.0010920954877522001,0.46844659461678856,-0.0005642729112505,0.6663349840666388
T401,27,C00,1.2,0.115,0.0173351940552285,0.018225560051481,0.0111531258440778,0.0026759820924406,0.0014253670856836,0.0088771029864671,0.0081655392697171,0.0059207782188525,0.0010618664610319,0.0010411026034631,-0.0084580910687614,0.5120855848619509,-0.010060020781763898,0.4480267957007759,-0.0052323476252253,0.5308626748792917,-0.0016141156314086998,0.39681373953569193,-0.0003842644822205001,0.730410161648844
V64,5,C01,1.0,0.145,0.023419967193057,0.0218902532847934,0.0153896357837452,0.001382622785833,0.0016142997863799,0.0149348579265672,0.012244116359791,0.0102164173555266,0.0033529222428566,0.0033485598051922,-0.0084851092664898,0.6376976450673567,-0.009646136925002399,0.559341009009552,-0.0051732184282186,0.6638504964696668,0.0019702994570236004,2.4250448330609116,0.0017342600188122999,2.0743110006236285
V64,6,C01,1.0,0.155,0.0244584657280067,0.0241327939826879,0.0166474000560779,0.0014011013415337,0.0014483486569097,0.01323330852487,0.0133048076966507,0.0098848412362353,0.0019272743360721,0.0031004833524546,-0.011225157203136698,0.541052274988652,-0.010827986286037199,0.5513165075786561,-0.0067625588198425984,0.5937768782475066,0.0005261729945383999,1.3755424243348668,0.0016521346955449,2.1407023354929002
V64,7,C01,1.0,0.18,0.0252195091921365,0.0241607831767224,0.014817748012183,0.0020184854283386,0.0035391620976145,0.0152735514755459,0.0150338438852353,0.0114644200658576,0.0022151568594962,0.0017890254050616,-0.0099459577165906,0.6056244536395747,-0.009126939291487099,0.6222415794749399,-0.0033533279463253997,0.7736951699024489,0.00019667143115760033,1.0974351503342181,-0.0017501366925529,0.5054940564229754
V64,8,C01,1.05,0.14,0.0162641334681209,0.017259354009476,0.0107856940993614,0.0002248820924666,0.0013041745153838,0.0093394937971705,0.0090491268884977,0.009115070446372,0.0037587112974249,0.0013637827823566,-0.006924639670950399,0.5742386346912801,-0.0082102271209783,0.5243027568430085,-0.0016706236529894,0.845107450888273,0.0035338292049583,16.71414231430256,5.9608266972800044e-05,1.0457057443384088
V64,9,C01,1.15,0.175,0.0160766423427335,0.0175881324202857,0.0100905618271088,0.0032649488363843,0.0016933473764032,0.0087523463375722,0.0098813155573309,0.0102322511548601,0.0025927794115678,0.0010476315838865,-0.0073242960051612994,0.5444138241669713,-0.007706816862954801,0.5618172140854503,0.00014168932775130046,1.0140417679589104,-0.0006721694248164999,0.7941255871069391,-0.0006457157925167001,0.6186749384593195
