step,lambda_qdef,lambda_ode,eval_objective,eval_modal_mse,eval_qdef_mse,eval_ode_mse,eval_qdef_rms,eval_ode_rms,eval_min_abs_U_minus_c,eval_min_ci,train_modal_mse,train_qdef_mse,train_ode_mse,train_total,train_min_abs_U_minus_c
1400,0.05,0.001,7.661737393209479e-05,7.583534170407802e-05,1.4753957657376304e-05,4.433434514794499e-05,0.003841088153421879,0.006658404134213924,0.011064844205975533,0.010448742657899857,5.360982322599739e-05,1.5090979104570579e-05,5.676269211107865e-05,5.4421136155724525e-05,0.014895615167915821
1500,0.05,0.001,7.595401867547481e-05,7.51872212276794e-05,1.4318141438707244e-05,5.089037586003542e-05,0.0037839319556951523,0.007133748847991228,0.011064844205975533,0.010448742657899857,5.285233783069998e-05,1.5119493582460564e-05,8.947857713792473e-05,5.369779319153167e-05,0.010784626938402653
1600,0.05,0.001,7.599063677480444e-05,7.52256455598399e-05,1.4341876521939412e-05,4.7897388867568225e-05,0.0037870670203119516,0.006920794025063515,0.011064844205975533,0.010448742657899857,0.00016915507148951292,1.4909056517353747e-05,4.6670509618707e-05,0.00016994719044305384,0.011038810946047306
1700,0.05,0.001,7.642775421845727e-05,7.567612192360684e-05,1.4099508916842751e-05,4.665684900828637e-05,0.0037549312692135572,0.006830581929534674,0.011064844205975533,0.010448742657899857,0.0001092955790227279,1.471594805479981e-05,6.038564970367588e-05,0.00011009175796061754,0.011396351270377636
1800,0.05,0.001,7.608027595779277e-05,7.532869494752958e-05,1.4018458386999555e-05,5.0658090913202614e-05,0.0037441232707351446,0.007117449771612883,0.011064844205975533,0.010448742657899857,9.043743193615228e-05,1.429002804798074e-05,5.6162680266425014e-05,9.120809409068897e-05,0.012821624055504799
1900,0.05,0.001,7.608521307520277e-05,7.53510685171932e-05,1.3633855814987328e-05,5.2451767260208726e-05,0.003692405065521598,0.007242359220981598,0.011064844205975533,0.010448742657899857,8.56125625432469e-05,1.3579465303337201e-05,5.6190838222391903e-05,8.634772530058399e-05,0.01627345196902752
2000,0.05,0.001,7.589647671375133e-05,7.51796760596335e-05,1.3404717719822656e-05,4.6564768126700073e-05,0.0036612453404814005,0.006823838222771883,0.011064844205975533,0.010448742657899857,3.272336834925227e-05,1.3410815881798044e-05,4.55113040516153e-05,3.343942080391571e-05,0.011966178193688393
2100,0.05,0.001,7.621845932771976e-05,7.549437577836215e-05,1.3553929420595523e-05,4.638707832782529e-05,0.0036815661005675793,0.006810806225985289,0.011064844205975533,0.010448742657899857,4.8034562496468425e-05,1.3351215784496162e-05,5.1281087507959455e-05,4.8753405280876905e-05,0.012434740550816059
2200,0.05,0.001,7.613578939344734e-05,7.543432002421468e-05,1.3139691873220727e-05,4.448477557161823e-05,0.0036248713731765747,0.006669690832495689,0.011064844205975533,0.010448742657899857,9.662105730967596e-05,1.3256597412691917e-05,4.878665640717372e-05,9.733267506817356e-05,0.015521416440606117
2300,0.05,0.001,7.545822716747352e-05,7.476395694538951e-05,1.2926599993079435e-05,4.794022243004292e-05,0.0035953582264482975,0.006923887878656387,0.011064844205975533,0.010448742657899857,7.461100904038176e-05,1.3062964171695057e-05,5.500690167536959e-05,7.5319163443055e-05,0.010783524252474308
2400,0.05,0.001,7.581843249681696e-05,7.513815944548696e-05,1.2759096534864511e-05,4.231822458677925e-05,0.0035719878505915403,0.006505245808511972,0.011064844205975533,0.010448742657899857,0.00011463859846116975,1.2098027582396753e-05,0.00011040356184821576,0.00011535390513017774,0.012870716862380505
2500,0.05,0.001,7.612805863391259e-05,7.543888204963878e-05,1.2885180694865994e-05,4.491754953050986e-05,0.0035895933397114277,0.006702055688947439,0.011064844205975533,0.010448742657899857,8.08666882221587e-05,1.2341346518951468e-05,4.1771803807932884e-05,8.152552618412301e-05,0.0112043097615242
